time,Atlanta,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Dedmon (I. Taylor gains possession),,,,Jump ball: K. Towns vs. D. Dedmon (I. Taylor gains possession)
11:43.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by I. Taylor),3,3-0,,
11:24.0,,,3-2,2,J. Teague makes 2-pt shot from 12 ft
10:59.0,Turnover by T. Waller-Prince (bad pass),,3-2,,
10:43.0,,,3-2,,Turnover by A. Wiggins (lost ball; steal by I. Taylor)
10:35.0,J. Collins makes 3-pt shot from 26 ft (assist by D. Lee),3,6-2,,
10:15.0,,,6-4,2,J. Teague makes 2-pt shot from 14 ft
9:58.0,D. Lee makes 2-pt shot from 20 ft (assist by T. Waller-Prince),2,8-4,,
9:50.0,,,8-4,,Turnover by J. Teague (lost ball; steal by D. Lee)
9:45.0,J. Collins makes 2-pt shot at rim (assist by D. Lee),2,10-4,,
9:33.0,,,10-6,2,A. Wiggins makes 2-pt shot from 3 ft
9:16.0,D. Dedmon misses 2-pt shot from 20 ft,,10-6,,
9:14.0,,,10-6,,Defensive rebound by N. Bjelica
9:04.0,,,10-8,2,K. Towns makes 2-pt shot from 9 ft
8:51.0,T. Waller-Prince misses 2-pt shot from 11 ft,,10-8,,
8:50.0,,,10-8,,Defensive rebound by T. Gibson
8:45.0,Personal foul by D. Dedmon (drawn by K. Towns),,10-8,,
8:39.0,,,10-8,,A. Wiggins misses 2-pt shot from 13 ft
8:37.0,Defensive rebound by D. Dedmon,,10-8,,
8:26.0,Turnover by I. Taylor (bad pass; steal by A. Wiggins),,10-8,,
8:22.0,,,10-10,2,N. Bjelica makes 2-pt shot from 1 ft (assist by A. Wiggins)
8:07.0,T. Waller-Prince makes 2-pt shot from 14 ft,2,12-10,,
7:55.0,,,12-10,,J. Teague misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by D. Lee,,12-10,,
7:45.0,D. Dedmon makes 2-pt shot from 12 ft (assist by D. Lee),2,14-10,,
7:31.0,,,14-13,3,K. Towns makes 3-pt shot from 22 ft (assist by T. Gibson)
7:22.0,Shooting foul by T. Gibson (drawn by I. Taylor),,14-13,,
7:22.0,I. Taylor makes free throw 1 of 2,1,15-13,,
7:22.0,I. Taylor makes free throw 2 of 2,1,16-13,,
7:11.0,,,16-15,2,A. Wiggins makes 2-pt shot from 6 ft
6:58.0,D. Dedmon makes 2-pt shot from 10 ft (assist by I. Taylor),2,18-15,,
6:46.0,,,18-15,,K. Towns misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by J. Collins,,18-15,,
6:25.0,D. Dedmon misses 2-pt shot from 7 ft,,18-15,,
6:24.0,,,18-15,,Defensive rebound by K. Towns
6:18.0,Personal foul by I. Taylor (drawn by J. Teague),,18-15,,
6:18.0,,,18-15,,Minnesota full timeout
6:18.0,M. Muscala enters the game for J. Collins,,18-15,,
6:06.0,,,18-15,,N. Bjelica misses 3-pt shot from 23 ft
6:03.0,,,18-15,,Offensive rebound by K. Towns
6:01.0,,,18-15,,K. Towns misses 2-pt shot from 3 ft (block by D. Lee)
6:01.0,Defensive rebound by T. Waller-Prince,,18-15,,
5:49.0,I. Taylor misses 2-pt shot from 13 ft,,18-15,,
5:46.0,,,18-15,,Defensive rebound by Team
5:29.0,,,18-15,,T. Gibson misses 2-pt shot from 4 ft
5:29.0,,,18-15,,Offensive rebound by Team
5:29.0,Loose ball foul by D. Lee (drawn by N. Bjelica),,18-15,,
5:29.0,T. Dorsey enters the game for D. Lee,,18-15,,
5:29.0,T. Cavanaugh enters the game for D. Dedmon,,18-15,,
5:23.0,,,18-17,2,K. Towns makes 2-pt shot from 2 ft
5:23.0,,,18-17,,Shooting foul by M. Muscala (drawn by K. Towns)
5:23.0,,,18-18,1,K. Towns makes free throw 1 of 1
5:16.0,M. Muscala makes 3-pt shot from 23 ft (assist by I. Taylor),3,21-18,,
5:05.0,,,21-20,2,K. Towns makes 2-pt shot from 6 ft (assist by J. Teague)
4:52.0,T. Dorsey misses 3-pt shot from 26 ft,,21-20,,
4:50.0,Offensive rebound by Team,,21-20,,
4:50.0,,,21-20,,J. Crawford enters the game for N. Bjelica
4:50.0,J. Magette enters the game for I. Taylor,,21-20,,
4:39.0,T. Dorsey makes 2-pt shot from 16 ft,2,23-20,,
4:23.0,,,23-20,,J. Teague misses 2-pt shot from 8 ft
4:21.0,Defensive rebound by T. Dorsey,,23-20,,
4:16.0,Shooting foul by K. Towns (drawn by T. Waller-Prince),,23-20,,
4:16.0,T. Waller-Prince makes free throw 1 of 2,1,24-20,,
4:16.0,,,24-20,,G. Dieng enters the game for K. Towns
4:16.0,T. Waller-Prince makes free throw 2 of 2,1,25-20,,
4:01.0,,,25-22,2,T. Gibson makes 2-pt shot from 14 ft (assist by J. Crawford)
3:45.0,M. Muscala makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,28-22,,
