time,Golden State,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. McGee (D. Green gains possession),,,,Jump ball: M. Turner vs. J. McGee (D. Green gains possession)
11:40.0,J. McGee makes 2-pt shot from 1 ft (assist by Q. Cook),2,2-0,,
11:24.0,,,2-0,,M. Turner misses 3-pt shot from 27 ft
11:20.0,Defensive rebound by K. Durant,,2-0,,
11:10.0,Q. Cook misses 2-pt shot from 19 ft,,2-0,,
11:07.0,Offensive rebound by J. McGee,,2-0,,
11:04.0,K. Thompson makes 3-pt shot from 27 ft (assist by K. Durant),3,5-0,,
10:46.0,,,5-2,2,B. Bogdanovic makes 2-pt shot at rim
10:31.0,K. Durant makes 2-pt shot from 18 ft (assist by D. Green),2,7-2,,
10:17.0,,,7-2,,Turnover by M. Turner (lost ball; steal by K. Durant)
10:15.0,Turnover by K. Durant (lost ball; steal by T. Young),,7-2,,
10:11.0,,,7-4,2,D. Collison makes 2-pt shot from 22 ft (assist by T. Young)
9:51.0,Turnover by Q. Cook (bad pass; steal by D. Collison),,7-4,,
9:47.0,,,7-4,,Turnover by B. Bogdanovic (bad pass; steal by K. Durant)
9:42.0,K. Durant makes 2-pt shot from 1 ft,2,9-4,,
9:31.0,,,9-6,2,V. Oladipo makes 2-pt shot from 14 ft
9:12.0,K. Durant misses 3-pt shot from 27 ft,,9-6,,
9:09.0,,,9-6,,Defensive rebound by V. Oladipo
8:53.0,,,9-8,2,T. Young makes 2-pt shot from 4 ft
8:53.0,Violation by J. McGee (def goaltending),,9-8,,
8:34.0,Turnover by J. McGee (bad pass),,9-8,,
8:11.0,,,9-10,2,T. Young makes 2-pt shot at rim (assist by V. Oladipo)
8:02.0,,,9-10,,Personal foul by T. Young (drawn by D. Green)
7:52.0,K. Thompson misses 3-pt shot from 27 ft,,9-10,,
7:48.0,,,9-10,,Defensive rebound by B. Bogdanovic
7:37.0,,,9-13,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by D. Collison)
7:23.0,Turnover by D. Green (lost ball; steal by T. Young),,9-13,,
7:19.0,,,9-15,2,D. Collison makes 2-pt shot at rim (assist by V. Oladipo)
7:19.0,,,9-15,,Shooting foul by Q. Cook (drawn by D. Collison)
7:19.0,,,9-16,1,D. Collison makes free throw 1 of 1
7:15.0,,,9-16,,Shooting block foul by B. Bogdanovic (drawn by D. Green)
7:15.0,D. Green makes free throw 1 of 2,1,10-16,,
7:15.0,D. Green makes free throw 2 of 2,1,11-16,,
7:05.0,,,11-16,,M. Turner misses 2-pt shot from 18 ft
7:03.0,,,11-16,,Offensive rebound by Team
6:57.0,,,11-18,2,B. Bogdanovic makes 2-pt shot at rim
6:50.0,Golden State full timeout,,11-18,,
6:31.0,Q. Cook misses 2-pt shot from 19 ft,,11-18,,
6:27.0,Offensive rebound by K. Thompson,,11-18,,
6:12.0,J. McGee makes 2-pt shot from 2 ft (assist by D. Green),2,13-18,,
5:55.0,,,13-18,,T. Young misses 2-pt shot from 3 ft
5:53.0,Defensive rebound by J. McGee,,13-18,,
5:49.0,K. Durant makes 2-pt shot from 14 ft,2,15-18,,
5:31.0,,,15-20,2,M. Turner makes 2-pt shot at rim (assist by T. Young)
5:01.0,Q. Cook misses 2-pt shot from 18 ft,,15-20,,
4:58.0,,,15-20,,Defensive rebound by B. Bogdanovic
4:49.0,,,15-20,,Turnover by B. Bogdanovic (lost ball; steal by Q. Cook)
4:43.0,K. Durant misses 2-pt shot from 3 ft,,15-20,,
4:40.0,,,15-20,,Defensive rebound by V. Oladipo
4:37.0,,,15-20,,Turnover by V. Oladipo (bad pass)
