time,Portland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Nurkic (G. Antetokounmpo gains possession),,,,Jump ball: T. Maker vs. J. Nurkic (G. Antetokounmpo gains possession)
11:43.0,,,0-2,2,K. Middleton makes 2-pt shot from 16 ft (assist by M. Brogdon)
11:24.0,Turnover by C. McCollum (bad pass),,0-2,,
11:11.0,,,0-4,2,K. Middleton makes 2-pt shot from 1 ft (assist by M. Brogdon)
10:52.0,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard),2,2-4,,
10:33.0,,,2-4,,K. Middleton misses 2-pt shot from 15 ft
10:30.0,,,2-4,,Offensive rebound by M. Brogdon
10:29.0,,,2-4,,Turnover by M. Brogdon (bad pass; steal by D. Lillard)
10:20.0,Turnover by D. Lillard (bad pass; steal by T. Maker),,2-4,,
10:16.0,,,2-6,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Maker)
10:04.0,J. Nurkic misses 2-pt shot from 1 ft,,2-6,,
9:56.0,Offensive rebound by J. Nurkic,,2-6,,
9:56.0,J. Nurkic misses 2-pt shot at rim,,2-6,,
9:56.0,,,2-6,,Defensive rebound by T. Maker
9:47.0,,,2-6,,G. Antetokounmpo misses 2-pt shot from 12 ft
9:45.0,Defensive rebound by D. Lillard,,2-6,,
9:41.0,J. Nurkic misses 2-pt shot at rim,,2-6,,
9:36.0,,,2-6,,Defensive rebound by K. Middleton
9:36.0,,,2-6,,K. Middleton misses 2-pt shot from 2 ft (block by A. Aminu)
9:35.0,Defensive rebound by Team,,2-6,,
9:19.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,4-6,,
9:00.0,,,4-8,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
8:33.0,C. McCollum makes 3-pt shot from 27 ft,3,7-8,,
8:14.0,,,7-8,,G. Antetokounmpo misses 3-pt shot from 27 ft
8:11.0,Defensive rebound by A. Aminu,,7-8,,
8:03.0,Shooting foul by K. Middleton (drawn by A. Aminu),,7-8,,
8:03.0,A. Aminu makes free throw 1 of 2,1,8-8,,
8:03.0,,,8-8,,D. Liggins enters the game for T. Snell
8:03.0,A. Aminu makes free throw 2 of 2,1,9-8,,
7:44.0,,,9-10,2,K. Middleton makes 2-pt shot from 12 ft
7:25.0,C. McCollum misses 2-pt shot from 5 ft (block by D. Liggins),,9-10,,
7:25.0,,,9-10,,Defensive rebound by D. Liggins
7:20.0,,,9-10,,Turnover by D. Liggins (bad pass; steal by C. McCollum)
6:50.0,,,9-12,2,K. Middleton makes 2-pt shot from 1 ft
6:44.0,Shooting foul by T. Maker (drawn by D. Lillard),,9-12,,
6:44.0,,,9-12,,Milwaukee full timeout
6:44.0,,,9-12,,M. Teletovic enters the game for M. Brogdon
6:44.0,,,9-12,,G. Monroe enters the game for G. Antetokounmpo
6:44.0,D. Lillard makes free throw 1 of 2,1,10-12,,
6:44.0,D. Lillard makes free throw 2 of 2,1,11-12,,
6:29.0,,,11-12,,Shooting foul by D. Lillard (drawn by K. Middleton)
6:29.0,,,11-13,1,K. Middleton makes free throw 1 of 2
6:29.0,,,11-14,1,K. Middleton makes free throw 2 of 2
6:14.0,A. Aminu misses 2-pt shot from 2 ft,,11-14,,
6:11.0,,,11-14,,Defensive rebound by T. Maker
6:04.0,,,11-14,,Turnover by K. Middleton (bad pass; steal by D. Lillard)
5:57.0,D. Lillard makes 3-pt shot from 26 ft (assist by A. Aminu),3,14-14,,
5:44.0,,,14-14,,M. Dellavedova enters the game for T. Maker
5:44.0,P. Connaughton enters the game for C. McCollum,,14-14,,
5:44.0,E. Turner enters the game for M. Harkless,,14-14,,
5:34.0,,,14-14,,M. Dellavedova misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by A. Aminu,,14-14,,
5:29.0,D. Lillard misses 3-pt shot from 26 ft,,14-14,,
5:25.0,,,14-14,,Defensive rebound by M. Dellavedova
5:19.0,,,14-17,3,M. Teletovic makes 3-pt shot from 26 ft (assist by K. Middleton)
5:08.0,Turnover by D. Lillard (bad pass),,14-17,,
4:53.0,,,14-17,,D. Liggins misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by J. Nurkic,,14-17,,
4:41.0,J. Nurkic misses 3-pt shot from 26 ft,,14-17,,
4:38.0,Offensive rebound by D. Lillard,,14-17,,
4:36.0,D. Lillard misses 2-pt shot from 3 ft,,14-17,,
4:35.0,Offensive rebound by D. Lillard,,14-17,,
4:35.0,Shooting foul by K. Middleton (drawn by D. Lillard),,14-17,,
4:35.0,D. Lillard makes free throw 1 of 2,1,15-17,,
4:35.0,,,15-17,,G. Antetokounmpo enters the game for K. Middleton
4:35.0,D. Lillard makes free throw 2 of 2,1,16-17,,
4:23.0,,,16-17,,M. Dellavedova misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by D. Lillard,,16-17,,
4:12.0,A. Aminu misses 3-pt shot from 26 ft,,16-17,,
4:09.0,,,16-17,,Defensive rebound by G. Antetokounmpo
4:03.0,,,16-20,3,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
3:46.0,E. Turner makes 3-pt shot from 23 ft (assist by J. Nurkic),3,19-20,,
3:35.0,,,19-20,,Turnover by G. Antetokounmpo (bad pass)
3:18.0,D. Lillard misses 2-pt shot from 9 ft,,19-20,,
3:18.0,Offensive rebound by Team,,19-20,,
3:18.0,Portland full timeout,,19-20,,
3:18.0,E. Davis enters the game for J. Nurkic,,19-20,,
2:55.0,A. Aminu misses 2-pt shot from 2 ft,,19-20,,
2:53.0,,,19-20,,Defensive rebound by G. Antetokounmpo
2:41.0,,,19-20,,G. Monroe misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by E. Davis,,19-20,,
2:33.0,D. Lillard misses 2-pt shot from 1 ft,,19-20,,
2:33.0,Offensive rebound by E. Davis,,19-20,,
2:33.0,Loose ball foul by E. Davis (drawn by G. Monroe),,19-20,,
2:33.0,,,19-20,,T. Snell enters the game for D. Liggins
2:33.0,C. McCollum enters the game for D. Lillard,,19-20,,
2:33.0,M. Harkless enters the game for A. Aminu,,19-20,,
2:10.0,,,19-20,,M. Dellavedova misses 2-pt shot from 5 ft
2:07.0,Defensive rebound by M. Harkless,,19-20,,
2:05.0,Shooting foul by M. Teletovic (drawn by E. Turner),,19-20,,
2:05.0,E. Turner makes free throw 1 of 2,1,20-20,,
2:05.0,E. Turner makes free throw 2 of 2,1,21-20,,
1:53.0,,,21-20,,G. Monroe misses 2-pt shot from 20 ft
1:48.0,Defensive rebound by E. Davis,,21-20,,
1:48.0,P. Connaughton makes 3-pt shot from 26 ft (assist by E. Turner),3,24-20,,
1:48.0,,,24-20,,Milwaukee full timeout
1:48.0,,,24-20,,J. Terry enters the game for M. Teletovic
1:32.0,,,24-20,,Turnover by T. Snell (lost ball; steal by E. Turner)
1:27.0,P. Connaughton misses 3-pt shot from 27 ft,,24-20,,
1:22.0,Offensive rebound by E. Davis,,24-20,,
1:09.0,E. Turner misses 3-pt shot from 24 ft,,24-20,,
1:04.0,,,24-20,,Defensive rebound by M. Dellavedova
1:02.0,,,24-22,2,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:00.0,Technical foul by E. Turner,,24-22,,
1:00.0,,,24-22,,M. Dellavedova misses technical free throw
1:00.0,Defensive rebound by Team,,24-22,,
0:48.0,M. Harkless makes 2-pt shot from 2 ft (assist by E. Turner),2,26-22,,
0:35.0,,,26-22,,G. Monroe misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by E. Davis,,26-22,,
0:14.0,Turnover by E. Turner (bad pass),,26-22,,
0:00.0,,,26-22,,Shooting foul by M. Harkless (drawn by G. Antetokounmpo)
0:00.0,,,26-23,1,G. Antetokounmpo makes free throw 1 of 2
0:00.0,,,26-24,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-24,,Def 3 sec tech foul by G. Antetokounmpo
11:46.0,C. McCollum makes technical free throw,1,27-24,,
11:36.0,C. McCollum misses 2-pt shot from 4 ft,,27-24,,
11:36.0,Offensive rebound by Team,,27-24,,
11:28.0,Shooting foul by G. Antetokounmpo (drawn by E. Davis),,27-24,,
11:28.0,E. Davis makes free throw 1 of 2,1,28-24,,
11:28.0,E. Davis makes free throw 2 of 2,1,29-24,,
11:07.0,,,29-24,,Turnover by J. Henson (turnover)
10:50.0,C. McCollum makes 3-pt shot from 27 ft (assist by P. Connaughton),3,32-24,,
10:34.0,,,32-27,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Terry)
10:19.0,C. McCollum makes 2-pt shot from 1 ft,2,34-27,,
10:05.0,,,34-29,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
9:42.0,E. Turner makes 2-pt shot from 16 ft,2,36-29,,
9:22.0,,,36-29,,M. Brogdon misses 2-pt shot from 5 ft (block by E. Davis)
9:18.0,Defensive rebound by M. Harkless,,36-29,,
9:17.0,C. McCollum misses 3-pt shot from 26 ft,,36-29,,
9:13.0,,,36-29,,Defensive rebound by J. Henson
9:04.0,,,36-29,,G. Antetokounmpo misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by E. Davis,,36-29,,
8:50.0,M. Harkless makes 2-pt shot from 2 ft (assist by E. Turner),2,38-29,,
8:49.0,,,38-29,,Milwaukee full timeout
8:49.0,,,38-29,,K. Middleton enters the game for J. Terry
8:37.0,,,38-29,,Shooting foul by E. Davis (drawn by G. Antetokounmpo)
8:37.0,,,38-30,1,G. Antetokounmpo makes free throw 1 of 2
8:37.0,,,38-31,1,G. Antetokounmpo makes free throw 2 of 2
8:15.0,C. McCollum makes 2-pt shot from 16 ft,2,40-31,,
7:53.0,,,40-31,,K. Middleton misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by M. Harkless,,40-31,,
7:34.0,Turnover by E. Davis (bad pass; steal by M. Brogdon),,40-31,,
7:29.0,,,40-31,,M. Brogdon misses 2-pt shot from 1 ft
7:25.0,,,40-31,,Offensive rebound by G. Antetokounmpo
7:25.0,,,40-33,2,G. Antetokounmpo makes 2-pt shot at rim
7:11.0,P. Connaughton misses 2-pt shot from 4 ft (block by J. Henson),,40-33,,
7:07.0,,,40-33,,Defensive rebound by G. Antetokounmpo
7:06.0,,,40-35,2,G. Antetokounmpo makes 2-pt shot at rim
7:06.0,,,40-35,,Shooting foul by E. Davis (drawn by G. Antetokounmpo)
7:06.0,A. Aminu enters the game for C. McCollum,,40-35,,
7:06.0,J. Nurkic enters the game for M. Harkless,,40-35,,
7:06.0,D. Lillard enters the game for E. Davis,,40-35,,
7:06.0,,,40-36,1,G. Antetokounmpo makes free throw 1 of 1
6:58.0,,,40-36,,Violation by J. Henson (kicked ball)
6:41.0,J. Nurkic misses 2-pt shot from 4 ft (block by J. Henson),,40-36,,
6:39.0,Offensive rebound by J. Nurkic,,40-36,,
6:39.0,J. Nurkic misses 2-pt shot from 1 ft,,40-36,,
6:39.0,Offensive rebound by Team,,40-36,,
6:33.0,E. Turner misses 3-pt shot from 23 ft,,40-36,,
6:29.0,,,40-36,,Defensive rebound by T. Snell
6:27.0,,,40-36,,Shooting foul by A. Aminu (drawn by K. Middleton)
6:27.0,Portland full timeout,,40-36,,
6:27.0,M. Harkless enters the game for A. Aminu,,40-36,,
6:27.0,,,40-37,1,K. Middleton makes free throw 1 of 2
6:27.0,,,40-38,1,K. Middleton makes free throw 2 of 2
6:07.0,,,40-38,,Personal foul by K. Middleton (drawn by J. Nurkic)
6:07.0,Turnover by J. Nurkic (turnover),,40-38,,
6:01.0,,,40-38,,Offensive charge foul by J. Henson (drawn by D. Lillard)
6:01.0,,,40-38,,Turnover by J. Henson (offensive foul)
5:46.0,J. Nurkic misses 2-pt shot from 2 ft,,40-38,,
5:44.0,,,40-38,,Defensive rebound by J. Henson
