time,Milwaukee,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Maker (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. T. Maker (M. Chriss gains possession)
11:42.0,,,0-0,,M. Chriss misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by G. Payton,,0-0,,
11:25.0,E. Bledsoe makes 2-pt shot from 14 ft (assist by G. Payton),2,2-0,,
11:11.0,,,2-0,,Turnover by T. Warren (traveling)
11:03.0,G. Payton misses 2-pt shot from 10 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by T. Chandler
10:56.0,,,2-2,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
10:45.0,T. Maker misses 2-pt shot at rim,,2-2,,
10:43.0,,,2-2,,Defensive rebound by T. Chandler
10:36.0,,,2-2,,Turnover by T. Chandler (bad pass; steal by M. Brogdon)
10:33.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by G. Payton),3,5-2,,
10:23.0,Personal foul by G. Payton (drawn by D. Booker),,5-2,,
10:15.0,,,5-4,2,D. Booker makes 2-pt shot from 16 ft
9:59.0,G. Payton misses 2-pt shot from 1 ft (block by D. Booker),,5-4,,
9:54.0,Offensive rebound by G. Payton,,5-4,,
9:54.0,G. Payton makes 2-pt shot from 1 ft,2,7-4,,
9:35.0,,,7-6,2,D. Booker makes 2-pt shot from 19 ft
9:30.0,Turnover by E. Bledsoe (lost ball; steal by T. Ulis),,7-6,,
9:26.0,,,7-8,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
9:14.0,K. Middleton misses 3-pt shot from 26 ft,,7-8,,
9:11.0,Offensive rebound by E. Bledsoe,,7-8,,
9:08.0,,,7-8,,Shooting block foul by T. Chandler (drawn by T. Maker)
9:08.0,T. Maker makes free throw 1 of 2,1,8-8,,
9:08.0,T. Maker makes free throw 2 of 2,1,9-8,,
8:54.0,,,9-8,,T. Warren misses 2-pt shot from 20 ft
8:50.0,Defensive rebound by T. Maker,,9-8,,
8:42.0,G. Payton misses 3-pt shot from 22 ft,,9-8,,
8:39.0,,,9-8,,Defensive rebound by M. Chriss
8:29.0,Personal foul by E. Bledsoe (drawn by M. Chriss),,9-8,,
8:25.0,,,9-8,,D. Booker misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by K. Middleton,,9-8,,
8:15.0,K. Middleton makes 2-pt shot from 19 ft,2,11-8,,
7:54.0,Personal foul by M. Brogdon (drawn by T. Chandler),,11-8,,
7:54.0,D. Liggins enters the game for G. Payton,,11-8,,
7:50.0,,,11-11,3,T. Ulis makes 3-pt shot from 25 ft
7:30.0,M. Brogdon misses 2-pt shot at rim (block by T. Chandler),,11-11,,
7:28.0,Offensive rebound by T. Maker,,11-11,,
7:27.0,T. Maker misses 2-pt shot from 1 ft,,11-11,,
7:25.0,,,11-11,,Defensive rebound by T. Ulis
7:16.0,,,11-11,,T. Chandler misses 2-pt shot at rim
7:13.0,,,11-11,,Offensive rebound by T. Chandler
6:58.0,,,11-11,,D. Booker misses 2-pt shot from 13 ft
6:56.0,Defensive rebound by M. Brogdon,,11-11,,
6:52.0,E. Bledsoe misses 2-pt shot from 1 ft,,11-11,,
6:49.0,,,11-11,,Defensive rebound by T. Warren
6:45.0,,,11-13,2,T. Warren makes 2-pt shot at rim
6:31.0,T. Maker makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,13-13,,
6:24.0,,,13-13,,Phoenix full timeout
6:24.0,,,13-13,,G. Monroe enters the game for T. Chandler
6:20.0,,,13-13,,Turnover by T. Warren (bad pass; steal by K. Middleton)
6:16.0,Turnover by K. Middleton (lost ball; steal by T. Warren),,13-13,,
6:11.0,,,13-13,,Turnover by G. Monroe (traveling)
5:55.0,K. Middleton makes 2-pt shot from 19 ft,2,15-13,,
5:34.0,,,15-13,,Turnover by M. Chriss (bad pass; steal by K. Middleton)
5:30.0,K. Middleton makes 2-pt shot at rim (assist by M. Brogdon),2,17-13,,
5:15.0,,,17-15,2,G. Monroe makes 2-pt shot from 3 ft (assist by T. Ulis)
4:49.0,E. Bledsoe misses 3-pt shot from 24 ft,,17-15,,
4:48.0,,,17-15,,Defensive rebound by G. Monroe
4:42.0,,,17-15,,T. Warren misses 2-pt shot from 2 ft (block by T. Maker)
4:42.0,,,17-15,,Offensive rebound by Team
4:42.0,,,17-15,,M. James enters the game for M. Chriss
4:42.0,,,17-15,,D. Bender enters the game for T. Ulis
4:42.0,T. Snell enters the game for E. Bledsoe,,17-15,,
4:36.0,,,17-15,,D. Booker misses 2-pt shot from 8 ft (block by D. Liggins)
4:33.0,Defensive rebound by K. Middleton,,17-15,,
4:30.0,K. Middleton misses 2-pt shot from 16 ft,,17-15,,
4:27.0,,,17-15,,Defensive rebound by T. Warren
4:12.0,,,17-17,2,G. Monroe makes 2-pt shot from 2 ft
3:56.0,K. Middleton makes 2-pt shot from 20 ft,2,19-17,,
3:56.0,Shooting foul by G. Monroe (drawn by K. Middleton),,19-17,,
3:56.0,,,19-17,,J. Jackson enters the game for T. Warren
3:56.0,K. Middleton makes free throw 1 of 1,1,20-17,,
3:50.0,Violation by T. Maker (kicked ball),,20-17,,
3:44.0,,,20-17,,Shooting foul by T. Snell (drawn by J. Jackson)
3:44.0,,,20-17,,J. Jackson misses free throw 1 of 2
3:44.0,,,20-17,,Offensive rebound by Team
3:44.0,,,20-17,,J. Jackson misses free throw 2 of 2
3:42.0,Defensive rebound by T. Maker,,20-17,,
3:25.0,K. Middleton makes 2-pt shot from 14 ft,2,22-17,,
3:07.0,,,22-17,,Turnover by J. Jackson (traveling)
2:59.0,Shooting foul by D. Bender (drawn by T. Maker),,22-17,,
2:59.0,Milwaukee full timeout,,22-17,,
2:59.0,T. Maker makes free throw 1 of 2,1,23-17,,
2:59.0,T. Maker makes free throw 2 of 2,1,24-17,,
2:44.0,,,24-19,2,G. Monroe makes 2-pt shot at rim (assist by D. Bender)
2:28.0,T. Snell misses 2-pt shot from 20 ft,,24-19,,
2:26.0,,,24-19,,Defensive rebound by M. James
2:15.0,,,24-19,,G. Monroe misses 2-pt shot from 6 ft
2:12.0,Defensive rebound by K. Middleton,,24-19,,
2:08.0,K. Middleton makes 2-pt shot from 1 ft,2,26-19,,
1:44.0,,,26-19,,J. Jackson misses 2-pt shot from 2 ft (block by T. Maker)
1:42.0,,,26-19,,Offensive rebound by G. Monroe
1:41.0,,,26-21,2,G. Monroe makes 2-pt shot at rim
1:26.0,M. Brogdon misses 2-pt shot from 14 ft,,26-21,,
1:24.0,Offensive rebound by T. Maker,,26-21,,
1:19.0,T. Maker makes 2-pt shot from 3 ft,2,28-21,,
1:17.0,,,28-21,,Shooting foul by D. Liggins (drawn by D. Booker)
1:17.0,,,28-22,1,D. Booker makes free throw 1 of 2
1:17.0,J. Bolomboy enters the game for T. Maker,,28-22,,
1:17.0,,,28-23,1,D. Booker makes free throw 2 of 2
1:09.0,,,28-23,,Personal foul by D. Booker (drawn by K. Middleton)
1:09.0,,,28-23,,T. Daniels enters the game for D. Booker
1:09.0,E. Bledsoe enters the game for M. Brogdon,,28-23,,
0:56.0,T. Snell misses 3-pt shot from 25 ft,,28-23,,
0:54.0,Offensive rebound by J. Bolomboy,,28-23,,
0:48.0,E. Bledsoe makes 2-pt shot at rim,2,30-23,,
0:38.0,,,30-23,,M. James misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by D. Liggins,,30-23,,
0:31.0,K. Middleton misses 3-pt shot from 25 ft,,30-23,,
0:28.0,Offensive rebound by D. Liggins,,30-23,,
0:08.0,T. Snell makes 3-pt shot from 22 ft (assist by D. Liggins),3,33-23,,
0:01.0,,,33-23,,T. Daniels misses 3-pt shot from 27 ft
0:01.0,,,33-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Wilson misses 3-pt shot from 25 ft,,33-23,,
11:39.0,,,33-23,,Defensive rebound by G. Monroe
11:19.0,,,33-23,,M. James misses 3-pt shot from 25 ft (block by T. Snell)
11:15.0,Defensive rebound by E. Bledsoe,,33-23,,
11:12.0,J. Bolomboy misses 3-pt shot from 25 ft,,33-23,,
11:05.0,,,33-23,,Defensive rebound by G. Monroe
10:55.0,,,33-23,,Turnover by T. Daniels (bad pass; steal by D. Liggins)
10:53.0,,,33-23,,Personal take foul by T. Daniels (drawn by D. Liggins)
10:53.0,,,33-23,,T. Warren enters the game for J. Jackson
10:46.0,E. Bledsoe misses 2-pt shot at rim,,33-23,,
10:45.0,,,33-23,,Defensive rebound by T. Daniels
10:45.0,,,33-23,,Turnover by T. Daniels (lost ball; steal by E. Bledsoe)
10:45.0,Shooting foul by T. Daniels (drawn by E. Bledsoe),,33-23,,
10:45.0,E. Bledsoe misses free throw 1 of 2,,33-23,,
10:45.0,Offensive rebound by Team,,33-23,,
10:45.0,S. Brown enters the game for D. Wilson,,33-23,,
10:45.0,E. Bledsoe misses free throw 2 of 2,,33-23,,
10:41.0,Offensive rebound by S. Brown,,33-23,,
10:30.0,E. Bledsoe misses 2-pt shot from 18 ft,,33-23,,
10:25.0,,,33-23,,Defensive rebound by D. Bender
10:13.0,,,33-23,,T. Daniels misses 3-pt shot from 27 ft
10:07.0,,,33-23,,Offensive rebound by G. Monroe
10:07.0,,,33-25,2,G. Monroe makes 2-pt shot at rim
10:02.0,J. Bolomboy misses 2-pt shot from 2 ft,,33-25,,
9:59.0,,,33-25,,Defensive rebound by G. Monroe
9:52.0,,,33-25,,M. James misses 2-pt shot from 7 ft
9:48.0,Defensive rebound by E. Bledsoe,,33-25,,
9:43.0,E. Bledsoe misses 2-pt shot at rim,,33-25,,
9:41.0,,,33-25,,Defensive rebound by T. Daniels
9:33.0,,,33-25,,Turnover by D. Bender (bad pass; steal by T. Snell)
9:15.0,S. Brown misses 3-pt shot from 25 ft,,33-25,,
9:09.0,Offensive rebound by E. Bledsoe,,33-25,,
9:04.0,Shooting foul by T. Daniels (drawn by T. Snell),,33-25,,
9:04.0,T. Snell misses free throw 1 of 2,,33-25,,
9:04.0,Offensive rebound by Team,,33-25,,
9:04.0,,,33-25,,T. Chandler enters the game for G. Monroe
9:04.0,,,33-25,,M. Chriss enters the game for T. Daniels
9:04.0,,,33-25,,D. Booker enters the game for D. Bender
9:04.0,T. Snell makes free throw 2 of 2,1,34-25,,
8:52.0,,,34-25,,Offensive charge foul by M. James (drawn by D. Liggins)
8:52.0,,,34-25,,Turnover by M. James (offensive foul)
8:42.0,E. Bledsoe misses 2-pt shot from 15 ft (block by M. James),,34-25,,
8:42.0,Offensive rebound by Team,,34-25,,
8:32.0,S. Brown makes 2-pt shot at rim,2,36-25,,
8:17.0,,,36-25,,D. Booker misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by J. Bolomboy,,36-25,,
8:04.0,E. Bledsoe makes 2-pt shot from 14 ft,2,38-25,,
7:49.0,,,38-25,,Turnover by D. Booker (bad pass; steal by D. Liggins)
7:45.0,Turnover by E. Bledsoe (bad pass),,38-25,,
7:44.0,Personal block foul by D. Liggins (drawn by D. Booker),,38-25,,
7:44.0,,,38-25,,T. Ulis enters the game for M. James
7:30.0,,,38-27,2,T. Ulis makes 2-pt shot from 10 ft
7:07.0,E. Bledsoe misses 3-pt shot from 24 ft,,38-27,,
7:02.0,,,38-27,,Defensive rebound by T. Warren
6:52.0,,,38-27,,T. Ulis misses 2-pt shot from 15 ft
6:52.0,Defensive rebound by E. Bledsoe,,38-27,,
6:45.0,S. Brown misses 2-pt shot at rim (block by D. Booker),,38-27,,
6:42.0,Offensive rebound by S. Brown,,38-27,,
6:41.0,S. Brown misses 2-pt shot from 1 ft (block by D. Booker),,38-27,,
6:41.0,,,38-27,,Defensive rebound by T. Warren
6:41.0,,,38-29,2,T. Warren makes 2-pt shot at rim
6:41.0,Violation by E. Bledsoe (def goaltending),,38-29,,
6:41.0,,,38-29,,Shooting foul by T. Snell (drawn by T. Warren)
6:41.0,,,38-29,,Phoenix full timeout
6:41.0,,,38-29,,J. Jackson enters the game for M. Chriss
6:41.0,M. Brogdon enters the game for T. Snell,,38-29,,
6:41.0,G. Payton enters the game for J. Bolomboy,,38-29,,
6:41.0,T. Maker enters the game for D. Liggins,,38-29,,
6:41.0,,,38-30,1,T. Warren makes free throw 1 of 1
