time,LA Clippers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Collins vs. D. Jordan (W. Johnson gains possession),,,,Jump ball: J. Collins vs. D. Jordan (W. Johnson gains possession)
11:38.0,W. Johnson misses 2-pt shot from 15 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Bazemore
11:14.0,,,0-2,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
11:02.0,L. Williams makes 3-pt shot from 23 ft (assist by D. Jordan),3,3-2,,
10:43.0,,,3-2,,K. Bazemore misses 2-pt shot from 11 ft
10:40.0,Defensive rebound by B. Griffin,,3-2,,
10:32.0,B. Griffin misses 3-pt shot from 24 ft,,3-2,,
10:31.0,Offensive rebound by Team,,3-2,,
10:31.0,,,3-2,,Loose ball foul by J. Collins (drawn by D. Jordan)
10:28.0,Shooting foul by D. Dedmon (drawn by B. Griffin),,3-2,,
10:28.0,B. Griffin makes free throw 1 of 2,1,4-2,,
10:28.0,B. Griffin makes free throw 2 of 2,1,5-2,,
10:13.0,,,5-2,,T. Waller-Prince misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by D. Jordan,,5-2,,
9:46.0,A. Rivers makes 2-pt shot from 7 ft,2,7-2,,
9:32.0,,,7-4,2,D. Schroder makes 2-pt shot from 1 ft
9:23.0,Turnover by D. Jordan (lost ball; steal by T. Waller-Prince),,7-4,,
9:07.0,,,7-6,2,D. Dedmon makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
8:53.0,W. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,9-6,,
8:41.0,,,9-9,3,D. Dedmon makes 3-pt shot from 24 ft (assist by D. Schroder)
8:27.0,Turnover by B. Griffin (bad pass; steal by T. Waller-Prince),,9-9,,
8:19.0,,,9-9,,D. Dedmon misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by D. Jordan,,9-9,,
8:08.0,,,9-9,,Def 3 sec tech foul by T. Waller-Prince
8:08.0,L. Williams makes technical free throw,1,10-9,,
8:08.0,,,10-9,,E. Ilyasova enters the game for J. Collins
8:00.0,B. Griffin makes 2-pt shot from 2 ft,2,12-9,,
7:47.0,,,12-9,,E. Ilyasova misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by B. Griffin,,12-9,,
7:40.0,A. Rivers makes 3-pt shot from 24 ft (assist by L. Williams),3,15-9,,
7:38.0,,,15-9,,Atlanta full timeout
7:23.0,,,15-9,,Shooting foul by B. Griffin (drawn by D. Dedmon)
7:23.0,,,15-10,1,D. Dedmon makes free throw 1 of 2
7:23.0,,,15-11,1,D. Dedmon makes free throw 2 of 2
6:59.0,Turnover by Team (shot clock),,15-11,,
6:46.0,,,15-11,,D. Schroder misses 2-pt shot from 16 ft
6:42.0,Defensive rebound by B. Griffin,,15-11,,
6:39.0,,,15-11,,Personal foul by T. Waller-Prince (drawn by W. Johnson)
6:33.0,L. Williams misses 2-pt shot from 20 ft,,15-11,,
6:29.0,,,15-11,,Defensive rebound by E. Ilyasova
6:10.0,,,15-11,,T. Waller-Prince misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by B. Griffin,,15-11,,
6:00.0,W. Johnson makes 3-pt shot from 23 ft (assist by A. Rivers),3,18-11,,
5:47.0,Personal foul by A. Rivers (drawn by D. Schroder),,18-11,,
5:47.0,,,18-11,,M. Belinelli enters the game for K. Bazemore
5:42.0,,,18-13,2,D. Schroder makes 2-pt shot from 2 ft
5:31.0,J. Evans enters the game for L. Williams,,18-13,,
5:20.0,B. Griffin misses 2-pt shot from 18 ft,,18-13,,
5:16.0,,,18-13,,Defensive rebound by M. Belinelli
5:06.0,,,18-15,2,D. Schroder makes 2-pt shot from 1 ft
4:47.0,Shooting foul by M. Belinelli (drawn by W. Johnson),,18-15,,
4:47.0,W. Johnson makes free throw 1 of 2,1,19-15,,
4:47.0,,,19-15,,M. Delaney enters the game for T. Waller-Prince
4:47.0,W. Johnson makes free throw 2 of 2,1,20-15,,
4:29.0,,,20-15,,Turnover by D. Schroder (bad pass; steal by B. Griffin)
4:25.0,A. Rivers makes 2-pt shot at rim (assist by B. Griffin),2,22-15,,
4:08.0,,,22-17,2,M. Belinelli makes 2-pt shot from 16 ft (assist by M. Delaney)
3:58.0,,,22-17,,J. Magette enters the game for D. Dedmon
3:58.0,,,22-17,,J. Collins enters the game for D. Schroder
3:58.0,W. Reed enters the game for D. Jordan,,22-17,,
3:55.0,,,22-17,,Personal foul by E. Ilyasova (drawn by B. Griffin)
3:55.0,B. Griffin makes free throw 1 of 2,1,23-17,,
3:55.0,B. Griffin misses free throw 2 of 2,,23-17,,
3:53.0,,,23-17,,Defensive rebound by J. Collins
3:41.0,,,23-19,2,M. Belinelli makes 2-pt shot from 20 ft (assist by E. Ilyasova)
3:25.0,B. Griffin makes 2-pt shot from 12 ft (assist by A. Rivers),2,25-19,,
3:08.0,,,25-21,2,M. Belinelli makes 2-pt shot at rim (assist by J. Collins)
2:52.0,A. Rivers misses 2-pt shot from 1 ft,,25-21,,
2:48.0,,,25-21,,Defensive rebound by J. Magette
2:46.0,,,25-21,,Turnover by M. Delaney (step out of bounds)
2:46.0,LA Clippers full timeout,,25-21,,
2:46.0,,,25-21,,T. Cavanaugh enters the game for E. Ilyasova
2:46.0,L. Williams enters the game for A. Rivers,,25-21,,
2:46.0,S. Thornwell enters the game for W. Johnson,,25-21,,
2:33.0,W. Reed makes 2-pt shot at rim (assist by B. Griffin),2,27-21,,
2:15.0,,,27-23,2,M. Belinelli makes 2-pt shot from 22 ft (assist by J. Collins)
2:09.0,Turnover by L. Williams (bad pass; steal by J. Collins),,27-23,,
2:04.0,,,27-25,2,T. Cavanaugh makes 2-pt shot from 2 ft (assist by J. Magette)
1:51.0,Turnover by B. Griffin (bad pass; steal by J. Collins),,27-25,,
1:35.0,,,27-25,,J. Collins misses 2-pt shot from 10 ft
1:33.0,,,27-25,,Offensive rebound by Team
1:24.0,,,27-25,,Shooting foul by B. Griffin (drawn by M. Delaney)
1:24.0,,,27-26,1,M. Delaney makes free throw 1 of 2
1:24.0,S. Dekker enters the game for B. Griffin,,27-26,,
1:24.0,,,27-27,1,M. Delaney makes free throw 2 of 2
1:14.0,L. Williams misses 2-pt shot from 18 ft,,27-27,,
1:09.0,,,27-27,,Defensive rebound by J. Collins
1:00.0,,,27-30,3,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Magette)
0:42.0,J. Evans makes 2-pt shot from 10 ft,2,29-30,,
0:29.0,,,29-30,,J. Magette misses 3-pt shot from 28 ft
0:25.0,Defensive rebound by W. Reed,,29-30,,
0:04.0,S. Dekker misses 3-pt shot from 25 ft,,29-30,,
0:01.0,,,29-30,,Defensive rebound by M. Delaney
0:00.0,,,29-30,,M. Delaney misses 3-pt shot from 39 ft
0:00.0,,,29-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal block foul by W. Reed (drawn by M. Belinelli),,29-30,,
11:42.0,,,29-30,,Shooting foul by J. Evans (drawn by J. Magette)
11:42.0,,,29-31,1,J. Magette makes free throw 1 of 2
11:42.0,,,29-32,1,J. Magette makes free throw 2 of 2
11:28.0,L. Williams misses 2-pt shot from 2 ft (block by D. Bembry),,29-32,,
11:25.0,,,29-32,,Defensive rebound by M. Belinelli
11:22.0,Personal foul by S. Thornwell (drawn by M. Belinelli),,29-32,,
11:15.0,,,29-34,2,M. Belinelli makes 2-pt shot from 21 ft (assist by J. Magette)
10:51.0,S. Thornwell misses 3-pt shot from 25 ft,,29-34,,
10:49.0,Offensive rebound by L. Williams,,29-34,,
10:47.0,J. Evans makes 2-pt shot from 20 ft (assist by S. Dekker),2,31-34,,
10:31.0,,,31-34,,Turnover by D. Bembry (lost ball; steal by S. Dekker)
10:29.0,Turnover by L. Williams (bad pass),,31-34,,
10:29.0,D. Jordan enters the game for W. Reed,,31-34,,
10:26.0,,,31-34,,Turnover by M. Belinelli (bad pass; steal by S. Dekker)
10:11.0,S. Dekker makes 2-pt shot from 12 ft,2,33-34,,
9:58.0,,,33-34,,M. Belinelli misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by D. Jordan,,33-34,,
9:48.0,D. Jordan makes 2-pt shot from 3 ft (assist by L. Williams),2,35-34,,
9:48.0,,,35-34,,Atlanta full timeout
9:48.0,,,35-34,,K. Bazemore enters the game for J. Collins
9:48.0,,,35-34,,D. Dedmon enters the game for T. Cavanaugh
9:38.0,,,35-36,2,D. Dedmon makes 2-pt shot from 2 ft (assist by J. Magette)
9:25.0,S. Dekker makes 2-pt shot at rim (assist by J. Evans),2,37-36,,
