time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. James vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: L. James vs. J. Henson (G. Antetokounmpo gains possession)
11:46.0,G. Antetokounmpo makes 2-pt shot at rim,2,2-0,,
11:34.0,,,2-2,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
11:34.0,Violation by J. Henson (def goaltending),,2-2,,
11:21.0,Turnover by G. Antetokounmpo (lost ball; steal by L. James),,2-2,,
11:20.0,,,2-2,,Shooting foul by M. Brogdon (drawn by L. James)
11:20.0,,,2-3,1,L. James makes free throw 1 of 1
11:20.0,,,2-4,1,L. James makes free throw 2 of 2
11:13.0,Offensive foul by J. Henson (drawn by K. Love),,2-4,,
11:13.0,Turnover by J. Henson (offensive foul),,2-4,,
11:08.0,Personal foul by G. Antetokounmpo (drawn by L. James),,2-4,,
11:08.0,Turnover by G. Antetokounmpo (turnover),,2-4,,
11:02.0,,,2-6,2,J. Smith makes 2-pt shot from 18 ft
10:49.0,Turnover by J. Henson (traveling),,2-6,,
10:39.0,,,2-9,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Crowder)
10:21.0,K. Middleton misses 3-pt shot from 24 ft,,2-9,,
10:20.0,Offensive rebound by J. Henson,,2-9,,
10:19.0,J. Henson misses 2-pt shot at rim,,2-9,,
10:19.0,,,2-9,,Defensive rebound by D. Rose
9:55.0,,,2-9,,J. Crowder misses 2-pt shot from 4 ft (block by G. Antetokounmpo)
9:51.0,Defensive rebound by K. Middleton,,2-9,,
9:48.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,4-9,,
9:32.0,Personal foul by T. Snell (drawn by K. Love),,4-9,,
9:27.0,,,4-9,,Shooting foul by J. Henson (drawn by K. Love)
9:27.0,,,4-10,1,K. Love makes free throw 1 of 2
9:27.0,T. Maker enters the game for J. Henson,,4-10,,
9:27.0,,,4-11,1,K. Love makes free throw 2 of 2
9:14.0,M. Brogdon makes 3-pt shot from 23 ft,3,7-11,,
8:56.0,,,7-11,,J. Crowder misses 2-pt shot from 20 ft
8:53.0,Defensive rebound by K. Middleton,,7-11,,
8:42.0,M. Brogdon makes 3-pt shot from 25 ft,3,10-11,,
8:30.0,,,10-13,2,D. Rose makes 2-pt shot from 1 ft
8:18.0,T. Maker misses 3-pt shot from 25 ft,,10-13,,
8:15.0,,,10-13,,Defensive rebound by K. Love
8:06.0,,,10-13,,Turnover by D. Rose (bad pass)
7:54.0,T. Maker makes 2-pt shot from 1 ft (assist by K. Middleton),2,12-13,,
7:38.0,Personal foul by K. Middleton (drawn by J. Crowder),,12-13,,
7:38.0,,,12-14,1,J. Crowder makes free throw 1 of 2
7:38.0,,,12-15,1,J. Crowder makes free throw 2 of 2
7:20.0,M. Brogdon misses 2-pt shot from 3 ft,,12-15,,
7:20.0,Offensive rebound by Team,,12-15,,
7:15.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,12-15,,
7:12.0,,,12-15,,Defensive rebound by K. Love
6:58.0,,,12-15,,Cleveland full timeout
6:58.0,J. Terry enters the game for K. Middleton,,12-15,,
6:48.0,,,12-18,3,J. Smith makes 3-pt shot from 27 ft
6:29.0,Turnover by M. Brogdon (bad pass),,12-18,,
6:12.0,,,12-18,,D. Rose misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by G. Antetokounmpo,,12-18,,
6:03.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,15-18,,
5:43.0,,,15-20,2,L. James makes 2-pt shot from 21 ft
5:29.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Love),,15-20,,
5:28.0,,,15-22,2,K. Love makes 2-pt shot at rim
5:28.0,,,15-22,,Shooting foul by T. Maker (drawn by K. Love)
5:28.0,M. Dellavedova enters the game for M. Brogdon,,15-22,,
5:28.0,,,15-23,1,K. Love makes free throw 1 of 1
5:22.0,,,15-23,,Personal foul by J. Crowder (drawn by G. Antetokounmpo)
5:14.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,15-23,,
5:10.0,,,15-23,,Defensive rebound by K. Love
4:55.0,,,15-25,2,L. James makes 2-pt shot from 12 ft
4:41.0,T. Maker makes 3-pt shot from 23 ft (assist by T. Snell),3,18-25,,
4:29.0,,,18-25,,Turnover by L. James (bad pass)
4:22.0,,,18-25,,Personal foul by K. Love (drawn by T. Maker)
4:11.0,M. Dellavedova misses 3-pt shot from 25 ft,,18-25,,
4:08.0,,,18-25,,Defensive rebound by K. Love
4:04.0,,,18-25,,Turnover by D. Rose (lost ball; steal by T. Snell)
3:59.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,20-25,,
3:59.0,,,20-25,,Cleveland full timeout
3:53.0,,,20-25,,L. James misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
3:50.0,Defensive rebound by J. Terry,,20-25,,
3:30.0,J. Terry misses 3-pt shot from 27 ft,,20-25,,
3:29.0,,,20-25,,Defensive rebound by K. Love
3:29.0,Personal foul by T. Maker (drawn by K. Love),,20-25,,
3:29.0,,,20-26,1,K. Love makes free throw 1 of 2
3:29.0,,,20-26,,D. Wade enters the game for D. Rose
3:29.0,,,20-27,1,K. Love makes free throw 2 of 2
3:17.0,,,20-27,,Def 3 sec tech foul by J. Smith
3:17.0,M. Dellavedova makes technical free throw,1,21-27,,
3:17.0,,,21-27,,K. Korver enters the game for J. Smith
3:12.0,T. Maker misses 3-pt shot from 25 ft,,21-27,,
3:07.0,Offensive rebound by G. Antetokounmpo,,21-27,,
3:04.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,21-27,,
3:01.0,,,21-27,,Defensive rebound by D. Wade
2:59.0,Personal foul by T. Maker (drawn by L. James),,21-27,,
2:59.0,M. Teletovic enters the game for T. Maker,,21-27,,
2:59.0,,,21-28,1,L. James makes free throw 1 of 2
2:59.0,,,21-29,1,L. James makes free throw 2 of 2
2:48.0,,,21-29,,Personal foul by J. Crowder (drawn by G. Antetokounmpo)
2:48.0,,,21-29,,J. Green enters the game for J. Crowder
2:39.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,24-29,,
2:12.0,,,24-31,2,K. Love makes 2-pt shot from 14 ft (assist by L. James)
1:55.0,M. Teletovic misses 3-pt shot from 25 ft,,24-31,,
1:55.0,,,24-31,,Defensive rebound by Team
1:47.0,Personal foul by M. Teletovic (drawn by K. Love),,24-31,,
1:47.0,K. Middleton enters the game for T. Snell,,24-31,,
1:47.0,,,24-31,,K. Love misses free throw 1 of 2
1:47.0,,,24-31,,Offensive rebound by Team
1:47.0,,,24-32,1,K. Love makes free throw 2 of 2
1:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,26-32,,
1:26.0,,,26-32,,Turnover by D. Wade (turnover)
1:26.0,,,26-32,,I. Shumpert enters the game for K. Love
1:10.0,Turnover by K. Middleton (lost ball; steal by D. Wade),,26-32,,
1:10.0,Personal foul by K. Middleton (drawn by D. Wade),,26-32,,
1:10.0,,,26-33,1,D. Wade makes free throw 1 of 2
1:10.0,,,26-34,1,D. Wade makes free throw 2 of 2
0:54.0,M. Teletovic misses 3-pt shot from 25 ft,,26-34,,
0:50.0,,,26-34,,Defensive rebound by K. Korver
0:43.0,,,26-34,,J. Green misses 2-pt shot from 12 ft
0:43.0,Defensive rebound by K. Middleton,,26-34,,
0:39.0,Shooting foul by D. Wade (drawn by G. Antetokounmpo),,26-34,,
0:39.0,G. Antetokounmpo makes free throw 1 of 2,1,27-34,,
0:39.0,G. Antetokounmpo makes free throw 2 of 2,1,28-34,,
0:34.0,,,28-36,2,L. James makes 2-pt shot from 1 ft
0:24.0,K. Middleton misses 2-pt shot from 14 ft,,28-36,,
0:22.0,,,28-36,,Defensive rebound by L. James
0:01.0,,,28-39,3,K. Korver makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-41,2,D. Wade makes 2-pt shot from 18 ft (assist by D. Rose)
11:31.0,Shooting foul by J. Green (drawn by K. Middleton),,28-41,,
11:31.0,K. Middleton makes free throw 1 of 2,1,29-41,,
11:31.0,K. Middleton makes free throw 2 of 2,1,30-41,,
11:18.0,,,30-43,2,D. Wade makes 2-pt shot from 15 ft (assist by D. Rose)
