time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: N. Jokic vs. P. Gasol (L. Aldridge gains possession)
11:39.0,L. Aldridge makes 2-pt shot from 14 ft (assist by P. Mills),2,2-0,,
11:22.0,,,2-2,2,N. Jokic makes 2-pt shot from 4 ft (assist by J. Murray)
11:01.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Anderson),3,5-2,,
10:44.0,,,5-2,,Turnover by N. Jokic (traveling)
10:23.0,Turnover by P. Gasol (bad pass; steal by G. Harris),,5-2,,
10:19.0,,,5-2,,Turnover by G. Harris (lost ball; steal by P. Mills)
10:16.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Murray),3,8-2,,
9:59.0,,,8-5,3,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris)
9:36.0,D. Murray misses 2-pt shot from 10 ft,,8-5,,
9:34.0,,,8-5,,Defensive rebound by J. Murray
9:31.0,,,8-5,,J. Murray misses 2-pt shot from 8 ft
9:28.0,,,8-5,,Offensive rebound by J. Murray
9:19.0,,,8-5,,J. Murray misses 3-pt shot from 27 ft
9:17.0,Defensive rebound by Team,,8-5,,
9:08.0,P. Gasol misses 2-pt shot from 18 ft,,8-5,,
9:06.0,,,8-5,,Defensive rebound by W. Chandler
8:59.0,,,8-8,3,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic)
8:33.0,K. Anderson makes 2-pt shot from 2 ft (assist by P. Gasol),2,10-8,,
8:24.0,,,10-11,3,N. Jokic makes 3-pt shot from 24 ft (assist by W. Barton)
8:11.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,12-11,,
7:58.0,,,12-11,,W. Barton misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by P. Gasol,,12-11,,
7:45.0,L. Aldridge misses 2-pt shot from 10 ft,,12-11,,
7:42.0,,,12-11,,Defensive rebound by G. Harris
7:38.0,,,12-11,,W. Chandler misses 2-pt shot from 3 ft
7:37.0,,,12-11,,Offensive rebound by Team
7:37.0,Loose ball foul by K. Anderson (drawn by W. Chandler),,12-11,,
7:27.0,,,12-13,2,G. Harris makes 2-pt shot from 7 ft (assist by N. Jokic)
7:10.0,P. Gasol makes 3-pt shot from 25 ft (assist by D. Murray),3,15-13,,
6:47.0,,,15-15,2,N. Jokic makes 2-pt shot from 1 ft
6:35.0,D. Murray misses 2-pt shot from 20 ft,,15-15,,
6:30.0,Offensive rebound by K. Anderson,,15-15,,
6:30.0,K. Anderson makes 2-pt shot at rim,2,17-15,,
6:25.0,,,17-17,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
6:15.0,P. Mills misses 3-pt shot from 25 ft,,17-17,,
6:11.0,Offensive rebound by P. Mills,,17-17,,
5:55.0,,,17-17,,Denver full timeout
5:55.0,D. Bertans enters the game for K. Anderson,,17-17,,
5:55.0,T. Parker enters the game for P. Gasol,,17-17,,
5:55.0,M. Ginobili enters the game for D. Murray,,17-17,,
5:49.0,T. Parker makes 2-pt shot from 2 ft,2,19-17,,
5:22.0,,,19-20,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray)
5:04.0,D. Bertans misses 2-pt shot from 3 ft,,19-20,,
5:02.0,,,19-20,,Defensive rebound by N. Jokic
4:52.0,Personal foul by L. Aldridge (drawn by N. Jokic),,19-20,,
4:45.0,,,19-20,,Turnover by G. Harris (bad pass; steal by T. Parker)
4:39.0,T. Parker misses 2-pt shot from 1 ft (block by W. Barton),,19-20,,
4:39.0,Offensive rebound by Team,,19-20,,
