time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Kleber (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. M. Kleber (A. Aminu gains possession)
11:41.0,,,0-2,2,E. Turner makes 2-pt shot from 12 ft
11:22.0,Shooting foul by C. McCollum (drawn by W. Matthews),,0-2,,
11:22.0,W. Matthews makes free throw 1 of 2,1,1-2,,
11:22.0,W. Matthews makes free throw 2 of 2,1,2-2,,
11:07.0,,,2-2,,C. McCollum misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by H. Barnes,,2-2,,
10:52.0,H. Barnes misses 2-pt shot from 1 ft,,2-2,,
10:48.0,Offensive rebound by M. Kleber,,2-2,,
10:48.0,M. Kleber makes 2-pt shot at rim,2,4-2,,
10:37.0,,,4-4,2,J. Nurkic makes 2-pt shot from 6 ft
10:17.0,W. Matthews misses 3-pt shot from 26 ft,,4-4,,
10:15.0,,,4-4,,Defensive rebound by D. Lillard
10:07.0,,,4-7,3,D. Lillard makes 3-pt shot from 26 ft
9:47.0,H. Barnes misses 3-pt shot from 25 ft,,4-7,,
9:45.0,,,4-7,,Defensive rebound by C. McCollum
9:37.0,,,4-10,3,E. Turner makes 3-pt shot from 22 ft (assist by D. Lillard)
9:36.0,Dallas full timeout,,4-10,,
9:25.0,Turnover by D. Smith (bad pass),,4-10,,
9:14.0,,,4-10,,J. Nurkic misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by D. Nowitzki,,4-10,,
9:04.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,6-10,,
8:40.0,,,6-10,,C. McCollum misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by H. Barnes,,6-10,,
8:26.0,M. Kleber makes 3-pt shot from 24 ft (assist by D. Smith),3,9-10,,
8:08.0,,,9-13,3,D. Lillard makes 3-pt shot from 25 ft
7:44.0,D. Nowitzki misses 2-pt shot from 13 ft,,9-13,,
7:42.0,,,9-13,,Defensive rebound by J. Nurkic
7:35.0,,,9-16,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
7:13.0,,,9-16,,Personal foul by D. Lillard (drawn by H. Barnes)
7:07.0,D. Smith misses 2-pt shot from 16 ft,,9-16,,
7:03.0,Offensive rebound by W. Matthews,,9-16,,
6:59.0,,,9-16,,Personal foul by E. Turner (drawn by W. Matthews)
6:50.0,M. Kleber misses 2-pt shot from 18 ft,,9-16,,
