time,Utah,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. R. Gobert (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. R. Gobert (S. Ibaka gains possession)
11:41.0,,,0-0,,Turnover by K. Lowry (lost ball; steal by D. Favors)
11:37.0,Shooting foul by S. Ibaka (drawn by D. Favors),,0-0,,
11:37.0,D. Favors misses free throw 1 of 2,,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:37.0,D. Favors misses free throw 2 of 2,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Valanciunas
11:15.0,,,0-0,,S. Ibaka misses 2-pt shot from 13 ft
11:12.0,Defensive rebound by R. Gobert,,0-0,,
11:04.0,D. Mitchell makes 2-pt shot from 13 ft,2,2-0,,
10:48.0,,,2-2,2,K. Lowry makes 2-pt shot from 2 ft (assist by D. DeRozan)
10:27.0,D. Mitchell makes 2-pt shot from 8 ft,2,4-2,,
10:12.0,,,4-2,,D. DeRozan misses 2-pt shot from 13 ft
10:09.0,Defensive rebound by D. Favors,,4-2,,
10:05.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,6-2,,
9:51.0,,,6-4,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan)
9:36.0,R. Gobert misses 2-pt shot from 3 ft (block by J. Valanciunas),,6-4,,
9:36.0,Offensive rebound by Team,,6-4,,
9:30.0,D. Mitchell misses 2-pt shot from 18 ft,,6-4,,
9:27.0,,,6-4,,Defensive rebound by J. Valanciunas
9:18.0,,,6-7,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan)
9:05.0,R. Rubio makes 2-pt shot from 10 ft,2,8-7,,
8:51.0,,,8-7,,J. Valanciunas misses 2-pt shot from 12 ft
8:48.0,Defensive rebound by D. Favors,,8-7,,
8:36.0,D. Mitchell misses 3-pt shot from 28 ft,,8-7,,
8:33.0,,,8-7,,Defensive rebound by S. Ibaka
8:26.0,,,8-7,,Turnover by D. DeRozan (bad pass; steal by J. Ingles)
8:21.0,R. Rubio makes 2-pt shot from 1 ft,2,10-7,,
7:59.0,,,10-7,,S. Ibaka misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by R. Gobert,,10-7,,
7:46.0,R. Gobert misses 2-pt shot from 1 ft (block by J. Valanciunas),,10-7,,
7:43.0,,,10-7,,Defensive rebound by J. Valanciunas
7:40.0,,,10-10,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
7:18.0,Turnover by R. Rubio (bad pass; steal by O. Anunoby),,10-10,,
7:12.0,,,10-12,2,D. DeRozan makes 2-pt shot at rim
7:12.0,Utah full timeout,,10-12,,
7:12.0,J. Jerebko enters the game for R. Gobert,,10-12,,
7:00.0,R. Rubio makes 3-pt shot from 26 ft (assist by D. Mitchell),3,13-12,,
6:43.0,,,13-12,,J. Valanciunas misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by J. Ingles,,13-12,,
6:34.0,D. Favors makes 2-pt shot from 11 ft (assist by J. Ingles),2,15-12,,
6:19.0,,,15-12,,K. Lowry misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by D. Favors,,15-12,,
5:55.0,Turnover by D. Mitchell (lost ball; steal by O. Anunoby),,15-12,,
5:49.0,,,15-12,,Turnover by O. Anunoby (bad pass; steal by R. Rubio)
5:48.0,,,15-12,,Personal foul by D. DeRozan (drawn by R. Rubio)
5:29.0,J. Ingles makes 3-pt shot from 26 ft,3,18-12,,
5:06.0,,,18-14,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
4:46.0,D. Favors makes 2-pt shot at rim (assist by J. Jerebko),2,20-14,,
4:37.0,,,20-14,,Turnover by K. Lowry (bad pass; steal by D. Favors)
4:33.0,J. Ingles makes 2-pt shot from 1 ft,2,22-14,,
4:27.0,,,22-14,,Toronto full timeout
4:27.0,,,22-14,,C. Miles enters the game for O. Anunoby
4:27.0,,,22-14,,J. Poeltl enters the game for J. Valanciunas
4:27.0,A. Burks enters the game for R. Rubio,,22-14,,
4:15.0,,,22-14,,J. Poeltl misses 2-pt shot from 1 ft (block by J. Jerebko)
4:15.0,Defensive rebound by Team,,22-14,,
4:00.0,D. Favors misses 2-pt shot from 5 ft,,22-14,,
3:57.0,,,22-14,,Defensive rebound by S. Ibaka
3:40.0,,,22-14,,S. Ibaka misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by D. Favors,,22-14,,
3:26.0,D. Favors misses 2-pt shot from 2 ft (block by J. Poeltl),,22-14,,
3:26.0,Offensive rebound by Team,,22-14,,
3:26.0,R. Gobert enters the game for D. Favors,,22-14,,
3:20.0,J. Ingles misses 3-pt shot from 26 ft,,22-14,,
3:17.0,,,22-14,,Defensive rebound by S. Ibaka
3:07.0,,,22-14,,K. Lowry misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by J. Ingles,,22-14,,
2:55.0,J. Jerebko makes 2-pt shot from 2 ft (assist by R. Gobert),2,24-14,,
2:39.0,,,24-16,2,S. Ibaka makes 2-pt shot from 8 ft (assist by D. DeRozan)
2:19.0,J. Ingles misses 2-pt shot from 2 ft,,24-16,,
2:17.0,,,24-16,,Defensive rebound by C. Miles
2:16.0,Personal foul by J. Jerebko (drawn by C. Miles),,24-16,,
2:16.0,,,24-16,,D. Wright enters the game for K. Lowry
2:16.0,,,24-16,,P. Siakam enters the game for S. Ibaka
2:16.0,R. O'Neale enters the game for J. Ingles,,24-16,,
2:16.0,R. Neto enters the game for D. Mitchell,,24-16,,
2:04.0,,,24-16,,J. Poeltl misses 2-pt shot from 9 ft
2:00.0,Defensive rebound by R. Gobert,,24-16,,
1:48.0,,,24-16,,Personal foul by C. Miles (drawn by R. Gobert)
1:37.0,R. Neto misses 2-pt shot from 1 ft,,24-16,,
1:32.0,Offensive rebound by R. Gobert,,24-16,,
1:32.0,R. Gobert misses 2-pt shot at rim,,24-16,,
1:29.0,Offensive rebound by R. Gobert,,24-16,,
1:29.0,R. Gobert makes 2-pt shot at rim,2,26-16,,
1:12.0,,,26-19,3,C. Miles makes 3-pt shot from 26 ft (assist by P. Siakam)
0:53.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Jerebko),2,28-19,,
0:35.0,,,28-21,2,D. DeRozan makes 2-pt shot from 10 ft
0:35.0,,,28-21,,Shooting foul by R. Neto (drawn by D. DeRozan)
0:35.0,,,28-22,1,D. DeRozan makes free throw 1 of 1
0:18.0,R. O'Neale misses 2-pt shot from 8 ft (block by C. Miles),,28-22,,
0:17.0,Offensive rebound by J. Jerebko,,28-22,,
0:17.0,J. Jerebko makes 2-pt shot from 9 ft,2,30-22,,
0:04.0,Personal foul by R. O'Neale (drawn by D. DeRozan),,30-22,,
0:04.0,,,30-23,1,D. DeRozan makes free throw 1 of 2
0:04.0,,,30-24,1,D. DeRozan makes free throw 2 of 2
0:00.0,A. Burks misses 3-pt shot from 30 ft,,30-24,,
0:00.0,Offensive rebound by Team,,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. O'Neale misses 3-pt shot from 24 ft,,30-24,,
11:39.0,,,30-24,,Defensive rebound by D. Wright
11:30.0,,,30-24,,F. VanVleet misses 3-pt shot from 23 ft
11:27.0,Defensive rebound by R. Gobert,,30-24,,
11:09.0,A. Burks misses 2-pt shot from 4 ft (block by J. Poeltl),,30-24,,
11:05.0,Offensive rebound by R. Gobert,,30-24,,
11:05.0,R. Gobert makes 2-pt shot at rim,2,32-24,,
10:48.0,,,32-24,,D. Wright misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by R. Gobert,,32-24,,
10:28.0,Turnover by R. Gobert (lost ball; steal by P. Siakam),,32-24,,
10:27.0,Personal foul by J. Johnson (drawn by P. Siakam),,32-24,,
10:14.0,,,32-24,,C. Miles misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by J. Johnson,,32-24,,
10:04.0,Shooting foul by D. Wright (drawn by A. Burks),,32-24,,
10:04.0,A. Burks makes free throw 1 of 2,1,33-24,,
10:04.0,A. Burks makes free throw 2 of 2,1,34-24,,
9:46.0,,,34-26,2,P. Siakam makes 2-pt shot from 6 ft
9:24.0,R. Neto misses 2-pt shot from 3 ft,,34-26,,
9:22.0,,,34-26,,Defensive rebound by J. Poeltl
9:16.0,,,34-28,2,C. Miles makes 2-pt shot from 18 ft (assist by D. Wright)
8:56.0,J. Johnson makes 2-pt shot from 20 ft (assist by R. Neto),2,36-28,,
8:39.0,,,36-28,,C. Miles misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by A. Burks,,36-28,,
8:32.0,A. Burks misses 2-pt shot from 2 ft (block by J. Poeltl),,36-28,,
8:32.0,Offensive rebound by Team,,36-28,,
8:32.0,R. Rubio enters the game for R. Neto,,36-28,,
8:20.0,Turnover by A. Burks (bad pass; steal by D. Wright),,36-28,,
8:16.0,,,36-30,2,C. Miles makes 2-pt shot from 1 ft (assist by D. Wright)
7:54.0,Shooting foul by P. Siakam (drawn by R. Rubio),,36-30,,
7:54.0,R. Rubio makes free throw 1 of 2,1,37-30,,
7:54.0,,,37-30,,K. Lowry enters the game for C. Miles
7:54.0,D. Favors enters the game for A. Burks,,37-30,,
7:54.0,D. Mitchell enters the game for R. Gobert,,37-30,,
7:54.0,R. Rubio makes free throw 2 of 2,1,38-30,,
7:41.0,,,38-30,,D. Wright misses 2-pt shot from 3 ft
7:40.0,,,38-30,,Offensive rebound by J. Poeltl
7:40.0,,,38-30,,J. Poeltl misses 2-pt shot at rim
7:40.0,Defensive rebound by Team,,38-30,,
7:18.0,Turnover by R. Rubio (traveling),,38-30,,
7:09.0,,,38-30,,K. Lowry misses 2-pt shot from 2 ft (block by D. Favors)
7:06.0,Defensive rebound by R. Rubio,,38-30,,
7:04.0,R. O'Neale makes 2-pt shot at rim (assist by R. Rubio),2,40-30,,
7:03.0,,,40-30,,Toronto full timeout
7:03.0,,,40-30,,J. Valanciunas enters the game for J. Poeltl
7:03.0,,,40-30,,D. DeRozan enters the game for D. Wright
6:49.0,,,40-32,2,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas)
6:27.0,J. Johnson misses 2-pt shot from 13 ft,,40-32,,
6:24.0,,,40-32,,Defensive rebound by J. Valanciunas
6:14.0,,,40-34,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by F. VanVleet)
6:01.0,R. Rubio misses 2-pt shot from 2 ft (block by J. Valanciunas),,40-34,,
6:01.0,Offensive rebound by Team,,40-34,,
6:01.0,,,40-34,,S. Ibaka enters the game for P. Siakam
6:01.0,J. Ingles enters the game for R. O'Neale,,40-34,,
5:53.0,D. Mitchell makes 2-pt shot from 3 ft (assist by D. Favors),2,42-34,,
5:39.0,,,42-34,,F. VanVleet misses 2-pt shot from 2 ft
5:39.0,,,42-34,,Offensive rebound by Team
5:35.0,,,42-34,,D. DeRozan misses 2-pt shot from 10 ft
5:31.0,,,42-34,,Offensive rebound by J. Valanciunas
5:31.0,,,42-36,2,J. Valanciunas makes 2-pt shot at rim
5:15.0,Turnover by J. Ingles (bad pass; steal by D. DeRozan),,42-36,,
5:11.0,,,42-36,,Turnover by K. Lowry (out of bounds lost ball)
4:57.0,D. Mitchell misses 2-pt shot from 18 ft,,42-36,,
4:53.0,,,42-36,,Defensive rebound by J. Valanciunas
4:38.0,,,42-38,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan)
4:12.0,Turnover by J. Ingles (traveling),,42-38,,
4:12.0,,,42-38,,O. Anunoby enters the game for F. VanVleet
4:12.0,R. Gobert enters the game for D. Favors,,42-38,,
4:03.0,,,42-38,,Shooting foul by J. Ingles (drawn by D. DeRozan)
4:03.0,Technical foul by J. Ingles,,42-38,,
4:03.0,,,42-38,,D. DeRozan misses technical free throw
4:03.0,,,42-38,,Offensive rebound by Team
4:03.0,,,42-39,1,D. DeRozan makes free throw 1 of 2
4:03.0,,,42-39,,D. DeRozan misses free throw 2 of 2
4:02.0,,,42-39,,Offensive rebound by J. Valanciunas
4:02.0,,,42-41,2,J. Valanciunas makes 2-pt shot from 2 ft
4:02.0,Violation by R. Gobert (def goaltending),,42-41,,
3:48.0,R. Rubio makes 2-pt shot from 18 ft (assist by R. Gobert),2,44-41,,
3:33.0,,,44-41,,Turnover by D. DeRozan (bad pass; steal by R. Rubio)
3:28.0,J. Johnson misses 3-pt shot from 28 ft,,44-41,,
3:24.0,,,44-41,,Defensive rebound by S. Ibaka
3:18.0,,,44-41,,S. Ibaka misses 3-pt shot from 26 ft
3:15.0,Defensive rebound by R. Gobert,,44-41,,
3:10.0,R. Rubio misses 2-pt shot from 19 ft,,44-41,,
3:07.0,,,44-41,,Defensive rebound by J. Valanciunas
2:59.0,,,44-41,,K. Lowry misses 2-pt shot from 15 ft
2:56.0,Defensive rebound by J. Ingles,,44-41,,
2:43.0,D. Mitchell misses 2-pt shot from 11 ft,,44-41,,
2:39.0,Offensive rebound by R. Gobert,,44-41,,
2:39.0,R. Gobert misses 2-pt shot at rim,,44-41,,
2:38.0,,,44-41,,Defensive rebound by S. Ibaka
2:31.0,,,44-41,,D. DeRozan misses 2-pt shot from 16 ft
2:28.0,Defensive rebound by R. Rubio,,44-41,,
2:23.0,Utah full timeout,,44-41,,
2:23.0,J. Jerebko enters the game for J. Johnson,,44-41,,
