time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (P. George gains possession),,,,Jump ball: S. Adams vs. D. Jordan (P. George gains possession)
11:39.0,,,0-0,,C. Anthony misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by D. Jordan,,0-0,,
11:18.0,A. Rivers misses 2-pt shot from 3 ft (block by C. Brewer),,0-0,,
11:13.0,Offensive rebound by A. Rivers,,0-0,,
11:13.0,A. Rivers makes 2-pt shot from 3 ft,2,2-0,,
11:08.0,,,2-0,,Turnover by R. Westbrook (bad pass)
10:51.0,A. Rivers makes 2-pt shot at rim (assist by D. Jordan),2,4-0,,
10:40.0,,,4-0,,S. Adams misses 2-pt shot from 6 ft
10:37.0,Defensive rebound by D. Jordan,,4-0,,
10:21.0,T. Harris misses 2-pt shot from 2 ft,,4-0,,
10:18.0,Offensive rebound by T. Harris,,4-0,,
10:18.0,T. Harris makes 2-pt shot at rim,2,6-0,,
9:59.0,,,6-0,,Turnover by P. George (bad pass)
9:45.0,D. Jordan makes 2-pt shot from 1 ft (assist by T. Harris),2,8-0,,
9:44.0,,,8-0,,Oklahoma City full timeout
9:32.0,,,8-0,,R. Westbrook misses 2-pt shot at rim
9:30.0,Defensive rebound by A. Rivers,,8-0,,
9:19.0,Turnover by L. Williams (bad pass; steal by S. Adams),,8-0,,
9:15.0,,,8-2,2,C. Brewer makes 2-pt shot at rim (assist by C. Anthony)
8:55.0,Shooting foul by P. George (drawn by L. Williams),,8-2,,
8:55.0,L. Williams makes free throw 1 of 2,1,9-2,,
8:55.0,L. Williams makes free throw 2 of 2,1,10-2,,
8:39.0,,,10-4,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
8:19.0,,,10-4,,Personal foul by R. Westbrook (drawn by A. Rivers)
8:09.0,A. Rivers makes 3-pt shot from 24 ft (assist by T. Harris),3,13-4,,
7:55.0,,,13-4,,C. Anthony misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by D. Jordan,,13-4,,
7:42.0,A. Rivers misses 3-pt shot from 23 ft,,13-4,,
7:39.0,,,13-4,,Defensive rebound by C. Anthony
7:35.0,,,13-6,2,C. Brewer makes 2-pt shot from 1 ft
7:35.0,,,13-6,,Shooting foul by D. Jordan (drawn by C. Brewer)
7:35.0,,,13-7,1,C. Brewer makes free throw 1 of 1
7:22.0,Turnover by D. Jordan (bad pass; steal by C. Brewer),,13-7,,
7:19.0,,,13-7,,C. Brewer misses 2-pt shot from 1 ft
7:18.0,,,13-7,,Offensive rebound by S. Adams
