time,Boston,pts.away,score,pts.home,Houston
3:22.0,Shooting foul by J. Harden (drawn by A. Horford),,16-21,,
3:22.0,A. Horford makes free throw 1 of 2,1,17-21,,
3:22.0,A. Horford makes free throw 2 of 2,1,18-21,,
3:08.0,,,18-23,2,E. Gordon makes 2-pt shot from 6 ft
2:56.0,A. Horford makes 2-pt shot at rim (assist by K. Irving),2,20-23,,
2:36.0,,,20-26,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Harden)
2:15.0,M. Morris misses 3-pt shot from 22 ft,,20-26,,
2:12.0,,,20-26,,Defensive rebound by E. Gordon
2:09.0,,,20-26,,Shooting foul by M. Morris (drawn by E. Gordon)
2:09.0,,,20-27,1,E. Gordon makes free throw 1 of 2
2:09.0,,,20-27,,C. Paul enters the game for J. Harden
2:09.0,G. Monroe enters the game for K. Irving,,20-27,,
2:09.0,J. Tatum enters the game for A. Horford,,20-27,,
2:09.0,,,20-28,1,E. Gordon makes free throw 2 of 2
2:03.0,,,20-28,,Personal foul by N. Hilario (drawn by G. Monroe)
2:03.0,G. Monroe makes free throw 1 of 2,1,21-28,,
2:03.0,G. Monroe makes free throw 2 of 2,1,22-28,,
1:50.0,,,22-30,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
1:37.0,J. Tatum makes 3-pt shot from 22 ft (assist by M. Smart),3,25-30,,
1:25.0,,,25-30,,E. Gordon misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by G. Monroe,,25-30,,
1:14.0,T. Rozier makes 2-pt shot from 11 ft,2,27-30,,
0:53.0,,,27-30,,J. Johnson misses 2-pt shot from 6 ft
0:52.0,Defensive rebound by G. Monroe,,27-30,,
0:45.0,Shooting foul by N. Hilario (drawn by G. Monroe),,27-30,,
0:45.0,G. Monroe makes free throw 1 of 2,1,28-30,,
0:45.0,G. Monroe makes free throw 2 of 2,1,29-30,,
0:36.0,,,29-30,,C. Paul misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by M. Morris,,29-30,,
0:24.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart),3,32-30,,
0:07.0,Personal foul by T. Rozier (drawn by C. Paul),,32-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Tatum misses 2-pt shot from 1 ft (block by L. Mbah a Moute),,32-30,,
11:39.0,Offensive rebound by G. Monroe,,32-30,,
11:34.0,G. Monroe makes 2-pt shot from 5 ft,2,34-30,,
