time,Boston,pts.away,score,pts.home,Houston
3:04.0,K. Irving misses 2-pt shot at rim,,113-107,,
3:03.0,,,113-107,,Defensive rebound by C. Capela
2:58.0,,,113-110,3,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden)
2:36.0,M. Smart misses 2-pt shot from 12 ft,,113-110,,
2:34.0,,,113-110,,Defensive rebound by J. Harden
2:28.0,,,113-112,2,J. Harden makes 2-pt shot at rim
2:05.0,A. Horford makes 2-pt shot from 9 ft,2,115-112,,
1:40.0,,,115-112,,J. Harden misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by T. Rozier,,115-112,,
1:36.0,Turnover by T. Rozier (lost ball; steal by P. Tucker),,115-112,,
1:33.0,,,115-115,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul)
1:19.0,Turnover by K. Irving (bad pass; steal by T. Ariza),,115-115,,
1:16.0,,,115-117,2,T. Ariza makes 2-pt shot at rim
1:16.0,Boston full timeout,,115-117,,
1:11.0,A. Horford misses 3-pt shot from 26 ft,,115-117,,
1:08.0,,,115-117,,Defensive rebound by C. Capela
0:48.0,,,115-117,,J. Harden misses 3-pt shot from 24 ft
0:44.0,,,115-117,,Offensive rebound by J. Harden
0:41.0,,,115-117,,T. Ariza misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by M. Smart,,115-117,,
0:29.0,A. Horford misses 2-pt shot from 7 ft,,115-117,,
0:23.0,Offensive rebound by A. Horford,,115-117,,
0:23.0,Turnover by A. Horford (bad pass; steal by T. Ariza),,115-117,,
0:15.0,Personal take foul by K. Irving (drawn by C. Paul),,115-117,,
0:15.0,,,115-117,,E. Gordon enters the game for C. Capela
0:15.0,J. Tatum enters the game for M. Morris,,115-117,,
0:15.0,Personal take foul by A. Horford (drawn by C. Paul),,115-117,,
0:15.0,,,115-118,1,C. Paul makes free throw 1 of 2
0:15.0,,,115-118,,C. Capela enters the game for E. Gordon
0:15.0,M. Morris enters the game for M. Smart,,115-118,,
0:15.0,,,115-119,1,C. Paul makes free throw 2 of 2
0:07.0,K. Irving makes 2-pt shot at rim,2,117-119,,
0:07.0,Personal take foul by K. Irving (drawn by J. Harden),,117-119,,
0:07.0,,,117-120,1,J. Harden makes free throw 1 of 2
0:07.0,,,117-120,,J. Harden misses free throw 2 of 2
0:06.0,Defensive rebound by Team,,117-120,,
0:06.0,Boston full timeout,,117-120,,
0:06.0,,,117-120,,E. Gordon enters the game for C. Capela
0:05.0,,,117-120,,Personal foul by P. Tucker (drawn by K. Irving)
0:05.0,K. Irving makes free throw 1 of 2,1,118-120,,
0:05.0,,,118-120,,C. Capela enters the game for E. Gordon
0:05.0,G. Monroe enters the game for M. Morris,,118-120,,
0:05.0,K. Irving makes free throw 2 of 2,1,119-120,,
0:04.0,Personal take foul by T. Rozier (drawn by C. Paul),,119-120,,
0:04.0,,,119-121,1,C. Paul makes free throw 1 of 2
0:04.0,,,119-121,,E. Gordon enters the game for C. Capela
0:04.0,M. Morris enters the game for G. Monroe,,119-121,,
0:04.0,,,119-122,1,C. Paul makes free throw 2 of 2
0:02.0,,,119-122,,Personal take foul by C. Paul (drawn by K. Irving)
0:02.0,K. Irving makes free throw 1 of 2,1,120-122,,
0:02.0,,,120-122,,C. Capela enters the game for E. Gordon
0:02.0,M. Smart enters the game for J. Tatum,,120-122,,
0:02.0,G. Monroe enters the game for M. Morris,,120-122,,
0:02.0,K. Irving misses free throw 2 of 2,,120-122,,
0:02.0,,,120-122,,Defensive rebound by Team
0:02.0,,,120-122,,Houston full timeout
0:02.0,,,120-122,,E. Gordon enters the game for C. Capela
0:02.0,J. Tatum enters the game for A. Horford,,120-122,,
0:02.0,M. Morris enters the game for G. Monroe,,120-122,,
0:02.0,,,120-122,,Houston full timeout
0:02.0,,,120-122,,J. Johnson enters the game for P. Tucker
0:02.0,Personal take foul by J. Tatum (drawn by E. Gordon),,120-122,,
0:02.0,,,120-122,,E. Gordon misses free throw 1 of 2
0:02.0,,,120-122,,Offensive rebound by Team
0:02.0,,,120-122,,P. Tucker enters the game for J. Johnson
0:02.0,,,120-123,1,E. Gordon makes free throw 2 of 2
0:00.0,M. Smart misses 3-pt shot from 26 ft,,120-123,,
0:00.0,Offensive rebound by Team,,120-123,,
