time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Gortat (J. Wall gains possession),,,,Jump ball: D. Howard vs. M. Gortat (J. Wall gains possession)
11:42.0,J. Wall misses 2-pt shot from 17 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by N. Batum
11:22.0,,,0-2,2,D. Howard makes 2-pt shot from 3 ft (assist by K. Walker)
11:14.0,Offensive foul by M. Morris (drawn by M. Kidd-Gilchrist),,0-2,,
11:14.0,Turnover by M. Morris (offensive foul),,0-2,,
11:03.0,,,0-4,2,N. Batum makes 2-pt shot from 20 ft (assist by M. Williams)
10:51.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,2-4,,
10:33.0,,,2-4,,Turnover by K. Walker (bad pass; steal by M. Gortat)
10:18.0,M. Morris makes 2-pt shot from 7 ft (assist by B. Beal),2,4-4,,
10:18.0,,,4-4,,Violation by D. Howard (def goaltending)
10:08.0,,,4-6,2,K. Walker makes 2-pt shot from 19 ft
9:55.0,Turnover by B. Beal (bad pass; steal by M. Kidd-Gilchrist),,4-6,,
9:41.0,,,4-8,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft
9:19.0,M. Gortat misses 2-pt shot from 12 ft,,4-8,,
9:15.0,,,4-8,,Defensive rebound by D. Howard
9:11.0,,,4-8,,Offensive foul by D. Howard (drawn by J. Wall)
9:11.0,,,4-8,,Turnover by D. Howard (offensive foul)
9:00.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,7-8,,
8:39.0,,,7-11,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
8:39.0,,,7-11,,Shooting foul by M. Morris (drawn by M. Williams)
8:39.0,M. Scott enters the game for M. Morris,,7-11,,
8:39.0,,,7-12,1,M. Williams makes free throw 1 of 1
8:29.0,B. Beal misses 2-pt shot from 20 ft,,7-12,,
8:25.0,,,7-12,,Defensive rebound by D. Howard
8:22.0,,,7-14,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by D. Howard)
8:13.0,O. Porter misses 3-pt shot from 24 ft,,7-14,,
8:06.0,,,7-14,,Defensive rebound by D. Howard
8:03.0,,,7-16,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
8:03.0,Washington full timeout,,7-16,,
7:43.0,O. Porter misses 2-pt shot from 14 ft,,7-16,,
7:41.0,,,7-16,,Defensive rebound by M. Williams
7:28.0,,,7-16,,Turnover by M. Williams (bad pass; steal by M. Scott)
7:20.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,9-16,,
7:03.0,,,9-19,3,N. Batum makes 3-pt shot from 25 ft
6:48.0,M. Scott makes 2-pt shot from 16 ft (assist by J. Wall),2,11-19,,
6:32.0,,,11-19,,Turnover by N. Batum (bad pass; steal by M. Gortat)
6:27.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,14-19,,
6:13.0,,,14-22,3,K. Walker makes 3-pt shot from 26 ft
6:13.0,,,14-22,,Shooting foul by J. Wall (drawn by K. Walker)
6:13.0,,,14-23,1,K. Walker makes free throw 1 of 1
6:02.0,M. Scott makes 2-pt shot from 2 ft (assist by J. Wall),2,16-23,,
5:45.0,,,16-25,2,D. Howard makes 2-pt shot from 1 ft
5:31.0,B. Beal makes 3-pt shot from 24 ft (assist by O. Porter),3,19-25,,
5:14.0,,,19-25,,N. Batum misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by M. Gortat,,19-25,,
5:03.0,Turnover by J. Wall (bad pass; steal by D. Howard),,19-25,,
4:59.0,,,19-27,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
4:46.0,B. Beal makes 2-pt shot from 1 ft,2,21-27,,
4:34.0,,,21-29,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
4:22.0,J. Wall misses 2-pt shot from 1 ft (block by K. Walker),,21-29,,
4:17.0,,,21-29,,Defensive rebound by D. Howard
4:16.0,Technical foul by J. Wall,,21-29,,
4:16.0,,,21-30,1,K. Walker makes technical free throw
4:16.0,,,21-30,,J. Lamb enters the game for M. Kidd-Gilchrist
4:16.0,,,21-30,,Charlotte full timeout
4:16.0,I. Mahinmi enters the game for M. Gortat,,21-30,,
4:16.0,K. Oubre enters the game for O. Porter,,21-30,,
4:11.0,,,21-30,,K. Walker misses 2-pt shot from 18 ft
4:06.0,Defensive rebound by I. Mahinmi,,21-30,,
4:01.0,B. Beal makes 3-pt shot from 24 ft,3,24-30,,
3:46.0,Personal foul by I. Mahinmi (drawn by J. Lamb),,24-30,,
3:46.0,,,24-30,,F. Kaminsky enters the game for M. Williams
3:33.0,,,24-30,,D. Howard misses 2-pt shot from 2 ft (block by J. Wall)
3:30.0,Defensive rebound by J. Wall,,24-30,,
3:28.0,Shooting foul by F. Kaminsky (drawn by I. Mahinmi),,24-30,,
3:28.0,I. Mahinmi makes free throw 1 of 2,1,25-30,,
3:28.0,T. Satoransky enters the game for J. Wall,,25-30,,
3:28.0,I. Mahinmi makes free throw 2 of 2,1,26-30,,
3:10.0,,,26-30,,N. Batum misses 2-pt shot from 22 ft
3:06.0,Defensive rebound by B. Beal,,26-30,,
3:01.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky),3,29-30,,
2:41.0,,,29-30,,D. Howard misses 2-pt shot from 2 ft (block by I. Mahinmi)
2:41.0,,,29-30,,Offensive rebound by Team
2:41.0,,,29-30,,M. Carter-Williams enters the game for K. Walker
2:40.0,,,29-30,,Offensive foul by N. Batum (drawn by K. Oubre)
2:40.0,,,29-30,,Turnover by N. Batum (offensive foul)
2:27.0,,,29-30,,Def 3 sec tech foul by D. Howard
2:27.0,B. Beal makes technical free throw,1,30-30,,
2:17.0,B. Beal misses 2-pt shot from 20 ft,,30-30,,
2:14.0,,,30-30,,Defensive rebound by D. Howard
2:10.0,,,30-30,,M. Carter-Williams misses 2-pt shot from 2 ft
2:05.0,,,30-30,,Offensive rebound by D. Howard
2:05.0,,,30-30,,D. Howard misses 2-pt shot at rim
2:02.0,,,30-30,,Offensive rebound by D. Howard
