time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. S. Adams (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. S. Adams (A. Aminu gains possession)
11:37.0,,,0-0,,J. Nurkic misses 2-pt shot from 9 ft
11:33.0,Defensive rebound by P. George,,0-0,,
11:14.0,J. Huestis misses 3-pt shot from 24 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by Team
11:01.0,,,0-2,2,C. McCollum makes 2-pt shot from 9 ft
10:43.0,P. George makes 2-pt shot from 16 ft (assist by R. Westbrook),2,2-2,,
10:28.0,,,2-2,,D. Lillard misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by P. George,,2-2,,
10:22.0,Shooting foul by E. Turner (drawn by S. Adams),,2-2,,
10:22.0,S. Adams misses free throw 1 of 2,,2-2,,
10:22.0,Offensive rebound by Team,,2-2,,
10:22.0,S. Adams makes free throw 2 of 2,1,3-2,,
10:07.0,,,3-2,,D. Lillard misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by P. Patterson,,3-2,,
9:58.0,S. Adams misses 2-pt shot from 2 ft,,3-2,,
9:57.0,,,3-2,,Defensive rebound by J. Nurkic
9:34.0,,,3-5,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
9:17.0,P. Patterson makes 2-pt shot from 18 ft (assist by P. George),2,5-5,,
9:01.0,,,5-5,,J. Nurkic misses 2-pt shot from 4 ft
9:01.0,Defensive rebound by Team,,5-5,,
8:53.0,R. Westbrook misses 2-pt shot from 19 ft,,5-5,,
8:51.0,,,5-5,,Defensive rebound by E. Turner
8:42.0,,,5-5,,C. McCollum misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by R. Westbrook,,5-5,,
8:33.0,R. Westbrook makes 2-pt shot from 13 ft,2,7-5,,
8:22.0,,,7-8,3,E. Turner makes 3-pt shot from 23 ft (assist by C. McCollum)
8:07.0,P. George misses 3-pt shot from 22 ft (block by E. Turner),,7-8,,
8:07.0,,,7-8,,Defensive rebound by J. Nurkic
8:02.0,Personal foul by P. Patterson (drawn by C. McCollum),,7-8,,
7:55.0,,,7-8,,Shooting foul by P. George (drawn by J. Nurkic)
7:55.0,,,7-8,,J. Nurkic misses free throw 1 of 2
7:55.0,,,7-8,,Offensive rebound by Team
7:55.0,,,7-8,,J. Nurkic misses free throw 2 of 2
7:52.0,Defensive rebound by R. Westbrook,,7-8,,
7:42.0,P. Patterson makes 3-pt shot from 25 ft (assist by J. Huestis),3,10-8,,
7:23.0,,,10-8,,A. Aminu misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by R. Westbrook,,10-8,,
7:16.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,12-8,,
7:16.0,,,12-8,,Portland full timeout
7:04.0,,,12-10,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
6:43.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,14-10,,
6:36.0,Violation by J. Huestis (kicked ball),,14-10,,
6:21.0,,,14-12,2,J. Nurkic makes 2-pt shot at rim
6:06.0,P. George makes 2-pt shot from 2 ft (assist by R. Westbrook),2,16-12,,
5:50.0,,,16-12,,J. Nurkic misses 2-pt shot from 4 ft
5:48.0,Defensive rebound by S. Adams,,16-12,,
5:42.0,R. Westbrook makes 2-pt shot from 1 ft,2,18-12,,
5:18.0,,,18-12,,D. Lillard misses 2-pt shot from 1 ft (block by P. Patterson)
5:18.0,,,18-12,,Offensive rebound by Team
5:18.0,C. Brewer enters the game for J. Huestis,,18-12,,
5:14.0,,,18-12,,A. Aminu misses 2-pt shot from 16 ft
5:12.0,,,18-12,,Offensive rebound by J. Nurkic
5:10.0,,,18-12,,J. Nurkic misses 2-pt shot from 3 ft (block by P. George)
5:08.0,Defensive rebound by P. Patterson,,18-12,,
5:07.0,,,18-12,,Personal foul by A. Aminu (drawn by S. Adams)
5:01.0,R. Westbrook misses 2-pt shot from 15 ft,,18-12,,
4:58.0,,,18-12,,Defensive rebound by J. Nurkic
4:50.0,,,18-14,2,D. Lillard makes 2-pt shot from 1 ft
4:44.0,R. Westbrook misses 2-pt shot from 17 ft,,18-14,,
4:43.0,,,18-14,,Defensive rebound by C. McCollum
4:34.0,Personal foul by C. Brewer (drawn by E. Turner),,18-14,,
4:34.0,,,18-14,,P. Connaughton enters the game for C. McCollum
4:34.0,J. Grant enters the game for P. Patterson,,18-14,,
4:34.0,,,18-14,,Z. Collins enters the game for A. Aminu
4:34.0,,,18-14,,E. Davis enters the game for J. Nurkic
4:23.0,Personal block foul by C. Brewer (drawn by D. Lillard),,18-14,,
4:16.0,,,18-17,3,D. Lillard makes 3-pt shot from 26 ft (assist by P. Connaughton)
3:58.0,P. George misses 3-pt shot from 26 ft,,18-17,,
3:55.0,,,18-17,,Defensive rebound by E. Davis
3:43.0,,,18-19,2,Z. Collins makes 2-pt shot from 9 ft (assist by D. Lillard)
3:34.0,P. George makes 2-pt shot from 1 ft (assist by J. Grant),2,20-19,,
3:34.0,Shooting foul by E. Davis (drawn by P. George),,20-19,,
3:34.0,P. Patterson enters the game for S. Adams,,20-19,,
3:34.0,P. George makes free throw 1 of 1,1,21-19,,
3:19.0,,,21-19,,Turnover by D. Lillard (lost ball; steal by C. Brewer)
3:18.0,,,21-19,,Shooting block foul by P. Connaughton (drawn by R. Westbrook)
3:18.0,R. Westbrook misses free throw 1 of 2,,21-19,,
3:18.0,Offensive rebound by Team,,21-19,,
3:18.0,R. Westbrook makes free throw 2 of 2,1,22-19,,
3:03.0,,,22-21,2,P. Connaughton makes 2-pt shot from 5 ft (assist by Z. Collins)
2:49.0,R. Westbrook makes 2-pt shot from 18 ft,2,24-21,,
2:39.0,Personal foul by P. Patterson (drawn by D. Lillard),,24-21,,
2:39.0,Oklahoma City full timeout,,24-21,,
2:39.0,R. Felton enters the game for R. Westbrook,,24-21,,
2:39.0,,,24-22,1,D. Lillard makes free throw 1 of 2
2:39.0,,,24-23,1,D. Lillard makes free throw 2 of 2
2:24.0,J. Grant makes 2-pt shot from 1 ft (assist by P. George),2,26-23,,
2:02.0,,,26-23,,E. Turner misses 2-pt shot from 10 ft
2:01.0,Defensive rebound by P. Patterson,,26-23,,
1:49.0,P. George makes 2-pt shot from 17 ft,2,28-23,,
1:25.0,,,28-25,2,E. Turner makes 2-pt shot from 15 ft
1:07.0,Shooting foul by Z. Collins (drawn by J. Grant),,28-25,,
1:07.0,J. Grant misses free throw 1 of 2,,28-25,,
1:07.0,Offensive rebound by Team,,28-25,,
1:07.0,J. Grant misses free throw 2 of 2,,28-25,,
1:05.0,,,28-25,,Defensive rebound by E. Davis
0:49.0,Violation by R. Felton (kicked ball),,28-25,,
0:35.0,,,28-25,,D. Lillard misses 3-pt shot from 28 ft
0:31.0,Defensive rebound by P. Patterson,,28-25,,
0:11.0,C. Brewer misses 3-pt shot from 22 ft,,28-25,,
0:10.0,,,28-25,,Defensive rebound by E. Turner
0:01.0,,,28-25,,Turnover by D. Lillard (bad pass; steal by C. Brewer)
0:00.0,J. Grant misses 3-pt shot from 61 ft,,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,R. Felton makes 3-pt shot from 25 ft (assist by J. Grant),3,31-25,,
11:26.0,,,31-27,2,C. McCollum makes 2-pt shot from 1 ft
11:08.0,R. Felton makes 2-pt shot from 1 ft,2,33-27,,
10:53.0,,,33-27,,C. McCollum misses 2-pt shot from 4 ft
10:50.0,Defensive rebound by J. Huestis,,33-27,,
10:37.0,R. Felton misses 2-pt shot from 11 ft,,33-27,,
10:33.0,Offensive rebound by J. Huestis,,33-27,,
10:33.0,J. Huestis misses 2-pt shot from 1 ft,,33-27,,
10:32.0,,,33-27,,Defensive rebound by P. Connaughton
10:19.0,,,33-29,2,S. Napier makes 2-pt shot from 19 ft
9:50.0,R. Felton misses 3-pt shot from 26 ft,,33-29,,
9:48.0,,,33-29,,Defensive rebound by C. McCollum
9:32.0,,,33-29,,Shooting foul by J. Huestis (drawn by C. McCollum)
9:32.0,,,33-30,1,C. McCollum makes free throw 1 of 2
9:32.0,,,33-31,1,C. McCollum makes free throw 2 of 2
9:16.0,Turnover by J. Huestis (turnover),,33-31,,
9:16.0,Violation by J. Huestis (kicked ball),,33-31,,
9:00.0,,,33-34,3,S. Napier makes 3-pt shot from 25 ft (assist by P. Connaughton)
8:59.0,Oklahoma City full timeout,,33-34,,
8:43.0,P. Patterson makes 2-pt shot from 4 ft,2,35-34,,
8:24.0,,,35-34,,Z. Collins misses 2-pt shot from 3 ft (block by J. Grant)
8:24.0,Defensive rebound by J. Grant,,35-34,,
8:24.0,S. Adams enters the game for R. Felton,,35-34,,
8:24.0,R. Westbrook enters the game for J. Grant,,35-34,,
8:11.0,Turnover by R. Westbrook (bad pass; steal by C. McCollum),,35-34,,
8:07.0,,,35-36,2,Z. Collins makes 2-pt shot at rim (assist by C. McCollum)
7:53.0,R. Westbrook misses 2-pt shot from 16 ft,,35-36,,
7:51.0,,,35-36,,Defensive rebound by S. Napier
7:36.0,,,35-36,,E. Davis misses 2-pt shot from 2 ft (block by S. Adams)
7:36.0,,,35-36,,Offensive rebound by E. Davis
7:33.0,,,35-36,,C. McCollum misses 3-pt shot from 25 ft
7:33.0,,,35-36,,Offensive rebound by E. Davis
7:29.0,,,35-36,,P. Connaughton misses 3-pt shot from 24 ft
7:26.0,,,35-36,,Offensive rebound by P. Connaughton
7:23.0,,,35-38,2,P. Connaughton makes 2-pt shot from 1 ft
7:10.0,P. Patterson misses 2-pt shot from 20 ft,,35-38,,
7:07.0,,,35-38,,Defensive rebound by P. Connaughton
7:00.0,,,35-38,,Shooting foul by A. Abrines (drawn by C. McCollum)
7:00.0,,,35-39,1,C. McCollum makes free throw 1 of 2
7:00.0,P. George enters the game for J. Huestis,,35-39,,
7:00.0,,,35-40,1,C. McCollum makes free throw 2 of 2
6:51.0,S. Adams misses 2-pt shot at rim,,35-40,,
6:48.0,Offensive rebound by A. Abrines,,35-40,,
6:43.0,P. George misses 3-pt shot from 25 ft,,35-40,,
6:40.0,,,35-40,,Defensive rebound by C. McCollum
6:35.0,,,35-40,,C. McCollum misses 2-pt shot from 5 ft
6:33.0,,,35-40,,Offensive rebound by C. McCollum
6:33.0,,,35-42,2,C. McCollum makes 2-pt shot at rim
6:33.0,Oklahoma City full timeout,,35-42,,
6:33.0,,,35-42,,J. Nurkic enters the game for E. Davis
6:33.0,,,35-42,,A. Aminu enters the game for Z. Collins
6:23.0,R. Westbrook misses 3-pt shot from 26 ft,,35-42,,
6:21.0,,,35-42,,Defensive rebound by A. Aminu
6:06.0,,,35-44,2,J. Nurkic makes 2-pt shot from 1 ft (assist by S. Napier)
5:50.0,S. Adams misses 2-pt shot at rim,,35-44,,
5:48.0,Offensive rebound by S. Adams,,35-44,,
5:45.0,R. Westbrook makes 2-pt shot from 15 ft,2,37-44,,
5:24.0,,,37-44,,C. McCollum misses 2-pt shot from 19 ft
5:24.0,,,37-44,,Offensive rebound by Team
5:24.0,Loose ball foul by S. Adams (drawn by J. Nurkic),,37-44,,
5:24.0,,,37-44,,D. Lillard enters the game for C. McCollum
5:24.0,R. Felton enters the game for A. Abrines,,37-44,,
5:07.0,,,37-44,,A. Aminu misses 3-pt shot from 22 ft
5:05.0,Defensive rebound by S. Adams,,37-44,,
4:55.0,Shooting foul by J. Nurkic (drawn by S. Adams),,37-44,,
4:55.0,S. Adams makes free throw 1 of 2,1,38-44,,
4:55.0,,,38-44,,E. Turner enters the game for P. Connaughton
4:55.0,S. Adams makes free throw 2 of 2,1,39-44,,
4:41.0,,,39-46,2,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Turner)
4:30.0,R. Westbrook makes 2-pt shot from 1 ft,2,41-46,,
4:19.0,,,41-49,3,E. Turner makes 3-pt shot from 23 ft (assist by D. Lillard)
4:08.0,P. Patterson misses 2-pt shot from 1 ft,,41-49,,
4:06.0,,,41-49,,Defensive rebound by J. Nurkic
3:56.0,,,41-49,,S. Napier misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by R. Westbrook,,41-49,,
3:53.0,,,41-49,,Personal foul by J. Nurkic (drawn by S. Adams)
3:53.0,Technical foul by R. Westbrook,,41-49,,
3:53.0,,,41-49,,D. Lillard misses technical free throw
3:53.0,Defensive rebound by Team,,41-49,,
3:53.0,J. Grant enters the game for P. Patterson,,41-49,,
3:45.0,P. George misses 2-pt shot from 17 ft,,41-49,,
3:41.0,,,41-49,,Defensive rebound by A. Aminu
3:25.0,,,41-49,,Offensive charge foul by A. Aminu (drawn by J. Grant)
3:25.0,,,41-49,,Turnover by A. Aminu (offensive foul)
3:19.0,Shooting foul by D. Lillard (drawn by R. Westbrook),,41-49,,
3:19.0,R. Westbrook misses free throw 1 of 2,,41-49,,
3:19.0,Offensive rebound by Team,,41-49,,
3:19.0,R. Westbrook makes free throw 2 of 2,1,42-49,,
3:02.0,,,42-49,,Turnover by J. Nurkic (turnover)
3:02.0,,,42-49,,C. McCollum enters the game for S. Napier
2:55.0,Turnover by S. Adams (lost ball; steal by A. Aminu),,42-49,,
2:52.0,,,42-49,,J. Nurkic misses 2-pt shot at rim
2:49.0,,,42-49,,Offensive rebound by A. Aminu
2:46.0,,,42-49,,A. Aminu misses 2-pt shot from 3 ft
2:46.0,Defensive rebound by P. George,,42-49,,
2:41.0,,,42-49,,Personal foul by J. Nurkic (drawn by S. Adams)
2:41.0,,,42-49,,M. Leonard enters the game for J. Nurkic
2:35.0,R. Westbrook misses 2-pt shot from 1 ft,,42-49,,
2:31.0,Offensive rebound by R. Westbrook,,42-49,,
2:31.0,R. Westbrook misses 2-pt shot at rim,,42-49,,
2:31.0,Offensive rebound by S. Adams,,42-49,,
2:28.0,R. Felton misses 3-pt shot from 26 ft,,42-49,,
2:25.0,,,42-49,,Defensive rebound by M. Leonard
2:19.0,,,42-51,2,D. Lillard makes 2-pt shot at rim
2:07.0,R. Westbrook misses 2-pt shot from 1 ft (block by C. McCollum),,42-51,,
2:07.0,Offensive rebound by Team,,42-51,,
2:03.0,Shooting foul by M. Leonard (drawn by P. George),,42-51,,
2:03.0,P. George makes free throw 1 of 2,1,43-51,,
2:03.0,P. George makes free throw 2 of 2,1,44-51,,
1:51.0,,,44-51,,Turnover by E. Turner (bad pass)
1:42.0,J. Grant makes 2-pt shot from 8 ft (assist by R. Felton),2,46-51,,
1:26.0,,,46-51,,D. Lillard misses 2-pt shot from 1 ft
1:24.0,Defensive rebound by P. George,,46-51,,
1:19.0,P. George misses 2-pt shot from 2 ft,,46-51,,
1:18.0,,,46-51,,Defensive rebound by A. Aminu
1:13.0,,,46-51,,E. Turner misses 2-pt shot from 5 ft
1:11.0,Defensive rebound by R. Westbrook,,46-51,,
0:55.0,S. Adams makes 2-pt shot from 1 ft,2,48-51,,
0:31.0,,,48-51,,M. Leonard misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by S. Adams,,48-51,,
0:11.0,Shooting foul by D. Lillard (drawn by R. Westbrook),,48-51,,
0:11.0,R. Westbrook makes free throw 1 of 2,1,49-51,,
0:11.0,R. Westbrook makes free throw 2 of 2,1,50-51,,
0:05.0,Personal take foul by R. Westbrook (drawn by D. Lillard),,50-51,,
0:05.0,,,50-51,,S. Napier enters the game for E. Turner
0:05.0,,,50-51,,P. Connaughton enters the game for A. Aminu
0:05.0,C. Brewer enters the game for R. Felton,,50-51,,
0:00.0,,,50-51,,Shooting foul by C. Brewer (drawn by D. Lillard)
0:00.0,,,50-52,1,D. Lillard makes free throw 1 of 2
0:00.0,,,50-53,1,D. Lillard makes free throw 2 of 2
0:00.0,C. Brewer misses 3-pt shot from 43 ft,,50-53,,
0:00.0,Offensive rebound by Team,,50-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,P. George makes 2-pt shot at rim,2,52-53,,
11:22.0,Jump ball: J. Nurkic vs. S. Adams (J. Huestis gains possession),,,,Jump ball: J. Nurkic vs. S. Adams (J. Huestis gains possession)
11:22.0,,,52-53,,Turnover by D. Lillard (bad pass; steal by S. Adams)
11:12.0,J. Huestis makes 3-pt shot from 23 ft (assist by P. George),3,55-53,,
