time,Chicago,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Lopez (J. Grant gains possession),,,,Jump ball: A. Davis vs. R. Lopez (J. Grant gains possession)
11:43.0,Turnover by R. Lopez (lost ball; steal by J. Holiday),,0-0,,
11:25.0,,,0-0,,R. Rondo misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by Z. LaVine,,0-0,,
11:16.0,Z. LaVine misses 2-pt shot from 19 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by D. Cousins
10:53.0,,,0-0,,D. Cousins misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by Z. LaVine,,0-0,,
10:33.0,J. Holiday makes 2-pt shot from 2 ft (assist by R. Lopez),2,2-0,,
10:20.0,,,2-0,,J. Holiday misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by Z. LaVine,,2-0,,
10:11.0,J. Holiday makes 2-pt shot from 1 ft (assist by Z. LaVine),2,4-0,,
9:59.0,,,4-0,,A. Davis misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by L. Markkanen,,4-0,,
9:52.0,J. Holiday misses 3-pt shot from 22 ft,,4-0,,
9:48.0,,,4-0,,Defensive rebound by A. Davis
9:40.0,,,4-2,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins)
9:17.0,J. Grant makes 3-pt shot from 25 ft,3,7-2,,
9:00.0,,,7-2,,E. Moore misses 2-pt shot from 15 ft
9:00.0,,,7-2,,Offensive rebound by D. Cousins
8:55.0,,,7-2,,D. Cousins misses 2-pt shot at rim
8:54.0,Defensive rebound by L. Markkanen,,7-2,,
8:51.0,Z. LaVine makes 2-pt shot at rim (assist by L. Markkanen),2,9-2,,
8:40.0,,,9-5,3,R. Rondo makes 3-pt shot from 25 ft (assist by E. Moore)
8:25.0,Z. LaVine misses 3-pt shot from 25 ft,,9-5,,
8:25.0,,,9-5,,Defensive rebound by Team
8:15.0,Violation by J. Holiday (kicked ball),,9-5,,
8:08.0,,,9-5,,D. Cousins misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by L. Markkanen,,9-5,,
7:56.0,Z. LaVine makes 2-pt shot at rim (assist by L. Markkanen),2,11-5,,
7:37.0,,,11-5,,R. Rondo misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by L. Markkanen,,11-5,,
7:20.0,J. Grant makes 2-pt shot from 12 ft,2,13-5,,
7:05.0,,,13-8,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. Cousins)
6:50.0,L. Markkanen misses 3-pt shot from 25 ft (block by A. Davis),,13-8,,
6:50.0,,,13-8,,Defensive rebound by D. Cousins
6:45.0,,,13-8,,A. Davis misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by J. Grant,,13-8,,
6:36.0,J. Holiday misses 3-pt shot from 23 ft,,13-8,,
6:36.0,,,13-8,,Defensive rebound by A. Davis
6:16.0,,,13-8,,A. Davis misses 2-pt shot from 1 ft
6:16.0,Defensive rebound by L. Markkanen,,13-8,,
6:08.0,L. Markkanen misses 2-pt shot from 4 ft,,13-8,,
6:08.0,,,13-8,,Defensive rebound by A. Davis
6:03.0,,,13-8,,E. Moore misses 3-pt shot from 23 ft
6:03.0,,,13-8,,Offensive rebound by J. Holiday
5:59.0,,,13-10,2,E. Moore makes 2-pt shot at rim (assist by J. Holiday)
5:59.0,Chicago full timeout,,13-10,,
5:59.0,D. Valentine enters the game for Z. LaVine,,13-10,,
5:41.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Grant),2,15-10,,
5:21.0,,,15-10,,Turnover by D. Cousins (bad pass)
5:09.0,Turnover by D. Valentine (bad pass; steal by D. Cousins),,15-10,,
5:03.0,,,15-10,,E. Moore misses 2-pt shot from 1 ft
5:01.0,Defensive rebound by L. Markkanen,,15-10,,
4:55.0,R. Lopez makes 2-pt shot at rim (assist by J. Holiday),2,17-10,,
4:44.0,,,17-10,,R. Rondo misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by L. Markkanen,,17-10,,
4:30.0,Turnover by J. Holiday (bad pass; steal by E. Moore),,17-10,,
4:27.0,Shooting block foul by L. Markkanen (drawn by D. Cousins),,17-10,,
4:27.0,,,17-11,1,D. Cousins makes free throw 1 of 2
4:27.0,,,17-11,,D. Miller enters the game for R. Rondo
4:27.0,,,17-11,,D. Cousins misses free throw 2 of 2
4:25.0,Defensive rebound by L. Markkanen,,17-11,,
4:15.0,L. Markkanen makes 2-pt shot at rim (assist by R. Lopez),2,19-11,,
3:49.0,,,19-11,,E. Moore misses 3-pt shot from 22 ft
3:46.0,Defensive rebound by L. Markkanen,,19-11,,
3:41.0,L. Markkanen misses 3-pt shot from 26 ft,,19-11,,
3:39.0,,,19-11,,Defensive rebound by D. Miller
3:36.0,,,19-13,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
3:16.0,R. Lopez misses 2-pt shot from 6 ft,,19-13,,
3:13.0,,,19-13,,Defensive rebound by D. Miller
3:09.0,,,19-16,3,D. Cousins makes 3-pt shot from 27 ft (assist by J. Holiday)
2:55.0,Turnover by J. Grant (lost ball; steal by E. Moore),,19-16,,
2:44.0,,,19-16,,E. Moore misses 2-pt shot from 4 ft (block by D. Valentine)
2:41.0,Defensive rebound by J. Holiday,,19-16,,
2:36.0,J. Holiday misses 3-pt shot from 23 ft,,19-16,,
2:36.0,,,19-16,,Defensive rebound by D. Cousins
2:24.0,Personal foul by J. Grant (drawn by A. Davis),,19-16,,
2:24.0,,,19-16,,New Orleans full timeout
2:24.0,,,19-16,,I. Clark enters the game for D. Cousins
2:24.0,,,19-16,,J. Nelson enters the game for J. Holiday
2:24.0,,,19-16,,D. Cunningham enters the game for E. Moore
2:24.0,N. Mirotic enters the game for L. Markkanen,,19-16,,
2:24.0,B. Portis enters the game for R. Lopez,,19-16,,
2:14.0,,,19-18,2,A. Davis makes 2-pt shot at rim (assist by D. Miller)
2:02.0,B. Portis makes 2-pt shot from 7 ft,2,21-18,,
1:38.0,,,21-21,3,D. Miller makes 3-pt shot from 26 ft (assist by A. Davis)
1:38.0,,,21-21,,Shooting foul by J. Holiday (drawn by D. Miller)
1:38.0,,,21-22,1,D. Miller makes free throw 1 of 1
1:23.0,B. Portis misses 2-pt shot from 19 ft,,21-22,,
1:23.0,,,21-22,,Defensive rebound by D. Miller
1:02.0,,,21-22,,D. Miller misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by D. Valentine,,21-22,,
0:53.0,Turnover by B. Portis (turnover),,21-22,,
0:53.0,R. Arcidiacono enters the game for J. Grant,,21-22,,
0:36.0,,,21-22,,D. Cunningham misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by J. Holiday,,21-22,,
0:28.0,D. Valentine misses 3-pt shot from 25 ft,,21-22,,
0:25.0,,,21-22,,Defensive rebound by D. Cunningham
0:02.0,,,21-25,3,J. Nelson makes 3-pt shot from 22 ft (assist by D. Miller)
0:01.0,J. Holiday misses 3-pt shot from 48 ft,,21-25,,
0:00.0,Offensive rebound by Team,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-27,2,D. Cousins makes 2-pt shot from 1 ft
11:32.0,Shooting foul by J. Nelson (drawn by N. Mirotic),,21-27,,
11:32.0,N. Mirotic makes free throw 1 of 2,1,22-27,,
11:32.0,N. Mirotic makes free throw 2 of 2,1,23-27,,
11:10.0,,,23-29,2,I. Clark makes 2-pt shot from 1 ft (assist by D. Cunningham)
10:52.0,N. Mirotic makes 2-pt shot from 9 ft,2,25-29,,
10:30.0,,,25-29,,Shooting foul by N. Mirotic (drawn by D. Cunningham)
10:30.0,,,25-30,1,D. Cunningham makes free throw 1 of 2
10:30.0,,,25-30,,Violation by D. Cousins (lane)
10:30.0,Violation by B. Portis (lane),,25-30,,
10:30.0,Jump ball: D. Cousins vs. B. Portis (R. Arcidiacono gains possession),,,,Jump ball: D. Cousins vs. B. Portis (R. Arcidiacono gains possession)
10:11.0,B. Portis misses 3-pt shot from 26 ft,,25-30,,
10:09.0,,,25-30,,Defensive rebound by J. Nelson
