time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Gasol (D. Brooks gains possession),,,,Jump ball: M. Plumlee vs. M. Gasol (D. Brooks gains possession)
11:42.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,0-0,,
11:42.0,M. Gasol makes free throw 1 of 2,1,1-0,,
11:42.0,M. Gasol makes free throw 2 of 2,1,2-0,,
11:30.0,Personal foul by A. Harrison (drawn by M. Plumlee),,2-0,,
11:20.0,,,2-0,,Turnover by N. Jokic (out of bounds lost ball)
11:01.0,D. Brooks misses 3-pt shot from 22 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by N. Jokic
10:44.0,,,2-0,,W. Barton misses 2-pt shot from 4 ft
10:42.0,Defensive rebound by J. Green,,2-0,,
10:29.0,M. Gasol misses 2-pt shot from 2 ft,,2-0,,
10:29.0,,,2-0,,Defensive rebound by Team
10:16.0,,,2-0,,W. Chandler misses 2-pt shot from 12 ft
10:13.0,,,2-0,,Offensive rebound by M. Plumlee
10:12.0,,,2-3,3,W. Chandler makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:52.0,T. Evans makes 3-pt shot from 23 ft,3,5-3,,
9:26.0,,,5-3,,N. Jokic misses 2-pt shot from 4 ft (block by J. Green)
9:23.0,,,5-3,,Offensive rebound by N. Jokic
9:23.0,,,5-3,,M. Plumlee misses 2-pt shot from 4 ft
9:22.0,Defensive rebound by M. Gasol,,5-3,,
9:22.0,,,5-3,,Personal foul by N. Jokic (drawn by M. Gasol)
9:15.0,,,5-3,,Personal foul by W. Barton (drawn by T. Evans)
9:03.0,J. Green makes 3-pt shot from 22 ft (assist by A. Harrison),3,8-3,,
8:51.0,,,8-3,,Shooting foul by J. Green (drawn by N. Jokic)
8:51.0,,,8-4,1,N. Jokic makes free throw 1 of 2
8:51.0,,,8-5,1,N. Jokic makes free throw 2 of 2
8:33.0,M. Gasol misses 3-pt shot from 23 ft,,8-5,,
8:31.0,,,8-5,,Defensive rebound by M. Plumlee
8:25.0,,,8-8,3,W. Chandler makes 3-pt shot from 25 ft (assist by M. Plumlee)
8:08.0,D. Brooks makes 2-pt shot from 17 ft (assist by M. Gasol),2,10-8,,
7:53.0,,,10-8,,W. Barton misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by M. Gasol,,10-8,,
7:31.0,J. Green misses 2-pt shot from 1 ft (block by M. Plumlee),,10-8,,
7:28.0,Offensive rebound by J. Green,,10-8,,
7:25.0,J. Green misses 2-pt shot from 1 ft,,10-8,,
7:19.0,Offensive rebound by J. Green,,10-8,,
7:19.0,J. Green misses 2-pt shot at rim,,10-8,,
7:19.0,,,10-8,,Defensive rebound by N. Jokic
7:07.0,,,10-8,,J. Murray misses 2-pt shot from 8 ft
7:04.0,,,10-8,,Offensive rebound by N. Jokic
7:03.0,,,10-8,,J. Murray misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by Team,,10-8,,
7:03.0,,,10-8,,Loose ball foul by N. Jokic (drawn by M. Gasol)
7:03.0,,,10-8,,T. Lyles enters the game for N. Jokic
7:03.0,J. Martin enters the game for J. Green,,10-8,,
6:57.0,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison),3,13-8,,
6:40.0,Personal foul by J. Martin (drawn by T. Lyles),,13-8,,
6:40.0,,,13-8,,Denver full timeout
6:40.0,M. Chalmers enters the game for T. Evans,,13-8,,
6:30.0,,,13-8,,M. Plumlee misses 2-pt shot from 6 ft
6:29.0,Defensive rebound by Team,,13-8,,
6:12.0,M. Gasol misses 2-pt shot from 16 ft,,13-8,,
6:09.0,,,13-8,,Defensive rebound by W. Chandler
5:52.0,,,13-8,,W. Chandler misses 2-pt shot from 6 ft
5:50.0,Defensive rebound by M. Gasol,,13-8,,
5:46.0,D. Brooks makes 2-pt shot from 1 ft (assist by A. Harrison),2,15-8,,
5:33.0,,,15-8,,Turnover by W. Barton (turnover)
5:33.0,,,15-8,,M. Beasley enters the game for W. Barton
5:19.0,Shooting foul by M. Beasley (drawn by M. Chalmers),,15-8,,
5:19.0,M. Chalmers misses free throw 1 of 2,,15-8,,
5:19.0,Offensive rebound by Team,,15-8,,
5:19.0,W. Selden enters the game for A. Harrison,,15-8,,
5:19.0,M. Chalmers makes free throw 2 of 2,1,16-8,,
5:08.0,Personal foul by W. Selden (drawn by M. Plumlee),,16-8,,
5:00.0,,,16-8,,Turnover by T. Lyles (out of bounds lost ball)
4:38.0,M. Gasol makes 2-pt shot from 7 ft,2,18-8,,
4:22.0,,,18-8,,J. Murray misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by D. Brooks,,18-8,,
4:14.0,D. Brooks makes 2-pt shot from 2 ft,2,20-8,,
4:14.0,,,20-8,,Denver full timeout
4:14.0,,,20-8,,R. Jefferson enters the game for W. Chandler
4:14.0,,,20-8,,K. Faried enters the game for J. Murray
4:14.0,J. Ennis enters the game for D. Brooks,,20-8,,
4:14.0,,,20-8,,J. Murray enters the game for M. Plumlee
3:54.0,,,20-8,,M. Beasley misses 3-pt shot from 23 ft
3:54.0,Defensive rebound by M. Chalmers,,20-8,,
3:33.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Chalmers),2,22-8,,
3:33.0,Shooting foul by K. Faried (drawn by M. Gasol),,22-8,,
3:33.0,M. Gasol makes free throw 1 of 1,1,23-8,,
3:24.0,,,23-8,,T. Lyles misses 3-pt shot from 22 ft
3:22.0,,,23-8,,Offensive rebound by Team
3:22.0,,,23-8,,W. Barton enters the game for J. Murray
3:00.0,,,23-8,,M. Beasley misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by M. Gasol,,23-8,,
2:50.0,W. Selden misses 2-pt shot from 2 ft,,23-8,,
2:48.0,,,23-8,,Defensive rebound by T. Lyles
2:40.0,,,23-10,2,T. Lyles makes 2-pt shot from 3 ft
2:27.0,Turnover by W. Selden (bad pass; steal by M. Beasley),,23-10,,
2:24.0,,,23-12,2,M. Beasley makes 2-pt shot from 1 ft
2:15.0,Memphis full timeout,,23-12,,
2:15.0,D. Davis enters the game for W. Selden,,23-12,,
2:15.0,T. Evans enters the game for M. Gasol,,23-12,,
2:03.0,Turnover by J. Martin (lost ball; steal by K. Faried),,23-12,,
2:03.0,Personal foul by D. Davis (drawn by T. Lyles),,23-12,,
2:03.0,,,23-12,,T. Lyles misses free throw 1 of 2
2:03.0,,,23-12,,Offensive rebound by Team
2:03.0,,,23-13,1,T. Lyles makes free throw 2 of 2
1:38.0,Turnover by Team (shot clock),,23-13,,
1:23.0,,,23-13,,K. Faried misses 2-pt shot from 4 ft
1:21.0,Defensive rebound by J. Ennis,,23-13,,
1:18.0,M. Chalmers makes 3-pt shot from 24 ft (assist by J. Ennis),3,26-13,,
1:03.0,,,26-15,2,T. Lyles makes 2-pt shot from 2 ft
1:03.0,,,26-15,,Shooting foul by J. Martin (drawn by T. Lyles)
1:03.0,,,26-16,1,T. Lyles makes free throw 1 of 1
0:45.0,Turnover by T. Evans (bad pass; steal by K. Faried),,26-16,,
0:37.0,,,26-16,,T. Lyles misses 3-pt shot from 25 ft
0:34.0,,,26-16,,Offensive rebound by M. Beasley
0:23.0,,,26-16,,K. Faried misses 2-pt shot from 4 ft
0:21.0,Defensive rebound by J. Ennis,,26-16,,
0:01.0,T. Evans misses 3-pt shot from 25 ft,,26-16,,
0:00.0,,,26-16,,Defensive rebound by R. Jefferson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,26-16,,M. Beasley misses 2-pt shot from 22 ft
11:35.0,,,26-16,,Offensive rebound by K. Faried
11:33.0,,,26-16,,K. Faried misses 2-pt shot from 3 ft (block by D. Davis)
11:33.0,Defensive rebound by J. Green,,26-16,,
11:21.0,J. Green misses 3-pt shot from 25 ft,,26-16,,
11:17.0,,,26-16,,Defensive rebound by R. Jefferson
11:12.0,,,26-19,3,W. Barton makes 3-pt shot from 25 ft
10:42.0,Turnover by J. Green (bad pass),,26-19,,
10:16.0,,,26-19,,W. Barton misses 2-pt shot from 3 ft
10:13.0,Defensive rebound by D. Davis,,26-19,,
10:10.0,J. Ennis makes 2-pt shot from 2 ft (assist by T. Evans),2,28-19,,
10:10.0,Shooting foul by M. Beasley (drawn by J. Ennis),,28-19,,
10:10.0,J. Ennis misses free throw 1 of 1,,28-19,,
10:08.0,,,28-19,,Defensive rebound by N. Jokic
10:00.0,,,28-19,,Shooting foul by M. Chalmers (drawn by W. Barton)
10:00.0,,,28-20,1,W. Barton makes free throw 1 of 2
10:00.0,A. Harrison enters the game for M. Chalmers,,28-20,,
10:00.0,,,28-21,1,W. Barton makes free throw 2 of 2
9:45.0,D. Davis misses 2-pt shot from 13 ft,,28-21,,
9:42.0,Offensive rebound by J. Ennis,,28-21,,
9:40.0,J. Ennis makes 2-pt shot from 4 ft,2,30-21,,
9:19.0,,,30-23,2,N. Jokic makes 2-pt shot from 4 ft
9:19.0,Violation by D. Davis (def goaltending),,30-23,,
9:03.0,D. Davis misses 2-pt shot from 6 ft,,30-23,,
8:59.0,,,30-23,,Defensive rebound by K. Faried
8:51.0,,,30-25,2,K. Faried makes 2-pt shot from 4 ft (assist by W. Barton)
8:35.0,J. Green misses 2-pt shot from 17 ft,,30-25,,
8:30.0,,,30-25,,Defensive rebound by Team
8:30.0,,,30-25,,J. Murray enters the game for M. Beasley
8:30.0,,,30-25,,M. Beasley enters the game for W. Barton
8:23.0,Personal foul by J. Green (drawn by N. Jokic),,30-25,,
8:18.0,Shooting block foul by J. Ennis (drawn by J. Murray),,30-25,,
8:18.0,,,30-26,1,J. Murray makes free throw 1 of 2
8:18.0,,,30-26,,M. Plumlee enters the game for K. Faried
8:18.0,M. Gasol enters the game for J. Green,,30-26,,
8:18.0,D. Brooks enters the game for T. Evans,,30-26,,
8:18.0,,,30-27,1,J. Murray makes free throw 2 of 2
8:06.0,,,30-27,,Personal foul by M. Beasley (drawn by D. Brooks)
7:51.0,D. Davis misses 2-pt shot from 2 ft,,30-27,,
7:48.0,Offensive rebound by D. Davis,,30-27,,
7:48.0,D. Davis makes 2-pt shot from 5 ft,2,32-27,,
7:34.0,,,32-27,,N. Jokic misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by D. Davis,,32-27,,
7:18.0,D. Brooks misses 2-pt shot from 17 ft,,32-27,,
7:14.0,,,32-27,,Defensive rebound by J. Murray
7:05.0,,,32-29,2,M. Beasley makes 2-pt shot from 2 ft (assist by J. Murray)
6:45.0,M. Gasol misses 2-pt shot from 12 ft,,32-29,,
6:42.0,,,32-29,,Defensive rebound by R. Jefferson
6:39.0,Personal foul by D. Davis (drawn by N. Jokic),,32-29,,
6:39.0,,,32-29,,Denver full timeout
6:39.0,,,32-29,,W. Chandler enters the game for R. Jefferson
6:29.0,,,32-31,2,J. Murray makes 2-pt shot from 15 ft (assist by N. Jokic)
6:07.0,D. Brooks misses 2-pt shot from 3 ft,,32-31,,
6:05.0,,,32-31,,Defensive rebound by M. Plumlee
5:54.0,,,32-31,,M. Beasley misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by M. Gasol,,32-31,,
5:44.0,A. Harrison makes 2-pt shot from 5 ft,2,34-31,,
5:42.0,Personal foul by A. Harrison (drawn by J. Murray),,34-31,,
5:42.0,,,34-32,1,J. Murray makes free throw 1 of 2
5:42.0,,,34-32,,W. Barton enters the game for M. Beasley
5:42.0,,,34-33,1,J. Murray makes free throw 2 of 2
5:24.0,M. Gasol makes 2-pt shot from 4 ft,2,36-33,,
5:05.0,,,36-33,,J. Murray misses 2-pt shot from 16 ft
5:01.0,,,36-33,,Offensive rebound by M. Plumlee
5:01.0,,,36-35,2,M. Plumlee makes 2-pt shot from 1 ft
4:45.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,36-35,,
4:45.0,M. Gasol makes free throw 1 of 2,1,37-35,,
4:45.0,M. Gasol makes free throw 2 of 2,1,38-35,,
4:32.0,,,38-38,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Murray)
4:09.0,M. Gasol misses 2-pt shot from 8 ft,,38-38,,
4:06.0,,,38-38,,Defensive rebound by W. Chandler
3:59.0,,,38-38,,Turnover by W. Barton (bad pass)
3:59.0,J. Martin enters the game for D. Davis,,38-38,,
3:42.0,J. Ennis makes 3-pt shot from 21 ft (assist by A. Harrison),3,41-38,,
3:28.0,,,41-38,,Turnover by M. Plumlee (lost ball; steal by A. Harrison)
3:21.0,Shooting foul by N. Jokic (drawn by A. Harrison),,41-38,,
3:21.0,,,41-38,,Denver full timeout
3:21.0,,,41-38,,T. Lyles enters the game for N. Jokic
3:21.0,A. Harrison misses free throw 1 of 2,,41-38,,
3:21.0,Offensive rebound by Team,,41-38,,
