time,Washington,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Gortat (L. Nance gains possession),,,,Jump ball: B. Lopez vs. M. Gortat (L. Nance gains possession)
11:45.0,,,0-0,,B. Lopez misses 2-pt shot from 9 ft
11:36.0,,,0-0,,Offensive rebound by L. Nance
11:36.0,,,0-2,2,L. Nance makes 2-pt shot at rim
11:25.0,K. Oubre misses 3-pt shot from 25 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by L. Ball
11:06.0,,,0-2,,B. Lopez misses 2-pt shot from 14 ft
11:01.0,,,0-2,,Offensive rebound by L. Nance
11:01.0,,,0-4,2,L. Nance makes 2-pt shot at rim
10:42.0,J. Wall misses 2-pt shot from 16 ft,,0-4,,
10:39.0,,,0-4,,Defensive rebound by B. Ingram
10:34.0,,,0-4,,Turnover by B. Ingram (bad pass)
10:24.0,,,0-4,,Personal foul by L. Nance (drawn by J. Wall)
10:17.0,M. Gortat misses 2-pt shot from 15 ft,,0-4,,
10:14.0,,,0-4,,Defensive rebound by L. Nance
10:06.0,,,0-4,,B. Ingram misses 2-pt shot from 1 ft (block by K. Oubre)
10:03.0,Defensive rebound by M. Gortat,,0-4,,
10:00.0,Turnover by J. Wall (lost ball; steal by L. Ball),,0-4,,
9:54.0,,,0-6,2,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball)
9:44.0,M. Gortat misses 2-pt shot from 6 ft,,0-6,,
9:41.0,,,0-6,,Defensive rebound by L. Ball
9:37.0,,,0-6,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by B. Beal,,0-6,,
9:23.0,,,0-6,,Personal foul by L. Ball (drawn by J. Wall)
9:10.0,B. Beal misses 2-pt shot from 18 ft,,0-6,,
9:06.0,,,0-6,,Defensive rebound by L. Ball
8:55.0,,,0-6,,L. Nance misses 2-pt shot from 15 ft
8:52.0,Defensive rebound by M. Gortat,,0-6,,
8:45.0,B. Beal misses 3-pt shot from 26 ft,,0-6,,
8:44.0,Offensive rebound by Team,,0-6,,
8:44.0,,,0-6,,Loose ball foul by B. Lopez (drawn by M. Gortat)
8:36.0,K. Oubre misses 2-pt shot from 3 ft (block by L. Ball),,0-6,,
8:33.0,,,0-6,,Defensive rebound by L. Nance
8:19.0,,,0-6,,L. Ball misses 2-pt shot from 1 ft
8:15.0,,,0-6,,Offensive rebound by L. Nance
8:11.0,,,0-6,,B. Ingram misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by M. Gortat,,0-6,,
7:59.0,J. Wall makes 2-pt shot from 2 ft,2,2-6,,
7:36.0,,,2-8,2,B. Ingram makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
7:21.0,O. Porter makes 2-pt shot from 14 ft (assist by J. Wall),2,4-8,,
6:57.0,,,4-10,2,B. Lopez makes 2-pt shot from 9 ft (assist by B. Ingram)
6:46.0,,,4-10,,LA Lakers full timeout
6:36.0,J. Wall misses 2-pt shot from 15 ft,,4-10,,
6:33.0,,,4-10,,Defensive rebound by L. Nance
6:10.0,,,4-12,2,L. Nance makes 2-pt shot from 21 ft (assist by B. Lopez)
5:51.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,7-12,,
5:28.0,,,7-12,,B. Ingram misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by M. Gortat,,7-12,,
5:19.0,K. Oubre makes 2-pt shot from 22 ft (assist by B. Beal),2,9-12,,
5:02.0,,,9-12,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Wall)
5:01.0,Shooting foul by L. Ball (drawn by B. Beal),,9-12,,
5:01.0,B. Beal makes free throw 1 of 2,1,10-12,,
5:01.0,,,10-12,,A. Bogut enters the game for B. Lopez
5:01.0,,,10-12,,J. Clarkson enters the game for L. Ball
5:01.0,B. Beal makes free throw 2 of 2,1,11-12,,
4:43.0,Personal foul by M. Gortat (drawn by B. Ingram),,11-12,,
4:43.0,M. Scott enters the game for O. Porter,,11-12,,
4:32.0,,,11-12,,Shooting foul by M. Scott (drawn by J. Clarkson)
4:32.0,,,11-12,,J. Clarkson misses free throw 1 of 2
4:32.0,,,11-12,,Offensive rebound by Team
4:32.0,,,11-13,1,J. Clarkson makes free throw 2 of 2
4:19.0,B. Beal makes 2-pt shot from 17 ft,2,13-13,,
4:01.0,,,13-15,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Ingram)
3:43.0,Shooting foul by J. Clarkson (drawn by M. Gortat),,13-15,,
3:43.0,M. Gortat makes free throw 1 of 2,1,14-15,,
3:43.0,,,14-15,,K. Kuzma enters the game for L. Nance
3:43.0,M. Gortat misses free throw 2 of 2,,14-15,,
3:43.0,,,14-15,,Defensive rebound by B. Ingram
3:21.0,,,14-15,,C. Brewer enters the game for B. Ingram
3:21.0,,,14-15,,LA Lakers full timeout
3:18.0,,,14-15,,Turnover by Team (shot clock)
3:17.0,,,14-15,,J. Clarkson misses 2-pt shot from 20 ft
3:17.0,,,14-15,,Offensive rebound by Team
2:58.0,K. Oubre misses 3-pt shot from 24 ft,,14-15,,
2:55.0,,,14-15,,Defensive rebound by K. Caldwell-Pope
2:49.0,,,14-17,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
2:37.0,Turnover by J. Wall (lost ball; steal by J. Clarkson),,14-17,,
2:33.0,Washington full timeout,,14-17,,
2:33.0,,,14-17,,J. Randle enters the game for A. Bogut
2:33.0,I. Mahinmi enters the game for J. Wall,,14-17,,
2:33.0,T. Frazier enters the game for M. Gortat,,14-17,,
