time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Chriss (G. Harris gains possession),,,,Jump ball: M. Plumlee vs. M. Chriss (G. Harris gains possession)
11:53.0,,,0-0,,J. Murray misses 3-pt shot from 24 ft
11:50.0,Defensive rebound by T. Warren,,0-0,,
11:32.0,G. Monroe makes 2-pt shot from 4 ft,2,2-0,,
11:17.0,,,2-2,2,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
10:56.0,D. Booker misses 3-pt shot from 25 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by M. Plumlee
10:47.0,,,2-2,,Turnover by M. Plumlee (bad pass; steal by M. Chriss)
10:39.0,G. Monroe misses 2-pt shot from 3 ft (block by W. Chandler),,2-2,,
10:34.0,Offensive rebound by G. Monroe,,2-2,,
10:31.0,T. Ulis misses 2-pt shot from 4 ft (block by M. Plumlee),,2-2,,
10:28.0,,,2-2,,Defensive rebound by G. Harris
10:25.0,,,2-4,2,G. Harris makes 2-pt shot from 2 ft
10:03.0,T. Ulis makes 2-pt shot from 21 ft (assist by M. Chriss),2,4-4,,
9:46.0,,,4-6,2,W. Chandler makes 2-pt shot from 3 ft (assist by M. Plumlee)
9:38.0,D. Booker makes 3-pt shot from 24 ft (assist by T. Ulis),3,7-6,,
9:20.0,,,7-6,,Turnover by N. Jokic (bad pass; steal by M. Chriss)
9:16.0,Turnover by T. Warren (bad pass),,7-6,,
9:00.0,,,7-6,,N. Jokic misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by G. Monroe,,7-6,,
8:55.0,T. Warren makes 2-pt shot from 2 ft,2,9-6,,
8:42.0,,,9-8,2,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee)
8:42.0,,,9-8,,Shooting foul by T. Ulis (drawn by G. Harris)
8:42.0,,,9-9,1,G. Harris makes free throw 1 of 1
8:33.0,M. Chriss misses 3-pt shot from 24 ft,,9-9,,
8:31.0,Offensive rebound by G. Monroe,,9-9,,
8:30.0,Shooting foul by M. Plumlee (drawn by M. Chriss),,9-9,,
8:30.0,M. Chriss misses free throw 1 of 2,,9-9,,
8:30.0,Offensive rebound by Team,,9-9,,
8:30.0,M. Chriss misses free throw 2 of 2,,9-9,,
8:28.0,,,9-9,,Defensive rebound by N. Jokic
8:17.0,,,9-11,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
8:04.0,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren),3,12-11,,
7:58.0,Personal foul by D. Booker (drawn by N. Jokic),,12-11,,
7:55.0,,,12-11,,Shooting foul by G. Monroe (drawn by M. Plumlee)
7:55.0,,,12-12,1,M. Plumlee makes free throw 1 of 2
7:55.0,,,12-12,,M. Plumlee misses free throw 2 of 2
7:53.0,Defensive rebound by G. Monroe,,12-12,,
7:41.0,Turnover by D. Booker (bad pass),,12-12,,
7:33.0,,,12-12,,Turnover by M. Plumlee (bad pass; steal by M. Chriss)
7:30.0,Turnover by M. Chriss (bad pass),,12-12,,
7:28.0,,,12-14,2,G. Harris makes 2-pt shot from 14 ft (assist by J. Murray)
7:17.0,Turnover by M. Chriss (lost ball; steal by J. Murray),,12-14,,
7:12.0,,,12-17,3,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler)
7:09.0,Phoenix full timeout,,12-17,,
7:09.0,T. Daniels enters the game for D. Booker,,12-17,,
7:09.0,I. Canaan enters the game for T. Ulis,,12-17,,
6:59.0,I. Canaan misses 3-pt shot from 25 ft,,12-17,,
6:55.0,,,12-17,,Defensive rebound by M. Plumlee
6:47.0,,,12-19,2,G. Harris makes 2-pt shot from 22 ft
6:27.0,T. Warren makes 2-pt shot from 15 ft (assist by I. Canaan),2,14-19,,
6:05.0,,,14-19,,M. Plumlee misses 2-pt shot from 4 ft
6:03.0,Defensive rebound by G. Monroe,,14-19,,
5:55.0,Turnover by G. Monroe (bad pass; steal by G. Harris),,14-19,,
5:52.0,,,14-21,2,G. Harris makes 2-pt shot from 2 ft
5:32.0,,,14-21,,Personal block foul by M. Plumlee (drawn by I. Canaan)
5:32.0,,,14-21,,T. Lyles enters the game for M. Plumlee
5:32.0,D. Bender enters the game for M. Chriss,,14-21,,
5:32.0,A. Len enters the game for G. Monroe,,14-21,,
5:27.0,T. Warren misses 2-pt shot from 6 ft,,14-21,,
5:19.0,Offensive rebound by A. Len,,14-21,,
5:15.0,D. Bender misses 3-pt shot from 25 ft,,14-21,,
5:13.0,,,14-21,,Defensive rebound by W. Chandler
5:03.0,,,14-24,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler)
4:47.0,Shooting foul by N. Jokic (drawn by A. Len),,14-24,,
4:47.0,A. Len makes free throw 1 of 2,1,15-24,,
4:47.0,J. Jackson enters the game for T. Warren,,15-24,,
4:47.0,A. Len makes free throw 2 of 2,1,16-24,,
4:31.0,,,16-24,,Turnover by G. Harris (bad pass; steal by J. Jackson)
4:24.0,T. Daniels misses 3-pt shot from 24 ft,,16-24,,
4:21.0,,,16-24,,Defensive rebound by W. Chandler
4:13.0,,,16-26,2,W. Chandler makes 2-pt shot from 2 ft
4:00.0,T. Daniels makes 3-pt shot from 25 ft (assist by J. Jackson),3,19-26,,
3:46.0,,,19-26,,W. Barton enters the game for J. Murray
3:41.0,,,19-28,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
3:17.0,A. Len misses 2-pt shot from 14 ft,,19-28,,
3:14.0,,,19-28,,Defensive rebound by G. Harris
3:10.0,,,19-28,,Turnover by G. Harris (bad pass; steal by I. Canaan)
3:03.0,A. Len misses 2-pt shot from 4 ft,,19-28,,
3:01.0,,,19-28,,Defensive rebound by T. Lyles
2:54.0,Personal foul by A. Len (drawn by N. Jokic),,19-28,,
2:54.0,,,19-28,,Denver full timeout
2:54.0,,,19-28,,K. Faried enters the game for N. Jokic
2:54.0,,,19-28,,T. Craig enters the game for W. Chandler
2:54.0,D. Booker enters the game for T. Daniels,,19-28,,
2:47.0,,,19-30,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton)
2:34.0,D. Booker misses 2-pt shot from 12 ft,,19-30,,
2:31.0,,,19-30,,Defensive rebound by K. Faried
2:29.0,,,19-30,,G. Harris misses 3-pt shot from 24 ft
