time,Dallas,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. D. Powell (D. Russell gains possession),,,,Jump ball: J. Allen vs. D. Powell (D. Russell gains possession)
11:45.0,,,0-3,3,D. Russell makes 3-pt shot from 22 ft (assist by J. Allen)
11:28.0,D. Smith misses 2-pt shot from 12 ft,,0-3,,
11:26.0,,,0-3,,Defensive rebound by D. Russell
11:10.0,,,0-6,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. Russell)
10:59.0,K. Collinsworth misses 2-pt shot from 10 ft,,0-6,,
10:56.0,Offensive rebound by K. Collinsworth,,0-6,,
10:56.0,K. Collinsworth misses 2-pt shot at rim,,0-6,,
10:55.0,,,0-6,,Defensive rebound by D. Carroll
10:50.0,,,0-8,2,R. Hollis-Jefferson makes 2-pt shot from 8 ft (assist by D. Carroll)
10:29.0,D. Powell misses 2-pt shot from 21 ft,,0-8,,
10:29.0,Offensive rebound by Team,,0-8,,
10:27.0,Turnover by D. Nowitzki (bad pass),,0-8,,
10:10.0,,,0-11,3,D. Carroll makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
10:08.0,Dallas full timeout,,0-11,,
9:58.0,D. Smith makes 3-pt shot from 24 ft (assist by D. Powell),3,3-11,,
9:32.0,,,3-11,,D. Russell misses 3-pt shot from 28 ft
9:27.0,Defensive rebound by D. Nowitzki,,3-11,,
9:18.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Smith),2,5-11,,
8:56.0,,,5-14,3,D. Russell makes 3-pt shot from 27 ft (assist by D. Carroll)
8:45.0,D. Powell misses 2-pt shot from 21 ft,,5-14,,
8:43.0,,,5-14,,Defensive rebound by J. Allen
8:36.0,,,5-14,,Turnover by J. Allen (lost ball; steal by D. Nowitzki)
8:30.0,D. McDermott misses 2-pt shot from 1 ft,,5-14,,
8:28.0,,,5-14,,Defensive rebound by R. Hollis-Jefferson
8:24.0,,,5-14,,D. Carroll misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by D. Nowitzki,,5-14,,
8:15.0,D. Smith misses 3-pt shot from 24 ft,,5-14,,
8:11.0,,,5-14,,Defensive rebound by J. Allen
7:59.0,Personal foul by D. Smith (drawn by D. Russell),,5-14,,
7:52.0,,,5-14,,J. Allen misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by D. Powell,,5-14,,
7:41.0,D. Nowitzki misses 2-pt shot from 20 ft,,5-14,,
7:39.0,Offensive rebound by K. Collinsworth,,5-14,,
7:39.0,K. Collinsworth misses 2-pt shot from 1 ft,,5-14,,
7:38.0,,,5-14,,Defensive rebound by D. Carroll
7:27.0,,,5-16,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft
7:05.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Nowitzki),,5-16,,
7:05.0,D. Nowitzki makes free throw 1 of 2,1,6-16,,
7:05.0,D. Nowitzki makes free throw 2 of 2,1,7-16,,
6:58.0,,,7-19,3,D. Russell makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
6:40.0,D. Nowitzki misses 2-pt shot from 11 ft,,7-19,,
6:40.0,,,7-19,,Defensive rebound by D. Carroll
6:21.0,,,7-21,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell)
6:10.0,D. Powell makes 2-pt shot at rim (assist by D. Smith),2,9-21,,
6:01.0,,,9-21,,D. Russell misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by K. Collinsworth,,9-21,,
5:51.0,D. Smith makes 2-pt shot from 17 ft,2,11-21,,
5:35.0,,,11-23,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
5:35.0,,,11-23,,Shooting foul by D. Nowitzki (drawn by R. Hollis-Jefferson)
5:35.0,,,11-23,,S. Dinwiddie enters the game for J. Harris
5:35.0,Y. Ferrell enters the game for D. Nowitzki,,11-23,,
5:35.0,M. Kleber enters the game for D. Smith,,11-23,,
5:35.0,,,11-24,1,R. Hollis-Jefferson makes free throw 1 of 1
5:22.0,K. Collinsworth misses 2-pt shot at rim (block by J. Allen),,11-24,,
5:19.0,,,11-24,,Defensive rebound by D. Carroll
5:15.0,,,11-24,,Turnover by S. Dinwiddie (traveling)
5:06.0,M. Kleber makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,14-24,,
4:50.0,Personal foul by D. McDermott (drawn by D. Russell),,14-24,,
4:50.0,,,14-24,,C. LeVert enters the game for D. Carroll
4:50.0,J. Motley enters the game for D. Powell,,14-24,,
4:44.0,,,14-24,,J. Allen misses 2-pt shot from 2 ft
4:41.0,,,14-24,,Offensive rebound by J. Allen
4:37.0,,,14-24,,R. Hollis-Jefferson misses 3-pt shot from 22 ft
4:32.0,Defensive rebound by K. Collinsworth,,14-24,,
4:22.0,Turnover by K. Collinsworth (bad pass; steal by R. Hollis-Jefferson),,14-24,,
4:19.0,Personal foul by M. Kleber (drawn by R. Hollis-Jefferson),,14-24,,
4:19.0,,,14-24,,J. Okafor enters the game for J. Allen
4:19.0,J. Jones enters the game for K. Collinsworth,,14-24,,
4:09.0,,,14-24,,C. LeVert misses 2-pt shot from 8 ft
4:08.0,,,14-24,,Offensive rebound by C. LeVert
4:08.0,,,14-24,,Shooting foul by J. Jones (drawn by C. LeVert)
4:08.0,,,14-24,,C. LeVert misses free throw 1 of 2
4:08.0,,,14-24,,Offensive rebound by Team
4:08.0,,,14-24,,C. LeVert misses free throw 2 of 2
4:06.0,Defensive rebound by J. Motley,,14-24,,
3:49.0,D. McDermott makes 2-pt shot from 3 ft (assist by Y. Ferrell),2,16-24,,
3:27.0,,,16-24,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
3:26.0,Defensive rebound by Y. Ferrell,,16-24,,
3:18.0,J. Motley makes 2-pt shot from 7 ft (assist by M. Kleber),2,18-24,,
3:17.0,,,18-24,,Brooklyn full timeout
3:17.0,,,18-24,,Q. Acy enters the game for D. Russell
3:17.0,,,18-24,,J. Harris enters the game for R. Hollis-Jefferson
3:07.0,,,18-27,3,Q. Acy makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
2:47.0,Y. Ferrell makes 2-pt shot from 11 ft (assist by J. Motley),2,20-27,,
2:25.0,,,20-27,,Q. Acy misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by J. Motley,,20-27,,
2:16.0,Y. Ferrell misses 2-pt shot from 11 ft,,20-27,,
2:13.0,,,20-27,,Defensive rebound by C. LeVert
2:05.0,,,20-30,3,Q. Acy makes 3-pt shot from 24 ft (assist by C. LeVert)
1:53.0,J. Motley makes 2-pt shot from 12 ft (assist by Y. Ferrell),2,22-30,,
1:33.0,,,22-30,,Turnover by J. Okafor (bad pass; steal by M. Kleber)
1:25.0,Y. Ferrell misses 2-pt shot from 11 ft,,22-30,,
1:22.0,,,22-30,,Defensive rebound by J. Okafor
1:01.0,,,22-30,,Q. Acy misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by Team,,22-30,,
0:58.0,K. Collinsworth enters the game for D. McDermott,,22-30,,
0:46.0,,,22-30,,Personal foul by C. LeVert (drawn by Y. Ferrell)
0:33.0,,,22-30,,Personal foul by Q. Acy (drawn by M. Kleber)
0:33.0,M. Kleber makes free throw 1 of 2,1,23-30,,
0:33.0,M. Kleber makes free throw 2 of 2,1,24-30,,
0:15.0,,,24-30,,C. LeVert misses 3-pt shot from 23 ft
0:12.0,Defensive rebound by Y. Ferrell,,24-30,,
0:03.0,Y. Ferrell misses 2-pt shot from 20 ft,,24-30,,
0:02.0,Offensive rebound by K. Collinsworth,,24-30,,
0:01.0,K. Collinsworth misses 2-pt shot from 1 ft,,24-30,,
0:00.0,Offensive rebound by Team,,24-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Smith misses 2-pt shot from 19 ft,,24-30,,
11:47.0,,,24-30,,Defensive rebound by Team
11:24.0,,,24-33,3,S. Dinwiddie makes 3-pt shot from 31 ft (assist by Q. Acy)
11:13.0,Shooting foul by J. Harris (drawn by J. Jones),,24-33,,
11:13.0,J. Jones makes free throw 1 of 2,1,25-33,,
11:13.0,J. Jones misses free throw 2 of 2,,25-33,,
11:09.0,Offensive rebound by J. Jones,,25-33,,
11:07.0,D. Nowitzki makes 3-pt shot from 30 ft (assist by J. Jones),3,28-33,,
10:51.0,,,28-36,3,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert)
10:35.0,D. Nowitzki misses 2-pt shot from 11 ft,,28-36,,
10:32.0,,,28-36,,Defensive rebound by J. Okafor
10:27.0,,,28-38,2,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
10:10.0,D. Powell makes 2-pt shot from 22 ft (assist by Y. Ferrell),2,30-38,,
9:59.0,,,30-38,,D. Carroll enters the game for J. Okafor
9:54.0,,,30-41,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
9:37.0,J. Jones misses 3-pt shot from 24 ft,,30-41,,
9:36.0,,,30-41,,Defensive rebound by D. Carroll
9:20.0,,,30-41,,S. Dinwiddie misses 3-pt shot from 24 ft
9:19.0,,,30-41,,Offensive rebound by D. Carroll
9:19.0,,,30-43,2,D. Carroll makes 2-pt shot from 2 ft
9:17.0,Dallas full timeout,,30-43,,
9:17.0,D. McDermott enters the game for J. Jones,,30-43,,
9:02.0,D. McDermott makes 2-pt shot from 1 ft (assist by D. Smith),2,32-43,,
8:52.0,,,32-43,,Shooting foul by D. Nowitzki (drawn by J. Harris)
8:52.0,,,32-44,1,J. Harris makes free throw 1 of 2
8:52.0,,,32-45,1,J. Harris makes free throw 2 of 2
8:38.0,D. Powell makes 2-pt shot from 21 ft (assist by D. Nowitzki),2,34-45,,
8:15.0,,,34-45,,J. Harris misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by D. Smith,,34-45,,
8:03.0,D. Smith makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,37-45,,
7:40.0,,,37-47,2,C. LeVert makes 2-pt shot from 5 ft
7:13.0,D. Smith misses 3-pt shot from 25 ft,,37-47,,
7:10.0,,,37-47,,Defensive rebound by S. Dinwiddie
7:05.0,,,37-47,,Q. Acy misses 2-pt shot from 2 ft (block by D. Smith)
7:02.0,Defensive rebound by D. Nowitzki,,37-47,,
6:59.0,Y. Ferrell misses 3-pt shot from 24 ft,,37-47,,
6:57.0,,,37-47,,Defensive rebound by J. Harris
6:50.0,,,37-49,2,S. Dinwiddie makes 2-pt shot at rim
6:49.0,Dallas full timeout,,37-49,,
6:49.0,,,37-49,,J. Allen enters the game for Q. Acy
6:49.0,,,37-49,,R. Hollis-Jefferson enters the game for C. LeVert
6:49.0,K. Collinsworth enters the game for Y. Ferrell,,37-49,,
6:36.0,D. Smith makes 2-pt shot from 1 ft (assist by D. Powell),2,39-49,,
6:20.0,,,39-49,,J. Harris misses 3-pt shot from 22 ft
6:17.0,Defensive rebound by K. Collinsworth,,39-49,,
6:03.0,D. Nowitzki makes 2-pt shot from 13 ft,2,41-49,,
6:03.0,Shooting foul by S. Dinwiddie (drawn by D. Nowitzki),,41-49,,
6:03.0,,,41-49,,D. Russell enters the game for S. Dinwiddie
6:03.0,D. Nowitzki makes free throw 1 of 1,1,42-49,,
5:40.0,,,42-49,,R. Hollis-Jefferson misses 2-pt shot from 9 ft (block by D. Smith)
5:37.0,,,42-49,,Offensive rebound by R. Hollis-Jefferson
5:37.0,,,42-49,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
5:35.0,Defensive rebound by D. Smith,,42-49,,
5:24.0,D. McDermott misses 3-pt shot from 22 ft,,42-49,,
5:20.0,Offensive rebound by D. Powell,,42-49,,
5:13.0,D. Powell misses 2-pt shot from 5 ft,,42-49,,
5:12.0,,,42-49,,Defensive rebound by D. Carroll
5:02.0,,,42-51,2,D. Russell makes 2-pt shot from 8 ft
5:02.0,,,42-51,,Shooting foul by K. Collinsworth (drawn by D. Russell)
5:02.0,,,42-51,,C. LeVert enters the game for J. Harris
5:02.0,,,42-51,,D. Russell misses free throw 1 of 1
5:00.0,Defensive rebound by D. Nowitzki,,42-51,,
4:51.0,D. Smith makes 2-pt shot from 5 ft,2,44-51,,
4:51.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Smith),,44-51,,
4:51.0,D. Smith makes free throw 1 of 1,1,45-51,,
4:44.0,,,45-53,2,D. Russell makes 2-pt shot from 1 ft (assist by C. LeVert)
4:30.0,D. Nowitzki misses 2-pt shot from 18 ft,,45-53,,
4:27.0,,,45-53,,Defensive rebound by D. Carroll
4:18.0,,,45-55,2,C. LeVert makes 2-pt shot at rim (assist by D. Carroll)
4:03.0,D. Smith misses 3-pt shot from 25 ft,,45-55,,
4:00.0,,,45-55,,Defensive rebound by C. LeVert
3:54.0,Personal foul by D. Powell (drawn by C. LeVert),,45-55,,
3:54.0,J. Motley enters the game for D. Smith,,45-55,,
3:54.0,Y. Ferrell enters the game for D. Powell,,45-55,,
3:54.0,J. Jones enters the game for K. Collinsworth,,45-55,,
3:54.0,M. Kleber enters the game for D. Nowitzki,,45-55,,
3:46.0,,,45-55,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by Team,,45-55,,
3:36.0,J. Jones misses 2-pt shot from 14 ft,,45-55,,
3:33.0,,,45-55,,Defensive rebound by D. Carroll
3:21.0,,,45-55,,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by M. Kleber)
3:18.0,Defensive rebound by D. McDermott,,45-55,,
3:10.0,Y. Ferrell makes 2-pt shot from 15 ft,2,47-55,,
2:51.0,,,47-55,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by J. Motley,,47-55,,
2:43.0,Turnover by J. Motley (traveling),,47-55,,
2:43.0,,,47-55,,Brooklyn full timeout
2:43.0,,,47-55,,S. Dinwiddie enters the game for R. Hollis-Jefferson
2:30.0,,,47-57,2,J. Allen makes 2-pt shot from 4 ft (assist by D. Russell)
2:10.0,J. Motley makes 2-pt shot from 2 ft,2,49-57,,
2:10.0,Shooting foul by J. Allen (drawn by J. Motley),,49-57,,
2:10.0,J. Motley misses free throw 1 of 1,,49-57,,
2:06.0,Offensive rebound by J. Jones,,49-57,,
2:05.0,J. Jones makes 2-pt shot at rim,2,51-57,,
1:52.0,,,51-57,,Turnover by D. Carroll (traveling)
1:41.0,Y. Ferrell misses 3-pt shot from 24 ft,,51-57,,
1:36.0,Offensive rebound by J. Jones,,51-57,,
1:35.0,J. Jones makes 3-pt shot from 22 ft,3,54-57,,
1:20.0,Personal foul by D. McDermott (drawn by C. LeVert),,54-57,,
1:12.0,,,54-57,,D. Russell misses 2-pt shot from 2 ft
1:09.0,,,54-57,,Offensive rebound by J. Allen
1:09.0,,,54-59,2,J. Allen makes 2-pt shot at rim
0:54.0,D. McDermott misses 2-pt shot from 18 ft,,54-59,,
0:54.0,,,54-59,,Defensive rebound by Team
0:29.0,,,54-59,,S. Dinwiddie misses 3-pt shot from 28 ft
0:28.0,,,54-59,,Offensive rebound by J. Allen
0:06.0,,,54-59,,C. LeVert misses 2-pt shot from 2 ft
0:03.0,Defensive rebound by Y. Ferrell,,54-59,,
0:00.0,J. Jones makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Jones misses 2-pt shot from 7 ft,,56-59,,
11:40.0,,,56-59,,Defensive rebound by D. Russell
11:37.0,,,56-59,,Shooting foul by J. Jones (drawn by R. Hollis-Jefferson)
11:37.0,,,56-60,1,R. Hollis-Jefferson makes free throw 1 of 2
11:37.0,,,56-60,,R. Hollis-Jefferson misses free throw 2 of 2
11:35.0,,,56-60,,Offensive rebound by R. Hollis-Jefferson
11:34.0,,,56-62,2,R. Hollis-Jefferson makes 2-pt shot at rim
11:19.0,D. Smith makes 2-pt shot at rim,2,58-62,,
11:01.0,,,58-64,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
10:43.0,J. Jones misses 2-pt shot from 2 ft (block by J. Allen),,58-64,,
10:41.0,Offensive rebound by J. Jones,,58-64,,
10:41.0,J. Jones misses 2-pt shot from 1 ft (block by J. Allen),,58-64,,
10:41.0,Offensive rebound by J. Jones,,58-64,,
10:41.0,J. Jones makes 2-pt shot from 1 ft,2,60-64,,
10:41.0,Shooting foul by J. Harris (drawn by J. Jones),,60-64,,
10:41.0,,,60-64,,Q. Acy enters the game for J. Allen
10:41.0,J. Jones makes free throw 1 of 1,1,61-64,,
10:21.0,,,61-66,2,D. Russell makes 2-pt shot from 5 ft
10:00.0,D. Smith misses 2-pt shot from 22 ft,,61-66,,
9:58.0,,,61-66,,Defensive rebound by Q. Acy
9:39.0,,,61-66,,D. Carroll misses 3-pt shot from 22 ft
9:35.0,Defensive rebound by D. Powell,,61-66,,
9:32.0,,,61-66,,Personal foul by D. Russell (drawn by J. Jones)
9:23.0,Shooting foul by D. Russell (drawn by D. Powell),,61-66,,
9:23.0,D. Powell makes free throw 1 of 2,1,62-66,,
9:23.0,D. Powell makes free throw 2 of 2,1,63-66,,
9:14.0,,,63-68,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell)
9:03.0,D. Powell makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,66-68,,
8:45.0,,,66-68,,D. Carroll misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by D. Nowitzki,,66-68,,
8:36.0,D. Smith makes 2-pt shot from 1 ft,2,68-68,,
8:15.0,Personal foul by J. Jones (drawn by J. Harris),,68-68,,
8:13.0,Personal foul by D. Smith (drawn by D. Russell),,68-68,,
8:13.0,,,68-68,,J. Allen enters the game for Q. Acy
8:09.0,,,68-68,,Turnover by D. Russell (lost ball; steal by D. Smith)
8:06.0,D. Smith makes 2-pt shot at rim,2,70-68,,
8:05.0,,,70-68,,Brooklyn full timeout
7:44.0,,,70-68,,D. Russell misses 2-pt shot from 5 ft
7:41.0,Defensive rebound by D. Powell,,70-68,,
7:30.0,Turnover by D. Powell (out of bounds lost ball),,70-68,,
7:14.0,,,70-68,,Turnover by D. Russell (lost ball; steal by D. Powell)
7:10.0,D. Powell makes 2-pt shot at rim,2,72-68,,
6:54.0,,,72-68,,Turnover by J. Harris (turnover)
6:54.0,,,72-68,,S. Dinwiddie enters the game for J. Harris
6:47.0,D. Powell makes 3-pt shot from 24 ft (assist by D. Smith),3,75-68,,
6:28.0,,,75-70,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft
6:15.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Smith),3,78-70,,
5:59.0,,,78-70,,D. Russell misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by Team,,78-70,,
5:36.0,D. Smith makes 2-pt shot from 22 ft,2,80-70,,
5:30.0,,,80-72,2,D. Carroll makes 2-pt shot from 5 ft (assist by D. Russell)
5:30.0,,,80-72,,Shooting foul by D. Powell (drawn by D. Carroll)
5:30.0,,,80-72,,C. LeVert enters the game for D. Russell
5:30.0,Y. Ferrell enters the game for J. Jones,,80-72,,
5:30.0,,,80-73,1,D. Carroll makes free throw 1 of 1
5:09.0,D. Smith misses 2-pt shot from 18 ft,,80-73,,
5:06.0,,,80-73,,Defensive rebound by D. Carroll
5:01.0,,,80-76,3,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
4:57.0,Dallas full timeout,,80-76,,
4:57.0,M. Kleber enters the game for D. Powell,,80-76,,
4:57.0,J. Motley enters the game for D. Nowitzki,,80-76,,
4:42.0,D. Smith misses 2-pt shot from 9 ft,,80-76,,
4:38.0,,,80-76,,Defensive rebound by S. Dinwiddie
4:30.0,,,80-78,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
4:13.0,D. McDermott misses 2-pt shot from 23 ft,,80-78,,
4:11.0,,,80-78,,Defensive rebound by J. Allen
3:56.0,,,80-80,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
3:30.0,,,80-80,,Personal foul by S. Dinwiddie (drawn by D. Smith)
3:30.0,,,80-80,,Q. Acy enters the game for D. Carroll
3:30.0,,,80-80,,J. Harris enters the game for J. Allen
3:30.0,K. Collinsworth enters the game for D. Smith,,80-80,,
3:23.0,J. Motley makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,82-80,,
3:01.0,,,82-80,,J. Harris misses 3-pt shot from 22 ft
2:59.0,Defensive rebound by J. Motley,,82-80,,
2:50.0,M. Kleber misses 3-pt shot from 24 ft,,82-80,,
2:46.0,,,82-80,,Defensive rebound by J. Harris
2:28.0,,,82-83,3,S. Dinwiddie makes 3-pt shot from 23 ft (assist by Q. Acy)
2:15.0,Shooting foul by S. Dinwiddie (drawn by K. Collinsworth),,82-83,,
2:15.0,K. Collinsworth makes free throw 1 of 2,1,83-83,,
2:15.0,,,83-83,,D. Carroll enters the game for R. Hollis-Jefferson
2:15.0,K. Collinsworth makes free throw 2 of 2,1,84-83,,
2:07.0,,,84-83,,S. Dinwiddie misses 2-pt shot from 1 ft
2:05.0,,,84-83,,Offensive rebound by S. Dinwiddie
2:05.0,,,84-83,,Shooting foul by J. Motley (drawn by S. Dinwiddie)
2:05.0,,,84-84,1,S. Dinwiddie makes free throw 1 of 2
2:05.0,,,84-85,1,S. Dinwiddie makes free throw 2 of 2
1:52.0,D. McDermott misses 2-pt shot from 14 ft,,84-85,,
1:49.0,,,84-85,,Defensive rebound by S. Dinwiddie
1:39.0,,,84-85,,C. LeVert misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by J. Motley,,84-85,,
1:28.0,Y. Ferrell misses 3-pt shot from 25 ft,,84-85,,
1:25.0,Offensive rebound by J. Motley,,84-85,,
1:23.0,J. Motley misses 2-pt shot from 2 ft,,84-85,,
1:19.0,Offensive rebound by K. Collinsworth,,84-85,,
1:19.0,K. Collinsworth makes 2-pt shot at rim,2,86-85,,
1:00.0,,,86-88,3,D. Carroll makes 3-pt shot from 23 ft (assist by J. Harris)
0:40.0,M. Kleber makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,89-88,,
0:27.0,,,89-88,,C. LeVert misses 2-pt shot from 9 ft
0:23.0,,,89-88,,Offensive rebound by C. LeVert
0:01.0,,,89-88,,J. Harris misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by D. McDermott,,89-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,89-88,,D. Carroll misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by J. Jones,,89-88,,
11:19.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by K. Collinsworth),3,92-88,,
11:01.0,,,92-90,2,J. Harris makes 2-pt shot from 15 ft (assist by Q. Acy)
10:45.0,Turnover by K. Collinsworth (bad pass; steal by D. Carroll),,92-90,,
10:42.0,,,92-92,2,D. Carroll makes 2-pt shot from 2 ft
10:23.0,M. Kleber misses 2-pt shot from 3 ft (block by Q. Acy),,92-92,,
10:23.0,Offensive rebound by Team,,92-92,,
10:17.0,Offensive charge foul by K. Collinsworth (drawn by Q. Acy),,92-92,,
10:17.0,Turnover by K. Collinsworth (offensive foul),,92-92,,
10:03.0,,,92-92,,Turnover by S. Dinwiddie (out of bounds lost ball)
9:54.0,Y. Ferrell misses 2-pt shot from 17 ft,,92-92,,
9:50.0,,,92-92,,Defensive rebound by Q. Acy
9:38.0,,,92-94,2,C. LeVert makes 2-pt shot from 1 ft
9:38.0,,,92-94,,Shooting foul by M. Kleber (drawn by C. LeVert)
9:38.0,,,92-94,,D. Russell enters the game for S. Dinwiddie
9:38.0,D. McDermott enters the game for J. Motley,,92-94,,
9:38.0,D. Powell enters the game for K. Collinsworth,,92-94,,
9:38.0,D. Nowitzki enters the game for M. Kleber,,92-94,,
9:38.0,,,92-95,1,C. LeVert makes free throw 1 of 1
9:18.0,Turnover by D. Nowitzki (out of bounds lost ball),,92-95,,
9:18.0,,,92-95,,R. Hollis-Jefferson enters the game for D. Carroll
9:05.0,,,92-95,,Q. Acy misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by D. McDermott,,92-95,,
8:52.0,D. Nowitzki misses 2-pt shot from 17 ft,,92-95,,
8:49.0,,,92-95,,Defensive rebound by D. Russell
8:40.0,,,92-95,,C. LeVert misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by D. Nowitzki,,92-95,,
8:33.0,Y. Ferrell misses 2-pt shot from 14 ft,,92-95,,
8:28.0,,,92-95,,Defensive rebound by J. Harris
8:21.0,,,92-95,,Q. Acy misses 3-pt shot from 22 ft
8:18.0,Defensive rebound by D. McDermott,,92-95,,
8:06.0,D. Powell makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,94-95,,
7:47.0,,,94-97,2,C. LeVert makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
7:28.0,,,94-97,,Personal foul by C. LeVert (drawn by Y. Ferrell)
7:28.0,,,94-97,,J. Allen enters the game for Q. Acy
7:28.0,,,94-97,,S. Dinwiddie enters the game for C. LeVert
