time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (L. Aldridge gains possession)
11:39.0,,,0-3,3,L. Aldridge makes 3-pt shot from 26 ft (assist by D. Green)
11:11.0,D. Green makes 2-pt shot at rim (assist by Z. Pachulia),2,2-3,,
10:49.0,,,2-3,,L. Aldridge misses 2-pt shot from 18 ft
10:45.0,,,2-3,,Offensive rebound by K. Anderson
10:44.0,,,2-3,,K. Anderson misses 2-pt shot from 8 ft
10:44.0,,,2-3,,Offensive rebound by K. Anderson
10:39.0,,,2-5,2,K. Anderson makes 2-pt shot at rim
10:28.0,K. Thompson misses 2-pt shot from 7 ft (block by K. Anderson),,2-5,,
10:28.0,Offensive rebound by Team,,2-5,,
10:21.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by K. Thompson),2,4-5,,
10:00.0,,,4-8,3,P. Gasol makes 3-pt shot from 22 ft (assist by L. Aldridge)
9:43.0,K. Durant misses 3-pt shot from 25 ft,,4-8,,
9:43.0,,,4-8,,Defensive rebound by P. Gasol
9:36.0,,,4-10,2,K. Anderson makes 2-pt shot from 10 ft (assist by P. Mills)
9:28.0,K. Thompson makes 2-pt shot at rim (assist by Z. Pachulia),2,6-10,,
9:11.0,,,6-10,,L. Aldridge misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by Team,,6-10,,
9:00.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,9-10,,
8:41.0,,,9-12,2,L. Aldridge makes 2-pt shot from 1 ft
8:40.0,Turnover by Z. Pachulia (turnover),,9-12,,
8:37.0,,,9-12,,D. Green misses 2-pt shot from 14 ft
8:35.0,,,9-12,,Offensive rebound by P. Mills
8:31.0,,,9-15,3,L. Aldridge makes 3-pt shot from 25 ft (assist by K. Anderson)
8:18.0,S. Curry misses 3-pt shot from 24 ft,,9-15,,
8:18.0,,,9-15,,Defensive rebound by Team
8:11.0,Personal foul by S. Curry (drawn by P. Mills),,9-15,,
7:53.0,,,9-15,,P. Gasol misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by Z. Pachulia,,9-15,,
7:49.0,Offensive foul by D. Green (drawn by D. Green),,9-15,,
7:49.0,Turnover by D. Green (offensive foul),,9-15,,
7:30.0,,,9-17,2,D. Green makes 2-pt shot from 1 ft
7:29.0,Golden State full timeout,,9-17,,
7:13.0,Turnover by Z. Pachulia (bad pass; steal by P. Mills),,9-17,,
7:03.0,,,9-17,,P. Gasol misses 2-pt shot from 2 ft (block by K. Durant)
7:03.0,Defensive rebound by K. Durant,,9-17,,
7:02.0,,,9-17,,Personal foul by P. Mills (drawn by K. Durant)
6:44.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,12-17,,
6:27.0,,,12-20,3,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol)
6:13.0,K. Thompson misses 3-pt shot from 29 ft,,12-20,,
6:10.0,,,12-20,,Defensive rebound by P. Gasol
5:58.0,,,12-20,,L. Aldridge misses 2-pt shot from 15 ft
5:58.0,Defensive rebound by K. Thompson,,12-20,,
5:52.0,A. Iguodala enters the game for D. Green,,12-20,,
5:52.0,J. McGee enters the game for Z. Pachulia,,12-20,,
5:44.0,K. Durant misses 2-pt shot from 4 ft (block by K. Anderson),,12-20,,
5:41.0,,,12-20,,Defensive rebound by D. Green
5:34.0,,,12-20,,P. Gasol misses 2-pt shot from 6 ft (block by A. Iguodala)
5:31.0,Defensive rebound by K. Durant,,12-20,,
5:27.0,K. Durant misses 2-pt shot from 6 ft (block by D. Green),,12-20,,
5:23.0,,,12-20,,Defensive rebound by D. Green
5:21.0,,,12-20,,D. Green misses 3-pt shot from 26 ft
5:20.0,,,12-20,,Offensive rebound by Team
5:20.0,Loose ball foul by K. Thompson (drawn by P. Gasol),,12-20,,
5:20.0,,,12-20,,M. Ginobili enters the game for K. Anderson
5:20.0,,,12-20,,D. Murray enters the game for P. Mills
5:09.0,,,12-20,,L. Aldridge misses 2-pt shot from 1 ft
5:03.0,,,12-20,,Offensive rebound by L. Aldridge
5:03.0,,,12-22,2,L. Aldridge makes 2-pt shot at rim
5:01.0,Golden State full timeout,,12-22,,
5:01.0,,,12-22,,R. Gay enters the game for P. Gasol
4:53.0,K. Durant misses 2-pt shot from 13 ft,,12-22,,
4:50.0,,,12-22,,Defensive rebound by D. Murray
4:40.0,,,12-25,3,R. Gay makes 3-pt shot from 25 ft
4:29.0,K. Thompson misses 3-pt shot from 27 ft,,12-25,,
4:23.0,,,12-25,,Defensive rebound by D. Green
4:08.0,,,12-25,,D. Green misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by S. Curry,,12-25,,
4:01.0,S. Curry misses 2-pt shot from 7 ft,,12-25,,
3:58.0,,,12-25,,Defensive rebound by D. Murray
3:54.0,,,12-28,3,M. Ginobili makes 3-pt shot from 23 ft (assist by D. Green)
3:45.0,,,12-28,,Technical foul by Team
3:45.0,,,12-29,1,L. Aldridge makes technical free throw
3:45.0,,,12-29,,B. Paul enters the game for D. Green
3:45.0,S. Livingston enters the game for K. Thompson,,12-29,,
3:42.0,Turnover by S. Livingston (bad pass; steal by D. Murray),,12-29,,
3:32.0,,,12-31,2,M. Ginobili makes 2-pt shot from 1 ft
3:18.0,K. Durant misses 2-pt shot at rim (block by L. Aldridge),,12-31,,
3:14.0,,,12-31,,Defensive rebound by R. Gay
3:07.0,,,12-31,,B. Paul misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by K. Durant,,12-31,,
2:46.0,K. Durant misses 2-pt shot from 12 ft (block by L. Aldridge),,12-31,,
2:46.0,,,12-31,,Defensive rebound by D. Murray
2:41.0,,,12-31,,Turnover by D. Murray (bad pass; steal by A. Iguodala)
2:39.0,Shooting foul by L. Aldridge (drawn by A. Iguodala),,12-31,,
2:39.0,A. Iguodala misses free throw 1 of 2,,12-31,,
2:39.0,Offensive rebound by Team,,12-31,,
2:39.0,A. Iguodala misses free throw 2 of 2,,12-31,,
2:36.0,,,12-31,,Defensive rebound by R. Gay
2:18.0,,,12-31,,Turnover by M. Ginobili (bad pass; steal by J. McGee)
2:16.0,Shooting foul by R. Gay (drawn by K. Durant),,12-31,,
2:16.0,K. Durant makes free throw 1 of 2,1,13-31,,
2:16.0,,,13-31,,San Antonio full timeout
2:16.0,D. Green enters the game for J. McGee,,13-31,,
2:16.0,K. Durant makes free throw 2 of 2,1,14-31,,
2:05.0,,,14-31,,M. Ginobili misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by S. Curry,,14-31,,
1:56.0,S. Livingston misses 2-pt shot from 14 ft,,14-31,,
1:49.0,Offensive rebound by D. Green,,14-31,,
1:49.0,D. Green makes 2-pt shot at rim,2,16-31,,
1:36.0,,,16-31,,Turnover by M. Ginobili (bad pass; steal by S. Curry)
1:28.0,A. Iguodala misses 2-pt shot from 8 ft,,16-31,,
1:25.0,,,16-31,,Defensive rebound by R. Gay
1:18.0,,,16-31,,Turnover by D. Murray (bad pass; steal by A. Iguodala)
1:14.0,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant),2,18-31,,
1:08.0,,,18-31,,San Antonio full timeout
1:08.0,J. McGee enters the game for K. Durant,,18-31,,
0:57.0,,,18-33,2,D. Murray makes 2-pt shot from 19 ft
0:42.0,S. Curry makes 3-pt shot from 25 ft,3,21-33,,
0:18.0,,,21-33,,B. Paul misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by D. Green,,21-33,,
0:03.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,24-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. West makes 2-pt shot from 16 ft (assist by P. McCaw),2,26-33,,
11:17.0,,,26-35,2,R. Gay makes 2-pt shot from 13 ft
11:00.0,K. Thompson makes 2-pt shot from 19 ft (assist by P. McCaw),2,28-35,,
10:41.0,,,28-38,3,P. Mills makes 3-pt shot from 24 ft (assist by R. Gay)
10:18.0,D. West misses 2-pt shot from 16 ft,,28-38,,
10:14.0,,,28-38,,Defensive rebound by M. Ginobili
10:07.0,,,28-38,,Turnover by M. Ginobili (lost ball; steal by D. West)
10:07.0,,,28-38,,Personal foul by M. Ginobili (drawn by A. Iguodala)
10:07.0,,,28-38,,D. Green enters the game for M. Ginobili
9:56.0,Turnover by A. Iguodala (traveling),,28-38,,
9:36.0,,,28-40,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Green)
9:14.0,K. Thompson makes 2-pt shot from 13 ft (assist by D. Green),2,30-40,,
9:01.0,,,30-40,,Turnover by R. Gay (step out of bounds)
9:01.0,,,30-40,,K. Anderson enters the game for R. Gay
8:45.0,K. Thompson makes 2-pt shot from 14 ft (assist by A. Iguodala),2,32-40,,
8:25.0,,,32-40,,B. Paul misses 2-pt shot at rim
8:25.0,,,32-40,,Offensive rebound by K. Anderson
8:25.0,,,32-40,,Shooting foul by P. McCaw (drawn by K. Anderson)
8:25.0,,,32-41,1,K. Anderson makes free throw 1 of 2
8:25.0,,,32-42,1,K. Anderson makes free throw 2 of 2
8:09.0,K. Thompson misses 2-pt shot from 14 ft,,32-42,,
8:07.0,,,32-42,,Defensive rebound by K. Anderson
7:55.0,,,32-44,2,D. Green makes 2-pt shot from 18 ft (assist by K. Anderson)
7:36.0,P. McCaw misses 3-pt shot from 22 ft,,32-44,,
7:34.0,,,32-44,,Defensive rebound by B. Paul
7:21.0,,,32-46,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
7:07.0,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green),3,35-46,,
7:05.0,,,35-46,,San Antonio full timeout
7:05.0,,,35-46,,L. Aldridge enters the game for B. Paul
7:05.0,K. Durant enters the game for A. Iguodala,,35-46,,
7:05.0,S. Livingston enters the game for D. Green,,35-46,,
6:46.0,,,35-46,,L. Aldridge misses 2-pt shot from 8 ft
6:42.0,Defensive rebound by K. Durant,,35-46,,
6:39.0,Turnover by K. Durant (traveling),,35-46,,
6:39.0,,,35-46,,D. Murray enters the game for P. Mills
6:18.0,,,35-46,,L. Aldridge misses 2-pt shot from 7 ft (block by D. West)
6:16.0,Defensive rebound by K. Thompson,,35-46,,
6:10.0,K. Durant misses 2-pt shot from 20 ft,,35-46,,
6:07.0,,,35-46,,Defensive rebound by L. Aldridge
6:03.0,,,35-46,,D. Green misses 3-pt shot from 25 ft
5:57.0,,,35-46,,Offensive rebound by L. Aldridge
5:57.0,,,35-46,,L. Aldridge misses 2-pt shot at rim (block by D. West)
5:56.0,Defensive rebound by K. Thompson,,35-46,,
5:48.0,K. Thompson misses 3-pt shot from 25 ft,,35-46,,
5:48.0,,,35-46,,Defensive rebound by P. Gasol
5:35.0,,,35-48,2,K. Anderson makes 2-pt shot from 1 ft (assist by D. Murray)
5:12.0,K. Durant misses 2-pt shot from 15 ft,,35-48,,
5:12.0,,,35-48,,Defensive rebound by L. Aldridge
4:56.0,,,35-48,,Shooting foul by P. McCaw (drawn by L. Aldridge)
4:56.0,,,35-49,1,L. Aldridge makes free throw 1 of 2
4:56.0,S. Curry enters the game for P. McCaw,,35-49,,
4:56.0,D. Green enters the game for D. West,,35-49,,
4:56.0,J. Bell enters the game for K. Thompson,,35-49,,
4:56.0,,,35-49,,L. Aldridge misses free throw 2 of 2
4:53.0,Defensive rebound by D. Green,,35-49,,
4:46.0,Turnover by D. Green (bad pass),,35-49,,
4:26.0,,,35-49,,Shooting foul by D. Green (drawn by L. Aldridge)
4:26.0,,,35-50,1,L. Aldridge makes free throw 1 of 2
4:26.0,,,35-51,1,L. Aldridge makes free throw 2 of 2
4:17.0,S. Curry makes 3-pt shot from 25 ft,3,38-51,,
3:51.0,,,38-51,,R. Gay enters the game for K. Anderson
3:51.0,,,38-51,,M. Ginobili enters the game for D. Murray
3:51.0,,,38-51,,P. Mills enters the game for P. Gasol
3:50.0,,,38-51,,Turnover by Team (shot clock)
3:38.0,K. Durant makes 3-pt shot from 23 ft (assist by D. Green),3,41-51,,
3:18.0,,,41-51,,P. Mills misses 3-pt shot from 23 ft
3:18.0,,,41-51,,Offensive rebound by L. Aldridge
3:14.0,,,41-51,,L. Aldridge misses 2-pt shot from 1 ft (block by S. Livingston)
3:14.0,,,41-51,,Offensive rebound by L. Aldridge
3:14.0,,,41-51,,L. Aldridge misses 2-pt shot from 1 ft
3:14.0,,,41-51,,Offensive rebound by Team
3:14.0,,,41-51,,Shooting foul by K. Durant (drawn by L. Aldridge)
3:14.0,,,41-51,,L. Aldridge misses free throw 1 of 2
3:14.0,,,41-51,,Offensive rebound by Team
3:14.0,,,41-52,1,L. Aldridge makes free throw 2 of 2
3:08.0,Turnover by S. Curry (bad pass; steal by P. Mills),,41-52,,
2:47.0,,,41-52,,D. Green misses 2-pt shot from 7 ft
2:43.0,Defensive rebound by D. Green,,41-52,,
2:32.0,Turnover by K. Durant (bad pass; steal by L. Aldridge),,41-52,,
2:27.0,,,41-52,,R. Gay misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by S. Curry,,41-52,,
2:21.0,S. Curry makes 2-pt shot from 3 ft,2,43-52,,
2:21.0,,,43-52,,Violation by D. Green (def goaltending)
2:09.0,,,43-52,,Shooting foul by S. Livingston (drawn by M. Ginobili)
2:09.0,Golden State full timeout,,43-52,,
2:09.0,K. Thompson enters the game for J. Bell,,43-52,,
2:09.0,A. Iguodala enters the game for S. Livingston,,43-52,,
2:09.0,,,43-53,1,M. Ginobili makes free throw 1 of 2
2:09.0,,,43-53,,M. Ginobili misses free throw 2 of 2
2:06.0,Defensive rebound by K. Durant,,43-53,,
1:52.0,D. Green makes 2-pt shot from 1 ft (assist by K. Durant),2,45-53,,
1:33.0,,,45-53,,R. Gay misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by Team,,45-53,,
1:21.0,Shooting foul by L. Aldridge (drawn by S. Curry),,45-53,,
1:21.0,S. Curry makes free throw 1 of 2,1,46-53,,
1:21.0,S. Curry makes free throw 2 of 2,1,47-53,,
0:58.0,,,47-53,,R. Gay misses 2-pt shot from 4 ft
0:56.0,,,47-53,,Offensive rebound by R. Gay
