time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Allen (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. J. Allen (B. Griffin gains possession)
11:46.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by J. Harris,,0-0,,
11:28.0,J. Allen misses 2-pt shot from 1 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by A. Drummond
11:22.0,,,0-3,3,R. Bullock makes 3-pt shot from 24 ft (assist by I. Smith)
11:05.0,A. Crabbe makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,3-3,,
10:43.0,,,3-3,,I. Smith misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by A. Crabbe,,3-3,,
10:35.0,A. Crabbe misses 3-pt shot from 26 ft,,3-3,,
10:31.0,,,3-3,,Defensive rebound by S. Johnson
10:25.0,,,3-3,,S. Johnson misses 2-pt shot from 9 ft
10:21.0,Defensive rebound by J. Allen,,3-3,,
10:00.0,S. Dinwiddie misses 3-pt shot from 23 ft,,3-3,,
9:57.0,,,3-3,,Defensive rebound by R. Bullock
9:54.0,,,3-3,,B. Griffin misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by J. Allen,,3-3,,
9:40.0,J. Allen makes 2-pt shot from 1 ft (assist by J. Harris),2,5-3,,
9:26.0,,,5-3,,S. Johnson misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by D. Carroll,,5-3,,
9:17.0,D. Carroll makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,8-3,,
9:16.0,,,8-3,,Detroit full timeout
8:49.0,,,8-5,2,B. Griffin makes 2-pt shot from 1 ft (assist by I. Smith)
8:31.0,J. Harris makes 3-pt shot from 24 ft (assist by J. Allen),3,11-5,,
8:13.0,,,11-5,,B. Griffin misses 2-pt shot from 22 ft
8:11.0,Defensive rebound by S. Dinwiddie,,11-5,,
8:08.0,J. Harris misses 3-pt shot from 24 ft,,11-5,,
8:08.0,,,11-5,,Defensive rebound by I. Smith
8:02.0,,,11-7,2,I. Smith makes 2-pt shot at rim
7:53.0,Turnover by A. Crabbe (traveling),,11-7,,
7:44.0,,,11-7,,Shooting foul by S. Dinwiddie (drawn by I. Smith)
7:44.0,,,11-7,,I. Smith misses free throw 1 of 2
7:44.0,,,11-7,,Offensive rebound by Team
7:44.0,,,11-7,,I. Smith misses free throw 2 of 2
7:41.0,,,11-7,,Offensive rebound by B. Griffin
7:38.0,,,11-7,,A. Drummond misses 2-pt shot from 4 ft (block by J. Allen)
7:33.0,,,11-7,,Offensive rebound by A. Drummond
7:32.0,,,11-9,2,A. Drummond makes 2-pt shot at rim
7:20.0,D. Carroll misses 2-pt shot from 1 ft,,11-9,,
7:17.0,,,11-9,,Defensive rebound by A. Drummond
7:14.0,,,11-9,,I. Smith misses 2-pt shot from 2 ft (block by A. Crabbe)
7:11.0,Defensive rebound by J. Allen,,11-9,,
7:04.0,D. Carroll misses 3-pt shot from 25 ft,,11-9,,
6:59.0,,,11-9,,Defensive rebound by A. Drummond
6:46.0,,,11-11,2,S. Johnson makes 2-pt shot from 7 ft
6:34.0,Turnover by J. Harris (bad pass),,11-11,,
6:16.0,,,11-11,,A. Drummond misses 2-pt shot at rim
6:12.0,Defensive rebound by J. Allen,,11-11,,
6:07.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by D. Carroll),3,14-11,,
5:51.0,,,14-11,,R. Bullock misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by J. Harris,,14-11,,
5:40.0,A. Crabbe misses 3-pt shot from 23 ft,,14-11,,
5:38.0,,,14-11,,Defensive rebound by A. Drummond
5:33.0,,,14-13,2,S. Johnson makes 2-pt shot at rim
5:33.0,Brooklyn full timeout,,14-13,,
5:33.0,,,14-13,,L. Kennard enters the game for A. Drummond
5:33.0,,,14-13,,A. Tolliver enters the game for R. Bullock
5:33.0,D. Russell enters the game for J. Harris,,14-13,,
5:15.0,Shooting foul by B. Griffin (drawn by S. Dinwiddie),,14-13,,
5:15.0,S. Dinwiddie makes free throw 1 of 3,1,15-13,,
5:15.0,S. Dinwiddie makes free throw 2 of 3,1,16-13,,
5:15.0,S. Dinwiddie makes free throw 3 of 3,1,17-13,,
4:59.0,,,17-13,,I. Smith misses 2-pt shot from 2 ft
