time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. W. Cauley-Stein (J. Jackson gains possession),,,,Jump ball: C. Capela vs. W. Cauley-Stein (J. Jackson gains possession)
11:46.0,D. Fox misses 3-pt shot from 26 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by P. Tucker
11:33.0,,,0-3,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Paul)
11:26.0,Turnover by D. Fox (bad pass),,0-3,,
11:09.0,,,0-3,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by J. Jackson)
11:06.0,Defensive rebound by J. Jackson,,0-3,,
11:00.0,B. Bogdanovic misses 2-pt shot from 11 ft,,0-3,,
10:57.0,,,0-3,,Defensive rebound by C. Capela
10:49.0,,,0-3,,Turnover by J. Harden (bad pass)
10:32.0,J. Jackson misses 2-pt shot from 11 ft,,0-3,,
10:29.0,,,0-3,,Defensive rebound by L. Mbah a Moute
10:23.0,,,0-5,2,L. Mbah a Moute makes 2-pt shot from 1 ft
10:23.0,,,0-5,,Shooting foul by J. Sampson (drawn by L. Mbah a Moute)
10:23.0,,,0-6,1,L. Mbah a Moute makes free throw 1 of 1
10:01.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Jackson),3,3-6,,
9:49.0,,,3-6,,Turnover by C. Paul (bad pass; steal by B. Bogdanovic)
9:41.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,5-6,,
9:27.0,,,5-6,,J. Harden misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
9:24.0,Defensive rebound by J. Sampson,,5-6,,
9:21.0,B. Bogdanovic misses 3-pt shot from 26 ft,,5-6,,
9:19.0,Offensive rebound by W. Cauley-Stein,,5-6,,
9:18.0,W. Cauley-Stein misses 2-pt shot at rim,,5-6,,
9:16.0,,,5-6,,Defensive rebound by P. Tucker
9:13.0,,,5-6,,Turnover by J. Harden (bad pass; steal by W. Cauley-Stein)
9:04.0,,,5-6,,Personal foul by L. Mbah a Moute (drawn by W. Cauley-Stein)
8:52.0,J. Jackson misses 3-pt shot from 27 ft,,5-6,,
8:52.0,,,5-6,,Defensive rebound by C. Capela
8:44.0,,,5-6,,J. Harden misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by B. Bogdanovic,,5-6,,
8:29.0,J. Sampson makes 2-pt shot from 7 ft,2,7-6,,
8:11.0,,,7-6,,P. Tucker misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by J. Jackson,,7-6,,
8:04.0,D. Fox misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,7-6,,
8:01.0,,,7-6,,Defensive rebound by C. Capela
7:57.0,,,7-9,3,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by C. Paul)
7:40.0,Shooting foul by L. Mbah a Moute (drawn by W. Cauley-Stein),,7-9,,
7:40.0,W. Cauley-Stein misses free throw 1 of 2,,7-9,,
7:40.0,Offensive rebound by Team,,7-9,,
7:40.0,W. Cauley-Stein misses free throw 2 of 2,,7-9,,
7:37.0,,,7-9,,Defensive rebound by J. Harden
7:17.0,,,7-9,,Turnover by C. Paul (bad pass; steal by J. Sampson)
7:11.0,J. Sampson makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,9-9,,
6:54.0,,,9-9,,C. Paul misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by J. Jackson,,9-9,,
6:43.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,9-9,,
6:41.0,Offensive rebound by J. Sampson,,9-9,,
6:41.0,J. Sampson makes 2-pt shot at rim,2,11-9,,
6:41.0,,,11-9,,Houston full timeout
6:41.0,,,11-9,,R. Anderson enters the game for P. Tucker
6:41.0,,,11-9,,G. Green enters the game for C. Paul
6:31.0,Personal foul by B. Bogdanovic (drawn by J. Harden),,11-9,,
6:19.0,,,11-11,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
