time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. N. Jokic (J. Murray gains possession),,,,Jump ball: C. Capela vs. N. Jokic (J. Murray gains possession)
11:38.0,W. Chandler misses 2-pt shot from 16 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by C. Capela
11:20.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:05.0,W. Barton misses 3-pt shot from 25 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by C. Capela
10:58.0,,,0-2,,Shooting foul by W. Chandler (drawn by J. Harden)
10:58.0,,,0-2,,J. Harden misses free throw 1 of 2
10:58.0,,,0-2,,Offensive rebound by Team
10:58.0,,,0-3,1,J. Harden makes free throw 2 of 2
10:48.0,N. Jokic makes 2-pt shot from 14 ft (assist by G. Harris),2,2-3,,
10:28.0,,,2-5,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:11.0,G. Harris misses 2-pt shot at rim (block by C. Capela),,2-5,,
10:10.0,,,2-5,,Defensive rebound by C. Capela
10:06.0,,,2-8,3,P. Tucker makes 3-pt shot from 24 ft (assist by C. Paul)
9:48.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,4-8,,
9:36.0,,,4-11,3,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by C. Paul)
9:17.0,Shooting foul by J. Harden (drawn by N. Jokic),,4-11,,
9:17.0,N. Jokic misses free throw 1 of 2,,4-11,,
9:17.0,Offensive rebound by Team,,4-11,,
9:17.0,N. Jokic makes free throw 2 of 2,1,5-11,,
8:57.0,,,5-11,,C. Paul misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by W. Chandler,,5-11,,
8:47.0,G. Harris misses 3-pt shot from 24 ft,,5-11,,
8:45.0,,,5-11,,Defensive rebound by C. Capela
8:37.0,,,5-11,,C. Capela misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by W. Barton,,5-11,,
8:31.0,G. Harris misses 3-pt shot from 24 ft,,5-11,,
8:29.0,Offensive rebound by W. Chandler,,5-11,,
8:28.0,J. Murray misses 3-pt shot from 25 ft,,5-11,,
8:28.0,Offensive rebound by Team,,5-11,,
8:18.0,Turnover by J. Murray (lost ball; steal by C. Paul),,5-11,,
8:14.0,,,5-11,,P. Tucker misses 2-pt shot from 1 ft
8:14.0,,,5-11,,Offensive rebound by C. Capela
8:14.0,,,5-11,,C. Capela misses 2-pt shot at rim
8:12.0,,,5-11,,Offensive rebound by C. Capela
8:10.0,,,5-11,,C. Capela misses 2-pt shot at rim
8:09.0,Defensive rebound by N. Jokic,,5-11,,
8:02.0,Turnover by G. Harris (bad pass),,5-11,,
7:57.0,Personal foul by W. Barton (drawn by J. Harden),,5-11,,
7:55.0,,,5-11,,Turnover by C. Capela (bad pass)
7:46.0,Turnover by G. Harris (bad pass; steal by L. Mbah a Moute),,5-11,,
7:40.0,,,5-11,,P. Tucker misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by W. Barton,,5-11,,
7:29.0,W. Chandler makes 2-pt shot from 1 ft,2,7-11,,
7:10.0,,,7-11,,Shooting foul by J. Murray (drawn by C. Capela)
7:10.0,,,7-12,1,C. Capela makes free throw 1 of 2
7:10.0,,,7-12,,E. Gordon enters the game for C. Paul
7:10.0,,,7-12,,C. Capela misses free throw 2 of 2
7:10.0,Defensive rebound by N. Jokic,,7-12,,
6:56.0,G. Harris misses 3-pt shot from 23 ft,,7-12,,
6:54.0,,,7-12,,Defensive rebound by L. Mbah a Moute
6:46.0,,,7-14,2,L. Mbah a Moute makes 2-pt shot from 4 ft
6:40.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,9-14,,
6:40.0,Shooting foul by P. Tucker (drawn by J. Murray),,9-14,,
6:40.0,,,9-14,,Houston full timeout
6:40.0,,,9-14,,R. Anderson enters the game for P. Tucker
6:40.0,J. Murray misses free throw 1 of 1,,9-14,,
6:40.0,,,9-14,,Defensive rebound by J. Harden
6:25.0,,,9-14,,Turnover by J. Harden (bad pass; steal by N. Jokic)
6:17.0,J. Murray misses 3-pt shot from 25 ft,,9-14,,
6:16.0,,,9-14,,Defensive rebound by R. Anderson
5:55.0,,,9-17,3,J. Harden makes 3-pt shot from 24 ft
5:27.0,W. Chandler misses 3-pt shot from 22 ft,,9-17,,
5:26.0,,,9-17,,Defensive rebound by C. Capela
5:04.0,,,9-17,,J. Harden misses 2-pt shot from 1 ft
5:03.0,,,9-17,,Offensive rebound by C. Capela
5:03.0,,,9-19,2,C. Capela makes 2-pt shot at rim
4:48.0,Offensive foul by N. Jokic (drawn by J. Harden),,9-19,,
4:48.0,Turnover by N. Jokic (offensive foul),,9-19,,
4:48.0,,,9-19,,T. Black enters the game for L. Mbah a Moute
4:48.0,,,9-19,,G. Green enters the game for C. Capela
4:48.0,T. Craig enters the game for W. Barton,,9-19,,
4:37.0,,,9-19,,Shooting foul by T. Craig (drawn by J. Harden)
4:37.0,,,9-20,1,J. Harden makes free throw 1 of 2
4:37.0,,,9-21,1,J. Harden makes free throw 2 of 2
4:24.0,N. Jokic makes 2-pt shot at rim (assist by G. Harris),2,11-21,,
4:11.0,,,11-21,,Turnover by E. Gordon (traveling)
4:11.0,T. Lyles enters the game for W. Chandler,,11-21,,
4:02.0,N. Jokic makes 3-pt shot from 24 ft (assist by J. Murray),3,14-21,,
3:55.0,,,14-24,3,G. Green makes 3-pt shot from 26 ft (assist by J. Harden)
3:35.0,T. Lyles misses 2-pt shot from 1 ft (block by R. Anderson),,14-24,,
3:34.0,Offensive rebound by T. Craig,,14-24,,
3:32.0,T. Craig makes 2-pt shot at rim,2,16-24,,
3:18.0,,,16-26,2,T. Black makes 2-pt shot from 2 ft (assist by J. Harden)
3:17.0,Denver full timeout,,16-26,,
3:01.0,T. Lyles makes 3-pt shot from 22 ft (assist by G. Harris),3,19-26,,
2:43.0,,,19-26,,Turnover by J. Harden (bad pass; steal by N. Jokic)
