time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Durant (T. Ariza gains possession),,,,Jump ball: C. Capela vs. K. Durant (T. Ariza gains possession)
11:44.0,,,0-3,3,J. Harden makes 3-pt shot from 26 ft
11:26.0,K. Durant misses 2-pt shot from 6 ft (block by C. Capela),,0-3,,
11:24.0,,,0-3,,Defensive rebound by P. Tucker
11:15.0,Jump ball: T. Ariza vs. K. Thompson (S. Curry gains possession),,,,Jump ball: T. Ariza vs. K. Thompson (S. Curry gains possession)
11:15.0,,,0-3,,Turnover by T. Ariza (turnover; steal by K. Thompson)
11:11.0,S. Curry misses 3-pt shot from 28 ft,,0-3,,
11:10.0,,,0-3,,Defensive rebound by J. Harden
10:54.0,,,0-5,2,J. Harden makes 2-pt shot from 3 ft
10:53.0,Technical foul by D. Green,,0-5,,
10:53.0,,,0-6,1,J. Harden makes technical free throw
10:36.0,S. Curry makes 2-pt shot from 5 ft,2,2-6,,
10:11.0,,,2-9,3,J. Harden makes 3-pt shot from 26 ft
9:59.0,,,2-9,,Personal foul by T. Ariza (drawn by A. Iguodala)
9:47.0,Turnover by D. Green (bad pass; steal by P. Tucker),,2-9,,
9:41.0,,,2-9,,Turnover by P. Tucker (bad pass; steal by A. Iguodala)
9:36.0,K. Thompson misses 3-pt shot from 23 ft,,2-9,,
9:34.0,,,2-9,,Defensive rebound by P. Tucker
9:28.0,,,2-9,,J. Harden misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by D. Green,,2-9,,
9:19.0,D. Green makes 2-pt shot from 2 ft,2,4-9,,
9:12.0,,,4-9,,T. Ariza misses 3-pt shot from 26 ft
9:11.0,,,4-9,,Offensive rebound by C. Capela
9:08.0,,,4-11,2,T. Ariza makes 2-pt shot from 4 ft (assist by C. Capela)
9:08.0,,,4-11,,Shooting foul by A. Iguodala (drawn by T. Ariza)
9:08.0,,,4-12,1,T. Ariza makes free throw 1 of 1
8:57.0,,,4-12,,Personal foul by J. Harden (drawn by A. Iguodala)
8:54.0,D. Green misses 2-pt shot from 5 ft,,4-12,,
8:53.0,,,4-12,,Defensive rebound by T. Ariza
8:39.0,,,4-12,,C. Paul misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by S. Curry,,4-12,,
8:28.0,K. Durant misses 2-pt shot from 12 ft,,4-12,,
8:27.0,,,4-12,,Defensive rebound by C. Capela
8:10.0,Personal foul by A. Iguodala (drawn by J. Harden),,4-12,,
8:10.0,K. Looney enters the game for A. Iguodala,,4-12,,
7:56.0,,,4-12,,C. Paul misses 3-pt shot from 25 ft
7:56.0,,,4-12,,Offensive rebound by Team
7:56.0,,,4-12,,Turnover by Team (shot clock)
7:42.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,7-12,,
7:27.0,,,7-12,,Shooting foul by D. Green (drawn by P. Tucker)
7:27.0,,,7-12,,P. Tucker misses free throw 1 of 3
7:27.0,,,7-12,,Offensive rebound by Team
7:27.0,,,7-13,1,P. Tucker makes free throw 2 of 3
7:27.0,,,7-13,,P. Tucker misses free throw 3 of 3
7:27.0,Defensive rebound by D. Green,,7-13,,
7:15.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,10-13,,
6:55.0,,,10-13,,J. Harden misses 2-pt shot from 2 ft
6:54.0,,,10-13,,Offensive rebound by P. Tucker
6:50.0,,,10-13,,T. Ariza misses 3-pt shot from 26 ft
6:50.0,,,10-13,,Offensive rebound by Team
6:50.0,,,10-13,,Turnover by Team (shot clock)
6:50.0,,,10-13,,Houston full timeout
6:50.0,,,10-13,,E. Gordon enters the game for C. Paul
6:37.0,K. Durant makes 2-pt shot from 11 ft,2,12-13,,
6:11.0,,,12-16,3,E. Gordon makes 3-pt shot from 27 ft (assist by C. Capela)
5:56.0,K. Durant misses 2-pt shot from 19 ft,,12-16,,
5:55.0,,,12-16,,Defensive rebound by C. Capela
5:37.0,,,12-19,3,J. Harden makes 3-pt shot from 26 ft
5:24.0,S. Curry misses 2-pt shot from 11 ft,,12-19,,
5:23.0,,,12-19,,Defensive rebound by T. Ariza
5:14.0,,,12-21,2,C. Capela makes 2-pt shot at rim (assist by P. Tucker)
5:12.0,Golden State full timeout,,12-21,,
5:12.0,,,12-21,,L. Mbah a Moute enters the game for T. Ariza
5:00.0,S. Curry misses 3-pt shot from 26 ft,,12-21,,
4:58.0,,,12-21,,Defensive rebound by E. Gordon
4:33.0,,,12-21,,J. Harden misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by K. Durant,,12-21,,
4:26.0,K. Durant makes 2-pt shot at rim,2,14-21,,
4:05.0,,,14-23,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
3:49.0,K. Durant makes 2-pt shot from 15 ft,2,16-23,,
3:33.0,,,16-23,,E. Gordon misses 2-pt shot from 12 ft
3:32.0,Defensive rebound by D. Green,,16-23,,
3:21.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,19-23,,
3:17.0,,,19-23,,Houston full timeout
3:17.0,,,19-23,,C. Paul enters the game for J. Harden
3:17.0,,,19-23,,G. Green enters the game for C. Capela
3:17.0,A. Iguodala enters the game for K. Thompson,,19-23,,
3:17.0,N. Young enters the game for D. Green,,19-23,,
2:54.0,,,19-25,2,C. Paul makes 2-pt shot from 3 ft
2:45.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry),3,22-25,,
2:25.0,,,22-27,2,C. Paul makes 2-pt shot from 15 ft
2:18.0,N. Young makes 3-pt shot from 25 ft (assist by S. Curry),3,25-27,,
1:53.0,,,25-30,3,G. Green makes 3-pt shot from 23 ft (assist by P. Tucker)
1:37.0,K. Durant makes 2-pt shot from 10 ft,2,27-30,,
1:18.0,,,27-30,,L. Mbah a Moute misses 2-pt shot from 2 ft
1:16.0,,,27-30,,Offensive rebound by G. Green
1:12.0,,,27-30,,E. Gordon misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by A. Iguodala,,27-30,,
0:58.0,S. Livingston enters the game for S. Curry,,27-30,,
0:47.0,K. Durant makes 2-pt shot from 19 ft,2,29-30,,
0:30.0,,,29-30,,Turnover by L. Mbah a Moute (step out of bounds)
0:07.0,N. Young misses 3-pt shot from 26 ft,,29-30,,
0:04.0,,,29-30,,Defensive rebound by C. Paul
0:00.0,,,29-30,,G. Green misses 3-pt shot from 31 ft
0:00.0,,,29-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-30,,Personal foul by R. Anderson (drawn by D. West)
11:41.0,K. Thompson misses 3-pt shot from 26 ft,,29-30,,
11:40.0,,,29-30,,Defensive rebound by G. Green
11:33.0,,,29-30,,C. Paul misses 2-pt shot from 16 ft
11:32.0,Defensive rebound by D. Green,,29-30,,
11:28.0,S. Livingston misses 2-pt shot from 16 ft,,29-30,,
11:27.0,,,29-30,,Defensive rebound by G. Green
11:08.0,,,29-33,3,C. Paul makes 3-pt shot from 25 ft
10:51.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,31-33,,
10:39.0,,,31-33,,L. Mbah a Moute misses 2-pt shot from 3 ft
10:38.0,Defensive rebound by K. Thompson,,31-33,,
10:32.0,S. Livingston makes 2-pt shot from 8 ft (assist by D. West),2,33-33,,
10:19.0,Personal foul by D. West (drawn by E. Gordon),,33-33,,
10:12.0,,,33-33,,E. Gordon misses 3-pt shot from 26 ft
10:11.0,Defensive rebound by S. Livingston,,33-33,,
10:03.0,K. Thompson misses 3-pt shot from 26 ft,,33-33,,
10:01.0,,,33-33,,Defensive rebound by R. Anderson
9:40.0,,,33-33,,L. Mbah a Moute misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by D. Green,,33-33,,
9:29.0,K. Thompson misses 3-pt shot from 26 ft,,33-33,,
9:28.0,,,33-33,,Defensive rebound by L. Mbah a Moute
9:19.0,,,33-33,,G. Green misses 2-pt shot from 4 ft
9:18.0,Defensive rebound by D. West,,33-33,,
9:03.0,D. West makes 2-pt shot from 2 ft (assist by D. Green),2,35-33,,
8:52.0,,,35-35,2,E. Gordon makes 2-pt shot from 3 ft (assist by C. Paul)
8:28.0,N. Young makes 3-pt shot from 26 ft (assist by K. Thompson),3,38-35,,
8:20.0,,,38-38,3,C. Paul makes 3-pt shot from 26 ft
8:10.0,S. Livingston makes 2-pt shot from 14 ft,2,40-38,,
8:10.0,Shooting foul by G. Green (drawn by S. Livingston),,40-38,,
8:10.0,,,40-38,,J. Harden enters the game for L. Mbah a Moute
8:10.0,,,40-38,,T. Ariza enters the game for G. Green
8:10.0,K. Looney enters the game for N. Young,,40-38,,
8:10.0,K. Durant enters the game for D. West,,40-38,,
8:10.0,S. Livingston makes free throw 1 of 1,1,41-38,,
7:47.0,,,41-38,,R. Anderson misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by S. Livingston,,41-38,,
7:43.0,Offensive foul by D. Green (drawn by T. Ariza),,41-38,,
7:43.0,Turnover by D. Green (offensive foul),,41-38,,
7:36.0,,,41-41,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul)
7:11.0,K. Durant makes 2-pt shot from 10 ft,2,43-41,,
6:57.0,,,43-41,,T. Ariza misses 2-pt shot from 4 ft
6:56.0,Defensive rebound by Team,,43-41,,
6:56.0,,,43-41,,Loose ball foul by T. Ariza (drawn by D. Green)
6:56.0,,,43-41,,Houston full timeout
6:56.0,,,43-41,,C. Capela enters the game for E. Gordon
6:56.0,,,43-41,,P. Tucker enters the game for R. Anderson
6:56.0,S. Curry enters the game for S. Livingston,,43-41,,
6:37.0,,,43-41,,Violation by T. Ariza (kicked ball)
6:24.0,D. Green misses 3-pt shot from 26 ft,,43-41,,
6:23.0,,,43-41,,Defensive rebound by C. Paul
6:13.0,,,43-41,,T. Ariza misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by D. Green,,43-41,,
6:05.0,K. Durant makes 2-pt shot from 15 ft (assist by K. Thompson),2,45-41,,
5:38.0,,,45-41,,Turnover by Team (shot clock)
5:38.0,,,45-41,,E. Gordon enters the game for C. Paul
5:38.0,A. Iguodala enters the game for K. Thompson,,45-41,,
5:29.0,S. Curry makes 2-pt shot from 3 ft,2,47-41,,
5:12.0,,,47-41,,Shooting foul by D. Green (drawn by J. Harden)
5:12.0,,,47-41,,J. Harden misses free throw 1 of 2
5:12.0,,,47-41,,Offensive rebound by Team
5:12.0,K. Thompson enters the game for D. Green,,47-41,,
5:12.0,,,47-42,1,J. Harden makes free throw 2 of 2
4:58.0,A. Iguodala misses 3-pt shot from 23 ft,,47-42,,
4:57.0,,,47-42,,Defensive rebound by J. Harden
4:51.0,,,47-42,,Turnover by E. Gordon (out of bounds lost ball)
4:38.0,,,47-42,,Personal foul by T. Ariza (drawn by S. Curry)
4:38.0,,,47-42,,C. Paul enters the game for T. Ariza
4:32.0,Golden State full timeout,,47-42,,
4:29.0,S. Curry makes 2-pt shot from 3 ft (assist by K. Looney),2,49-42,,
4:02.0,,,49-42,,C. Paul misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by S. Curry,,49-42,,
3:54.0,S. Curry misses 2-pt shot from 4 ft (block by C. Capela),,49-42,,
3:53.0,,,49-42,,Defensive rebound by C. Paul
