time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. A. Horford (G. Dragic gains possession),,,,Jump ball: B. Adebayo vs. A. Horford (G. Dragic gains possession)
11:48.0,,,0-2,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Richardson)
11:24.0,A. Horford makes 2-pt shot from 6 ft,2,2-2,,
11:00.0,,,2-2,,B. Adebayo misses 2-pt shot from 3 ft
10:52.0,,,2-2,,Offensive rebound by B. Adebayo
10:51.0,Personal foul by J. Brown (drawn by D. Waiters),,2-2,,
10:36.0,,,2-2,,G. Dragic misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by J. Brown,,2-2,,
10:29.0,J. Brown misses 3-pt shot from 25 ft,,2-2,,
10:25.0,,,2-2,,Defensive rebound by G. Dragic
10:20.0,,,2-5,3,D. Waiters makes 3-pt shot from 24 ft (assist by J. Johnson)
10:04.0,K. Irving misses 2-pt shot from 8 ft,,2-5,,
9:58.0,,,2-5,,Defensive rebound by D. Waiters
9:54.0,,,2-5,,G. Dragic misses 2-pt shot from 9 ft
9:54.0,,,2-5,,Offensive rebound by Team
9:54.0,Personal foul by J. Brown (drawn by D. Waiters),,2-5,,
9:45.0,,,2-7,2,D. Waiters makes 2-pt shot from 2 ft
9:29.0,Turnover by J. Brown (lost ball; steal by D. Waiters),,2-7,,
9:24.0,,,2-7,,D. Waiters misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by K. Irving,,2-7,,
9:16.0,K. Irving makes 3-pt shot from 25 ft,3,5-7,,
8:54.0,,,5-9,2,J. Richardson makes 2-pt shot from 7 ft
8:46.0,K. Irving misses 2-pt shot from 19 ft,,5-9,,
8:42.0,,,5-9,,Defensive rebound by G. Dragic
8:23.0,,,5-9,,Turnover by D. Waiters (bad pass; steal by K. Irving)
8:16.0,J. Tatum makes 3-pt shot from 24 ft (assist by J. Brown),3,8-9,,
7:54.0,,,8-9,,J. Johnson misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by K. Irving,,8-9,,
7:47.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving),2,10-9,,
7:47.0,Shooting foul by B. Adebayo (drawn by A. Horford),,10-9,,
7:47.0,M. Smart enters the game for J. Brown,,10-9,,
7:47.0,A. Horford makes free throw 1 of 1,1,11-9,,
7:28.0,,,11-9,,D. Waiters misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by A. Horford,,11-9,,
7:14.0,K. Irving misses 2-pt shot from 10 ft,,11-9,,
7:10.0,,,11-9,,Defensive rebound by J. Johnson
7:04.0,,,11-9,,B. Adebayo misses 2-pt shot from 6 ft
7:01.0,Defensive rebound by A. Horford,,11-9,,
6:52.0,,,11-9,,Personal foul by D. Waiters (drawn by M. Smart)
6:52.0,,,11-9,,Miami full timeout
6:52.0,,,11-9,,T. Johnson enters the game for G. Dragic
6:52.0,S. Ojeleye enters the game for A. Baynes,,11-9,,
6:41.0,J. Tatum makes 2-pt shot at rim (assist by A. Horford),2,13-9,,
6:27.0,,,13-9,,Turnover by D. Waiters (out of bounds lost ball)
6:16.0,K. Irving misses 2-pt shot from 15 ft,,13-9,,
6:13.0,,,13-9,,Defensive rebound by J. Johnson
6:11.0,,,13-9,,Violation by D. Waiters (kicked ball)
6:01.0,,,13-9,,Turnover by J. Johnson (out of bounds lost ball)
5:46.0,M. Smart makes 2-pt shot from 3 ft,2,15-9,,
5:20.0,,,15-9,,T. Johnson misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by A. Horford,,15-9,,
5:09.0,K. Irving misses 2-pt shot from 16 ft,,15-9,,
