time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Koufos (D. Fox gains possession),,,,Jump ball: N. Jokic vs. K. Koufos (D. Fox gains possession)
11:46.0,B. Bogdanovic misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by P. Millsap
11:29.0,,,0-0,,G. Harris misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by Z. Randolph,,0-0,,
11:20.0,D. Fox makes 2-pt shot from 7 ft,2,2-0,,
11:00.0,,,2-2,2,N. Jokic makes 2-pt shot from 14 ft (assist by J. Murray)
10:41.0,D. Fox misses 3-pt shot from 24 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by P. Millsap
10:33.0,,,2-4,2,P. Millsap makes 2-pt shot from 2 ft
10:22.0,Z. Randolph misses 3-pt shot from 24 ft,,2-4,,
10:19.0,,,2-4,,Defensive rebound by N. Jokic
10:09.0,,,2-6,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
9:49.0,J. Jackson makes 2-pt shot from 8 ft (assist by Z. Randolph),2,4-6,,
9:34.0,,,4-8,2,W. Chandler makes 2-pt shot from 10 ft (assist by P. Millsap)
9:21.0,Z. Randolph misses 2-pt shot from 13 ft,,4-8,,
9:19.0,,,4-8,,Defensive rebound by J. Murray
9:15.0,,,4-8,,G. Harris misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by Team,,4-8,,
8:57.0,B. Bogdanovic misses 3-pt shot from 23 ft,,4-8,,
8:56.0,,,4-8,,Defensive rebound by Team
8:41.0,,,4-8,,J. Murray misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by K. Koufos,,4-8,,
8:30.0,Z. Randolph misses 2-pt shot from 7 ft,,4-8,,
8:29.0,,,4-8,,Defensive rebound by Team
8:29.0,Loose ball foul by K. Koufos (drawn by P. Millsap),,4-8,,
8:20.0,,,4-8,,Shooting foul by D. Fox (drawn by J. Murray)
8:20.0,,,4-9,1,J. Murray makes free throw 1 of 2
8:20.0,,,4-10,1,J. Murray makes free throw 2 of 2
8:05.0,K. Koufos misses 2-pt shot from 5 ft,,4-10,,
8:03.0,,,4-10,,Defensive rebound by P. Millsap
7:50.0,,,4-10,,N. Jokic misses 2-pt shot from 1 ft
7:48.0,Defensive rebound by K. Koufos,,4-10,,
7:35.0,B. Bogdanovic makes 2-pt shot from 8 ft (assist by Z. Randolph),2,6-10,,
7:19.0,,,6-12,2,G. Harris makes 2-pt shot from 21 ft (assist by N. Jokic)
7:04.0,Z. Randolph makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,8-12,,
6:55.0,,,8-12,,G. Harris misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by K. Koufos,,8-12,,
6:38.0,K. Koufos makes 2-pt shot from 7 ft (assist by B. Bogdanovic),2,10-12,,
6:22.0,,,10-12,,J. Murray misses 2-pt shot from 10 ft
6:21.0,,,10-12,,Offensive rebound by P. Millsap
6:21.0,,,10-12,,Shooting foul by D. Fox (drawn by P. Millsap)
6:21.0,,,10-12,,Denver full timeout
6:21.0,V. Carter enters the game for Z. Randolph,,10-12,,
6:21.0,Z. Randolph enters the game for V. Carter,,10-12,,
6:21.0,,,10-12,,P. Millsap misses free throw 1 of 2
6:21.0,,,10-12,,Offensive rebound by Team
6:21.0,,,10-12,,P. Millsap misses free throw 2 of 2
6:19.0,Defensive rebound by Z. Randolph,,10-12,,
6:00.0,Shooting foul by P. Millsap (drawn by J. Jackson),,10-12,,
6:00.0,J. Jackson misses free throw 1 of 2,,10-12,,
6:00.0,Offensive rebound by Team,,10-12,,
6:00.0,F. Mason enters the game for D. Fox,,10-12,,
6:00.0,J. Jackson makes free throw 2 of 2,1,11-12,,
5:42.0,,,11-14,2,P. Millsap makes 2-pt shot from 4 ft (assist by G. Harris)
5:42.0,,,11-14,,Shooting foul by Z. Randolph (drawn by P. Millsap)
5:42.0,W. Cauley-Stein enters the game for K. Koufos,,11-14,,
5:42.0,,,11-14,,P. Millsap misses free throw 1 of 1
5:39.0,,,11-14,,Offensive rebound by W. Chandler
5:37.0,,,11-14,,W. Chandler misses 2-pt shot from 1 ft
5:37.0,,,11-14,,Offensive rebound by Team
5:25.0,,,11-14,,Shooting foul by J. Jackson (drawn by W. Chandler)
5:25.0,,,11-14,,W. Chandler misses free throw 1 of 2
5:25.0,,,11-14,,Offensive rebound by Team
5:25.0,,,11-14,,W. Chandler misses free throw 2 of 2
5:21.0,Defensive rebound by W. Cauley-Stein,,11-14,,
5:04.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by Z. Randolph),3,14-14,,
4:38.0,,,14-17,3,G. Harris makes 3-pt shot from 22 ft (assist by N. Jokic)
4:21.0,Z. Randolph makes 2-pt shot from 4 ft,2,16-17,,
4:05.0,,,16-17,,J. Murray misses 3-pt shot from 24 ft
4:05.0,,,16-17,,Offensive rebound by W. Chandler
4:00.0,,,16-19,2,J. Murray makes 2-pt shot from 1 ft (assist by W. Chandler)
3:37.0,B. Bogdanovic misses 2-pt shot from 12 ft,,16-19,,
3:34.0,,,16-19,,Defensive rebound by N. Jokic
