time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Drummond (T. Harris gains possession),,,,Jump ball: J. Henson vs. A. Drummond (T. Harris gains possession)
11:33.0,R. Jackson makes 2-pt shot from 1 ft (assist by A. Drummond),2,2-0,,
11:12.0,,,2-0,,J. Henson misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by T. Harris,,2-0,,
11:04.0,,,2-0,,Personal foul by T. Snell (drawn by T. Harris)
10:57.0,A. Bradley makes 3-pt shot from 22 ft (assist by A. Drummond),3,5-0,,
10:41.0,,,5-0,,E. Bledsoe misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by S. Johnson,,5-0,,
10:34.0,A. Bradley makes 3-pt shot from 25 ft,3,8-0,,
10:13.0,,,8-2,2,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by E. Bledsoe)
9:48.0,Turnover by T. Harris (bad pass),,8-2,,
9:39.0,,,8-4,2,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by K. Middleton)
9:22.0,Shooting foul by T. Snell (drawn by A. Bradley),,8-4,,
9:22.0,A. Bradley makes free throw 1 of 2,1,9-4,,
9:22.0,,,9-4,,D. Liggins enters the game for T. Snell
9:22.0,A. Bradley makes free throw 2 of 2,1,10-4,,
9:05.0,,,10-6,2,K. Middleton makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
8:51.0,T. Harris misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,10-6,,
8:49.0,,,10-6,,Defensive rebound by K. Middleton
8:47.0,,,10-6,,G. Antetokounmpo misses 2-pt shot from 2 ft
8:47.0,,,10-6,,Offensive rebound by J. Henson
8:38.0,,,10-6,,E. Bledsoe misses 3-pt shot from 26 ft
8:38.0,,,10-6,,Offensive rebound by J. Henson
8:20.0,,,10-6,,K. Middleton misses 2-pt shot from 3 ft
8:17.0,,,10-6,,Offensive rebound by J. Henson
8:15.0,,,10-6,,J. Henson misses 2-pt shot from 4 ft
8:15.0,Defensive rebound by S. Johnson,,10-6,,
