time,Milwaukee,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Henson (J. Wall gains possession)
11:36.0,,,0-0,,J. Wall misses 2-pt shot from 15 ft
11:32.0,Defensive rebound by M. Brogdon,,0-0,,
11:27.0,J. Henson misses 2-pt shot from 5 ft (block by M. Gortat),,0-0,,
11:27.0,,,0-0,,Defensive rebound by M. Morris
11:14.0,,,0-2,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
11:01.0,M. Brogdon misses 2-pt shot from 4 ft (block by B. Beal),,0-2,,
11:01.0,,,0-2,,Defensive rebound by B. Beal
10:54.0,,,0-5,3,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall)
10:37.0,M. Brogdon misses 3-pt shot from 23 ft,,0-5,,
10:34.0,,,0-5,,Defensive rebound by J. Wall
10:24.0,,,0-5,,B. Beal misses 3-pt shot from 23 ft
10:20.0,,,0-5,,Offensive rebound by M. Morris
10:20.0,,,0-7,2,M. Morris makes 2-pt shot at rim
9:58.0,J. Henson makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,2-7,,
9:37.0,,,2-7,,Turnover by B. Beal (out of bounds lost ball)
9:31.0,E. Bledsoe misses 2-pt shot from 3 ft,,2-7,,
9:29.0,,,2-7,,Defensive rebound by M. Gortat
9:15.0,,,2-9,2,M. Gortat makes 2-pt shot from 10 ft
9:02.0,M. Brogdon misses 3-pt shot from 24 ft,,2-9,,
9:00.0,,,2-9,,Defensive rebound by M. Gortat
8:51.0,,,2-12,3,J. Wall makes 3-pt shot from 25 ft (assist by K. Oubre)
8:49.0,Milwaukee full timeout,,2-12,,
8:31.0,K. Middleton makes 2-pt shot from 13 ft,2,4-12,,
8:20.0,Personal foul by M. Brogdon (drawn by B. Beal),,4-12,,
8:06.0,,,4-12,,M. Morris misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by G. Antetokounmpo,,4-12,,
7:58.0,M. Brogdon misses 3-pt shot from 24 ft,,4-12,,
7:54.0,,,4-12,,Defensive rebound by M. Gortat
7:43.0,,,4-12,,J. Wall misses 2-pt shot from 12 ft
7:41.0,Defensive rebound by J. Henson,,4-12,,
7:33.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,4-12,,
7:29.0,,,4-12,,Defensive rebound by J. Wall
7:11.0,,,4-12,,Turnover by B. Beal (bad pass; steal by E. Bledsoe)
7:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,6-12,,
6:48.0,,,6-15,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
6:30.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,9-15,,
6:02.0,,,9-17,2,M. Gortat makes 2-pt shot from 15 ft (assist by J. Wall)
5:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,11-17,,
5:51.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,11-17,,
5:51.0,G. Antetokounmpo makes free throw 1 of 1,1,12-17,,
5:41.0,,,12-17,,Turnover by J. Wall (bad pass)
5:31.0,E. Bledsoe misses 2-pt shot from 2 ft,,12-17,,
5:28.0,Offensive rebound by J. Henson,,12-17,,
5:28.0,J. Henson makes 2-pt shot at rim,2,14-17,,
5:06.0,,,14-19,2,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall)
4:47.0,Turnover by J. Henson (out of bounds lost ball),,14-19,,
4:31.0,,,14-19,,Turnover by J. Wall (lost ball; steal by J. Henson)
4:29.0,Offensive foul by E. Bledsoe (drawn by B. Beal),,14-19,,
4:29.0,Turnover by E. Bledsoe (offensive foul),,14-19,,
4:29.0,T. Maker enters the game for J. Henson,,14-19,,
4:29.0,T. Snell enters the game for M. Brogdon,,14-19,,
4:14.0,,,14-19,,B. Beal misses 3-pt shot from 25 ft
4:08.0,,,14-19,,Offensive rebound by M. Morris
4:08.0,,,14-21,2,M. Morris makes 2-pt shot at rim
3:53.0,T. Maker makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,16-21,,
3:36.0,,,16-21,,K. Oubre misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by G. Antetokounmpo,,16-21,,
3:28.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,18-21,,
3:18.0,,,18-23,2,J. Wall makes 2-pt shot from 1 ft
3:09.0,T. Maker misses 2-pt shot from 19 ft,,18-23,,
3:06.0,,,18-23,,Defensive rebound by M. Morris
3:00.0,,,18-23,,Shooting foul by T. Snell (drawn by J. Wall)
3:00.0,,,18-24,1,J. Wall makes free throw 1 of 2
3:00.0,,,18-24,,M. Scott enters the game for M. Morris
3:00.0,,,18-24,,T. Satoransky enters the game for K. Oubre
3:00.0,M. Dellavedova enters the game for E. Bledsoe,,18-24,,
3:00.0,,,18-25,1,J. Wall makes free throw 2 of 2
2:47.0,K. Middleton misses 3-pt shot from 25 ft,,18-25,,
2:42.0,Offensive rebound by T. Maker,,18-25,,
2:36.0,T. Maker misses 3-pt shot from 25 ft,,18-25,,
2:34.0,,,18-25,,Defensive rebound by M. Scott
2:23.0,,,18-27,2,J. Wall makes 2-pt shot from 16 ft
2:01.0,T. Snell misses 3-pt shot from 25 ft,,18-27,,
1:58.0,,,18-27,,Defensive rebound by J. Wall
1:56.0,Personal foul by M. Dellavedova (drawn by J. Wall),,18-27,,
1:56.0,,,18-27,,Washington full timeout
1:56.0,,,18-27,,J. Meeks enters the game for B. Beal
1:56.0,,,18-27,,I. Mahinmi enters the game for M. Gortat
1:56.0,M. Brogdon enters the game for G. Antetokounmpo,,18-27,,
1:41.0,,,18-27,,I. Mahinmi misses 2-pt shot from 5 ft (block by T. Maker)
1:38.0,Defensive rebound by M. Brogdon,,18-27,,
1:37.0,Shooting foul by J. Wall (drawn by T. Maker),,18-27,,
1:37.0,T. Maker misses free throw 1 of 2,,18-27,,
1:37.0,Offensive rebound by Team,,18-27,,
1:37.0,T. Maker misses free throw 2 of 2,,18-27,,
1:35.0,,,18-27,,Defensive rebound by I. Mahinmi
1:24.0,,,18-29,2,I. Mahinmi makes 2-pt shot at rim (assist by J. Meeks)
1:08.0,M. Brogdon makes 2-pt shot from 13 ft (assist by M. Dellavedova),2,20-29,,
0:52.0,,,20-31,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by J. Wall)
