time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. S. Adams (C. Anthony gains possession),,,,Jump ball: Z. Pachulia vs. S. Adams (C. Anthony gains possession)
11:44.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-0,,
11:21.0,,,2-2,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
11:03.0,S. Adams makes 2-pt shot at rim,2,4-2,,
10:46.0,,,4-2,,Turnover by Z. Pachulia (bad pass; steal by S. Adams)
10:41.0,C. Anthony misses 2-pt shot from 22 ft,,4-2,,
10:39.0,,,4-2,,Defensive rebound by Z. Pachulia
10:34.0,,,4-2,,K. Thompson misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by R. Westbrook,,4-2,,
10:25.0,P. George makes 2-pt shot from 1 ft,2,6-2,,
10:15.0,,,6-4,2,S. Curry makes 2-pt shot from 19 ft
10:14.0,Oklahoma City full timeout,,6-4,,
9:58.0,C. Anthony misses 3-pt shot from 25 ft,,6-4,,
9:53.0,Offensive rebound by S. Adams,,6-4,,
9:52.0,S. Adams misses 2-pt shot from 8 ft,,6-4,,
9:50.0,,,6-4,,Defensive rebound by K. Thompson
9:49.0,,,6-4,,Turnover by K. Thompson (bad pass; steal by P. George)
9:45.0,P. George misses 3-pt shot from 22 ft,,6-4,,
9:43.0,Offensive rebound by J. Huestis,,6-4,,
9:43.0,J. Huestis misses 2-pt shot from 1 ft,,6-4,,
9:43.0,Offensive rebound by Team,,6-4,,
9:40.0,Jump ball: D. Green vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: D. Green vs. S. Adams (R. Westbrook gains possession)
9:32.0,P. George makes 3-pt shot from 22 ft (assist by C. Anthony),3,9-4,,
9:16.0,,,9-4,,K. Thompson misses 3-pt shot from 28 ft
9:14.0,,,9-4,,Offensive rebound by S. Curry
9:11.0,,,9-4,,K. Durant misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by R. Westbrook,,9-4,,
9:02.0,R. Westbrook makes 2-pt shot from 16 ft,2,11-4,,
8:53.0,Personal foul by R. Westbrook (drawn by S. Curry),,11-4,,
8:48.0,,,11-4,,K. Thompson misses 2-pt shot from 7 ft
8:43.0,Defensive rebound by R. Westbrook,,11-4,,
