time,Philadelphia,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: M. Gasol vs. J. Embiid (B. Simmons gains possession)
11:37.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by R. Covington),3,3-0,,
11:16.0,,,3-0,,D. Brooks misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by D. Saric,,3-0,,
11:03.0,B. Simmons makes 2-pt shot at rim,2,5-0,,
10:51.0,,,5-3,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
10:37.0,J. Embiid misses 2-pt shot from 5 ft,,5-3,,
10:36.0,,,5-3,,Defensive rebound by Team
10:36.0,Loose ball foul by J. Embiid (drawn by M. Gasol),,5-3,,
10:19.0,,,5-3,,M. Gasol misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by J. Embiid,,5-3,,
10:09.0,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by B. Simmons),3,8-3,,
9:42.0,,,8-3,,T. Evans misses 3-pt shot from 27 ft
9:39.0,Defensive rebound by B. Simmons,,8-3,,
9:22.0,R. Covington misses 2-pt shot from 9 ft,,8-3,,
9:20.0,,,8-3,,Defensive rebound by T. Evans
9:06.0,,,8-3,,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Gasol)
9:06.0,,,8-4,1,M. Gasol makes free throw 1 of 2
9:06.0,,,8-5,1,M. Gasol makes free throw 2 of 2
8:57.0,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons),3,11-5,,
8:31.0,,,11-7,2,T. Evans makes 2-pt shot from 20 ft
8:03.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Martin),,11-7,,
8:03.0,Personal take foul by T. Luwawu-Cabarrot (drawn by T. Evans),,11-7,,
8:03.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,11-7,,
7:54.0,,,11-7,,A. Harrison misses 2-pt shot from 19 ft
7:52.0,Defensive rebound by J. Embiid,,11-7,,
7:37.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,13-7,,
7:23.0,,,13-7,,M. Gasol misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by T. McConnell,,13-7,,
7:12.0,Turnover by T. McConnell (bad pass),,13-7,,
7:12.0,J. Anderson enters the game for R. Covington,,13-7,,
7:00.0,,,13-9,2,A. Harrison makes 2-pt shot from 20 ft
6:38.0,J. Embiid misses 2-pt shot from 20 ft,,13-9,,
6:35.0,,,13-9,,Defensive rebound by T. Evans
6:27.0,,,13-9,,T. Evans misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. McConnell,,13-9,,
6:13.0,J. Anderson misses 3-pt shot from 23 ft,,13-9,,
6:11.0,,,13-9,,Defensive rebound by M. Gasol
6:08.0,,,13-9,,Memphis full timeout
6:08.0,A. Johnson enters the game for J. Embiid,,13-9,,
6:02.0,Personal foul by A. Johnson (drawn by M. Gasol),,13-9,,
6:02.0,,,13-9,,W. Selden enters the game for T. Evans
5:53.0,,,13-9,,M. Gasol misses 2-pt shot from 7 ft
5:48.0,Defensive rebound by A. Johnson,,13-9,,
5:36.0,T. McConnell misses 2-pt shot from 13 ft,,13-9,,
5:33.0,,,13-9,,Defensive rebound by J. Martin
5:27.0,,,13-9,,Turnover by D. Brooks (bad pass)
5:04.0,B. Simmons makes 2-pt shot from 1 ft,2,15-9,,
4:42.0,,,15-9,,D. Brooks misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by J. Anderson,,15-9,,
4:31.0,J. Anderson misses 3-pt shot from 23 ft,,15-9,,
4:28.0,Offensive rebound by D. Saric,,15-9,,
4:27.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Saric),2,17-9,,
4:10.0,,,17-9,,Turnover by J. Martin (bad pass)
4:10.0,,,17-9,,Loose ball foul by D. Brooks (drawn by B. Simmons)
4:10.0,,,17-9,,D. Davis enters the game for J. Martin
4:10.0,,,17-9,,B. McLemore enters the game for D. Brooks
4:10.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,17-9,,
4:00.0,T. McConnell misses 2-pt shot from 12 ft,,17-9,,
3:58.0,,,17-9,,Defensive rebound by D. Davis
3:53.0,Personal foul by D. Saric (drawn by M. Gasol),,17-9,,
3:53.0,,,17-10,1,M. Gasol makes free throw 1 of 2
3:53.0,,,17-10,,M. Chalmers enters the game for A. Harrison
