time,Oklahoma City,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. D. Johnson (J. Jack gains possession),,,,Jump ball: E. Kanter vs. D. Johnson (J. Jack gains possession)
11:34.0,,,0-2,2,J. Jack makes 2-pt shot from 6 ft
11:12.0,C. Anthony makes 3-pt shot from 25 ft (assist by D. Johnson),3,3-2,,
11:00.0,,,3-2,,C. Lee misses 2-pt shot from 13 ft
10:57.0,Defensive rebound by D. Johnson,,3-2,,
10:49.0,Turnover by R. Westbrook (lost ball; steal by J. Jack),,3-2,,
10:38.0,,,3-5,3,M. Beasley makes 3-pt shot from 26 ft (assist by J. Jack)
10:28.0,Turnover by R. Westbrook (bad pass),,3-5,,
10:09.0,,,3-8,3,M. Beasley makes 3-pt shot from 26 ft (assist by E. Kanter)
9:47.0,R. Westbrook makes 2-pt shot from 20 ft,2,5-8,,
9:36.0,,,5-8,,Turnover by C. Lee (bad pass)
9:20.0,C. Anthony makes 2-pt shot from 12 ft,2,7-8,,
9:00.0,,,7-10,2,M. Beasley makes 2-pt shot from 12 ft
8:46.0,C. Anthony misses 2-pt shot from 18 ft,,7-10,,
8:44.0,,,7-10,,Defensive rebound by L. Thomas
8:34.0,,,7-10,,Turnover by E. Kanter (lost ball; steal by D. Johnson)
8:30.0,R. Westbrook makes 2-pt shot from 1 ft,2,9-10,,
8:14.0,,,9-10,,C. Lee misses 2-pt shot from 14 ft
8:11.0,Defensive rebound by D. Johnson,,9-10,,
8:08.0,P. George makes 3-pt shot from 26 ft (assist by C. Anthony),3,12-10,,
7:47.0,,,12-10,,Turnover by J. Jack (lost ball; steal by R. Westbrook)
7:42.0,D. Johnson misses 2-pt shot at rim,,12-10,,
7:41.0,Offensive rebound by A. Roberson,,12-10,,
7:41.0,A. Roberson misses 2-pt shot at rim,,12-10,,
7:41.0,Offensive rebound by Team,,12-10,,
7:17.0,C. Anthony misses 2-pt shot from 7 ft,,12-10,,
7:16.0,Offensive rebound by C. Anthony,,12-10,,
7:14.0,C. Anthony makes 2-pt shot at rim,2,14-10,,
6:52.0,,,14-13,3,C. Lee makes 3-pt shot from 28 ft
6:34.0,Turnover by C. Anthony (bad pass; steal by L. Thomas),,14-13,,
6:30.0,,,14-13,,Turnover by E. Kanter (bad pass; steal by R. Westbrook)
6:26.0,A. Roberson misses 2-pt shot from 1 ft,,14-13,,
6:24.0,Offensive rebound by A. Roberson,,14-13,,
6:24.0,A. Roberson misses 2-pt shot from 2 ft,,14-13,,
6:24.0,Offensive rebound by A. Roberson,,14-13,,
6:23.0,A. Roberson makes 2-pt shot from 2 ft,2,16-13,,
6:17.0,,,16-13,,New York full timeout
6:17.0,,,16-13,,D. McDermott enters the game for L. Thomas
6:17.0,N. Collison enters the game for P. George,,16-13,,
6:17.0,A. Abrines enters the game for D. Johnson,,16-13,,
6:07.0,,,16-13,,Turnover by J. Jack (bad pass; steal by A. Abrines)
5:56.0,R. Westbrook makes 2-pt shot from 2 ft,2,18-13,,
5:39.0,,,18-15,2,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee)
5:25.0,,,18-15,,Personal foul by C. Lee (drawn by A. Abrines)
5:25.0,J. Huestis enters the game for A. Roberson,,18-15,,
5:11.0,C. Anthony misses 2-pt shot from 18 ft,,18-15,,
5:08.0,,,18-15,,Defensive rebound by J. Jack
5:05.0,,,18-15,,J. Jack misses 2-pt shot from 19 ft
5:01.0,,,18-15,,Offensive rebound by C. Lee
4:58.0,,,18-18,3,J. Jack makes 3-pt shot from 25 ft (assist by E. Kanter)
4:45.0,N. Collison makes 2-pt shot from 5 ft (assist by R. Westbrook),2,20-18,,
4:34.0,Personal foul by N. Collison (drawn by E. Kanter),,20-18,,
4:34.0,J. Grant enters the game for C. Anthony,,20-18,,
4:19.0,,,20-18,,Turnover by Team (shot clock)
4:19.0,,,20-18,,F. Ntilikina enters the game for J. Jack
4:07.0,Shooting foul by M. Beasley (drawn by R. Westbrook),,20-18,,
4:07.0,R. Westbrook makes free throw 1 of 2,1,21-18,,
4:07.0,R. Westbrook misses free throw 2 of 2,,21-18,,
4:06.0,,,21-18,,Defensive rebound by Team
3:51.0,,,21-18,,C. Lee misses 2-pt shot from 8 ft
3:47.0,Defensive rebound by R. Westbrook,,21-18,,
3:45.0,,,21-18,,Personal foul by F. Ntilikina (drawn by R. Westbrook)
3:45.0,,,21-18,,K. O'Quinn enters the game for E. Kanter
3:45.0,,,21-18,,R. Baker enters the game for M. Beasley
3:39.0,R. Westbrook misses 2-pt shot from 2 ft,,21-18,,
3:38.0,Offensive rebound by J. Grant,,21-18,,
3:37.0,J. Grant makes 2-pt shot from 1 ft,2,23-18,,
3:14.0,,,23-18,,D. McDermott misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by N. Collison,,23-18,,
3:06.0,R. Westbrook misses 2-pt shot from 1 ft,,23-18,,
3:05.0,Offensive rebound by Team,,23-18,,
3:05.0,R. Felton enters the game for R. Westbrook,,23-18,,
2:55.0,Turnover by R. Felton (step out of bounds),,23-18,,
2:55.0,Oklahoma City full timeout,,23-18,,
2:55.0,,,23-18,,L. Thomas enters the game for C. Lee
2:55.0,P. George enters the game for N. Collison,,23-18,,
2:55.0,P. Patterson enters the game for A. Abrines,,23-18,,
2:33.0,,,23-18,,K. O'Quinn misses 2-pt shot from 6 ft (block by P. George)
2:30.0,Defensive rebound by P. George,,23-18,,
2:15.0,P. George misses 2-pt shot from 10 ft,,23-18,,
2:13.0,,,23-18,,Defensive rebound by Team
1:57.0,,,23-20,2,D. McDermott makes 2-pt shot from 20 ft (assist by K. O'Quinn)
1:42.0,P. Patterson misses 3-pt shot from 24 ft,,23-20,,
1:38.0,Offensive rebound by R. Felton,,23-20,,
1:33.0,P. Patterson misses 3-pt shot from 22 ft,,23-20,,
1:30.0,,,23-20,,Defensive rebound by F. Ntilikina
1:15.0,,,23-20,,K. O'Quinn misses 2-pt shot from 16 ft
1:12.0,Defensive rebound by J. Grant,,23-20,,
0:52.0,R. Felton misses 2-pt shot from 15 ft,,23-20,,
0:49.0,,,23-20,,Defensive rebound by K. O'Quinn
0:36.0,,,23-20,,Offensive foul by K. O'Quinn (drawn by R. Felton)
0:36.0,,,23-20,,Turnover by K. O'Quinn (offensive foul)
0:30.0,,,23-20,,Personal foul by F. Ntilikina (drawn by P. George)
0:17.0,P. Patterson makes 3-pt shot from 24 ft (assist by P. George),3,26-20,,
0:02.0,,,26-23,3,R. Baker makes 3-pt shot from 27 ft
0:00.0,P. George misses 3-pt shot from 55 ft,,26-23,,
0:00.0,Offensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by P. George (bad pass; steal by R. Baker),,26-23,,
11:22.0,,,26-25,2,R. Baker makes 2-pt shot from 1 ft
11:10.0,,,26-25,,Personal foul by F. Ntilikina (drawn by J. Grant)
11:10.0,,,26-25,,J. Jack enters the game for F. Ntilikina
10:56.0,R. Felton misses 2-pt shot from 8 ft,,26-25,,
