time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. M. Turner (D. Collison gains possession),,,,Jump ball: K. Love vs. M. Turner (D. Collison gains possession)
11:35.0,Turnover by B. Bogdanovic (out of bounds lost ball),,0-0,,
11:23.0,,,0-2,2,L. James makes 2-pt shot at rim (assist by K. Love)
11:02.0,M. Turner misses 2-pt shot from 12 ft,,0-2,,
10:59.0,Offensive rebound by T. Young,,0-2,,
10:54.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,2-2,,
10:38.0,,,2-2,,J. Smith misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by T. Young,,2-2,,
10:18.0,Turnover by T. Young (bad pass; steal by J. Smith),,2-2,,
10:10.0,,,2-5,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Smith)
9:53.0,V. Oladipo makes 2-pt shot from 2 ft,2,4-5,,
9:28.0,,,4-5,,J. Calderon misses 3-pt shot from 26 ft
9:24.0,,,4-5,,Offensive rebound by L. James
9:20.0,,,4-5,,Turnover by L. James (lost ball; steal by B. Bogdanovic)
9:09.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Collison),3,7-5,,
8:55.0,,,7-5,,J. Smith misses 2-pt shot from 23 ft
8:49.0,,,7-5,,Offensive rebound by J. Calderon
8:49.0,,,7-5,,J. Calderon misses 2-pt shot at rim
8:48.0,Defensive rebound by V. Oladipo,,7-5,,
8:47.0,V. Oladipo misses 2-pt shot from 2 ft,,7-5,,
8:43.0,,,7-5,,Defensive rebound by K. Love
8:37.0,,,7-5,,Shooting foul by T. Young (drawn by K. Love)
8:37.0,,,7-6,1,K. Love makes free throw 1 of 2
8:37.0,,,7-7,1,K. Love makes free throw 2 of 2
8:16.0,T. Young makes 2-pt shot from 8 ft,2,9-7,,
7:59.0,,,9-7,,K. Love misses 2-pt shot from 11 ft (block by M. Turner)
7:56.0,Defensive rebound by T. Young,,9-7,,
7:54.0,V. Oladipo misses 2-pt shot at rim,,9-7,,
7:50.0,,,9-7,,Defensive rebound by L. James
7:48.0,,,9-7,,K. Korver misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by M. Turner,,9-7,,
7:41.0,D. Collison makes 2-pt shot at rim,2,11-7,,
7:41.0,Shooting foul by K. Korver (drawn by D. Collison),,11-7,,
7:41.0,D. Collison makes free throw 1 of 1,1,12-7,,
7:18.0,,,12-7,,L. James misses 2-pt shot from 10 ft
7:16.0,Defensive rebound by M. Turner,,12-7,,
7:12.0,D. Collison misses 2-pt shot from 4 ft,,12-7,,
7:12.0,Offensive rebound by Team,,12-7,,
7:09.0,B. Bogdanovic misses 2-pt shot from 6 ft,,12-7,,
7:09.0,Offensive rebound by V. Oladipo,,12-7,,
7:09.0,Shooting foul by K. Love (drawn by V. Oladipo),,12-7,,
7:09.0,V. Oladipo misses free throw 1 of 2,,12-7,,
7:09.0,Offensive rebound by Team,,12-7,,
7:09.0,V. Oladipo makes free throw 2 of 2,1,13-7,,
6:57.0,,,13-7,,K. Korver misses 3-pt shot from 23 ft
6:54.0,,,13-7,,Offensive rebound by K. Korver
6:44.0,,,13-7,,Shooting foul by B. Bogdanovic (drawn by L. James)
6:44.0,,,13-7,,Cleveland full timeout
6:44.0,,,13-8,1,L. James makes free throw 1 of 2
6:44.0,,,13-9,1,L. James makes free throw 2 of 2
6:28.0,Turnover by M. Turner (lost ball; steal by J. Calderon),,13-9,,
6:26.0,,,13-9,,Turnover by L. James (bad pass)
6:06.0,B. Bogdanovic misses 2-pt shot from 2 ft,,13-9,,
6:02.0,,,13-9,,Defensive rebound by J. Smith
5:56.0,,,13-9,,J. Smith misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by V. Oladipo,,13-9,,
5:48.0,M. Turner makes 2-pt shot at rim (assist by V. Oladipo),2,15-9,,
5:27.0,,,15-9,,Turnover by K. Love (bad pass)
5:07.0,Turnover by B. Bogdanovic (traveling),,15-9,,
4:59.0,Personal foul by M. Turner (drawn by K. Korver),,15-9,,
4:59.0,,,15-9,,J. Clarkson enters the game for J. Calderon
4:48.0,,,15-11,2,K. Love makes 2-pt shot from 11 ft
4:45.0,Turnover by M. Turner (bad pass; steal by J. Smith),,15-11,,
4:39.0,,,15-13,2,L. James makes 2-pt shot at rim (assist by J. Smith)
4:36.0,Indiana full timeout,,15-13,,
4:36.0,,,15-13,,R. Hood enters the game for K. Korver
4:25.0,Shooting foul by L. James (drawn by V. Oladipo),,15-13,,
4:25.0,V. Oladipo makes free throw 1 of 3,1,16-13,,
4:25.0,V. Oladipo makes free throw 2 of 3,1,17-13,,
4:25.0,V. Oladipo makes free throw 3 of 3,1,18-13,,
4:14.0,Personal foul by V. Oladipo (drawn by J. Smith),,18-13,,
4:14.0,,,18-13,,L. Nance enters the game for K. Love
4:14.0,L. Stephenson enters the game for T. Young,,18-13,,
4:14.0,D. Sabonis enters the game for B. Bogdanovic,,18-13,,
4:02.0,,,18-15,2,L. Nance makes 2-pt shot from 1 ft (assist by L. James)
3:43.0,M. Turner makes 2-pt shot from 11 ft (assist by D. Collison),2,20-15,,
3:43.0,Shooting foul by J. Clarkson (drawn by M. Turner),,20-15,,
3:43.0,M. Turner makes free throw 1 of 1,1,21-15,,
3:22.0,,,21-15,,R. Hood misses 3-pt shot from 23 ft
3:19.0,,,21-15,,Offensive rebound by L. James
3:18.0,,,21-15,,J. Smith misses 3-pt shot from 28 ft
3:16.0,Defensive rebound by Team,,21-15,,
3:16.0,,,21-15,,Loose ball foul by L. Nance (drawn by D. Sabonis)
3:16.0,D. Sabonis makes free throw 1 of 2,1,22-15,,
3:16.0,,,22-15,,J. Green enters the game for J. Smith
3:16.0,D. Sabonis makes free throw 2 of 2,1,23-15,,
3:04.0,,,23-15,,J. Clarkson misses 2-pt shot from 2 ft (block by M. Turner)
3:00.0,Defensive rebound by V. Oladipo,,23-15,,
2:54.0,D. Sabonis misses 2-pt shot from 4 ft,,23-15,,
2:53.0,,,23-15,,Defensive rebound by Team
2:41.0,,,23-15,,Turnover by J. Clarkson (lost ball; steal by V. Oladipo)
2:28.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,25-15,,
2:12.0,,,25-17,2,L. James makes 2-pt shot at rim
1:44.0,D. Collison misses 2-pt shot from 6 ft (block by R. Hood),,25-17,,
1:43.0,Offensive rebound by Team,,25-17,,
1:43.0,Turnover by Team (shot clock),,25-17,,
1:43.0,T. Booker enters the game for D. Collison,,25-17,,
1:43.0,C. Joseph enters the game for M. Turner,,25-17,,
1:28.0,,,25-19,2,L. James makes 2-pt shot from 2 ft
1:13.0,D. Sabonis misses 2-pt shot at rim,,25-19,,
1:11.0,,,25-19,,Defensive rebound by L. James
0:50.0,,,25-21,2,L. James makes 2-pt shot from 1 ft
0:35.0,V. Oladipo misses 2-pt shot from 2 ft,,25-21,,
0:32.0,,,25-21,,Defensive rebound by L. Nance
0:27.0,,,25-23,2,L. James makes 2-pt shot from 2 ft
0:03.0,Turnover by Team (shot clock),,25-23,,
0:00.0,,,25-23,,J. Green misses 3-pt shot from 30 ft
0:00.0,,,25-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,25-25,2,R. Hood makes 2-pt shot from 10 ft (assist by L. Nance)
11:16.0,C. Joseph misses 2-pt shot from 6 ft,,25-25,,
11:13.0,,,25-25,,Defensive rebound by K. Love
11:10.0,,,25-25,,R. Hood misses 2-pt shot from 5 ft (block by C. Joseph)
11:10.0,,,25-25,,Offensive rebound by Team
11:05.0,,,25-25,,K. Love misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by C. Joseph,,25-25,,
10:48.0,L. Stephenson makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,28-25,,
10:28.0,,,28-27,2,J. Clarkson makes 2-pt shot from 11 ft
10:14.0,L. Stephenson misses 3-pt shot from 28 ft,,28-27,,
10:11.0,,,28-27,,Defensive rebound by J. Green
10:06.0,,,28-29,2,J. Green makes 2-pt shot from 15 ft
9:43.0,Shooting foul by R. Hood (drawn by D. Sabonis),,28-29,,
9:43.0,D. Sabonis makes free throw 1 of 2,1,29-29,,
9:43.0,D. Sabonis misses free throw 2 of 2,,29-29,,
9:41.0,,,29-29,,Defensive rebound by L. Nance
9:25.0,,,29-29,,Shooting foul by T. Booker (drawn by K. Love)
9:25.0,,,29-30,1,K. Love makes free throw 1 of 2
9:25.0,,,29-31,1,K. Love makes free throw 2 of 2
9:02.0,T. Booker makes 2-pt shot from 1 ft (assist by L. Stephenson),2,31-31,,
8:47.0,,,31-33,2,J. Clarkson makes 2-pt shot from 16 ft
8:31.0,L. Stephenson makes 2-pt shot from 1 ft,2,33-33,,
8:21.0,,,33-33,,J. Clarkson misses 3-pt shot from 25 ft
8:19.0,,,33-33,,Offensive rebound by L. Nance
8:16.0,,,33-36,3,K. Love makes 3-pt shot from 23 ft
8:00.0,D. Sabonis makes 2-pt shot from 2 ft (assist by L. Stephenson),2,35-36,,
7:45.0,,,35-36,,Turnover by J. Clarkson (out of bounds lost ball)
7:45.0,,,35-36,,L. James enters the game for J. Clarkson
7:45.0,T. Young enters the game for T. Booker,,35-36,,
7:45.0,V. Oladipo enters the game for B. Bogdanovic,,35-36,,
7:25.0,C. Joseph makes 2-pt shot from 8 ft,2,37-36,,
7:08.0,,,37-36,,Turnover by K. Love (lost ball; steal by C. Joseph)
7:05.0,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Oladipo),2,39-36,,
7:04.0,,,39-36,,Cleveland full timeout
7:04.0,,,39-36,,J. Smith enters the game for L. Nance
7:04.0,,,39-36,,K. Korver enters the game for J. Green
6:48.0,,,39-38,2,K. Korver makes 2-pt shot from 1 ft (assist by L. James)
6:33.0,D. Sabonis makes 2-pt shot from 17 ft (assist by L. Stephenson),2,41-38,,
6:04.0,,,41-38,,K. Korver misses 2-pt shot from 13 ft
6:02.0,Defensive rebound by V. Oladipo,,41-38,,
5:57.0,V. Oladipo misses 2-pt shot from 21 ft,,41-38,,
5:54.0,,,41-38,,Defensive rebound by K. Korver
5:50.0,,,41-38,,Shooting foul by D. Sabonis (drawn by R. Hood)
5:50.0,,,41-39,1,R. Hood makes free throw 1 of 2
5:50.0,,,41-40,1,R. Hood makes free throw 2 of 2
5:37.0,Shooting foul by J. Smith (drawn by D. Sabonis),,41-40,,
5:37.0,D. Sabonis misses free throw 1 of 2,,41-40,,
5:37.0,Offensive rebound by Team,,41-40,,
5:37.0,D. Sabonis makes free throw 2 of 2,1,42-40,,
5:26.0,Personal foul by L. Stephenson (drawn by L. James),,42-40,,
5:26.0,B. Bogdanovic enters the game for L. Stephenson,,42-40,,
5:17.0,,,42-40,,Turnover by J. Smith (bad pass; steal by D. Sabonis)
5:12.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young),2,44-40,,
4:48.0,,,44-40,,Offensive foul by J. Smith (drawn by C. Joseph)
4:48.0,,,44-40,,Turnover by J. Smith (offensive foul)
4:38.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph),3,47-40,,
4:25.0,,,47-43,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
4:11.0,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Sabonis),3,50-43,,
3:53.0,,,50-43,,K. Love misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by V. Oladipo,,50-43,,
3:39.0,T. Young makes 2-pt shot from 10 ft (assist by V. Oladipo),2,52-43,,
3:21.0,,,52-45,2,L. James makes 2-pt shot at rim
3:16.0,V. Oladipo misses 3-pt shot from 26 ft,,52-45,,
3:11.0,,,52-45,,Defensive rebound by R. Hood
3:04.0,,,52-45,,L. James misses 2-pt shot at rim
3:01.0,,,52-45,,Offensive rebound by K. Love
3:01.0,,,52-45,,K. Love misses 2-pt shot at rim
3:01.0,,,52-45,,Offensive rebound by Team
2:46.0,,,52-47,2,L. James makes 2-pt shot from 1 ft
2:37.0,Indiana full timeout,,52-47,,
2:37.0,D. Collison enters the game for C. Joseph,,52-47,,
2:37.0,M. Turner enters the game for D. Sabonis,,52-47,,
2:20.0,T. Young makes 2-pt shot from 7 ft (assist by B. Bogdanovic),2,54-47,,
2:01.0,,,54-47,,K. Love misses 2-pt shot from 12 ft
1:59.0,Defensive rebound by V. Oladipo,,54-47,,
1:43.0,T. Young makes 2-pt shot from 6 ft,2,56-47,,
1:28.0,,,56-47,,R. Hood misses 2-pt shot from 9 ft
1:26.0,Defensive rebound by V. Oladipo,,56-47,,
1:16.0,,,56-47,,Personal foul by R. Hood (drawn by T. Young)
1:16.0,,,56-47,,L. Nance enters the game for R. Hood
1:16.0,,,56-47,,J. Green enters the game for J. Smith
1:05.0,V. Oladipo misses 3-pt shot from 26 ft,,56-47,,
1:05.0,,,56-47,,Defensive rebound by Team
1:05.0,Loose ball foul by T. Young (drawn by L. Nance),,56-47,,
1:05.0,D. Sabonis enters the game for T. Young,,56-47,,
0:56.0,,,56-47,,Turnover by K. Korver (traveling)
0:42.0,D. Collison misses 3-pt shot from 25 ft,,56-47,,
0:37.0,,,56-47,,Defensive rebound by K. Korver
0:32.0,,,56-49,2,L. James makes 2-pt shot from 1 ft
0:13.0,V. Oladipo misses 2-pt shot from 13 ft,,56-49,,
0:12.0,,,56-49,,Defensive rebound by K. Love
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,56-49,,Shooting foul by B. Bogdanovic (drawn by L. James)
11:47.0,,,56-50,1,L. James makes free throw 1 of 2
11:47.0,,,56-51,1,L. James makes free throw 2 of 2
11:24.0,D. Collison misses 2-pt shot from 1 ft,,56-51,,
11:21.0,,,56-51,,Defensive rebound by K. Love
11:09.0,,,56-54,3,J. Calderon makes 3-pt shot from 23 ft (assist by L. James)
10:56.0,B. Bogdanovic misses 2-pt shot from 12 ft,,56-54,,
10:53.0,,,56-54,,Defensive rebound by L. James
10:47.0,,,56-54,,K. Korver misses 3-pt shot from 27 ft
10:45.0,Defensive rebound by D. Collison,,56-54,,
10:23.0,V. Oladipo misses 3-pt shot from 24 ft,,56-54,,
10:20.0,,,56-54,,Defensive rebound by J. Calderon
10:10.0,,,56-54,,Turnover by J. Calderon (bad pass; steal by D. Collison)
10:06.0,,,56-54,,Personal foul by J. Smith (drawn by M. Turner)
10:04.0,Offensive foul by M. Turner (drawn by J. Smith),,56-54,,
10:04.0,Turnover by M. Turner (offensive foul),,56-54,,
