time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. C. Capela (P. Tucker gains possession),,,,Jump ball: B. Lopez vs. C. Capela (P. Tucker gains possession)
11:47.0,T. Ariza misses 3-pt shot from 24 ft,,0-0,,
11:45.0,Offensive rebound by C. Capela,,0-0,,
11:39.0,J. Harden misses 2-pt shot at rim,,0-0,,
11:38.0,C. Capela misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by C. Capela,,0-0,,
11:36.0,,,0-0,,Defensive rebound by B. Lopez
11:23.0,,,0-0,,B. Lopez misses 2-pt shot from 3 ft
11:19.0,Defensive rebound by C. Capela,,0-0,,
11:09.0,C. Capela misses 2-pt shot from 1 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by B. Lopez
11:07.0,,,0-0,,Turnover by A. Caruso (bad pass)
10:51.0,,,0-0,,Personal foul by A. Caruso (drawn by C. Paul)
10:36.0,J. Harden misses 3-pt shot from 26 ft,,0-0,,
10:36.0,Offensive rebound by Team,,0-0,,
10:36.0,Turnover by Team (shot clock),,0-0,,
10:22.0,,,0-2,2,B. Lopez makes 2-pt shot from 2 ft (assist by A. Caruso)
10:22.0,,,0-2,,Shooting foul by C. Capela (drawn by B. Lopez)
10:22.0,,,0-3,1,B. Lopez makes free throw 1 of 1
10:08.0,,,0-3,,Personal foul by A. Caruso (drawn by T. Ariza)
10:08.0,,,0-3,,G. Payton enters the game for A. Caruso
10:02.0,J. Harden makes 2-pt shot from 3 ft,2,2-3,,
9:39.0,,,2-3,,Turnover by J. Randle (bad pass)
9:33.0,Turnover by J. Harden (bad pass; steal by J. Randle),,2-3,,
9:29.0,,,2-5,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
9:14.0,J. Harden misses 2-pt shot from 13 ft,,2-5,,
9:11.0,,,2-5,,Defensive rebound by J. Randle
9:11.0,Personal foul by C. Paul (drawn by J. Randle),,2-5,,
8:55.0,,,2-7,2,J. Randle makes 2-pt shot from 20 ft
8:32.0,T. Ariza misses 3-pt shot from 26 ft,,2-7,,
8:29.0,,,2-7,,Defensive rebound by B. Lopez
8:20.0,,,2-7,,J. Randle misses 2-pt shot from 3 ft
8:20.0,,,2-7,,Offensive rebound by J. Randle
8:20.0,,,2-7,,Offensive charge foul by J. Randle (drawn by P. Tucker)
8:20.0,,,2-7,,Turnover by J. Randle (offensive foul)
8:02.0,T. Ariza misses 3-pt shot from 25 ft,,2-7,,
7:58.0,,,2-7,,Defensive rebound by J. Randle
7:49.0,,,2-7,,K. Caldwell-Pope misses 2-pt shot from 21 ft
7:44.0,,,2-7,,Offensive rebound by G. Payton
7:44.0,,,2-7,,G. Payton misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by T. Ariza,,2-7,,
7:34.0,Turnover by T. Ariza (lost ball; steal by G. Payton),,2-7,,
7:29.0,,,2-7,,K. Caldwell-Pope misses 2-pt shot from 19 ft
7:25.0,Defensive rebound by C. Capela,,2-7,,
7:25.0,,,2-7,,Personal foul by K. Caldwell-Pope (drawn by J. Harden)
7:18.0,J. Harden misses 2-pt shot from 3 ft,,2-7,,
7:15.0,Offensive rebound by C. Capela,,2-7,,
7:09.0,J. Harden makes 3-pt shot from 24 ft,3,5-7,,
6:47.0,,,5-9,2,B. Lopez makes 2-pt shot from 12 ft
6:34.0,C. Capela makes 2-pt shot from 3 ft (assist by C. Paul),2,7-9,,
6:25.0,,,7-9,,B. Lopez misses 2-pt shot from 5 ft
6:22.0,Defensive rebound by C. Capela,,7-9,,
6:16.0,C. Paul makes 3-pt shot from 26 ft,3,10-9,,
6:16.0,,,10-9,,LA Lakers full timeout
6:16.0,E. Gordon enters the game for C. Paul,,10-9,,
6:03.0,,,10-9,,Turnover by B. Lopez (bad pass; steal by T. Ariza)
5:58.0,T. Ariza makes 2-pt shot from 1 ft,2,12-9,,
5:29.0,,,12-9,,G. Payton misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by C. Capela,,12-9,,
5:10.0,P. Tucker misses 3-pt shot from 25 ft,,12-9,,
5:07.0,Offensive rebound by C. Capela,,12-9,,
5:07.0,Turnover by E. Gordon (step out of bounds),,12-9,,
4:44.0,,,12-9,,B. Lopez misses 3-pt shot from 27 ft
4:42.0,,,12-9,,Offensive rebound by J. Randle
4:39.0,,,12-11,2,J. Randle makes 2-pt shot from 2 ft
4:27.0,E. Gordon misses 3-pt shot from 25 ft,,12-11,,
4:23.0,Offensive rebound by E. Gordon,,12-11,,
4:21.0,E. Gordon makes 3-pt shot from 26 ft,3,15-11,,
4:10.0,,,15-11,,J. Randle misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by J. Harden,,15-11,,
3:50.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,17-11,,
3:37.0,,,17-11,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:32.0,,,17-11,,Offensive rebound by G. Payton
3:31.0,,,17-14,3,B. Lopez makes 3-pt shot from 24 ft (assist by G. Payton)
3:14.0,J. Harden misses 2-pt shot from 2 ft,,17-14,,
3:12.0,,,17-14,,Defensive rebound by J. Randle
3:07.0,,,17-14,,J. Randle misses 2-pt shot from 2 ft
3:04.0,,,17-14,,Offensive rebound by J. Randle
3:01.0,,,17-14,,J. Randle misses 2-pt shot from 3 ft (block by P. Tucker)
3:01.0,Defensive rebound by P. Tucker,,17-14,,
2:49.0,Shooting foul by B. Lopez (drawn by J. Harden),,17-14,,
2:49.0,Houston full timeout,,17-14,,
2:49.0,,,17-14,,C. Frye enters the game for K. Caldwell-Pope
2:49.0,,,17-14,,I. Zubac enters the game for B. Lopez
2:49.0,,,17-14,,T. Ennis enters the game for J. Randle
2:49.0,G. Green enters the game for T. Ariza,,17-14,,
2:49.0,N. Hilario enters the game for P. Tucker,,17-14,,
2:49.0,L. Mbah a Moute enters the game for C. Capela,,17-14,,
2:49.0,J. Harden makes free throw 1 of 3,1,18-14,,
2:49.0,J. Harden makes free throw 2 of 3,1,19-14,,
2:49.0,J. Harden makes free throw 3 of 3,1,20-14,,
2:32.0,,,20-14,,J. Hart misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by J. Harden,,20-14,,
2:06.0,G. Green misses 3-pt shot from 25 ft,,20-14,,
2:05.0,,,20-14,,Defensive rebound by I. Zubac
1:53.0,Personal take foul by L. Mbah a Moute (drawn by I. Zubac),,20-14,,
1:53.0,,,20-14,,A. Ingram enters the game for G. Payton
1:53.0,C. Paul enters the game for J. Harden,,20-14,,
1:36.0,,,20-16,2,C. Frye makes 2-pt shot from 18 ft (assist by T. Ennis)
1:15.0,C. Paul makes 3-pt shot from 27 ft,3,23-16,,
1:00.0,,,23-16,,Turnover by I. Zubac (lost ball; steal by L. Mbah a Moute)
0:54.0,C. Paul misses 3-pt shot from 26 ft,,23-16,,
0:49.0,,,23-16,,Defensive rebound by A. Ingram
0:37.0,,,23-16,,C. Frye misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by G. Green,,23-16,,
0:30.0,C. Paul misses 3-pt shot from 27 ft,,23-16,,
0:26.0,,,23-16,,Defensive rebound by I. Zubac
0:18.0,,,23-16,,Turnover by C. Frye (bad pass; steal by N. Hilario)
0:01.0,E. Gordon misses 3-pt shot from 24 ft,,23-16,,
0:00.0,Offensive rebound by Team,,23-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-16,,T. Ennis misses 2-pt shot from 4 ft
11:37.0,Defensive rebound by L. Mbah a Moute,,23-16,,
11:34.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,23-16,,
11:31.0,,,23-16,,Defensive rebound by C. Frye
11:27.0,,,23-16,,A. Caruso misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by L. Mbah a Moute,,23-16,,
11:16.0,,,23-16,,Personal foul by A. Caruso (drawn by E. Gordon)
11:16.0,,,23-16,,T. Wear enters the game for A. Caruso
11:07.0,G. Green makes 3-pt shot from 27 ft,3,26-16,,
10:46.0,,,26-19,3,A. Ingram makes 3-pt shot from 26 ft (assist by T. Wear)
10:31.0,C. Paul misses 3-pt shot from 26 ft,,26-19,,
10:29.0,,,26-19,,Defensive rebound by I. Zubac
10:19.0,,,26-19,,Shooting foul by C. Paul (drawn by A. Ingram)
10:19.0,,,26-20,1,A. Ingram makes free throw 1 of 2
10:19.0,,,26-20,,T. Bryant enters the game for I. Zubac
10:19.0,,,26-21,1,A. Ingram makes free throw 2 of 2
10:05.0,L. Mbah a Moute misses 2-pt shot from 4 ft (block by T. Wear),,26-21,,
10:05.0,Offensive rebound by Team,,26-21,,
9:59.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,26-21,,
9:55.0,,,26-21,,Defensive rebound by T. Ennis
9:47.0,,,26-24,3,A. Ingram makes 3-pt shot from 25 ft (assist by C. Frye)
9:32.0,C. Paul misses 2-pt shot from 10 ft,,26-24,,
9:30.0,,,26-24,,Defensive rebound by T. Bryant
9:20.0,,,26-27,2,T. Wear makes 3-pt shot from 27 ft (assist by C. Frye)
9:01.0,N. Hilario makes 2-pt shot from 2 ft (assist by C. Paul),2,28-27,,
8:37.0,,,28-27,,C. Frye misses 2-pt shot from 19 ft
8:33.0,Defensive rebound by C. Paul,,28-27,,
8:27.0,C. Paul makes 2-pt shot from 12 ft,2,30-27,,
8:05.0,,,30-29,2,T. Ennis makes 2-pt shot from 2 ft
7:53.0,C. Paul makes 2-pt shot from 10 ft,2,32-29,,
7:44.0,,,32-29,,LA Lakers full timeout
7:44.0,J. Harden enters the game for E. Gordon,,32-29,,
7:44.0,C. Capela enters the game for N. Hilario,,32-29,,
7:41.0,,,32-29,,Offensive foul by T. Bryant (drawn by G. Green)
7:41.0,,,32-29,,Turnover by T. Bryant (offensive foul)
7:29.0,G. Green misses 2-pt shot from 2 ft (block by A. Ingram),,32-29,,
7:26.0,,,32-29,,Defensive rebound by T. Wear
7:22.0,,,32-31,2,A. Ingram makes 2-pt shot from 13 ft (assist by T. Wear)
7:22.0,,,32-31,,Shooting foul by C. Capela (drawn by A. Ingram)
7:22.0,,,32-32,1,A. Ingram makes free throw 1 of 1
7:09.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden),2,34-32,,
6:59.0,,,34-32,,T. Bryant misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by G. Green,,34-32,,
6:59.0,Houston full timeout,,34-32,,
6:59.0,,,34-32,,J. Hart enters the game for C. Frye
6:59.0,T. Ariza enters the game for L. Mbah a Moute,,34-32,,
6:46.0,C. Capela misses 2-pt shot from 1 ft,,34-32,,
6:43.0,,,34-32,,Defensive rebound by T. Ennis
6:40.0,,,34-35,3,J. Hart makes 3-pt shot from 26 ft (assist by T. Ennis)
6:28.0,G. Green makes 3-pt shot from 26 ft (assist by J. Harden),3,37-35,,
6:14.0,Personal foul by G. Green (drawn by T. Bryant),,37-35,,
6:14.0,E. Gordon enters the game for C. Paul,,37-35,,
6:04.0,,,37-35,,T. Wear misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by C. Capela,,37-35,,
5:53.0,J. Harden makes 3-pt shot from 25 ft,3,40-35,,
