time,Detroit,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: N. Jokic vs. A. Drummond (B. Griffin gains possession)
11:43.0,R. Bullock makes 2-pt shot from 14 ft (assist by B. Griffin),2,2-0,,
11:13.0,,,2-0,,N. Jokic misses 2-pt shot from 4 ft
11:11.0,,,2-0,,Offensive rebound by N. Jokic
11:11.0,,,2-2,2,N. Jokic makes 2-pt shot at rim
10:58.0,,,2-2,,Personal foul by G. Harris (drawn by R. Bullock)
10:48.0,I. Smith makes 2-pt shot from 1 ft (assist by B. Griffin),2,4-2,,
10:38.0,Personal foul by J. Ennis (drawn by W. Chandler),,4-2,,
10:30.0,,,4-4,2,G. Harris makes 2-pt shot from 1 ft
10:20.0,R. Bullock misses 3-pt shot from 24 ft,,4-4,,
10:16.0,,,4-4,,Defensive rebound by J. Murray
10:07.0,,,4-4,,P. Millsap misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by A. Drummond,,4-4,,
10:00.0,B. Griffin misses 2-pt shot from 10 ft,,4-4,,
9:56.0,,,4-4,,Defensive rebound by W. Chandler
9:52.0,,,4-4,,W. Chandler misses 2-pt shot from 2 ft
9:50.0,,,4-4,,Offensive rebound by W. Chandler
9:49.0,,,4-6,2,N. Jokic makes 2-pt shot from 1 ft (assist by W. Chandler)
9:49.0,,,4-6,,Shooting foul by B. Griffin (drawn by N. Jokic)
9:49.0,,,4-7,1,N. Jokic makes free throw 1 of 1
9:33.0,B. Griffin makes 3-pt shot from 22 ft (assist by R. Bullock),3,7-7,,
9:22.0,,,7-7,,P. Millsap misses 2-pt shot from 16 ft
9:19.0,Defensive rebound by J. Ennis,,7-7,,
9:13.0,A. Drummond misses 2-pt shot from 2 ft (block by N. Jokic),,7-7,,
9:12.0,Offensive rebound by A. Drummond,,7-7,,
9:12.0,A. Drummond misses 2-pt shot from 2 ft,,7-7,,
9:12.0,,,7-7,,Defensive rebound by Team
9:02.0,,,7-7,,N. Jokic misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by B. Griffin,,7-7,,
8:47.0,A. Drummond makes 2-pt shot from 7 ft,2,9-7,,
8:32.0,,,9-9,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
8:13.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin),2,11-9,,
8:01.0,,,11-12,3,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic)
7:42.0,Shooting foul by P. Millsap (drawn by B. Griffin),,11-12,,
7:42.0,B. Griffin makes free throw 1 of 2,1,12-12,,
7:42.0,B. Griffin makes free throw 2 of 2,1,13-12,,
7:31.0,,,13-12,,W. Chandler misses 2-pt shot from 2 ft (block by A. Drummond)
7:28.0,Defensive rebound by I. Smith,,13-12,,
7:24.0,I. Smith makes 2-pt shot from 16 ft,2,15-12,,
7:11.0,,,15-15,3,N. Jokic makes 3-pt shot from 24 ft (assist by P. Millsap)
6:55.0,Turnover by A. Drummond (traveling),,15-15,,
6:55.0,,,15-15,,Denver full timeout
6:43.0,,,15-17,2,N. Jokic makes 2-pt shot from 14 ft (assist by G. Harris)
6:27.0,R. Bullock makes 2-pt shot from 15 ft (assist by A. Drummond),2,17-17,,
6:16.0,,,17-17,,N. Jokic misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by B. Griffin,,17-17,,
6:10.0,Turnover by I. Smith (bad pass; steal by N. Jokic),,17-17,,
5:55.0,,,17-19,2,P. Millsap makes 2-pt shot from 4 ft (assist by W. Chandler)
5:43.0,R. Bullock misses 3-pt shot from 24 ft,,17-19,,
5:42.0,,,17-19,,Defensive rebound by P. Millsap
5:31.0,,,17-19,,G. Harris misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by J. Ennis,,17-19,,
5:21.0,A. Drummond makes 2-pt shot from 7 ft (assist by B. Griffin),2,19-19,,
5:00.0,,,19-19,,P. Millsap misses 3-pt shot from 22 ft
4:58.0,Defensive rebound by A. Drummond,,19-19,,
4:46.0,B. Griffin makes 2-pt shot from 3 ft (assist by I. Smith),2,21-19,,
4:45.0,,,21-19,,Denver full timeout
4:45.0,,,21-19,,M. Plumlee enters the game for N. Jokic
4:45.0,,,21-19,,W. Barton enters the game for W. Chandler
4:45.0,S. Johnson enters the game for J. Ennis,,21-19,,
4:30.0,,,21-19,,Turnover by P. Millsap (lost ball; steal by S. Johnson)
4:24.0,B. Griffin makes 3-pt shot from 22 ft (assist by I. Smith),3,24-19,,
4:08.0,,,24-19,,Turnover by W. Barton (bad pass; steal by B. Griffin)
4:05.0,Turnover by B. Griffin (bad pass; steal by J. Murray),,24-19,,
4:01.0,,,24-22,3,J. Murray makes 3-pt shot from 25 ft
3:47.0,Turnover by A. Drummond (bad pass),,24-22,,
3:37.0,,,24-22,,G. Harris misses 2-pt shot from 14 ft
3:34.0,Defensive rebound by A. Drummond,,24-22,,
3:20.0,B. Griffin misses 3-pt shot from 24 ft,,24-22,,
