time,LA Clippers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: K. Love vs. D. Jordan (B. Griffin gains possession)
11:47.0,Turnover by D. Jordan (lost ball; steal by K. Love),,0-0,,
11:42.0,,,0-0,,Shooting foul by S. Thornwell (drawn by L. James)
11:42.0,,,0-0,,L. James misses free throw 1 of 2
11:42.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-0,,L. James misses free throw 2 of 2
11:40.0,Defensive rebound by B. Griffin,,0-0,,
11:32.0,B. Griffin misses 3-pt shot from 25 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by L. James
11:26.0,,,0-0,,Turnover by L. James (bad pass; steal by W. Johnson)
11:17.0,S. Thornwell makes 3-pt shot from 25 ft (assist by W. Johnson),3,3-0,,
10:57.0,,,3-0,,L. James misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by B. Griffin,,3-0,,
10:36.0,Turnover by D. Jordan (bad pass; steal by J. Crowder),,3-0,,
10:28.0,,,3-0,,K. Love misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by D. Jordan,,3-0,,
10:19.0,Turnover by D. Jordan (out of bounds lost ball),,3-0,,
10:03.0,,,3-0,,J. Crowder misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by B. Griffin,,3-0,,
9:59.0,Turnover by B. Griffin (bad pass),,3-0,,
9:49.0,,,3-0,,J. Crowder misses 2-pt shot from 18 ft
9:49.0,,,3-0,,Offensive rebound by K. Love
9:49.0,,,3-0,,K. Love misses 2-pt shot at rim
9:48.0,Defensive rebound by D. Jordan,,3-0,,
9:38.0,,,3-0,,Personal foul by K. Love (drawn by D. Jordan)
9:29.0,D. Jordan makes 2-pt shot from 5 ft (assist by B. Griffin),2,5-0,,
9:10.0,,,5-0,,I. Shumpert misses 2-pt shot from 22 ft
9:06.0,Defensive rebound by W. Johnson,,5-0,,
8:59.0,W. Johnson makes 3-pt shot from 28 ft (assist by S. Thornwell),3,8-0,,
8:59.0,,,8-0,,Cleveland full timeout
8:48.0,,,8-0,,J. Smith misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by D. Jordan,,8-0,,
8:35.0,B. Griffin misses 2-pt shot from 9 ft,,8-0,,
8:35.0,,,8-0,,Defensive rebound by L. James
8:23.0,,,8-0,,J. Smith misses 3-pt shot from 23 ft
8:23.0,,,8-0,,Offensive rebound by K. Love
8:18.0,,,8-0,,J. Crowder misses 2-pt shot from 1 ft (block by D. Jordan)
8:15.0,Defensive rebound by B. Griffin,,8-0,,
8:06.0,W. Johnson misses 3-pt shot from 24 ft,,8-0,,
8:03.0,Offensive rebound by D. Jordan,,8-0,,
8:00.0,D. Jordan makes 2-pt shot from 7 ft,2,10-0,,
7:42.0,,,10-0,,J. Crowder misses 2-pt shot from 5 ft (block by D. Jordan)
7:37.0,Defensive rebound by B. Griffin,,10-0,,
7:34.0,S. Thornwell makes 2-pt shot from 20 ft (assist by B. Griffin),2,12-0,,
7:15.0,,,12-2,2,K. Love makes 2-pt shot from 11 ft (assist by J. Smith)
6:57.0,A. Rivers misses 2-pt shot from 7 ft (block by I. Shumpert),,12-2,,
6:57.0,Offensive rebound by Team,,12-2,,
6:51.0,B. Griffin makes 2-pt shot from 15 ft (assist by A. Rivers),2,14-2,,
6:30.0,,,14-4,2,K. Love makes 2-pt shot at rim (assist by J. Smith)
6:12.0,,,14-4,,Personal foul by I. Shumpert (drawn by D. Jordan)
6:12.0,,,14-4,,J. Calderon enters the game for I. Shumpert
6:08.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,16-4,,
