time,Chicago,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: N. Vucevic vs. R. Lopez (L. Markkanen gains possession)
11:42.0,R. Lopez misses 2-pt shot from 8 ft,,0-0,,
11:35.0,Offensive rebound by L. Markkanen,,0-0,,
11:35.0,L. Markkanen misses 2-pt shot at rim,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Gordon
11:25.0,,,0-0,,S. Mack misses 3-pt shot from 21 ft
11:22.0,Defensive rebound by L. Markkanen,,0-0,,
11:12.0,J. Holiday makes 2-pt shot from 1 ft,2,2-0,,
10:52.0,,,2-0,,T. Ross misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by J. Grant,,2-0,,
10:44.0,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Grant),3,5-0,,
10:27.0,,,5-0,,N. Vucevic misses 2-pt shot from 22 ft
10:24.0,Defensive rebound by J. Grant,,5-0,,
10:19.0,J. Holiday makes 3-pt shot from 26 ft (assist by J. Grant),3,8-0,,
10:04.0,,,8-0,,E. Fournier misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by R. Lopez,,8-0,,
9:48.0,R. Lopez misses 2-pt shot from 13 ft,,8-0,,
9:45.0,,,8-0,,Defensive rebound by S. Mack
9:39.0,,,8-2,2,E. Fournier makes 2-pt shot from 2 ft (assist by S. Mack)
9:32.0,J. Grant misses 2-pt shot from 6 ft,,8-2,,
9:32.0,,,8-2,,Defensive rebound by E. Fournier
9:24.0,,,8-2,,A. Gordon misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by D. Nwaba,,8-2,,
9:12.0,J. Holiday makes 2-pt shot from 5 ft (assist by R. Lopez),2,10-2,,
8:49.0,,,10-2,,E. Fournier misses 2-pt shot from 3 ft
8:49.0,Defensive rebound by Team,,10-2,,
8:39.0,,,10-2,,Personal foul by A. Gordon (drawn by L. Markkanen)
8:30.0,J. Grant misses 2-pt shot from 4 ft,,10-2,,
8:27.0,Offensive rebound by J. Grant,,10-2,,
8:24.0,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant),2,12-2,,
8:16.0,,,12-4,2,N. Vucevic makes 2-pt shot from 1 ft (assist by S. Mack)
