time,Utah,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. R. Gobert (D. Favors gains possession),,,,Jump ball: M. Turner vs. R. Gobert (D. Favors gains possession)
11:48.0,D. Favors makes 2-pt shot at rim (assist by R. Rubio),2,2-0,,
11:35.0,,,2-2,2,V. Oladipo makes 2-pt shot from 18 ft
11:18.0,D. Mitchell misses 3-pt shot from 27 ft,,2-2,,
11:14.0,,,2-2,,Defensive rebound by B. Bogdanovic
11:00.0,,,2-2,,T. Young misses 2-pt shot from 14 ft
10:57.0,Defensive rebound by R. Rubio,,2-2,,
10:45.0,J. Ingles misses 3-pt shot from 24 ft,,2-2,,
10:42.0,Offensive rebound by D. Mitchell,,2-2,,
10:35.0,,,2-2,,Personal foul by M. Turner (drawn by R. Rubio)
10:21.0,R. Rubio misses 3-pt shot from 23 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by T. Young
10:03.0,,,2-4,2,M. Turner makes 2-pt shot from 5 ft (assist by V. Oladipo)
9:44.0,D. Mitchell misses 2-pt shot from 17 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by T. Young
9:37.0,,,2-6,2,B. Bogdanovic makes 2-pt shot from 18 ft
9:13.0,R. Gobert misses 2-pt shot from 5 ft,,2-6,,
9:10.0,Offensive rebound by D. Favors,,2-6,,
9:09.0,R. Rubio misses 3-pt shot from 25 ft,,2-6,,
9:06.0,,,2-6,,Defensive rebound by B. Bogdanovic
8:58.0,,,2-8,2,M. Turner makes 2-pt shot from 18 ft (assist by V. Oladipo)
8:57.0,Utah full timeout,,2-8,,
8:44.0,D. Mitchell makes 2-pt shot from 20 ft (assist by J. Ingles),2,4-8,,
8:21.0,,,4-10,2,M. Turner makes 2-pt shot from 5 ft
8:04.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,6-10,,
7:52.0,,,6-10,,M. Turner misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by D. Favors,,6-10,,
7:44.0,,,6-10,,Personal foul by B. Bogdanovic (drawn by J. Ingles)
7:38.0,D. Mitchell makes 2-pt shot from 18 ft,2,8-10,,
7:23.0,,,8-10,,V. Oladipo misses 3-pt shot from 28 ft
7:22.0,,,8-10,,Offensive rebound by T. Young
7:19.0,,,8-10,,Turnover by T. Young (bad pass; steal by R. Rubio)
7:14.0,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors),2,10-10,,
6:57.0,,,10-10,,C. Joseph misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by R. Gobert,,10-10,,
6:47.0,J. Ingles misses 2-pt shot from 15 ft,,10-10,,
6:43.0,,,10-10,,Defensive rebound by C. Joseph
6:38.0,,,10-10,,B. Bogdanovic misses 3-pt shot from 22 ft
6:36.0,Defensive rebound by D. Favors,,10-10,,
