time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Porzingis (O. Porter gains possession),,,,Jump ball: M. Gortat vs. K. Porzingis (O. Porter gains possession)
11:40.0,,,0-2,2,M. Morris makes 2-pt shot from 4 ft (assist by M. Gortat)
11:13.0,E. Kanter makes 2-pt shot from 1 ft,2,2-2,,
11:00.0,,,2-2,,Turnover by M. Gortat (traveling)
10:52.0,,,2-2,,Personal foul by M. Morris (drawn by K. Porzingis)
10:40.0,E. Kanter misses 2-pt shot from 19 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by B. Beal
10:29.0,,,2-4,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
10:17.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack),2,4-4,,
9:55.0,,,4-6,2,M. Gortat makes 2-pt shot from 5 ft
9:38.0,Turnover by E. Kanter (lost ball; steal by M. Gortat),,4-6,,
9:29.0,,,4-6,,O. Porter misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by K. Porzingis,,4-6,,
9:17.0,J. Jack makes 2-pt shot from 1 ft,2,6-6,,
8:56.0,,,6-9,3,O. Porter makes 3-pt shot from 25 ft
8:38.0,Turnover by C. Lee (bad pass; steal by O. Porter),,6-9,,
8:37.0,Violation by J. Jack (kicked ball),,6-9,,
8:30.0,,,6-11,2,B. Beal makes 2-pt shot from 1 ft
8:17.0,J. Jack misses 2-pt shot from 4 ft,,6-11,,
8:17.0,Offensive rebound by E. Kanter,,6-11,,
8:17.0,E. Kanter makes 2-pt shot from 2 ft,2,8-11,,
8:17.0,Shooting foul by M. Gortat (drawn by E. Kanter),,8-11,,
8:17.0,E. Kanter misses free throw 1 of 1,,8-11,,
8:13.0,,,8-11,,Defensive rebound by M. Gortat
8:04.0,,,8-13,2,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal)
7:49.0,K. Porzingis makes 2-pt shot from 21 ft (assist by E. Kanter),2,10-13,,
7:37.0,,,10-15,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
7:11.0,K. Porzingis misses 2-pt shot from 18 ft,,10-15,,
7:07.0,Offensive rebound by L. Thomas,,10-15,,
7:06.0,L. Thomas misses 2-pt shot from 1 ft,,10-15,,
7:06.0,,,10-15,,Defensive rebound by Team
6:56.0,,,10-15,,Shooting foul by E. Kanter (drawn by J. Wall)
6:56.0,,,10-15,,Washington full timeout
6:56.0,,,10-16,1,J. Wall makes free throw 1 of 2
6:56.0,,,10-17,1,J. Wall makes free throw 2 of 2
6:36.0,J. Jack misses 3-pt shot from 23 ft,,10-17,,
6:33.0,,,10-17,,Defensive rebound by M. Morris
6:20.0,,,10-17,,M. Morris misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by E. Kanter,,10-17,,
6:09.0,K. Porzingis makes 2-pt shot from 18 ft (assist by L. Thomas),2,12-17,,
5:59.0,,,12-20,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
5:45.0,C. Lee makes 3-pt shot from 26 ft,3,15-20,,
5:28.0,,,15-22,2,O. Porter makes 2-pt shot from 5 ft
5:17.0,C. Lee makes 2-pt shot from 11 ft,2,17-22,,
5:08.0,,,17-22,,Turnover by J. Wall (lost ball; steal by C. Lee)
4:55.0,E. Kanter makes 2-pt shot from 5 ft,2,19-22,,
4:44.0,Personal foul by L. Thomas (drawn by O. Porter),,19-22,,
4:44.0,,,19-22,,K. Oubre enters the game for O. Porter
4:44.0,D. McDermott enters the game for L. Thomas,,19-22,,
4:44.0,R. Baker enters the game for C. Lee,,19-22,,
4:40.0,,,19-24,2,B. Beal makes 2-pt shot from 1 ft
4:40.0,,,19-24,,Shooting foul by E. Kanter (drawn by B. Beal)
4:40.0,K. O'Quinn enters the game for E. Kanter,,19-24,,
4:40.0,,,19-25,1,B. Beal makes free throw 1 of 1
4:27.0,R. Baker makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,21-25,,
4:12.0,,,21-25,,Shooting foul by D. McDermott (drawn by M. Gortat)
4:12.0,,,21-25,,M. Gortat misses free throw 1 of 2
4:12.0,,,21-25,,Offensive rebound by Team
4:12.0,,,21-25,,M. Gortat misses free throw 2 of 2
4:10.0,Defensive rebound by K. O'Quinn,,21-25,,
4:01.0,J. Jack makes 2-pt shot from 1 ft,2,23-25,,
3:57.0,,,23-27,2,J. Wall makes 2-pt shot from 3 ft
3:57.0,,,23-27,,Shooting foul by R. Baker (drawn by J. Wall)
3:57.0,,,23-27,,J. Wall misses free throw 1 of 1
3:55.0,Defensive rebound by K. O'Quinn,,23-27,,
3:40.0,K. Porzingis misses 3-pt shot from 27 ft,,23-27,,
3:36.0,Offensive rebound by K. O'Quinn,,23-27,,
3:34.0,K. O'Quinn misses 2-pt shot from 1 ft,,23-27,,
3:34.0,,,23-27,,Defensive rebound by M. Gortat
3:22.0,,,23-27,,J. Wall misses 2-pt shot from 6 ft
3:21.0,Defensive rebound by Team,,23-27,,
3:21.0,,,23-27,,Loose ball foul by M. Gortat (drawn by K. O'Quinn)
3:21.0,,,23-27,,I. Mahinmi enters the game for M. Gortat
3:21.0,F. Ntilikina enters the game for J. Jack,,23-27,,
