time,Detroit,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. A. Drummond (T. Harris gains possession),,,,Jump ball: K. Towns vs. A. Drummond (T. Harris gains possession)
11:41.0,Turnover by R. Jackson (lost ball; steal by J. Teague),,0-0,,
11:39.0,,,0-0,,Turnover by J. Butler (out of bounds lost ball)
11:31.0,Turnover by A. Bradley (bad pass; steal by J. Butler),,0-0,,
11:27.0,,,0-2,2,J. Butler makes 2-pt shot at rim
11:13.0,T. Harris misses 3-pt shot from 25 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by T. Gibson
10:56.0,,,0-4,2,A. Wiggins makes 2-pt shot from 19 ft (assist by J. Butler)
10:33.0,T. Harris misses 2-pt shot from 8 ft,,0-4,,
10:33.0,Offensive rebound by A. Drummond,,0-4,,
10:27.0,A. Drummond misses 2-pt shot at rim,,0-4,,
10:27.0,Offensive rebound by A. Drummond,,0-4,,
10:27.0,Shooting foul by K. Towns (drawn by A. Drummond),,0-4,,
10:27.0,A. Drummond makes free throw 1 of 2,1,1-4,,
10:27.0,A. Drummond makes free throw 2 of 2,1,2-4,,
10:14.0,,,2-7,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
9:55.0,Turnover by A. Drummond (bad pass; steal by J. Butler),,2-7,,
9:52.0,,,2-9,2,J. Butler makes 2-pt shot at rim
9:34.0,T. Harris misses 2-pt shot from 16 ft,,2-9,,
9:32.0,,,2-9,,Defensive rebound by J. Butler
9:23.0,,,2-9,,Turnover by J. Butler (bad pass; steal by S. Johnson)
9:16.0,T. Harris misses 3-pt shot from 26 ft,,2-9,,
9:11.0,,,2-9,,Defensive rebound by K. Towns
9:05.0,Personal foul by R. Jackson (drawn by J. Teague),,2-9,,
9:05.0,,,2-9,,Turnover by J. Butler (bad pass)
8:44.0,A. Drummond misses 2-pt shot from 1 ft,,2-9,,
8:41.0,,,2-9,,Defensive rebound by J. Butler
8:27.0,Personal foul by A. Bradley (drawn by K. Towns),,2-9,,
8:17.0,,,2-9,,T. Gibson misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by S. Johnson,,2-9,,
8:07.0,Shooting foul by T. Gibson (drawn by A. Drummond),,2-9,,
8:07.0,A. Drummond makes free throw 1 of 2,1,3-9,,
8:07.0,A. Drummond misses free throw 2 of 2,,3-9,,
8:05.0,,,3-9,,Defensive rebound by K. Towns
7:56.0,,,3-9,,T. Gibson misses 2-pt shot from 8 ft
7:53.0,Defensive rebound by T. Harris,,3-9,,
7:45.0,R. Jackson makes 3-pt shot from 27 ft (assist by S. Johnson),3,6-9,,
7:24.0,,,6-9,,A. Wiggins misses 3-pt shot from 23 ft
7:22.0,,,6-9,,Offensive rebound by K. Towns
7:15.0,,,6-9,,K. Towns misses 2-pt shot from 10 ft
7:13.0,,,6-9,,Offensive rebound by Team
7:05.0,,,6-11,2,A. Wiggins makes 2-pt shot from 8 ft
6:52.0,A. Bradley makes 2-pt shot from 15 ft (assist by A. Drummond),2,8-11,,
6:31.0,,,8-13,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
6:12.0,T. Harris misses 2-pt shot from 1 ft (block by T. Gibson),,8-13,,
6:08.0,,,8-13,,Defensive rebound by J. Butler
5:54.0,,,8-15,2,J. Butler makes 2-pt shot from 11 ft
5:38.0,T. Harris misses 3-pt shot from 25 ft,,8-15,,
5:34.0,,,8-15,,Defensive rebound by J. Teague
5:28.0,,,8-15,,A. Wiggins misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by Team,,8-15,,
5:25.0,,,8-15,,Minnesota full timeout
5:13.0,S. Johnson misses 3-pt shot from 23 ft,,8-15,,
5:10.0,,,8-15,,Defensive rebound by J. Teague
4:58.0,,,8-17,2,K. Towns makes 2-pt shot from 4 ft (assist by J. Butler)
4:42.0,A. Bradley misses 2-pt shot from 7 ft,,8-17,,
4:40.0,,,8-17,,Defensive rebound by T. Gibson
4:34.0,,,8-17,,J. Butler misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by T. Harris,,8-17,,
4:24.0,S. Johnson misses 2-pt shot from 22 ft,,8-17,,
4:22.0,Offensive rebound by Team,,8-17,,
4:22.0,,,8-17,,Loose ball foul by J. Teague (drawn by A. Drummond)
4:22.0,I. Smith enters the game for R. Jackson,,8-17,,
4:08.0,A. Bradley makes 2-pt shot from 20 ft (assist by I. Smith),2,10-17,,
3:46.0,,,10-17,,A. Wiggins misses 2-pt shot from 17 ft
3:45.0,Defensive rebound by T. Harris,,10-17,,
3:29.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Smith),2,12-17,,
3:16.0,Personal foul by S. Johnson (drawn by J. Butler),,12-17,,
3:16.0,,,12-17,,G. Dieng enters the game for K. Towns
3:09.0,,,12-17,,T. Gibson misses 2-pt shot from 15 ft
3:09.0,Defensive rebound by S. Johnson,,12-17,,
3:02.0,T. Harris makes 2-pt shot from 1 ft (assist by S. Johnson),2,14-17,,
2:41.0,,,14-17,,G. Dieng misses 2-pt shot from 11 ft
2:40.0,Defensive rebound by A. Drummond,,14-17,,
2:28.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond),2,16-17,,
2:20.0,,,16-17,,Minnesota full timeout
2:20.0,E. Moreland enters the game for A. Drummond,,16-17,,
2:20.0,,,16-17,,N. Bjelica enters the game for J. Butler
2:20.0,,,16-17,,J. Crawford enters the game for T. Gibson
2:11.0,,,16-19,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
1:47.0,A. Bradley misses 2-pt shot from 15 ft (block by A. Wiggins),,16-19,,
1:46.0,Offensive rebound by T. Harris,,16-19,,
1:41.0,T. Harris misses 2-pt shot from 8 ft,,16-19,,
1:41.0,,,16-19,,Defensive rebound by G. Dieng
1:33.0,,,16-22,3,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Teague)
1:11.0,I. Smith makes 3-pt shot from 22 ft (assist by T. Harris),3,19-22,,
0:49.0,,,19-22,,Turnover by G. Dieng (turnover)
0:49.0,L. Galloway enters the game for A. Bradley,,19-22,,
0:49.0,A. Tolliver enters the game for T. Harris,,19-22,,
0:31.0,S. Johnson makes 3-pt shot from 26 ft (assist by L. Galloway),3,22-22,,
0:17.0,Personal foul by A. Tolliver (drawn by J. Crawford),,22-22,,
0:17.0,,,22-22,,T. Jones enters the game for J. Teague
0:05.0,,,22-24,2,J. Crawford makes 2-pt shot from 21 ft
0:03.0,,,22-24,,Personal take foul by T. Jones (drawn by I. Smith)
0:01.0,Turnover by I. Smith (lost ball; steal by T. Jones),,22-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,22-24,,Turnover by G. Dieng (bad pass)
11:38.0,L. Galloway misses 3-pt shot from 26 ft,,22-24,,
11:35.0,,,22-24,,Defensive rebound by G. Dieng
