time,Utah,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Booker vs. D. Favors (D. Carroll gains possession),,,,Jump ball: T. Booker vs. D. Favors (D. Carroll gains possession)
11:42.0,,,0-0,,A. Crabbe misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by D. Favors,,0-0,,
11:26.0,R. Hood makes 3-pt shot from 24 ft (assist by J. Ingles),3,3-0,,
11:04.0,,,3-2,2,T. Booker makes 2-pt shot from 17 ft
10:41.0,D. Mitchell misses 2-pt shot from 12 ft,,3-2,,
10:36.0,,,3-2,,Defensive rebound by A. Crabbe
10:19.0,,,3-4,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
10:05.0,J. Ingles makes 3-pt shot from 24 ft,3,6-4,,
9:53.0,,,6-6,2,D. Carroll makes 2-pt shot from 20 ft
9:37.0,D. Mitchell makes 3-pt shot from 26 ft (assist by J. Jerebko),3,9-6,,
9:20.0,,,9-9,3,D. Carroll makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
9:04.0,J. Jerebko makes 2-pt shot at rim (assist by D. Mitchell),2,11-9,,
8:42.0,,,11-9,,T. Booker misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by J. Jerebko,,11-9,,
8:18.0,J. Jerebko misses 3-pt shot from 24 ft,,11-9,,
8:15.0,,,11-9,,Defensive rebound by D. Carroll
8:03.0,,,11-9,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by D. Favors,,11-9,,
7:51.0,Shooting foul by R. Hollis-Jefferson (drawn by D. Favors),,11-9,,
7:51.0,D. Favors makes free throw 1 of 2,1,12-9,,
7:51.0,D. Favors makes free throw 2 of 2,1,13-9,,
7:45.0,,,13-12,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
7:32.0,Shooting foul by S. Dinwiddie (drawn by J. Jerebko),,13-12,,
7:32.0,J. Jerebko makes free throw 1 of 2,1,14-12,,
7:32.0,J. Jerebko makes free throw 2 of 2,1,15-12,,
7:21.0,,,15-12,,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by D. Favors)
7:16.0,,,15-12,,Offensive rebound by D. Carroll
7:06.0,,,15-14,2,D. Carroll makes 2-pt shot from 9 ft (assist by T. Booker)
6:51.0,Turnover by J. Ingles (bad pass; steal by D. Carroll),,15-14,,
6:46.0,,,15-16,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Carroll)
6:46.0,Utah full timeout,,15-16,,
6:46.0,A. Burks enters the game for J. Jerebko,,15-16,,
6:35.0,D. Mitchell makes 2-pt shot from 1 ft,2,17-16,,
6:25.0,Def 3 sec tech foul by J. Ingles,,17-16,,
6:25.0,,,17-17,1,A. Crabbe makes technical free throw
6:14.0,,,17-17,,S. Dinwiddie misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by J. Ingles,,17-17,,
6:04.0,J. Ingles makes 3-pt shot from 25 ft (assist by A. Burks),3,20-17,,
5:48.0,,,20-20,3,A. Crabbe makes 3-pt shot from 25 ft
5:26.0,D. Mitchell misses 2-pt shot from 14 ft,,20-20,,
5:23.0,,,20-20,,Defensive rebound by T. Booker
5:21.0,Personal block foul by D. Mitchell (drawn by D. Carroll),,20-20,,
5:21.0,,,20-20,,C. LeVert enters the game for A. Crabbe
5:21.0,,,20-20,,Q. Acy enters the game for T. Booker
5:21.0,R. O'Neale enters the game for R. Hood,,20-20,,
5:04.0,,,20-23,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Carroll)
4:44.0,R. O'Neale misses 3-pt shot from 24 ft,,20-23,,
4:41.0,,,20-23,,Defensive rebound by S. Dinwiddie
4:37.0,,,20-23,,Shooting foul by J. Ingles (drawn by R. Hollis-Jefferson)
4:37.0,,,20-23,,R. Hollis-Jefferson misses free throw 1 of 2
4:37.0,,,20-23,,Offensive rebound by Team
4:37.0,,,20-23,,J. Harris enters the game for D. Carroll
4:37.0,R. Neto enters the game for D. Mitchell,,20-23,,
4:37.0,,,20-24,1,R. Hollis-Jefferson makes free throw 2 of 2
4:28.0,A. Burks misses 2-pt shot from 18 ft,,20-24,,
4:24.0,Offensive rebound by A. Burks,,20-24,,
4:12.0,D. Favors misses 2-pt shot from 7 ft,,20-24,,
4:10.0,,,20-24,,Defensive rebound by C. LeVert
4:01.0,,,20-24,,Turnover by Q. Acy (bad pass)
4:01.0,,,20-24,,T. Zeller enters the game for R. Hollis-Jefferson
3:52.0,Offensive foul by D. Favors (drawn by C. LeVert),,20-24,,
3:52.0,Turnover by D. Favors (offensive foul),,20-24,,
3:30.0,,,20-27,3,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
3:16.0,A. Burks misses 2-pt shot from 8 ft,,20-27,,
3:15.0,,,20-27,,Defensive rebound by Team
3:15.0,Loose ball foul by D. Favors (drawn by Q. Acy),,20-27,,
3:15.0,E. Udoh enters the game for D. Favors,,20-27,,
2:59.0,,,20-27,,S. Dinwiddie misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by R. O'Neale,,20-27,,
2:50.0,Turnover by R. O'Neale (bad pass; steal by S. Dinwiddie),,20-27,,
