time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. C. Capela (D. Favors gains possession),,,,Jump ball: R. Gobert vs. C. Capela (D. Favors gains possession)
11:42.0,,,0-3,3,J. Ingles makes 3-pt shot from 29 ft (assist by D. Favors)
11:19.0,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden),2,2-3,,
11:06.0,,,2-3,,D. Mitchell misses 2-pt shot from 5 ft (block by T. Ariza)
11:03.0,Defensive rebound by C. Paul,,2-3,,
11:02.0,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul),3,5-3,,
10:49.0,,,5-3,,J. Ingles misses 2-pt shot from 21 ft
10:47.0,,,5-3,,Offensive rebound by Team
10:44.0,,,5-3,,Turnover by D. Mitchell (bad pass; steal by C. Capela)
10:39.0,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza),3,8-3,,
10:34.0,,,8-3,,Utah full timeout
10:12.0,,,8-3,,D. Mitchell misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by P. Tucker,,8-3,,
9:55.0,P. Tucker makes 2-pt shot from 8 ft (assist by C. Paul),2,10-3,,
9:34.0,,,10-3,,D. Favors misses 2-pt shot from 21 ft
9:31.0,Defensive rebound by T. Ariza,,10-3,,
9:14.0,C. Paul misses 2-pt shot from 9 ft,,10-3,,
9:11.0,,,10-3,,Defensive rebound by R. O'Neale
9:04.0,,,10-5,2,D. Favors makes 2-pt shot from 2 ft (assist by R. O'Neale)
8:50.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,12-5,,
8:38.0,,,12-5,,Turnover by J. Ingles (bad pass; steal by J. Harden)
8:36.0,,,12-5,,Personal foul by R. O'Neale (drawn by C. Paul)
8:28.0,,,12-5,,Def 3 sec tech foul by R. Gobert
8:28.0,J. Harden makes technical free throw,1,13-5,,
8:21.0,J. Harden makes 2-pt shot from 10 ft (assist by C. Capela),2,15-5,,
8:08.0,,,15-5,,Turnover by R. O'Neale (out of bounds lost ball)
7:53.0,J. Harden misses 3-pt shot from 25 ft,,15-5,,
7:50.0,,,15-5,,Defensive rebound by J. Ingles
7:42.0,,,15-5,,D. Favors misses 3-pt shot from 23 ft
7:39.0,Defensive rebound by C. Paul,,15-5,,
7:29.0,,,15-5,,J. Crowder enters the game for D. Favors
7:16.0,C. Capela misses 2-pt shot from 4 ft,,15-5,,
7:15.0,,,15-5,,Defensive rebound by R. O'Neale
7:07.0,,,15-5,,Turnover by J. Ingles (bad pass; steal by C. Capela)
7:00.0,J. Harden makes 2-pt shot from 2 ft,2,17-5,,
6:48.0,,,17-5,,D. Mitchell misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by P. Tucker,,17-5,,
6:39.0,C. Paul makes 2-pt shot from 15 ft,2,19-5,,
6:18.0,,,19-5,,Offensive charge foul by D. Mitchell (drawn by T. Ariza)
6:18.0,,,19-5,,Turnover by D. Mitchell (offensive foul)
6:18.0,,,19-5,,D. Exum enters the game for R. O'Neale
6:18.0,E. Gordon enters the game for C. Paul,,19-5,,
6:10.0,J. Harden misses 3-pt shot from 28 ft,,19-5,,
6:06.0,,,19-5,,Defensive rebound by J. Crowder
5:58.0,,,19-7,2,D. Mitchell makes 2-pt shot from 12 ft
