time,Phoenix,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: M. Gortat vs. T. Chandler (M. Chriss gains possession)
11:42.0,M. Chriss misses 3-pt shot from 22 ft,,0-0,,
11:36.0,Offensive rebound by T. Chandler,,0-0,,
11:35.0,Turnover by T. Chandler (lost ball; steal by J. Wall),,0-0,,
11:32.0,,,0-2,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall)
11:08.0,M. Chriss makes 2-pt shot from 1 ft,2,2-2,,
10:53.0,,,2-4,2,B. Beal makes 2-pt shot from 16 ft
10:29.0,D. Booker misses 3-pt shot from 29 ft,,2-4,,
10:26.0,,,2-4,,Defensive rebound by J. Wall
10:22.0,,,2-6,2,J. Wall makes 2-pt shot at rim
10:13.0,M. James misses 2-pt shot from 4 ft,,2-6,,
10:09.0,,,2-6,,Defensive rebound by J. Wall
10:07.0,,,2-6,,Shooting foul by M. James (drawn by B. Beal)
10:07.0,,,2-7,1,B. Beal makes free throw 1 of 2
10:07.0,,,2-8,1,B. Beal makes free throw 2 of 2
9:58.0,D. Booker makes 2-pt shot from 11 ft,2,4-8,,
9:34.0,,,4-8,,J. Smith misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by M. James,,4-8,,
9:33.0,Personal foul by T. Chandler (drawn by M. Gortat),,4-8,,
9:26.0,,,4-8,,M. Gortat misses 2-pt shot from 11 ft
9:22.0,Defensive rebound by M. Chriss,,4-8,,
9:22.0,,,4-8,,Personal foul by K. Oubre (drawn by D. Booker)
9:09.0,Shooting foul by K. Oubre (drawn by M. Chriss),,4-8,,
9:09.0,M. Chriss makes free throw 1 of 2,1,5-8,,
9:09.0,,,5-8,,T. Satoransky enters the game for K. Oubre
9:09.0,M. Chriss makes free throw 2 of 2,1,6-8,,
8:59.0,,,6-8,,J. Wall misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by M. James,,6-8,,
8:54.0,M. James misses 3-pt shot from 26 ft,,6-8,,
8:54.0,,,6-8,,Defensive rebound by M. Gortat
8:44.0,,,6-8,,J. Smith misses 3-pt shot from 26 ft
8:39.0,,,6-8,,Offensive rebound by M. Gortat
8:36.0,,,6-8,,Shooting foul by M. Chriss (drawn by J. Smith)
8:36.0,,,6-9,1,J. Smith makes free throw 1 of 2
8:36.0,,,6-10,1,J. Smith makes free throw 2 of 2
8:11.0,M. James misses 3-pt shot from 26 ft,,6-10,,
8:06.0,,,6-10,,Defensive rebound by B. Beal
8:00.0,,,6-12,2,J. Wall makes 2-pt shot from 1 ft
7:45.0,M. James misses 2-pt shot from 8 ft,,6-12,,
7:41.0,Offensive rebound by T. Chandler,,6-12,,
7:35.0,,,6-12,,Personal foul by J. Smith (drawn by D. Booker)
7:24.0,T. Warren makes 2-pt shot from 12 ft,2,8-12,,
7:14.0,,,8-14,2,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat)
6:46.0,M. James misses 2-pt shot from 13 ft,,8-14,,
