time,Milwaukee,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. J. Henson (W. Barton gains possession),,,,Jump ball: N. Jokic vs. J. Henson (W. Barton gains possession)
11:37.0,,,0-2,2,P. Millsap makes 2-pt shot from 1 ft (assist by N. Jokic)
11:22.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,2-2,,
10:58.0,,,2-5,3,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic)
10:39.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by J. Henson),3,5-5,,
10:18.0,,,5-7,2,P. Millsap makes 2-pt shot from 22 ft
10:07.0,K. Middleton misses 2-pt shot from 8 ft (block by T. Craig),,5-7,,
10:07.0,,,5-7,,Defensive rebound by N. Jokic
10:07.0,Personal foul by J. Henson (drawn by N. Jokic),,5-7,,
9:59.0,,,5-7,,N. Jokic misses 2-pt shot from 4 ft
9:55.0,Defensive rebound by G. Antetokounmpo,,5-7,,
9:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,7-7,,
9:33.0,,,7-7,,J. Murray misses 3-pt shot from 22 ft
9:29.0,,,7-7,,Offensive rebound by P. Millsap
9:15.0,,,7-7,,N. Jokic misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by G. Antetokounmpo,,7-7,,
9:03.0,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,9-7,,
8:49.0,,,9-7,,P. Millsap misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by E. Bledsoe,,9-7,,
8:28.0,Shooting foul by J. Murray (drawn by J. Henson),,9-7,,
8:28.0,J. Henson makes free throw 1 of 2,1,10-7,,
8:28.0,J. Henson makes free throw 2 of 2,1,11-7,,
8:13.0,,,11-9,2,N. Jokic makes 2-pt shot from 12 ft (assist by P. Millsap)
7:59.0,Turnover by E. Bledsoe (bad pass),,11-9,,
7:46.0,,,11-11,2,T. Craig makes 2-pt shot from 20 ft (assist by P. Millsap)
7:34.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,11-11,,
7:31.0,,,11-11,,Defensive rebound by P. Millsap
7:29.0,,,11-11,,Turnover by T. Craig (step out of bounds)
7:15.0,K. Middleton makes 2-pt shot from 16 ft,2,13-11,,
6:53.0,,,13-11,,T. Craig misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by J. Henson,,13-11,,
6:46.0,K. Middleton makes 2-pt shot from 3 ft (assist by J. Henson),2,15-11,,
6:30.0,,,15-13,2,N. Jokic makes 2-pt shot from 1 ft
6:17.0,J. Henson misses 2-pt shot from 21 ft,,15-13,,
6:15.0,,,15-13,,Defensive rebound by N. Jokic
6:09.0,,,15-13,,Turnover by N. Jokic (lost ball; steal by J. Henson)
6:05.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,17-13,,
5:44.0,,,17-13,,T. Craig misses 3-pt shot from 22 ft
5:43.0,,,17-13,,Offensive rebound by P. Millsap
5:41.0,,,17-13,,P. Millsap misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by K. Middleton,,17-13,,
5:34.0,T. Snell misses 3-pt shot from 22 ft,,17-13,,
5:30.0,,,17-13,,Defensive rebound by P. Millsap
5:26.0,,,17-13,,Shooting foul by T. Snell (drawn by W. Barton)
5:26.0,,,17-13,,Denver full timeout
5:26.0,,,17-13,,D. Harris enters the game for N. Jokic
5:26.0,,,17-13,,M. Plumlee enters the game for J. Murray
5:26.0,J. Parker enters the game for G. Antetokounmpo,,17-13,,
5:26.0,,,17-14,1,W. Barton makes free throw 1 of 2
5:26.0,,,17-14,,W. Barton misses free throw 2 of 2
5:21.0,Defensive rebound by K. Middleton,,17-14,,
5:09.0,E. Bledsoe misses 2-pt shot from 18 ft (block by T. Craig),,17-14,,
5:06.0,,,17-14,,Defensive rebound by T. Craig
5:00.0,J. Terry enters the game for T. Snell,,17-14,,
4:42.0,,,17-14,,P. Millsap misses 3-pt shot from 24 ft
4:40.0,,,17-14,,Offensive rebound by T. Craig
4:30.0,,,17-14,,Turnover by M. Plumlee (turnover)
4:21.0,,,17-14,,Personal foul by T. Craig (drawn by E. Bledsoe)
4:12.0,J. Parker makes 3-pt shot from 24 ft (assist by J. Henson),3,20-14,,
3:51.0,Personal foul by J. Henson (drawn by M. Plumlee),,20-14,,
3:51.0,T. Zeller enters the game for J. Henson,,20-14,,
3:42.0,,,20-14,,Turnover by M. Plumlee (bad pass; steal by K. Middleton)
3:38.0,K. Middleton misses 3-pt shot from 22 ft,,20-14,,
3:36.0,,,20-14,,Defensive rebound by M. Plumlee
