time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. H. Barnes (Y. Ferrell gains possession),,,,Jump ball: C. Capela vs. H. Barnes (Y. Ferrell gains possession)
11:34.0,H. Barnes makes 2-pt shot from 7 ft,2,2-0,,
11:23.0,,,2-0,,J. Harden misses 2-pt shot from 5 ft
11:23.0,,,2-0,,Offensive rebound by C. Capela
11:17.0,,,2-2,2,E. Gordon makes 2-pt shot at rim
11:17.0,,,2-2,,Shooting foul by D. Nowitzki (drawn by E. Gordon)
11:17.0,,,2-3,1,E. Gordon makes free throw 1 of 1
11:10.0,Turnover by D. Finney-Smith (bad pass; steal by T. Ariza),,2-3,,
11:08.0,,,2-5,2,T. Ariza makes 2-pt shot from 1 ft
10:53.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,5-5,,
10:39.0,,,5-5,,C. Capela misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by W. Matthews,,5-5,,
10:26.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by W. Matthews),3,8-5,,
10:13.0,,,8-7,2,J. Harden makes 2-pt shot from 11 ft
9:43.0,D. Nowitzki misses 3-pt shot from 27 ft,,8-7,,
9:41.0,,,8-7,,Defensive rebound by C. Capela
9:25.0,,,8-9,2,E. Gordon makes 2-pt shot from 2 ft
9:08.0,D. Nowitzki misses 2-pt shot from 16 ft,,8-9,,
9:06.0,,,8-9,,Defensive rebound by R. Anderson
8:53.0,,,8-9,,J. Harden misses 3-pt shot from 24 ft
8:49.0,,,8-9,,Offensive rebound by C. Capela
8:46.0,,,8-12,3,R. Anderson makes 3-pt shot from 27 ft (assist by C. Capela)
8:21.0,D. Nowitzki misses 2-pt shot from 19 ft,,8-12,,
8:19.0,,,8-12,,Defensive rebound by R. Anderson
8:07.0,,,8-14,2,J. Harden makes 2-pt shot from 2 ft
7:43.0,Jump ball: J. Harden vs. H. Barnes (C. Capela gains possession),,,,Jump ball: J. Harden vs. H. Barnes (C. Capela gains possession)
7:43.0,Turnover by H. Barnes (turnover; steal by J. Harden),,8-14,,
7:37.0,Personal foul by D. Finney-Smith (drawn by J. Harden),,8-14,,
7:32.0,,,8-16,2,J. Harden makes 2-pt shot from 1 ft (assist by C. Capela)
7:27.0,Dallas full timeout,,8-16,,
7:22.0,,,8-16,,Personal foul by C. Capela (drawn by W. Matthews)
7:05.0,Y. Ferrell makes 2-pt shot from 2 ft,2,10-16,,
6:46.0,,,10-18,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
6:27.0,W. Matthews misses 2-pt shot from 20 ft,,10-18,,
6:22.0,Offensive rebound by D. Nowitzki,,10-18,,
