time,Brooklyn,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. J. Allen (D. Green gains possession),,,,Jump ball: J. McGee vs. J. Allen (D. Green gains possession)
11:41.0,,,0-0,,K. Durant misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by D. Carroll,,0-0,,
11:20.0,D. Russell makes 2-pt shot from 2 ft (assist by D. Carroll),2,2-0,,
11:12.0,,,2-0,,Turnover by K. Durant (palming)
10:45.0,S. Dinwiddie makes 3-pt shot from 23 ft (assist by D. Russell),3,5-0,,
10:32.0,,,5-0,,S. Curry misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by A. Crabbe,,5-0,,
10:24.0,D. Russell misses 3-pt shot from 26 ft,,5-0,,
10:21.0,,,5-0,,Defensive rebound by J. McGee
10:14.0,,,5-2,2,S. Curry makes 2-pt shot from 18 ft (assist by J. McGee)
9:49.0,A. Crabbe makes 2-pt shot from 2 ft,2,7-2,,
9:32.0,,,7-2,,Turnover by K. Thompson (traveling)
9:18.0,D. Russell misses 3-pt shot from 27 ft,,7-2,,
9:14.0,,,7-2,,Defensive rebound by D. Green
9:09.0,,,7-4,2,J. McGee makes 2-pt shot from 2 ft (assist by D. Green)
8:42.0,A. Crabbe misses 2-pt shot from 20 ft,,7-4,,
8:39.0,Offensive rebound by A. Crabbe,,7-4,,
8:38.0,A. Crabbe misses 3-pt shot from 22 ft,,7-4,,
8:35.0,Offensive rebound by J. Allen,,7-4,,
8:32.0,D. Carroll misses 3-pt shot from 24 ft,,7-4,,
8:30.0,Offensive rebound by J. Allen,,7-4,,
8:25.0,A. Crabbe misses 3-pt shot from 22 ft,,7-4,,
8:22.0,,,7-4,,Defensive rebound by K. Thompson
8:18.0,,,7-6,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
7:58.0,Shooting foul by K. Durant (drawn by S. Dinwiddie),,7-6,,
7:58.0,S. Dinwiddie makes free throw 1 of 3,1,8-6,,
7:58.0,S. Dinwiddie makes free throw 2 of 3,1,9-6,,
7:58.0,S. Dinwiddie makes free throw 3 of 3,1,10-6,,
7:48.0,,,10-6,,Turnover by D. Green (bad pass; steal by D. Russell)
7:43.0,D. Carroll misses 3-pt shot from 28 ft,,10-6,,
7:42.0,,,10-6,,Defensive rebound by Team
7:19.0,,,10-6,,K. Durant misses 2-pt shot from 15 ft
7:13.0,Defensive rebound by D. Carroll,,10-6,,
7:05.0,D. Carroll makes 2-pt shot from 11 ft (assist by D. Russell),2,12-6,,
6:57.0,,,12-6,,S. Curry misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by D. Carroll,,12-6,,
6:43.0,D. Carroll misses 3-pt shot from 25 ft,,12-6,,
6:39.0,,,12-6,,Defensive rebound by S. Curry
6:30.0,,,12-8,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
6:21.0,Brooklyn full timeout,,12-8,,
6:17.0,Offensive foul by J. Allen (drawn by S. Curry),,12-8,,
6:17.0,Turnover by J. Allen (offensive foul),,12-8,,
6:02.0,,,12-10,2,D. Green makes 2-pt shot from 18 ft (assist by K. Thompson)
5:43.0,Shooting foul by S. Curry (drawn by A. Crabbe),,12-10,,
5:43.0,A. Crabbe makes free throw 1 of 2,1,13-10,,
5:43.0,,,13-10,,J. Bell enters the game for D. Green
5:43.0,,,13-10,,A. Iguodala enters the game for J. McGee
5:43.0,D. Cunningham enters the game for J. Allen,,13-10,,
5:43.0,J. Harris enters the game for D. Russell,,13-10,,
5:43.0,A. Crabbe makes free throw 2 of 2,1,14-10,,
5:28.0,,,14-10,,K. Thompson misses 2-pt shot from 12 ft
5:25.0,Defensive rebound by S. Dinwiddie,,14-10,,
5:15.0,A. Crabbe misses 3-pt shot from 28 ft,,14-10,,
