time,Oklahoma City,pts.away,score,pts.home,Memphis
3:07.0,P. Patterson enters the game for S. Adams,,13-23,,
2:51.0,,,13-25,2,D. Davis makes 2-pt shot from 9 ft
2:32.0,Turnover by K. Singler (lost ball; steal by J. Martin),,13-25,,
2:28.0,,,13-25,,J. Martin misses 2-pt shot at rim
2:20.0,,,13-25,,Offensive rebound by T. Evans
2:20.0,,,13-27,2,T. Evans makes 2-pt shot at rim
2:12.0,Shooting foul by J. Martin (drawn by K. Singler),,13-27,,
2:12.0,K. Singler misses free throw 1 of 2,,13-27,,
2:12.0,Offensive rebound by Team,,13-27,,
2:12.0,K. Singler makes free throw 2 of 2,1,14-27,,
1:57.0,,,14-27,,T. Evans misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by P. Patterson,,14-27,,
1:47.0,P. Patterson makes 3-pt shot from 25 ft (assist by R. Felton),3,17-27,,
1:24.0,,,17-27,,B. McLemore misses 2-pt shot at rim
1:24.0,Defensive rebound by Team,,17-27,,
1:17.0,R. Felton misses 2-pt shot from 21 ft,,17-27,,
1:17.0,,,17-27,,Defensive rebound by Team
1:17.0,Loose ball foul by P. Patterson (drawn by J. Martin),,17-27,,
1:17.0,,,17-28,1,J. Martin makes free throw 1 of 2
1:17.0,,,17-29,1,J. Martin makes free throw 2 of 2
1:10.0,Turnover by A. Abrines (bad pass),,17-29,,
0:58.0,,,17-32,3,B. McLemore makes 3-pt shot from 26 ft (assist by T. Evans)
0:36.0,J. Grant misses 3-pt shot from 22 ft,,17-32,,
0:33.0,Offensive rebound by P. Patterson,,17-32,,
0:27.0,K. Singler misses 2-pt shot from 1 ft,,17-32,,
0:25.0,,,17-32,,Defensive rebound by T. Evans
0:22.0,,,17-34,2,T. Evans makes 2-pt shot from 4 ft
0:02.0,R. Felton makes 2-pt shot from 1 ft,2,19-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,19-34,,T. Evans misses 2-pt shot from 21 ft
11:34.0,Defensive rebound by Team,,19-34,,
11:34.0,,,19-34,,Loose ball foul by D. Davis (drawn by P. Patterson)
11:21.0,J. Grant misses 2-pt shot from 1 ft (block by D. Davis),,19-34,,
11:17.0,,,19-34,,Defensive rebound by D. Davis
11:12.0,,,19-36,2,T. Evans makes 2-pt shot from 1 ft (assist by D. Davis)
10:53.0,Turnover by K. Singler (lost ball; steal by J. Martin),,19-36,,
10:50.0,,,19-36,,Turnover by B. McLemore (out of bounds lost ball)
10:43.0,,,19-36,,Personal foul by B. McLemore (drawn by R. Westbrook)
10:34.0,R. Felton misses 3-pt shot from 23 ft,,19-36,,
