time,Indiana,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. M. Turner (D. Nowitzki gains possession),,,,Jump ball: D. Powell vs. M. Turner (D. Nowitzki gains possession)
11:42.0,,,0-2,2,H. Barnes makes 2-pt shot from 1 ft
11:42.0,,,0-2,,Shooting foul by V. Oladipo (drawn by H. Barnes)
11:42.0,,,0-2,,H. Barnes misses free throw 1 of 1
11:39.0,Defensive rebound by M. Turner,,0-2,,
11:25.0,M. Turner makes 2-pt shot from 9 ft,2,2-2,,
11:11.0,,,2-2,,D. Nowitzki misses 2-pt shot from 10 ft
11:09.0,Defensive rebound by M. Turner,,2-2,,
11:05.0,V. Oladipo makes 2-pt shot from 19 ft,2,4-2,,
10:42.0,,,4-2,,D. Powell misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by M. Turner,,4-2,,
10:38.0,Turnover by V. Oladipo (lost ball; steal by W. Matthews),,4-2,,
10:18.0,,,4-2,,D. Powell misses 2-pt shot from 1 ft (block by M. Turner)
10:17.0,Defensive rebound by T. Young,,4-2,,
10:13.0,Turnover by T. Young (bad pass; steal by D. Smith),,4-2,,
10:03.0,,,4-2,,D. Nowitzki misses 2-pt shot from 21 ft
10:00.0,Defensive rebound by M. Turner,,4-2,,
9:47.0,M. Turner misses 2-pt shot from 19 ft,,4-2,,
9:45.0,,,4-2,,Defensive rebound by D. Nowitzki
9:36.0,,,4-4,2,D. Smith makes 2-pt shot from 19 ft
9:17.0,V. Oladipo makes 2-pt shot from 22 ft (assist by M. Turner),2,6-4,,
9:06.0,,,6-4,,Shooting foul by C. Joseph (drawn by D. Smith)
9:06.0,,,6-5,1,D. Smith makes free throw 1 of 2
9:06.0,,,6-6,1,D. Smith makes free throw 2 of 2
8:56.0,T. Young misses 3-pt shot from 25 ft,,6-6,,
8:53.0,,,6-6,,Defensive rebound by D. Smith
8:42.0,,,6-9,3,W. Matthews makes 3-pt shot from 28 ft (assist by D. Powell)
8:17.0,B. Bogdanovic misses 3-pt shot from 25 ft,,6-9,,
8:14.0,,,6-9,,Defensive rebound by D. Smith
8:05.0,,,6-9,,H. Barnes misses 2-pt shot at rim (block by M. Turner)
8:02.0,,,6-9,,Offensive rebound by H. Barnes
7:59.0,,,6-9,,D. Smith misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by B. Bogdanovic,,6-9,,
7:41.0,T. Young misses 2-pt shot from 2 ft,,6-9,,
7:39.0,,,6-9,,Defensive rebound by D. Powell
7:35.0,,,6-9,,M. Kleber enters the game for D. Nowitzki
7:33.0,,,6-9,,M. Kleber misses 2-pt shot from 16 ft
7:30.0,Defensive rebound by V. Oladipo,,6-9,,
7:25.0,M. Turner makes 3-pt shot from 25 ft (assist by V. Oladipo),3,9-9,,
7:10.0,,,9-9,,M. Kleber misses 3-pt shot from 25 ft
7:10.0,,,9-9,,Offensive rebound by W. Matthews
7:07.0,,,9-9,,Dallas full timeout
6:50.0,Personal foul by V. Oladipo (drawn by M. Kleber),,9-9,,
6:50.0,G. Robinson enters the game for V. Oladipo,,9-9,,
6:36.0,,,9-11,2,W. Matthews makes 2-pt shot from 8 ft
6:24.0,B. Bogdanovic misses 2-pt shot from 12 ft,,9-11,,
6:24.0,,,9-11,,Defensive rebound by D. Powell
6:11.0,,,9-11,,Turnover by H. Barnes (bad pass; steal by T. Young)
6:03.0,T. Young misses 3-pt shot from 23 ft,,9-11,,
6:01.0,,,9-11,,Defensive rebound by D. Smith
5:56.0,,,9-11,,D. Smith misses 2-pt shot from 22 ft
5:53.0,Defensive rebound by T. Young,,9-11,,
5:47.0,B. Bogdanovic makes 2-pt shot from 5 ft,2,11-11,,
5:47.0,Shooting foul by D. Powell (drawn by B. Bogdanovic),,11-11,,
5:47.0,,,11-11,,Y. Ferrell enters the game for D. Powell
5:47.0,B. Bogdanovic makes free throw 1 of 1,1,12-11,,
5:29.0,,,12-11,,H. Barnes misses 2-pt shot from 13 ft
5:25.0,,,12-11,,Offensive rebound by M. Kleber
5:23.0,,,12-11,,W. Matthews misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by C. Joseph,,12-11,,
5:07.0,M. Turner makes 2-pt shot from 7 ft (assist by G. Robinson),2,14-11,,
4:43.0,,,14-11,,Y. Ferrell misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by T. Young,,14-11,,
4:33.0,C. Joseph misses 2-pt shot from 19 ft,,14-11,,
4:30.0,Offensive rebound by B. Bogdanovic,,14-11,,
4:24.0,B. Bogdanovic misses 2-pt shot from 6 ft,,14-11,,
4:17.0,Offensive rebound by M. Turner,,14-11,,
4:17.0,M. Turner misses 2-pt shot at rim,,14-11,,
4:15.0,Offensive rebound by B. Bogdanovic,,14-11,,
4:15.0,B. Bogdanovic misses 2-pt shot at rim,,14-11,,
4:13.0,Offensive rebound by M. Turner,,14-11,,
4:13.0,M. Turner makes 2-pt shot at rim,2,16-11,,
4:02.0,,,16-11,,Turnover by W. Matthews (bad pass)
4:02.0,D. Sabonis enters the game for M. Turner,,16-11,,
4:02.0,L. Stephenson enters the game for B. Bogdanovic,,16-11,,
3:48.0,T. Young misses 2-pt shot from 1 ft,,16-11,,
3:48.0,,,16-11,,Defensive rebound by Team
3:25.0,,,16-14,3,D. Smith makes 3-pt shot from 25 ft
3:20.0,Indiana full timeout,,16-14,,
3:20.0,,,16-14,,J. Barea enters the game for D. Smith
3:20.0,J. Young enters the game for C. Joseph,,16-14,,
3:03.0,G. Robinson makes 2-pt shot from 8 ft,2,18-14,,
3:03.0,Shooting foul by M. Kleber (drawn by G. Robinson),,18-14,,
3:03.0,,,18-14,,D. McDermott enters the game for W. Matthews
3:03.0,,,18-14,,D. Powell enters the game for H. Barnes
3:03.0,,,18-14,,D. Nowitzki enters the game for M. Kleber
3:03.0,G. Robinson makes free throw 1 of 1,1,19-14,,
2:48.0,,,19-14,,D. Powell misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by T. Young,,19-14,,
2:38.0,L. Stephenson misses 3-pt shot from 24 ft,,19-14,,
2:36.0,,,19-14,,Defensive rebound by D. Powell
2:26.0,,,19-16,2,J. Barea makes 2-pt shot from 10 ft
2:04.0,G. Robinson makes 2-pt shot from 11 ft (assist by J. Young),2,21-16,,
1:45.0,,,21-18,2,Y. Ferrell makes 2-pt shot from 6 ft (assist by D. Nowitzki)
1:24.0,D. Sabonis makes 2-pt shot from 1 ft,2,23-18,,
1:03.0,,,23-20,2,Y. Ferrell makes 2-pt shot from 14 ft
0:53.0,J. Young misses 3-pt shot from 22 ft,,23-20,,
0:51.0,,,23-20,,Defensive rebound by D. Nowitzki
0:35.0,,,23-20,,D. Nowitzki misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by T. Young,,23-20,,
0:28.0,J. Young misses 2-pt shot from 12 ft,,23-20,,
0:25.0,,,23-20,,Defensive rebound by D. Powell
0:05.0,,,23-23,3,D. McDermott makes 3-pt shot from 26 ft (assist by J. Barea)
0:00.0,J. Young misses 2-pt shot from 15 ft,,23-23,,
0:00.0,Offensive rebound by Team,,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,23-23,,Loose ball foul by D. McDermott (drawn by L. Stephenson)
11:38.0,D. Sabonis misses 2-pt shot from 12 ft,,23-23,,
11:38.0,Offensive rebound by Team,,23-23,,
11:27.0,B. Bogdanovic makes 2-pt shot at rim (assist by C. Joseph),2,25-23,,
11:04.0,,,25-23,,J. Barea misses 2-pt shot from 3 ft
11:02.0,Defensive rebound by L. Stephenson,,25-23,,
10:56.0,L. Stephenson makes 2-pt shot from 14 ft,2,27-23,,
10:44.0,,,27-25,2,J. Barea makes 2-pt shot from 3 ft
10:37.0,C. Joseph misses 2-pt shot from 19 ft,,27-25,,
10:37.0,,,27-25,,Defensive rebound by D. Powell
10:30.0,,,27-28,3,J. Barea makes 3-pt shot from 25 ft
10:11.0,G. Robinson misses 3-pt shot from 24 ft,,27-28,,
10:11.0,,,27-28,,Defensive rebound by D. Powell
10:03.0,,,27-28,,Y. Ferrell misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by L. Stephenson,,27-28,,
9:58.0,,,27-28,,Personal foul by J. Barea (drawn by L. Stephenson)
9:58.0,V. Oladipo enters the game for G. Robinson,,27-28,,
9:51.0,C. Joseph misses 2-pt shot from 19 ft,,27-28,,
9:48.0,,,27-28,,Defensive rebound by D. McDermott
9:28.0,,,27-28,,D. Nowitzki misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by C. Joseph,,27-28,,
9:21.0,B. Bogdanovic misses 3-pt shot from 23 ft,,27-28,,
9:18.0,,,27-28,,Defensive rebound by D. Powell
9:07.0,,,27-28,,J. Barea misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by B. Bogdanovic,,27-28,,
9:05.0,,,27-28,,Personal take foul by D. Nowitzki (drawn by B. Bogdanovic)
9:05.0,M. Turner enters the game for B. Bogdanovic,,27-28,,
8:55.0,L. Stephenson makes 2-pt shot from 18 ft,2,29-28,,
8:37.0,Personal foul by L. Stephenson (drawn by J. Barea),,29-28,,
8:34.0,,,29-30,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Barea)
8:34.0,,,29-30,,Shooting foul by D. Sabonis (drawn by D. McDermott)
8:34.0,,,29-31,1,D. McDermott makes free throw 1 of 1
8:19.0,V. Oladipo makes 2-pt shot from 14 ft,2,31-31,,
8:09.0,Personal foul by D. Sabonis (drawn by D. Nowitzki),,31-31,,
8:03.0,,,31-31,,D. Nowitzki misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by M. Turner,,31-31,,
7:49.0,L. Stephenson misses 3-pt shot from 24 ft,,31-31,,
7:48.0,,,31-31,,Defensive rebound by Team
7:48.0,Loose ball foul by D. Sabonis (drawn by D. Nowitzki),,31-31,,
7:48.0,T. Young enters the game for D. Sabonis,,31-31,,
7:30.0,,,31-31,,D. McDermott misses 2-pt shot from 3 ft
7:27.0,Defensive rebound by T. Young,,31-31,,
7:18.0,M. Turner makes 2-pt shot from 10 ft (assist by L. Stephenson),2,33-31,,
7:16.0,,,33-31,,Dallas full timeout
7:16.0,,,33-31,,D. Smith enters the game for Y. Ferrell
7:02.0,,,33-33,2,D. Smith makes 2-pt shot from 3 ft
6:41.0,L. Stephenson misses 2-pt shot from 1 ft,,33-33,,
6:41.0,Offensive rebound by Team,,33-33,,
6:41.0,,,33-33,,W. Matthews enters the game for D. Powell
6:41.0,,,33-33,,H. Barnes enters the game for D. McDermott
6:41.0,,,33-33,,S. Mejri enters the game for D. Nowitzki
6:32.0,L. Stephenson misses 2-pt shot from 17 ft,,33-33,,
6:28.0,Offensive rebound by L. Stephenson,,33-33,,
6:27.0,L. Stephenson misses 2-pt shot from 5 ft,,33-33,,
6:27.0,,,33-33,,Defensive rebound by S. Mejri
6:15.0,,,33-36,3,J. Barea makes 3-pt shot from 26 ft (assist by D. Smith)
6:03.0,Shooting foul by H. Barnes (drawn by T. Young),,33-36,,
6:03.0,T. Young makes free throw 1 of 2,1,34-36,,
6:03.0,B. Bogdanovic enters the game for L. Stephenson,,34-36,,
6:03.0,T. Young misses free throw 2 of 2,,34-36,,
6:00.0,,,34-36,,Defensive rebound by J. Barea
5:52.0,,,34-36,,S. Mejri misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by B. Bogdanovic,,34-36,,
5:26.0,Turnover by V. Oladipo (bad pass; steal by H. Barnes),,34-36,,
5:22.0,,,34-38,2,H. Barnes makes 2-pt shot at rim
5:16.0,Indiana full timeout,,34-38,,
5:16.0,,,34-38,,Y. Ferrell enters the game for J. Barea
5:11.0,Offensive foul by M. Turner (drawn by W. Matthews),,34-38,,
5:11.0,Turnover by M. Turner (offensive foul),,34-38,,
5:11.0,J. Young enters the game for C. Joseph,,34-38,,
4:46.0,,,34-38,,D. Smith misses 2-pt shot from 16 ft
4:40.0,Defensive rebound by T. Young,,34-38,,
4:38.0,Turnover by B. Bogdanovic (lost ball; steal by W. Matthews),,34-38,,
4:29.0,,,34-38,,H. Barnes misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by T. Young,,34-38,,
4:13.0,M. Turner makes 2-pt shot from 7 ft,2,36-38,,
3:59.0,Personal foul by V. Oladipo (drawn by S. Mejri),,36-38,,
3:59.0,,,36-38,,S. Mejri misses free throw 1 of 2
3:59.0,,,36-38,,Offensive rebound by Team
3:59.0,C. Joseph enters the game for V. Oladipo,,36-38,,
3:59.0,,,36-39,1,S. Mejri makes free throw 2 of 2
3:46.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by W. Matthews),,36-39,,
3:45.0,Offensive rebound by T. Young,,36-39,,
3:43.0,T. Young makes 2-pt shot at rim,2,38-39,,
3:29.0,,,38-41,2,H. Barnes makes 2-pt shot from 1 ft (assist by W. Matthews)
3:11.0,C. Joseph makes 2-pt shot from 12 ft,2,40-41,,
