time,Houston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Leonard vs. C. Capela (D. Lillard gains possession),,,,Jump ball: M. Leonard vs. C. Capela (D. Lillard gains possession)
11:41.0,,,0-0,,Turnover by C. McCollum (bad pass; steal by T. Ariza)
11:41.0,,,0-0,,Personal foul by D. Lillard (drawn by T. Ariza)
11:29.0,Shooting foul by A. Aminu (drawn by J. Harden),,0-0,,
11:29.0,J. Harden makes free throw 1 of 2,1,1-0,,
11:29.0,J. Harden makes free throw 2 of 2,1,2-0,,
11:20.0,,,2-3,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Leonard)
11:00.0,J. Harden misses 2-pt shot from 6 ft,,2-3,,
10:55.0,Offensive rebound by J. Harden,,2-3,,
10:55.0,J. Harden misses 2-pt shot at rim,,2-3,,
10:55.0,,,2-3,,Defensive rebound by E. Turner
10:41.0,,,2-3,,Turnover by D. Lillard (bad pass; steal by C. Capela)
10:27.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,4-3,,
10:13.0,,,4-6,3,D. Lillard makes 3-pt shot from 26 ft
9:59.0,C. Paul misses 3-pt shot from 25 ft,,4-6,,
9:56.0,,,4-6,,Defensive rebound by C. McCollum
9:53.0,,,4-8,2,C. McCollum makes 2-pt shot from 1 ft
9:43.0,T. Ariza misses 3-pt shot from 26 ft,,4-8,,
9:43.0,Offensive rebound by Team,,4-8,,
9:39.0,,,4-8,,Personal foul by D. Lillard (drawn by C. Paul)
9:27.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Paul),3,7-8,,
9:15.0,,,7-10,2,M. Leonard makes 2-pt shot at rim (assist by D. Lillard)
9:15.0,,,7-10,,Shooting foul by C. Paul (drawn by M. Leonard)
9:15.0,,,7-11,1,M. Leonard makes free throw 1 of 1
9:03.0,J. Harden makes 2-pt shot from 9 ft,2,9-11,,
8:54.0,,,9-11,,C. McCollum misses 2-pt shot from 17 ft
8:51.0,Defensive rebound by J. Harden,,9-11,,
8:39.0,C. Paul makes 2-pt shot from 14 ft,2,11-11,,
8:20.0,,,11-14,3,D. Lillard makes 3-pt shot from 25 ft
8:02.0,J. Harden makes 3-pt shot from 25 ft,3,14-14,,
7:52.0,,,14-14,,D. Lillard misses 3-pt shot from 27 ft
7:49.0,Defensive rebound by R. Anderson,,14-14,,
7:30.0,J. Harden makes 2-pt shot from 1 ft,2,16-14,,
7:16.0,,,16-17,3,A. Aminu makes 3-pt shot from 26 ft (assist by C. McCollum)
7:04.0,Turnover by C. Paul (bad pass; steal by E. Turner),,16-17,,
6:59.0,,,16-20,3,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner)
6:39.0,Offensive foul by C. Paul (drawn by D. Lillard),,16-20,,
6:39.0,Turnover by C. Paul (offensive foul),,16-20,,
6:39.0,,,16-20,,Portland full timeout
6:39.0,E. Gordon enters the game for C. Paul,,16-20,,
6:25.0,,,16-22,2,E. Turner makes 2-pt shot from 11 ft
6:04.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,18-22,,
5:50.0,,,18-22,,A. Aminu misses 2-pt shot from 17 ft
5:47.0,Defensive rebound by C. Capela,,18-22,,
5:34.0,R. Anderson misses 2-pt shot from 2 ft (block by A. Aminu),,18-22,,
5:33.0,Offensive rebound by C. Capela,,18-22,,
5:31.0,C. Capela makes 2-pt shot at rim,2,20-22,,
5:12.0,,,20-22,,E. Turner misses 2-pt shot from 15 ft
5:10.0,,,20-22,,Offensive rebound by M. Leonard
5:04.0,,,20-24,2,M. Leonard makes 2-pt shot from 21 ft
4:50.0,J. Harden misses 2-pt shot from 3 ft,,20-24,,
4:49.0,,,20-24,,Defensive rebound by M. Leonard
4:47.0,,,20-24,,Z. Collins enters the game for D. Lillard
4:47.0,,,20-24,,P. Connaughton enters the game for A. Aminu
4:47.0,N. Hilario enters the game for T. Ariza,,20-24,,
4:47.0,L. Mbah a Moute enters the game for C. Capela,,20-24,,
4:47.0,P. Tucker enters the game for R. Anderson,,20-24,,
4:44.0,Jump ball: M. Leonard vs. J. Harden (E. Turner gains possession),,,,Jump ball: M. Leonard vs. J. Harden (E. Turner gains possession)
4:33.0,,,20-24,,P. Connaughton misses 3-pt shot from 25 ft (block by L. Mbah a Moute)
4:30.0,Defensive rebound by P. Tucker,,20-24,,
4:26.0,Shooting foul by M. Leonard (drawn by J. Harden),,20-24,,
4:26.0,J. Harden makes free throw 1 of 2,1,21-24,,
4:26.0,,,21-24,,E. Davis enters the game for M. Leonard
4:26.0,J. Harden makes free throw 2 of 2,1,22-24,,
4:16.0,,,22-27,3,C. McCollum makes 3-pt shot from 26 ft
4:00.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,24-27,,
3:47.0,,,24-27,,Shooting foul by E. Gordon (drawn by C. McCollum)
3:47.0,,,24-28,1,C. McCollum makes free throw 1 of 2
3:47.0,,,24-29,1,C. McCollum makes free throw 2 of 2
3:35.0,N. Hilario makes 2-pt shot from 3 ft,2,26-29,,
3:25.0,,,26-29,,Shooting foul by E. Gordon (drawn by E. Davis)
3:25.0,,,26-29,,E. Davis misses free throw 1 of 2
3:25.0,,,26-29,,Offensive rebound by Team
3:25.0,,,26-29,,E. Davis misses free throw 2 of 2
3:22.0,,,26-29,,Offensive rebound by Z. Collins
3:19.0,,,26-31,2,E. Davis makes 2-pt shot at rim (assist by Z. Collins)
3:03.0,J. Harden misses 2-pt shot from 2 ft,,26-31,,
3:01.0,,,26-31,,Defensive rebound by E. Turner
2:52.0,,,26-31,,C. McCollum misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by L. Mbah a Moute,,26-31,,
2:40.0,N. Hilario misses 2-pt shot from 19 ft,,26-31,,
2:38.0,,,26-31,,Defensive rebound by E. Davis
2:22.0,,,26-33,2,P. Connaughton makes 2-pt shot at rim (assist by C. McCollum)
2:09.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by E. Davis),,26-33,,
2:07.0,Offensive rebound by E. Gordon,,26-33,,
2:07.0,Shooting foul by P. Connaughton (drawn by E. Gordon),,26-33,,
2:07.0,Houston full timeout,,26-33,,
2:07.0,,,26-33,,J. Layman enters the game for E. Turner
2:07.0,E. Gordon makes free throw 1 of 2,1,27-33,,
2:07.0,E. Gordon makes free throw 2 of 2,1,28-33,,
1:46.0,,,28-33,,Z. Collins misses 3-pt shot from 27 ft
1:41.0,,,28-33,,Offensive rebound by E. Davis
1:30.0,,,28-33,,Z. Collins misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by J. Harden,,28-33,,
1:21.0,J. Harden makes 3-pt shot from 25 ft,3,31-33,,
1:00.0,,,31-35,2,C. McCollum makes 2-pt shot from 20 ft
0:48.0,P. Tucker misses 3-pt shot from 23 ft,,31-35,,
0:44.0,,,31-35,,Defensive rebound by E. Davis
0:41.0,,,31-35,,Turnover by C. McCollum (lost ball; steal by J. Harden)
0:35.0,J. Harden misses 2-pt shot from 1 ft,,31-35,,
0:34.0,,,31-35,,Defensive rebound by E. Davis
0:29.0,,,31-37,2,C. McCollum makes 2-pt shot from 1 ft
0:04.0,J. Harden misses 3-pt shot from 26 ft,,31-37,,
0:04.0,,,31-37,,Defensive rebound by Team
0:04.0,,,31-37,,D. Lillard enters the game for E. Davis
0:02.0,Personal take foul by L. Mbah a Moute (drawn by D. Lillard),,31-37,,
0:00.0,,,31-37,,Z. Collins misses 2-pt shot from 4 ft
0:00.0,,,31-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,R. Anderson misses 3-pt shot from 28 ft,,31-37,,
11:50.0,,,31-37,,Defensive rebound by J. Layman
11:45.0,,,31-37,,Turnover by D. Lillard (step out of bounds)
11:37.0,C. Paul makes 2-pt shot from 1 ft,2,33-37,,
11:11.0,,,33-37,,P. Connaughton misses 3-pt shot from 26 ft
11:10.0,,,33-37,,Offensive rebound by E. Davis
11:08.0,,,33-39,2,E. Davis makes 2-pt shot from 1 ft
10:57.0,T. Ariza misses 2-pt shot at rim,,33-39,,
10:53.0,Offensive rebound by T. Ariza,,33-39,,
10:53.0,T. Ariza makes 2-pt shot at rim,2,35-39,,
10:43.0,,,35-41,2,P. Connaughton makes 2-pt shot from 1 ft (assist by D. Lillard)
10:26.0,C. Paul makes 3-pt shot from 26 ft (assist by R. Anderson),3,38-41,,
10:05.0,,,38-44,3,Z. Collins makes 3-pt shot from 24 ft (assist by D. Lillard)
9:49.0,Shooting foul by J. Layman (drawn by E. Gordon),,38-44,,
9:49.0,E. Gordon makes free throw 1 of 2,1,39-44,,
9:49.0,,,39-44,,M. Leonard enters the game for Z. Collins
9:49.0,,,39-44,,N. Vonleh enters the game for E. Davis
9:49.0,E. Gordon misses free throw 2 of 2,,39-44,,
9:44.0,,,39-44,,Defensive rebound by J. Layman
9:28.0,,,39-46,2,P. Connaughton makes 2-pt shot from 3 ft
9:15.0,,,39-46,,Personal foul by J. Layman (drawn by E. Gordon)
9:15.0,C. Capela enters the game for L. Mbah a Moute,,39-46,,
9:03.0,C. Paul misses 3-pt shot from 25 ft,,39-46,,
9:02.0,,,39-46,,Defensive rebound by Team
8:47.0,,,39-46,,Turnover by M. Leonard (lost ball; steal by T. Ariza)
8:43.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,42-46,,
8:26.0,,,42-48,2,P. Connaughton makes 2-pt shot at rim (assist by N. Vonleh)
8:16.0,Offensive charge foul by R. Anderson (drawn by P. Connaughton),,42-48,,
8:16.0,Turnover by R. Anderson (offensive foul),,42-48,,
8:04.0,,,42-48,,J. Layman misses 2-pt shot from 11 ft
8:01.0,Defensive rebound by C. Capela,,42-48,,
7:49.0,Offensive foul by R. Anderson (drawn by N. Vonleh),,42-48,,
7:49.0,Turnover by R. Anderson (offensive foul),,42-48,,
7:49.0,P. Tucker enters the game for R. Anderson,,42-48,,
7:35.0,,,42-50,2,D. Lillard makes 2-pt shot from 20 ft
7:21.0,T. Ariza misses 2-pt shot from 1 ft,,42-50,,
7:18.0,,,42-50,,Defensive rebound by D. Lillard
7:15.0,,,42-50,,P. Connaughton misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by C. Capela,,42-50,,
7:07.0,Shooting foul by J. Layman (drawn by C. Paul),,42-50,,
7:07.0,C. Paul makes free throw 1 of 2,1,43-50,,
7:07.0,C. Paul makes free throw 2 of 2,1,44-50,,
6:47.0,,,44-50,,D. Lillard misses 3-pt shot from 29 ft
6:46.0,,,44-50,,Offensive rebound by Team
6:46.0,,,44-50,,Portland full timeout
6:46.0,,,44-50,,E. Turner enters the game for J. Layman
6:46.0,J. Harden enters the game for E. Gordon,,44-50,,
6:31.0,,,44-50,,Shooting foul by C. Capela (drawn by D. Lillard)
6:31.0,,,44-51,1,D. Lillard makes free throw 1 of 2
6:31.0,,,44-52,1,D. Lillard makes free throw 2 of 2
6:22.0,,,44-52,,Personal foul by E. Turner (drawn by J. Harden)
6:16.0,J. Harden misses 2-pt shot from 7 ft,,44-52,,
6:14.0,,,44-52,,Defensive rebound by P. Connaughton
6:00.0,,,44-54,2,M. Leonard makes 2-pt shot from 10 ft (assist by D. Lillard)
5:46.0,C. Paul makes 2-pt shot from 5 ft,2,46-54,,
5:37.0,,,46-57,3,D. Lillard makes 3-pt shot from 24 ft
5:26.0,Shooting foul by M. Leonard (drawn by C. Capela),,46-57,,
5:26.0,C. Capela misses free throw 1 of 2,,46-57,,
5:26.0,Offensive rebound by Team,,46-57,,
5:26.0,,,46-57,,A. Aminu enters the game for P. Connaughton
5:26.0,,,46-57,,C. McCollum enters the game for N. Vonleh
5:26.0,C. Capela makes free throw 2 of 2,1,47-57,,
5:13.0,Personal foul by T. Ariza (drawn by M. Leonard),,47-57,,
5:01.0,,,47-57,,C. McCollum misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by Team,,47-57,,
4:52.0,C. Paul makes 2-pt shot from 10 ft,2,49-57,,
4:36.0,,,49-57,,E. Turner misses 2-pt shot from 9 ft
4:31.0,Defensive rebound by C. Capela,,49-57,,
4:24.0,J. Harden makes 2-pt shot at rim,2,51-57,,
4:24.0,Shooting foul by M. Leonard (drawn by J. Harden),,51-57,,
4:24.0,J. Harden makes free throw 1 of 1,1,52-57,,
4:11.0,,,52-57,,C. McCollum misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by C. Capela,,52-57,,
4:02.0,Shooting foul by E. Turner (drawn by J. Harden),,52-57,,
4:02.0,J. Harden makes free throw 1 of 2,1,53-57,,
4:02.0,,,53-57,,Z. Collins enters the game for M. Leonard
4:02.0,E. Gordon enters the game for T. Ariza,,53-57,,
4:02.0,L. Mbah a Moute enters the game for C. Paul,,53-57,,
4:02.0,J. Harden makes free throw 2 of 2,1,54-57,,
3:44.0,,,54-57,,Turnover by C. McCollum (bad pass; steal by J. Harden)
3:38.0,J. Harden makes 2-pt shot from 1 ft (assist by C. Capela),2,56-57,,
3:20.0,,,56-60,3,D. Lillard makes 3-pt shot from 28 ft
3:11.0,Turnover by J. Harden (out of bounds lost ball),,56-60,,
2:58.0,,,56-60,,D. Lillard misses 3-pt shot from 28 ft
2:55.0,,,56-60,,Offensive rebound by A. Aminu
2:52.0,,,56-60,,D. Lillard misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by L. Mbah a Moute,,56-60,,
2:43.0,J. Harden misses 2-pt shot from 2 ft (block by Z. Collins),,56-60,,
2:43.0,Offensive rebound by Team,,56-60,,
2:43.0,Houston full timeout,,56-60,,
2:41.0,,,56-60,,Personal foul by E. Turner (drawn by E. Gordon)
2:41.0,E. Gordon makes free throw 1 of 2,1,57-60,,
2:41.0,E. Gordon makes free throw 2 of 2,1,58-60,,
2:23.0,,,58-60,,A. Aminu misses 2-pt shot from 14 ft
2:22.0,,,58-60,,Offensive rebound by Team
2:22.0,Loose ball foul by J. Harden (drawn by Z. Collins),,58-60,,
2:12.0,,,58-60,,C. McCollum misses 2-pt shot from 14 ft
2:10.0,Defensive rebound by C. Capela,,58-60,,
1:58.0,J. Harden misses 2-pt shot from 1 ft,,58-60,,
1:58.0,,,58-60,,Defensive rebound by Team
1:58.0,Loose ball foul by C. Capela (drawn by E. Turner),,58-60,,
1:58.0,,,58-60,,P. Connaughton enters the game for E. Turner
1:40.0,,,58-62,2,C. McCollum makes 2-pt shot from 20 ft
1:22.0,E. Gordon misses 3-pt shot from 25 ft,,58-62,,
1:21.0,,,58-62,,Defensive rebound by D. Lillard
1:15.0,,,58-62,,Offensive foul by Z. Collins (drawn by E. Gordon)
1:15.0,,,58-62,,Turnover by Z. Collins (offensive foul)
1:15.0,C. Paul enters the game for C. Capela,,58-62,,
1:03.0,Turnover by J. Harden (out of bounds lost ball),,58-62,,
0:47.0,,,58-62,,A. Aminu misses 3-pt shot from 22 ft
0:45.0,Defensive rebound by J. Harden,,58-62,,
0:30.0,J. Harden makes 2-pt shot from 17 ft,2,60-62,,
0:22.0,,,60-62,,D. Lillard misses 2-pt shot from 2 ft
