time,New York,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: S. Adams vs. K. Porzingis (E. Kanter gains possession)
11:46.0,,,0-0,,Personal foul by C. Anthony (drawn by T. Hardaway)
11:34.0,T. Hardaway misses 3-pt shot from 26 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by Team
11:20.0,,,0-0,,P. George misses 3-pt shot from 22 ft
11:20.0,Turnover by Team (shot clock),,0-0,,
11:15.0,,,0-0,,Defensive rebound by R. Westbrook
11:14.0,,,0-3,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
10:52.0,E. Kanter misses 2-pt shot from 4 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by Team
10:34.0,,,0-5,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:34.0,,,0-5,,Shooting foul by E. Kanter (drawn by S. Adams)
10:34.0,,,0-5,,S. Adams misses free throw 1 of 1
10:31.0,Defensive rebound by K. Porzingis,,0-5,,
10:11.0,R. Sessions makes 3-pt shot from 25 ft,3,3-5,,
9:48.0,,,3-5,,C. Anthony misses 2-pt shot from 1 ft (block by K. Porzingis)
9:45.0,,,3-5,,Offensive rebound by A. Roberson
9:43.0,,,3-5,,A. Roberson misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by C. Lee,,3-5,,
9:31.0,C. Lee makes 3-pt shot from 25 ft (assist by E. Kanter),3,6-5,,
9:21.0,,,6-5,,Shooting foul by T. Hardaway (drawn by P. George)
9:21.0,,,6-6,1,P. George makes free throw 1 of 2
9:21.0,,,6-7,1,P. George makes free throw 2 of 2
8:57.0,C. Lee misses 2-pt shot from 22 ft,,6-7,,
8:54.0,,,6-7,,Defensive rebound by R. Westbrook
8:50.0,,,6-7,,P. George misses 3-pt shot from 25 ft
8:47.0,,,6-7,,Offensive rebound by S. Adams
