time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (B. Beal gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (B. Beal gains possession)
11:42.0,M. Gortat misses 2-pt shot from 10 ft (block by A. Drummond),,0-0,,
11:38.0,Offensive rebound by B. Beal,,0-0,,
11:37.0,J. Wall misses 3-pt shot from 23 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by A. Bradley
11:20.0,,,0-0,,R. Bullock misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by M. Gortat,,0-0,,
11:06.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,3-0,,
10:45.0,,,3-2,2,T. Harris makes 2-pt shot from 13 ft (assist by A. Drummond)
10:30.0,M. Morris makes 2-pt shot from 14 ft (assist by O. Porter),2,5-2,,
10:15.0,,,5-2,,A. Bradley misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by M. Gortat,,5-2,,
10:06.0,M. Morris misses 3-pt shot from 25 ft,,5-2,,
10:04.0,,,5-2,,Defensive rebound by I. Smith
9:58.0,,,5-5,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
9:35.0,M. Gortat misses 2-pt shot from 9 ft,,5-5,,
9:33.0,,,5-5,,Defensive rebound by T. Harris
9:23.0,,,5-7,2,A. Bradley makes 2-pt shot from 11 ft (assist by R. Bullock)
8:59.0,M. Morris misses 3-pt shot from 22 ft,,5-7,,
8:56.0,,,5-7,,Defensive rebound by A. Drummond
8:46.0,,,5-9,2,T. Harris makes 2-pt shot from 2 ft (assist by A. Drummond)
8:31.0,Turnover by J. Wall (bad pass; steal by A. Drummond),,5-9,,
8:27.0,,,5-9,,Turnover by I. Smith (bad pass; steal by B. Beal)
8:20.0,B. Beal misses 3-pt shot from 24 ft,,5-9,,
8:17.0,Offensive rebound by Team,,5-9,,
8:07.0,J. Wall misses 2-pt shot from 20 ft,,5-9,,
8:05.0,,,5-9,,Defensive rebound by T. Harris
7:59.0,,,5-11,2,T. Harris makes 2-pt shot from 15 ft
7:54.0,Washington full timeout,,5-11,,
7:54.0,I. Mahinmi enters the game for M. Gortat,,5-11,,
7:40.0,M. Morris misses 2-pt shot from 21 ft,,5-11,,
7:38.0,,,5-11,,Defensive rebound by A. Drummond
7:26.0,,,5-13,2,I. Smith makes 2-pt shot from 19 ft (assist by A. Drummond)
7:14.0,Offensive foul by I. Mahinmi (drawn by I. Smith),,5-13,,
7:14.0,Turnover by I. Mahinmi (offensive foul),,5-13,,
7:01.0,,,5-13,,T. Harris misses 2-pt shot from 14 ft
6:57.0,,,5-13,,Offensive rebound by A. Drummond
6:50.0,,,5-13,,A. Bradley misses 2-pt shot from 17 ft
6:47.0,,,5-13,,Offensive rebound by Team
6:38.0,,,5-13,,T. Harris misses 2-pt shot from 16 ft
6:36.0,Defensive rebound by M. Morris,,5-13,,
6:14.0,M. Morris misses 3-pt shot from 25 ft,,5-13,,
6:12.0,,,5-13,,Defensive rebound by A. Drummond
6:02.0,,,5-13,,Shooting foul by M. Morris (drawn by A. Drummond)
6:02.0,,,5-14,1,A. Drummond makes free throw 1 of 2
6:02.0,,,5-14,,A. Drummond misses free throw 2 of 2
6:00.0,Defensive rebound by O. Porter,,5-14,,
5:44.0,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal),3,8-14,,
5:29.0,,,8-14,,Turnover by A. Drummond (bad pass; steal by O. Porter)
5:25.0,O. Porter makes 2-pt shot at rim,2,10-14,,
5:10.0,,,10-17,3,A. Bradley makes 3-pt shot from 25 ft (assist by T. Harris)
4:50.0,Turnover by J. Wall (bad pass; steal by T. Harris),,10-17,,
4:46.0,,,10-19,2,A. Bradley makes 2-pt shot at rim
4:27.0,O. Porter misses 2-pt shot from 14 ft,,10-19,,
4:23.0,Offensive rebound by O. Porter,,10-19,,
4:20.0,J. Wall misses 3-pt shot from 26 ft,,10-19,,
