time,Charlotte,pts.away,score,pts.home,Cleveland
4:07.0,D. Howard makes free throw 1 of 2,1,95-93,,
4:07.0,J. Lamb enters the game for M. Carter-Williams,,95-93,,
4:07.0,D. Howard makes free throw 2 of 2,1,96-93,,
3:55.0,,,96-93,,K. Korver misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by D. Howard,,96-93,,
3:48.0,K. Walker misses 3-pt shot from 27 ft,,96-93,,
3:45.0,,,96-93,,Defensive rebound by K. Love
3:38.0,,,96-93,,Turnover by L. James (bad pass; steal by K. Walker)
3:33.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by K. Walker),2,98-93,,
3:22.0,,,98-93,,Shooting foul by M. Kidd-Gilchrist (drawn by L. James)
3:22.0,,,98-94,1,L. James makes free throw 1 of 2
3:22.0,,,98-94,,D. Wade enters the game for J. Crowder
3:22.0,,,98-94,,L. James misses free throw 2 of 2
3:20.0,Defensive rebound by D. Howard,,98-94,,
3:12.0,K. Walker misses 3-pt shot from 25 ft,,98-94,,
3:09.0,,,98-94,,Defensive rebound by K. Love
3:02.0,,,98-94,,L. James misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by D. Howard,,98-94,,
2:50.0,J. Lamb misses 2-pt shot from 13 ft,,98-94,,
2:48.0,,,98-94,,Defensive rebound by L. James
2:48.0,,,98-94,,Turnover by D. Wade (bad pass)
2:33.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,98-94,,
2:31.0,,,98-94,,Defensive rebound by L. James
2:28.0,,,98-96,2,L. James makes 2-pt shot at rim
2:28.0,,,98-96,,Shooting foul by M. Kidd-Gilchrist (drawn by L. James)
2:28.0,,,98-97,1,L. James makes free throw 1 of 1
2:12.0,Shooting foul by K. Korver (drawn by M. Kidd-Gilchrist),,98-97,,
2:12.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,99-97,,
2:12.0,M. Kidd-Gilchrist misses free throw 2 of 2,,99-97,,
2:10.0,,,99-97,,Defensive rebound by K. Love
1:48.0,,,99-99,2,L. James makes 2-pt shot at rim
1:26.0,D. Howard misses 2-pt shot at rim,,99-99,,
1:25.0,,,99-99,,Defensive rebound by L. James
1:16.0,,,99-99,,Cleveland full timeout
1:04.0,,,99-99,,Offensive foul by K. Love (drawn by M. Kidd-Gilchrist)
1:04.0,,,99-99,,Turnover by K. Love (offensive foul)
0:48.0,J. Lamb misses 2-pt shot from 16 ft,,99-99,,
0:48.0,,,99-99,,Defensive rebound by Team
0:48.0,Loose ball foul by D. Howard (drawn by J. Smith),,99-99,,
0:48.0,,,99-99,,J. Smith misses free throw 1 of 2
0:48.0,,,99-99,,Offensive rebound by Team
0:48.0,,,99-100,1,J. Smith makes free throw 2 of 2
0:30.0,K. Walker misses 3-pt shot from 28 ft,,99-100,,
0:28.0,,,99-100,,Defensive rebound by J. Smith
0:12.0,,,99-100,,L. James misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by K. Walker,,99-100,,
0:11.0,Charlotte full timeout,,99-100,,
0:11.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,99-100,,
0:03.0,J. Lamb misses 3-pt shot from 25 ft,,99-100,,
0:03.0,Offensive rebound by M. Williams,,99-100,,
0:00.0,K. Walker misses 3-pt shot from 37 ft (block by L. James),,99-100,,
0:00.0,Offensive rebound by Team,,99-100,,
