time,Charlotte,pts.away,score,pts.home,Cleveland
3:33.0,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker),3,21-18,,
3:30.0,,,21-18,,Cleveland full timeout
3:30.0,C. Zeller enters the game for D. Howard,,21-18,,
3:11.0,,,21-20,2,J. Crowder makes 2-pt shot from 1 ft (assist by L. James)
2:50.0,M. Williams makes 3-pt shot from 29 ft (assist by K. Walker),3,24-20,,
2:44.0,Personal block foul by M. Williams (drawn by J. Crowder),,24-20,,
2:44.0,,,24-20,,D. Wade enters the game for K. Love
2:44.0,,,24-20,,J. Green enters the game for J. Smith
2:44.0,,,24-20,,C. Frye enters the game for J. Calderon
2:44.0,,,24-20,,K. Korver enters the game for J. Crowder
2:44.0,F. Kaminsky enters the game for M. Williams,,24-20,,
2:44.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,24-20,,
2:38.0,,,24-20,,D. Wade misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by M. Carter-Williams,,24-20,,
2:26.0,C. Zeller misses 2-pt shot from 5 ft,,24-20,,
2:26.0,,,24-20,,Defensive rebound by C. Frye
2:11.0,,,24-22,2,L. James makes 2-pt shot from 1 ft
2:00.0,Shooting foul by J. Green (drawn by K. Walker),,24-22,,
2:00.0,K. Walker makes free throw 1 of 2,1,25-22,,
2:00.0,K. Walker misses free throw 2 of 2,,25-22,,
1:58.0,,,25-22,,Defensive rebound by C. Frye
1:47.0,,,25-22,,D. Wade misses 2-pt shot from 12 ft
1:45.0,Defensive rebound by M. Carter-Williams,,25-22,,
1:36.0,K. Walker misses 2-pt shot from 16 ft,,25-22,,
1:33.0,,,25-22,,Defensive rebound by L. James
1:27.0,,,25-24,2,D. Wade makes 2-pt shot at rim (assist by L. James)
1:06.0,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,28-24,,
0:55.0,,,28-27,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
0:40.0,M. Carter-Williams misses 2-pt shot from 17 ft,,28-27,,
0:36.0,,,28-27,,Defensive rebound by L. James
0:35.0,,,28-27,,Offensive foul by J. Green (drawn by F. Kaminsky)
0:35.0,,,28-27,,Turnover by J. Green (offensive foul)
