time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Horford (L. Babbitt gains possession),,,,Jump ball: D. Dedmon vs. A. Horford (L. Babbitt gains possession)
11:42.0,,,0-0,,L. Babbitt misses 2-pt shot from 20 ft
11:38.0,Defensive rebound by J. Brown,,0-0,,
11:28.0,Turnover by A. Horford (bad pass; steal by L. Babbitt),,0-0,,
11:18.0,,,0-0,,D. Schroder misses 3-pt shot from 24 ft (block by J. Tatum)
11:13.0,Defensive rebound by J. Tatum,,0-0,,
11:07.0,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford),3,3-0,,
10:55.0,,,3-0,,Shooting foul by J. Tatum (drawn by K. Bazemore)
10:55.0,,,3-1,1,K. Bazemore makes free throw 1 of 2
10:55.0,,,3-2,1,K. Bazemore makes free throw 2 of 2
10:39.0,J. Brown makes 2-pt shot from 15 ft,2,5-2,,
10:25.0,,,5-4,2,K. Bazemore makes 2-pt shot from 3 ft (assist by D. Schroder)
10:19.0,Shooting foul by T. Waller-Prince (drawn by J. Brown),,5-4,,
10:19.0,J. Brown misses free throw 1 of 2,,5-4,,
10:19.0,Offensive rebound by Team,,5-4,,
10:19.0,J. Brown misses free throw 2 of 2,,5-4,,
10:16.0,,,5-4,,Defensive rebound by D. Dedmon
9:58.0,,,5-7,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by L. Babbitt)
9:43.0,K. Irving makes 3-pt shot from 24 ft (assist by A. Horford),3,8-7,,
9:30.0,,,8-9,2,D. Schroder makes 2-pt shot from 12 ft
9:21.0,K. Irving makes 2-pt shot from 1 ft,2,10-9,,
9:21.0,,,10-9,,Violation by D. Dedmon (def goaltending)
9:05.0,,,10-12,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
8:50.0,K. Irving misses 3-pt shot from 25 ft,,10-12,,
8:48.0,,,10-12,,Defensive rebound by D. Dedmon
8:43.0,,,10-14,2,K. Bazemore makes 2-pt shot from 2 ft
8:26.0,J. Brown misses 3-pt shot from 23 ft,,10-14,,
8:23.0,,,10-14,,Defensive rebound by T. Waller-Prince
8:07.0,,,10-14,,Turnover by K. Bazemore (bad pass; steal by A. Horford)
7:55.0,M. Morris misses 2-pt shot from 10 ft,,10-14,,
7:52.0,,,10-14,,Defensive rebound by T. Waller-Prince
7:33.0,,,10-17,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Dedmon)
7:14.0,J. Tatum misses 2-pt shot from 5 ft,,10-17,,
7:09.0,,,10-17,,Defensive rebound by L. Babbitt
7:02.0,Def 3 sec tech foul by A. Horford,,10-17,,
7:02.0,,,10-18,1,D. Schroder makes technical free throw
6:57.0,,,10-18,,Turnover by D. Schroder (bad pass; steal by M. Morris)
6:41.0,Offensive foul by A. Horford (drawn by T. Waller-Prince),,10-18,,
6:41.0,Turnover by A. Horford (offensive foul),,10-18,,
6:41.0,,,10-18,,Atlanta full timeout
6:31.0,,,10-20,2,D. Schroder makes 2-pt shot from 18 ft (assist by K. Bazemore)
6:05.0,A. Horford misses 3-pt shot from 25 ft,,10-20,,
6:02.0,,,10-20,,Defensive rebound by D. Dedmon
5:46.0,,,10-20,,D. Schroder misses 2-pt shot at rim (block by K. Irving)
5:45.0,,,10-20,,Offensive rebound by Team
5:45.0,,,10-20,,M. Belinelli enters the game for T. Waller-Prince
5:45.0,M. Smart enters the game for M. Morris,,10-20,,
5:43.0,,,10-20,,L. Babbitt misses 3-pt shot from 22 ft
5:43.0,Defensive rebound by J. Brown,,10-20,,
5:19.0,J. Tatum misses 2-pt shot from 2 ft,,10-20,,
5:16.0,,,10-20,,Defensive rebound by D. Dedmon
5:09.0,,,10-20,,Shooting foul by K. Irving (drawn by K. Bazemore)
5:09.0,,,10-21,1,K. Bazemore makes free throw 1 of 2
5:09.0,,,10-21,,J. Collins enters the game for D. Dedmon
5:09.0,,,10-22,1,K. Bazemore makes free throw 2 of 2
4:52.0,Turnover by M. Smart (bad pass; steal by K. Bazemore),,10-22,,
4:47.0,,,10-25,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Schroder)
4:26.0,J. Tatum misses 3-pt shot from 22 ft,,10-25,,
4:25.0,,,10-25,,Defensive rebound by Team
4:25.0,Loose ball foul by A. Horford (drawn by J. Collins),,10-25,,
4:25.0,T. Rozier enters the game for J. Tatum,,10-25,,
