time,Indiana,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Turner (T. Young gains possession),,,,Jump ball: Z. Pachulia vs. M. Turner (T. Young gains possession)
11:45.0,M. Turner misses 2-pt shot from 19 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by Q. Cook
11:24.0,,,0-0,,J. Bell misses 2-pt shot from 1 ft (block by M. Turner)
11:20.0,Defensive rebound by M. Turner,,0-0,,
11:18.0,D. Collison misses 3-pt shot from 24 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by J. Bell
11:05.0,Personal foul by V. Oladipo (drawn by P. McCaw),,0-0,,
11:04.0,,,0-3,3,N. Young makes 3-pt shot from 26 ft (assist by Q. Cook)
10:49.0,T. Young misses 2-pt shot from 7 ft,,0-3,,
10:45.0,,,0-3,,Defensive rebound by J. Bell
10:43.0,,,0-3,,P. McCaw misses 3-pt shot from 27 ft
10:37.0,Defensive rebound by M. Turner,,0-3,,
10:35.0,V. Oladipo makes 2-pt shot from 18 ft,2,2-3,,
10:12.0,,,2-6,3,N. Young makes 3-pt shot from 26 ft (assist by J. Bell)
9:58.0,Turnover by B. Bogdanovic (palming),,2-6,,
9:44.0,,,2-6,,Z. Pachulia misses 2-pt shot from 15 ft
9:39.0,Defensive rebound by V. Oladipo,,2-6,,
9:36.0,T. Young misses 2-pt shot from 1 ft,,2-6,,
9:30.0,Offensive rebound by V. Oladipo,,2-6,,
9:29.0,B. Bogdanovic misses 3-pt shot from 25 ft,,2-6,,
9:26.0,,,2-6,,Defensive rebound by P. McCaw
9:22.0,,,2-8,2,P. McCaw makes 2-pt shot from 3 ft (assist by J. Bell)
9:04.0,T. Young makes 2-pt shot from 2 ft (assist by D. Collison),2,4-8,,
8:41.0,,,4-10,2,Z. Pachulia makes 2-pt shot from 3 ft
8:27.0,V. Oladipo makes 3-pt shot from 22 ft (assist by T. Young),3,7-10,,
8:13.0,Personal foul by M. Turner (drawn by Z. Pachulia),,7-10,,
8:07.0,,,7-10,,Shooting foul by B. Bogdanovic (drawn by N. Young)
8:07.0,,,7-11,1,N. Young makes free throw 1 of 2
8:07.0,,,7-12,1,N. Young makes free throw 2 of 2
7:49.0,M. Turner misses 2-pt shot from 18 ft,,7-12,,
7:44.0,,,7-12,,Defensive rebound by J. Bell
7:26.0,,,7-14,2,N. Young makes 2-pt shot from 18 ft (assist by Z. Pachulia)
7:19.0,Indiana full timeout,,7-14,,
7:08.0,T. Young misses 3-pt shot from 22 ft,,7-14,,
7:03.0,,,7-14,,Defensive rebound by Z. Pachulia
6:50.0,,,7-14,,J. Bell misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by V. Oladipo,,7-14,,
6:38.0,M. Turner misses 2-pt shot from 2 ft (block by J. Bell),,7-14,,
6:35.0,,,7-14,,Defensive rebound by N. Young
6:29.0,,,7-17,3,Q. Cook makes 3-pt shot from 27 ft (assist by J. Bell)
6:10.0,B. Bogdanovic makes 2-pt shot from 12 ft (assist by D. Collison),2,9-17,,
