time,Indiana,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Turner (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Turner (R. Anderson gains possession)
11:43.0,,,0-0,,R. Anderson misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by M. Turner,,0-0,,
11:32.0,V. Oladipo misses 3-pt shot from 24 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Anderson
11:25.0,,,0-0,,Turnover by T. Ariza (bad pass; steal by V. Oladipo)
11:19.0,D. Collison makes 2-pt shot from 1 ft,2,2-0,,
11:01.0,,,2-0,,C. Capela misses 2-pt shot from 5 ft (block by M. Turner)
11:01.0,Defensive rebound by M. Turner,,2-0,,
10:51.0,D. Collison misses 2-pt shot at rim,,2-0,,
10:51.0,,,2-0,,Defensive rebound by R. Anderson
10:41.0,,,2-0,,J. Harden misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by M. Turner,,2-0,,
10:27.0,T. Young makes 2-pt shot from 1 ft (assist by M. Turner),2,4-0,,
10:04.0,,,4-0,,C. Capela misses 2-pt shot from 1 ft (block by V. Oladipo)
9:58.0,,,4-0,,Offensive rebound by C. Paul
9:57.0,,,4-2,2,C. Paul makes 2-pt shot from 1 ft
9:43.0,T. Young misses 2-pt shot from 15 ft,,4-2,,
9:43.0,,,4-2,,Defensive rebound by J. Harden
9:30.0,,,4-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:15.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,6-4,,
8:56.0,,,6-4,,Turnover by R. Anderson (lost ball; steal by V. Oladipo)
8:50.0,B. Bogdanovic misses 3-pt shot from 24 ft,,6-4,,
8:48.0,Offensive rebound by D. Collison,,6-4,,
8:48.0,Shooting foul by T. Ariza (drawn by V. Oladipo),,6-4,,
8:48.0,V. Oladipo makes free throw 1 of 2,1,7-4,,
8:48.0,V. Oladipo makes free throw 2 of 2,1,8-4,,
8:39.0,,,8-4,,C. Capela misses 2-pt shot from 3 ft (block by V. Oladipo)
8:32.0,Defensive rebound by D. Collison,,8-4,,
8:31.0,M. Turner misses 2-pt shot from 1 ft,,8-4,,
8:28.0,,,8-4,,Defensive rebound by C. Capela
8:16.0,,,8-6,2,J. Harden makes 2-pt shot from 6 ft
7:51.0,D. Collison makes 3-pt shot from 25 ft,3,11-6,,
7:35.0,,,11-6,,J. Harden misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by Team,,11-6,,
7:18.0,Turnover by B. Bogdanovic (lost ball; steal by T. Ariza),,11-6,,
7:08.0,,,11-9,3,R. Anderson makes 3-pt shot from 25 ft (assist by C. Paul)
6:49.0,Turnover by V. Oladipo (lost ball; steal by C. Capela),,11-9,,
6:44.0,,,11-11,2,T. Ariza makes 2-pt shot from 2 ft (assist by R. Anderson)
6:29.0,D. Collison misses 3-pt shot from 22 ft,,11-11,,
6:26.0,,,11-11,,Defensive rebound by C. Capela
6:17.0,,,11-14,3,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul)
6:16.0,Indiana full timeout,,11-14,,
6:16.0,,,11-14,,E. Gordon enters the game for C. Paul
5:59.0,V. Oladipo makes 2-pt shot at rim,2,13-14,,
5:44.0,,,13-14,,Turnover by R. Anderson (bad pass)
5:44.0,,,13-14,,P. Tucker enters the game for T. Ariza
5:44.0,,,13-14,,L. Mbah a Moute enters the game for R. Anderson
5:44.0,C. Joseph enters the game for D. Collison,,13-14,,
5:22.0,V. Oladipo misses 3-pt shot from 25 ft,,13-14,,
5:20.0,,,13-14,,Defensive rebound by J. Harden
5:14.0,,,13-14,,J. Harden misses 2-pt shot from 3 ft (block by M. Turner)
5:08.0,,,13-14,,Offensive rebound by C. Capela
5:07.0,,,13-16,2,C. Capela makes 2-pt shot from 1 ft
5:04.0,V. Oladipo makes 2-pt shot from 1 ft,2,15-16,,
4:42.0,,,15-16,,C. Capela misses 2-pt shot at rim (block by M. Turner)
4:38.0,,,15-16,,Offensive rebound by J. Harden
4:37.0,,,15-18,2,J. Harden makes 2-pt shot from 1 ft
4:22.0,M. Turner misses 2-pt shot from 18 ft,,15-18,,
4:14.0,Offensive rebound by T. Young,,15-18,,
4:14.0,T. Young makes 2-pt shot at rim,2,17-18,,
3:57.0,,,17-18,,J. Harden misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by M. Turner,,17-18,,
3:49.0,B. Bogdanovic makes 2-pt shot from 15 ft (assist by V. Oladipo),2,19-18,,
3:32.0,,,19-20,2,C. Capela makes 2-pt shot from 3 ft (assist by E. Gordon)
3:20.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by T. Young),3,22-20,,
3:03.0,,,22-22,2,J. Harden makes 2-pt shot from 1 ft
2:54.0,M. Turner misses 3-pt shot from 25 ft,,22-22,,
2:52.0,,,22-22,,Defensive rebound by C. Capela
2:41.0,,,22-22,,E. Gordon misses 3-pt shot from 25 ft
2:37.0,,,22-22,,Offensive rebound by J. Harden
2:30.0,,,22-22,,J. Harden misses 2-pt shot from 22 ft
2:30.0,Defensive rebound by Team,,22-22,,
2:30.0,,,22-22,,Loose ball foul by C. Capela (drawn by M. Turner)
2:30.0,,,22-22,,Houston full timeout
2:30.0,,,22-22,,N. Hilario enters the game for C. Capela
2:30.0,L. Stephenson enters the game for T. Young,,22-22,,
2:30.0,D. Sabonis enters the game for B. Bogdanovic,,22-22,,
2:09.0,L. Stephenson makes 3-pt shot from 25 ft (assist by V. Oladipo),3,25-22,,
1:58.0,,,25-22,,Turnover by E. Gordon (bad pass; steal by V. Oladipo)
1:57.0,,,25-22,,Personal foul by E. Gordon (drawn by V. Oladipo)
1:42.0,V. Oladipo makes 2-pt shot from 16 ft,2,27-22,,
1:25.0,,,27-22,,L. Mbah a Moute misses 3-pt shot from 22 ft
1:20.0,Defensive rebound by D. Sabonis,,27-22,,
1:17.0,M. Turner misses 2-pt shot from 2 ft,,27-22,,
1:14.0,,,27-22,,Defensive rebound by J. Harden
1:10.0,,,27-22,,J. Harden misses 2-pt shot from 1 ft (block by D. Sabonis)
1:10.0,Defensive rebound by L. Stephenson,,27-22,,
1:01.0,V. Oladipo misses 3-pt shot from 26 ft,,27-22,,
1:01.0,,,27-22,,Defensive rebound by N. Hilario
0:52.0,,,27-22,,E. Gordon misses 2-pt shot from 2 ft (block by M. Turner)
0:52.0,Defensive rebound by M. Turner,,27-22,,
0:42.0,M. Turner misses 3-pt shot from 24 ft,,27-22,,
0:42.0,,,27-22,,Defensive rebound by Team
0:41.0,Loose ball foul by D. Sabonis (drawn by P. Tucker),,27-22,,
0:41.0,,,27-22,,C. Paul enters the game for J. Harden
0:41.0,D. Collison enters the game for V. Oladipo,,27-22,,
0:34.0,,,27-22,,N. Hilario misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by M. Turner,,27-22,,
0:12.0,L. Stephenson misses 3-pt shot from 25 ft,,27-22,,
0:09.0,,,27-22,,Defensive rebound by C. Paul
0:00.0,,,27-22,,C. Paul misses 2-pt shot from 21 ft
0:00.0,,,27-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. Joseph misses 3-pt shot from 23 ft,,27-22,,
11:36.0,,,27-22,,Defensive rebound by R. Anderson
11:29.0,,,27-25,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul)
11:11.0,C. Joseph misses 2-pt shot from 11 ft,,27-25,,
11:09.0,,,27-25,,Defensive rebound by R. Anderson
10:59.0,,,27-25,,Turnover by E. Gordon (bad pass; steal by B. Bogdanovic)
10:53.0,B. Bogdanovic misses 2-pt shot from 16 ft,,27-25,,
10:50.0,,,27-25,,Defensive rebound by R. Anderson
10:32.0,,,27-25,,Shooting foul by D. Sabonis (drawn by N. Hilario)
10:32.0,,,27-25,,N. Hilario misses free throw 1 of 2
10:32.0,,,27-25,,Offensive rebound by Team
10:32.0,,,27-26,1,N. Hilario makes free throw 2 of 2
10:22.0,B. Bogdanovic makes 2-pt shot at rim (assist by L. Stephenson),2,29-26,,
10:11.0,,,29-28,2,C. Paul makes 2-pt shot from 1 ft
10:03.0,L. Stephenson makes 2-pt shot from 1 ft,2,31-28,,
9:49.0,,,31-28,,E. Gordon misses 3-pt shot from 30 ft
9:45.0,,,31-28,,Offensive rebound by R. Anderson
9:45.0,,,31-28,,Shooting foul by L. Stephenson (drawn by R. Anderson)
9:45.0,,,31-29,1,R. Anderson makes free throw 1 of 2
9:45.0,,,31-29,,L. Mbah a Moute enters the game for N. Hilario
9:45.0,,,31-30,1,R. Anderson makes free throw 2 of 2
9:32.0,L. Stephenson misses 2-pt shot from 20 ft,,31-30,,
9:29.0,,,31-30,,Defensive rebound by R. Anderson
