time,LA Clippers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. D. Jordan (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. D. Jordan (K. Lowry gains possession)
11:43.0,,,0-0,,J. Valanciunas misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by D. Jordan,,0-0,,
11:28.0,T. Harris misses 2-pt shot from 5 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by J. Valanciunas
11:18.0,,,0-0,,D. DeRozan misses 2-pt shot from 14 ft
11:07.0,,,0-0,,Offensive rebound by J. Valanciunas
11:07.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim
11:00.0,A. Rivers misses 2-pt shot from 10 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by D. DeRozan
10:44.0,,,0-5,3,J. Valanciunas makes 3-pt shot from 25 ft
10:26.0,T. Harris makes 2-pt shot from 16 ft,2,2-5,,
10:12.0,,,2-7,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
10:12.0,,,2-7,,Shooting foul by D. Jordan (drawn by J. Valanciunas)
10:12.0,,,2-8,1,J. Valanciunas makes free throw 1 of 1
10:01.0,W. Johnson misses 2-pt shot from 1 ft,,2-8,,
9:57.0,,,2-8,,Defensive rebound by J. Valanciunas
9:52.0,,,2-10,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
9:43.0,M. Teodosic makes 2-pt shot from 4 ft,2,4-10,,
9:30.0,,,4-10,,O. Anunoby misses 2-pt shot from 4 ft (block by W. Johnson)
9:26.0,,,4-10,,Offensive rebound by O. Anunoby
9:23.0,,,4-12,2,J. Valanciunas makes 2-pt shot from 7 ft
9:12.0,Turnover by M. Teodosic (lost ball; steal by J. Valanciunas),,4-12,,
9:07.0,,,4-12,,D. DeRozan misses 2-pt shot from 5 ft (block by T. Harris)
9:07.0,,,4-12,,Offensive rebound by Team
8:59.0,,,4-14,2,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry)
8:58.0,LA Clippers full timeout,,4-14,,
8:47.0,D. Jordan misses 2-pt shot from 8 ft,,4-14,,
8:44.0,,,4-14,,Defensive rebound by S. Ibaka
8:27.0,,,4-14,,K. Lowry misses 2-pt shot from 5 ft
8:21.0,Defensive rebound by M. Teodosic,,4-14,,
8:19.0,T. Harris misses 2-pt shot from 8 ft,,4-14,,
8:16.0,,,4-14,,Defensive rebound by J. Valanciunas
8:13.0,,,4-17,3,K. Lowry makes 3-pt shot from 25 ft
7:58.0,M. Teodosic misses 3-pt shot from 24 ft,,4-17,,
7:57.0,Offensive rebound by Team,,4-17,,
7:57.0,,,4-17,,Loose ball foul by S. Ibaka (drawn by T. Harris)
7:57.0,L. Williams enters the game for M. Teodosic,,4-17,,
7:57.0,S. Thornwell enters the game for W. Johnson,,4-17,,
7:49.0,T. Harris makes 3-pt shot from 24 ft (assist by A. Rivers),3,7-17,,
7:41.0,,,7-17,,S. Ibaka misses 2-pt shot from 21 ft
7:38.0,Defensive rebound by D. Jordan,,7-17,,
7:24.0,T. Harris misses 2-pt shot from 10 ft,,7-17,,
7:20.0,,,7-17,,Defensive rebound by Team
7:01.0,,,7-20,3,O. Anunoby makes 3-pt shot from 25 ft (assist by J. Valanciunas)
6:48.0,L. Williams misses 2-pt shot from 9 ft,,7-20,,
6:46.0,,,7-20,,Defensive rebound by K. Lowry
6:39.0,,,7-22,2,O. Anunoby makes 2-pt shot at rim (assist by K. Lowry)
6:26.0,T. Harris makes 2-pt shot from 15 ft (assist by D. Jordan),2,9-22,,
6:15.0,,,9-24,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
5:58.0,L. Williams misses 2-pt shot from 3 ft,,9-24,,
5:55.0,,,9-24,,Defensive rebound by S. Ibaka
5:49.0,,,9-27,3,S. Ibaka makes 3-pt shot from 26 ft (assist by O. Anunoby)
5:32.0,A. Rivers misses 3-pt shot from 27 ft,,9-27,,
5:31.0,Offensive rebound by Team,,9-27,,
