time,Philadelphia,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Embiid (D. Saric gains possession),,,,Jump ball: D. Jordan vs. J. Embiid (D. Saric gains possession)
11:44.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Jordan
11:33.0,,,0-3,3,A. Rivers makes 3-pt shot from 27 ft (assist by B. Griffin)
11:14.0,J. Embiid misses 2-pt shot from 14 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by B. Griffin
11:03.0,,,0-3,,A. Rivers misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by J. Embiid,,0-3,,
10:57.0,,,0-3,,Personal foul by S. Thornwell (drawn by B. Simmons)
10:54.0,R. Covington makes 2-pt shot from 1 ft (assist by J. Redick),2,2-3,,
10:40.0,,,2-5,2,D. Jordan makes 2-pt shot from 4 ft (assist by B. Griffin)
10:20.0,Shooting foul by D. Jordan (drawn by J. Embiid),,2-5,,
10:20.0,J. Embiid misses free throw 1 of 2,,2-5,,
10:20.0,Offensive rebound by Team,,2-5,,
10:20.0,J. Embiid misses free throw 2 of 2,,2-5,,
10:17.0,Offensive rebound by B. Simmons,,2-5,,
10:13.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,5-5,,
9:55.0,,,5-5,,B. Griffin misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by R. Covington,,5-5,,
9:38.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,7-5,,
9:11.0,,,7-5,,B. Griffin misses 2-pt shot from 2 ft
9:10.0,,,7-5,,Offensive rebound by B. Griffin
9:07.0,,,7-5,,Turnover by B. Griffin (lost ball; steal by R. Covington)
9:00.0,J. Embiid misses 3-pt shot from 26 ft,,7-5,,
8:56.0,Offensive rebound by D. Saric,,7-5,,
8:55.0,D. Saric makes 2-pt shot from 15 ft,2,9-5,,
8:33.0,,,9-5,,A. Rivers misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by B. Simmons,,9-5,,
8:25.0,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick),2,11-5,,
8:25.0,,,11-5,,LA Clippers full timeout
8:11.0,,,11-5,,Turnover by A. Rivers (bad pass; steal by R. Covington)
8:06.0,B. Simmons makes 2-pt shot at rim (assist by R. Covington),2,13-5,,
7:51.0,,,13-7,2,W. Johnson makes 2-pt shot from 17 ft
7:34.0,,,13-7,,Personal foul by W. Johnson (drawn by B. Simmons)
7:34.0,,,13-7,,L. Williams enters the game for S. Thornwell
7:34.0,T. McConnell enters the game for D. Saric,,13-7,,
7:34.0,A. Johnson enters the game for J. Embiid,,13-7,,
7:30.0,R. Covington makes 2-pt shot from 2 ft (assist by J. Redick),2,15-7,,
7:06.0,Loose ball foul by R. Covington (drawn by B. Griffin),,15-7,,
7:05.0,,,15-7,,W. Johnson misses 3-pt shot from 23 ft
7:05.0,,,15-7,,Offensive rebound by Team
7:01.0,Personal foul by B. Simmons (drawn by B. Griffin),,15-7,,
7:01.0,T. Luwawu-Cabarrot enters the game for J. Redick,,15-7,,
7:01.0,,,15-7,,J. Evans enters the game for W. Johnson
6:53.0,,,15-9,2,B. Griffin makes 2-pt shot from 1 ft
