time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. J. Allen (A. Crabbe gains possession),,,,Jump ball: N. Vucevic vs. J. Allen (A. Crabbe gains possession)
11:45.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,2-0,,
11:20.0,,,2-0,,M. Hezonja misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by A. Crabbe,,2-0,,
11:14.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. Russell),3,5-0,,
10:51.0,,,5-0,,N. Vucevic misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by D. Russell,,5-0,,
10:46.0,Shooting foul by R. Purvis (drawn by R. Hollis-Jefferson),,5-0,,
10:46.0,R. Hollis-Jefferson makes free throw 1 of 2,1,6-0,,
10:46.0,R. Hollis-Jefferson misses free throw 2 of 2,,6-0,,
10:46.0,,,6-0,,Defensive rebound by N. Vucevic
10:34.0,,,6-0,,D. Augustin misses 2-pt shot from 7 ft
10:30.0,Defensive rebound by D. Carroll,,6-0,,
10:23.0,J. Allen makes 2-pt shot from 1 ft (assist by D. Russell),2,8-0,,
10:23.0,,,8-0,,Orlando full timeout
10:07.0,,,8-3,3,A. Gordon makes 3-pt shot from 25 ft
9:49.0,Shooting foul by A. Gordon (drawn by D. Russell),,8-3,,
9:49.0,D. Russell makes free throw 1 of 2,1,9-3,,
9:49.0,D. Russell makes free throw 2 of 2,1,10-3,,
9:40.0,,,10-3,,D. Augustin misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by D. Carroll,,10-3,,
9:26.0,J. Allen misses 2-pt shot from 4 ft,,10-3,,
9:25.0,Offensive rebound by J. Allen,,10-3,,
9:22.0,A. Crabbe misses 3-pt shot from 25 ft,,10-3,,
9:18.0,,,10-3,,Defensive rebound by M. Hezonja
9:13.0,,,10-5,2,N. Vucevic makes 2-pt shot from 3 ft (assist by M. Hezonja)
8:56.0,A. Crabbe misses 2-pt shot from 5 ft,,10-5,,
8:54.0,,,10-5,,Defensive rebound by M. Hezonja
8:41.0,,,10-8,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
8:26.0,D. Russell makes 3-pt shot from 27 ft (assist by D. Carroll),3,13-8,,
8:02.0,,,13-8,,A. Gordon misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by D. Carroll,,13-8,,
7:53.0,D. Russell misses 3-pt shot from 26 ft,,13-8,,
7:50.0,,,13-8,,Defensive rebound by M. Hezonja
7:43.0,,,13-10,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
7:25.0,D. Russell makes 2-pt shot from 1 ft,2,15-10,,
7:10.0,,,15-12,2,N. Vucevic makes 2-pt shot from 5 ft
6:54.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. Russell),2,17-12,,
6:40.0,,,17-14,2,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Hezonja)
6:40.0,Brooklyn full timeout,,17-14,,
6:26.0,A. Crabbe makes 2-pt shot from 21 ft (assist by R. Hollis-Jefferson),2,19-14,,
6:10.0,,,19-16,2,N. Vucevic makes 2-pt shot from 5 ft (assist by A. Gordon)
5:54.0,D. Carroll makes 2-pt shot from 3 ft,2,21-16,,
5:36.0,,,21-16,,M. Hezonja misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by J. Allen,,21-16,,
5:29.0,Shooting foul by R. Purvis (drawn by J. Allen),,21-16,,
5:29.0,J. Allen misses free throw 1 of 2,,21-16,,
5:29.0,Offensive rebound by Team,,21-16,,
5:29.0,,,21-16,,J. Artis enters the game for M. Hezonja
5:29.0,,,21-16,,S. Mack enters the game for R. Purvis
5:29.0,S. Dinwiddie enters the game for D. Carroll,,21-16,,
5:29.0,J. Allen makes free throw 2 of 2,1,22-16,,
5:19.0,,,22-18,2,N. Vucevic makes 2-pt shot from 14 ft (assist by D. Augustin)
4:56.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,22-18,,
4:55.0,Offensive rebound by J. Allen,,22-18,,
4:53.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,22-18,,
4:51.0,,,22-18,,Defensive rebound by S. Mack
4:41.0,,,22-18,,Turnover by N. Vucevic (bad pass; steal by R. Hollis-Jefferson)
4:37.0,Turnover by R. Hollis-Jefferson (bad pass),,22-18,,
4:37.0,D. Cunningham enters the game for D. Russell,,22-18,,
4:37.0,C. LeVert enters the game for J. Allen,,22-18,,
4:37.0,J. Harris enters the game for A. Crabbe,,22-18,,
4:26.0,,,22-20,2,N. Vucevic makes 2-pt shot from 5 ft (assist by S. Mack)
4:05.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,22-20,,
4:03.0,Offensive rebound by R. Hollis-Jefferson,,22-20,,
4:03.0,Shooting foul by N. Vucevic (drawn by R. Hollis-Jefferson),,22-20,,
4:03.0,R. Hollis-Jefferson makes free throw 1 of 2,1,23-20,,
4:03.0,R. Hollis-Jefferson makes free throw 2 of 2,1,24-20,,
3:55.0,,,24-23,3,S. Mack makes 3-pt shot from 26 ft
3:33.0,J. Harris makes 2-pt shot from 5 ft,2,26-23,,
3:19.0,,,26-23,,N. Vucevic misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by R. Hollis-Jefferson,,26-23,,
3:03.0,C. LeVert makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,29-23,,
2:44.0,,,29-23,,A. Gordon misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by S. Dinwiddie,,29-23,,
2:39.0,C. LeVert misses 3-pt shot from 26 ft,,29-23,,
2:39.0,,,29-23,,Defensive rebound by S. Mack
2:32.0,,,29-26,3,D. Augustin makes 3-pt shot from 26 ft (assist by S. Mack)
2:16.0,J. Harris makes 3-pt shot from 23 ft (assist by C. LeVert),3,32-26,,
2:06.0,,,32-26,,N. Vucevic misses 3-pt shot from 26 ft
2:06.0,,,32-26,,Offensive rebound by Team
2:06.0,Loose ball foul by R. Hollis-Jefferson (drawn by A. Gordon),,32-26,,
2:06.0,,,32-26,,B. Biyombo enters the game for N. Vucevic
2:06.0,D. Carroll enters the game for R. Hollis-Jefferson,,32-26,,
1:46.0,,,32-26,,J. Artis misses 3-pt shot from 27 ft
1:42.0,Defensive rebound by D. Carroll,,32-26,,
1:33.0,D. Cunningham misses 3-pt shot from 22 ft,,32-26,,
1:30.0,,,32-26,,Defensive rebound by B. Biyombo
1:27.0,,,32-26,,J. Artis misses 2-pt shot from 4 ft (block by D. Cunningham)
1:27.0,,,32-26,,Offensive rebound by Team
1:27.0,,,32-26,,A. Afflalo enters the game for D. Augustin
1:15.0,,,32-28,2,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Artis)
1:00.0,D. Carroll makes 2-pt shot from 5 ft (assist by C. LeVert),2,34-28,,
0:51.0,,,34-31,3,A. Gordon makes 3-pt shot from 25 ft
0:39.0,C. LeVert misses 2-pt shot from 3 ft (block by B. Biyombo),,34-31,,
0:37.0,Offensive rebound by D. Cunningham,,34-31,,
0:36.0,D. Cunningham makes 2-pt shot from 2 ft,2,36-31,,
0:30.0,,,36-33,2,B. Biyombo makes 2-pt shot from 2 ft (assist by A. Gordon)
0:18.0,C. LeVert misses 2-pt shot from 6 ft,,36-33,,
0:14.0,Offensive rebound by C. LeVert,,36-33,,
0:03.0,Turnover by D. Carroll (step out of bounds),,36-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,36-33,,Turnover by Team (shot clock)
11:11.0,C. LeVert makes 2-pt shot from 2 ft,2,38-33,,
11:00.0,,,38-33,,M. Hezonja misses 2-pt shot from 18 ft
10:57.0,Defensive rebound by J. Allen,,38-33,,
10:54.0,,,38-33,,Personal foul by J. Artis (drawn by C. LeVert)
