time,Milwaukee,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Henson (T. Harris gains possession),,,,Jump ball: D. Jordan vs. J. Henson (T. Harris gains possession)
11:46.0,,,0-0,,Turnover by M. Teodosic (lost ball; steal by J. Terry)
11:42.0,J. Terry makes 2-pt shot from 1 ft,2,2-0,,
11:25.0,,,2-0,,D. Jordan misses 2-pt shot from 3 ft
11:22.0,Defensive rebound by J. Terry,,2-0,,
11:18.0,K. Middleton misses 3-pt shot from 25 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by T. Harris
11:07.0,,,2-0,,T. Harris misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:07.0,,,2-0,,Offensive rebound by Team
11:01.0,,,2-3,3,M. Teodosic makes 3-pt shot from 25 ft (assist by D. Jordan)
10:44.0,Turnover by E. Bledsoe (bad pass; steal by W. Johnson),,2-3,,
10:36.0,,,2-5,2,T. Harris makes 2-pt shot from 3 ft
10:22.0,Turnover by E. Bledsoe (bad pass; steal by T. Harris),,2-5,,
10:17.0,,,2-8,3,M. Teodosic makes 3-pt shot from 25 ft (assist by T. Harris)
10:02.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by J. Henson),3,5-8,,
9:48.0,,,5-11,3,W. Johnson makes 3-pt shot from 22 ft (assist by M. Teodosic)
9:33.0,K. Middleton makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,8-11,,
9:06.0,,,8-11,,W. Johnson misses 2-pt shot from 1 ft
9:04.0,,,8-11,,Offensive rebound by D. Jordan
9:00.0,,,8-13,2,D. Jordan makes 2-pt shot from 3 ft
8:49.0,G. Antetokounmpo makes 2-pt shot at rim,2,10-13,,
8:39.0,,,10-16,3,W. Johnson makes 3-pt shot from 22 ft (assist by M. Teodosic)
8:22.0,K. Middleton misses 2-pt shot from 4 ft,,10-16,,
8:18.0,,,10-16,,Defensive rebound by D. Jordan
8:03.0,,,10-18,2,T. Harris makes 2-pt shot from 1 ft
7:58.0,Milwaukee full timeout,,10-18,,
7:40.0,K. Middleton makes 2-pt shot from 21 ft,2,12-18,,
7:15.0,,,12-21,3,M. Teodosic makes 3-pt shot from 25 ft (assist by W. Johnson)
6:54.0,J. Henson misses 2-pt shot from 8 ft,,12-21,,
6:51.0,,,12-21,,Defensive rebound by D. Jordan
6:46.0,,,12-21,,T. Harris misses 2-pt shot at rim (block by G. Antetokounmpo)
6:43.0,Defensive rebound by J. Henson,,12-21,,
6:41.0,E. Bledsoe makes 2-pt shot at rim,2,14-21,,
6:41.0,Shooting foul by W. Johnson (drawn by E. Bledsoe),,14-21,,
6:41.0,E. Bledsoe makes free throw 1 of 1,1,15-21,,
6:27.0,,,15-24,3,M. Teodosic makes 3-pt shot from 24 ft (assist by T. Harris)
