time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. K. Porzingis (J. Jack gains possession),,,,Jump ball: H. Whiteside vs. K. Porzingis (J. Jack gains possession)
11:42.0,K. Porzingis misses 2-pt shot from 20 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by H. Whiteside
11:20.0,,,0-0,,Turnover by G. Dragic (bad pass; steal by K. Porzingis)
11:16.0,C. Lee makes 2-pt shot at rim,2,2-0,,
11:16.0,Shooting foul by K. Olynyk (drawn by C. Lee),,2-0,,
11:16.0,C. Lee makes free throw 1 of 1,1,3-0,,
10:59.0,,,3-3,3,J. Richardson makes 3-pt shot from 26 ft (assist by K. Olynyk)
10:39.0,C. Lee makes 2-pt shot from 12 ft,2,5-3,,
10:26.0,,,5-5,2,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic)
10:00.0,K. Porzingis makes 2-pt shot from 2 ft,2,7-5,,
9:44.0,,,7-7,2,G. Dragic makes 2-pt shot from 13 ft
9:33.0,J. Jack misses 2-pt shot from 18 ft,,7-7,,
9:30.0,,,7-7,,Defensive rebound by G. Dragic
9:28.0,,,7-7,,Turnover by G. Dragic (bad pass; steal by L. Thomas)
9:13.0,Turnover by K. Porzingis (lost ball; steal by T. Johnson),,7-7,,
9:04.0,,,7-7,,J. Richardson misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by E. Kanter,,7-7,,
8:50.0,E. Kanter makes 2-pt shot from 1 ft,2,9-7,,
8:35.0,,,9-9,2,G. Dragic makes 2-pt shot at rim
8:18.0,C. Lee makes 2-pt shot from 19 ft,2,11-9,,
8:03.0,,,11-9,,H. Whiteside misses 2-pt shot from 4 ft (block by E. Kanter)
8:02.0,Defensive rebound by Team,,11-9,,
7:41.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,13-9,,
7:30.0,Personal foul by L. Thomas (drawn by T. Johnson),,13-9,,
7:25.0,,,13-9,,T. Johnson misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by K. Porzingis,,13-9,,
7:16.0,Turnover by C. Lee (bad pass; steal by J. Richardson),,13-9,,
7:11.0,,,13-9,,J. Richardson misses 2-pt shot from 1 ft (block by K. Porzingis)
7:11.0,Defensive rebound by Team,,13-9,,
6:54.0,J. Jack misses 2-pt shot from 2 ft,,13-9,,
6:46.0,,,13-9,,Defensive rebound by T. Johnson
6:41.0,,,13-11,2,G. Dragic makes 2-pt shot from 15 ft
6:38.0,,,13-11,,Miami full timeout
6:28.0,C. Lee misses 2-pt shot from 19 ft,,13-11,,
6:26.0,,,13-11,,Defensive rebound by H. Whiteside
6:15.0,,,13-11,,Turnover by J. Richardson (bad pass; steal by E. Kanter)
6:09.0,L. Thomas misses 2-pt shot from 2 ft,,13-11,,
6:06.0,Offensive rebound by E. Kanter,,13-11,,
6:03.0,E. Kanter makes 2-pt shot from 2 ft,2,15-11,,
5:51.0,,,15-13,2,T. Johnson makes 2-pt shot from 1 ft
5:33.0,K. Porzingis misses 2-pt shot from 2 ft (block by H. Whiteside),,15-13,,
5:28.0,,,15-13,,Defensive rebound by K. Olynyk
5:28.0,,,15-13,,Turnover by G. Dragic (bad pass)
5:28.0,,,15-13,,W. Ellington enters the game for J. Richardson
5:13.0,Turnover by E. Kanter (bad pass; steal by T. Johnson),,15-13,,
5:02.0,,,15-13,,W. Ellington misses 3-pt shot from 26 ft
5:00.0,,,15-13,,Offensive rebound by H. Whiteside
4:54.0,,,15-16,3,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
4:32.0,E. Kanter misses 2-pt shot from 1 ft (block by H. Whiteside),,15-16,,
4:27.0,,,15-16,,Defensive rebound by G. Dragic
4:16.0,F. Ntilikina enters the game for J. Jack,,15-16,,
4:08.0,,,15-16,,G. Dragic misses 2-pt shot from 17 ft
4:08.0,Defensive rebound by Team,,15-16,,
4:08.0,,,15-16,,Personal foul by G. Dragic (drawn by F. Ntilikina)
3:56.0,C. Lee makes 2-pt shot from 1 ft,2,17-16,,
3:46.0,Personal foul by E. Kanter (drawn by W. Ellington),,17-16,,
3:46.0,,,17-16,,D. Jones enters the game for G. Dragic
3:33.0,,,17-18,2,H. Whiteside makes 2-pt shot from 18 ft (assist by T. Johnson)
3:21.0,C. Lee makes 2-pt shot from 4 ft,2,19-18,,
3:03.0,,,19-18,,D. Jones misses 3-pt shot from 27 ft
3:00.0,,,19-18,,Offensive rebound by K. Olynyk
2:59.0,,,19-20,2,K. Olynyk makes 2-pt shot from 1 ft
2:56.0,New York full timeout,,19-20,,
2:56.0,,,19-20,,B. Adebayo enters the game for K. Olynyk
2:56.0,,,19-20,,J. Johnson enters the game for H. Whiteside
2:56.0,K. O'Quinn enters the game for E. Kanter,,19-20,,
2:56.0,D. McDermott enters the game for L. Thomas,,19-20,,
2:48.0,K. Porzingis misses 2-pt shot from 19 ft,,19-20,,
2:43.0,,,19-20,,Defensive rebound by D. Jones
2:38.0,,,19-23,3,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson)
2:18.0,K. O'Quinn makes 2-pt shot from 15 ft,2,21-23,,
1:52.0,,,21-23,,T. Johnson misses 3-pt shot from 24 ft
1:51.0,,,21-23,,Offensive rebound by Team
1:51.0,,,21-23,,Turnover by Team (shot clock)
1:51.0,M. Beasley enters the game for K. Porzingis,,21-23,,
1:39.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,23-23,,
1:14.0,,,23-23,,W. Ellington misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by M. Beasley,,23-23,,
0:58.0,C. Lee misses 2-pt shot from 9 ft (block by T. Johnson),,23-23,,
0:52.0,,,23-23,,Defensive rebound by B. Adebayo
0:46.0,,,23-26,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson)
0:31.0,Shooting foul by T. Johnson (drawn by K. O'Quinn),,23-26,,
0:31.0,K. O'Quinn makes free throw 1 of 2,1,24-26,,
0:31.0,,,24-26,,J. Richardson enters the game for T. Johnson
0:31.0,R. Baker enters the game for C. Lee,,24-26,,
0:31.0,K. O'Quinn makes free throw 2 of 2,1,25-26,,
0:13.0,,,25-26,,J. Richardson misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by M. Beasley,,25-26,,
0:00.0,D. McDermott misses 3-pt shot from 25 ft,,25-26,,
0:00.0,Offensive rebound by Team,,25-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-26,,W. Ellington misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by F. Ntilikina,,25-26,,
11:25.0,K. O'Quinn misses 2-pt shot from 1 ft,,25-26,,
11:22.0,,,25-26,,Defensive rebound by B. Adebayo
