time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. K. Faried (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. K. Faried (R. Rondo gains possession)
11:36.0,,,0-0,,D. Cousins misses 2-pt shot from 3 ft
11:36.0,,,0-0,,Offensive rebound by D. Cousins
11:36.0,,,0-0,,Turnover by D. Cousins (bad pass)
11:23.0,J. Murray misses 2-pt shot from 16 ft,,0-0,,
11:23.0,Offensive rebound by Team,,0-0,,
11:14.0,Turnover by J. Murray (bad pass; steal by J. Holiday),,0-0,,
11:06.0,,,0-2,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cunningham)
10:57.0,G. Harris makes 2-pt shot from 1 ft,2,2-2,,
10:40.0,,,2-2,,Shooting foul by W. Barton (drawn by D. Cousins)
10:40.0,,,2-3,1,D. Cousins makes free throw 1 of 2
10:40.0,,,2-4,1,D. Cousins makes free throw 2 of 2
10:24.0,G. Harris makes 2-pt shot from 2 ft,2,4-4,,
10:09.0,,,4-4,,J. Holiday misses 2-pt shot from 4 ft
10:09.0,Defensive rebound by W. Chandler,,4-4,,
9:53.0,W. Chandler misses 2-pt shot from 18 ft,,4-4,,
9:53.0,,,4-4,,Defensive rebound by Team
9:31.0,,,4-4,,D. Cousins misses 3-pt shot from 27 ft
9:31.0,Defensive rebound by W. Barton,,4-4,,
9:22.0,W. Barton makes 2-pt shot from 2 ft,2,6-4,,
9:15.0,,,6-7,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Holiday)
8:50.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Murray),3,9-7,,
8:39.0,,,9-7,,J. Holiday misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by K. Faried,,9-7,,
8:29.0,W. Barton misses 3-pt shot from 26 ft,,9-7,,
8:29.0,,,9-7,,Defensive rebound by D. Cousins
8:19.0,Shooting block foul by K. Faried (drawn by D. Cousins),,9-7,,
8:09.0,,,9-7,,Turnover by D. Cunningham (bad pass; steal by G. Harris)
8:04.0,G. Harris makes 2-pt shot at rim,2,11-7,,
7:57.0,,,11-9,2,R. Rondo makes 2-pt shot from 2 ft
7:44.0,W. Chandler makes 2-pt shot from 1 ft,2,13-9,,
7:32.0,,,13-9,,Turnover by D. Cousins (bad pass; steal by J. Murray)
7:23.0,K. Faried makes 2-pt shot at rim (assist by J. Murray),2,15-9,,
7:23.0,,,15-9,,New Orleans full timeout
7:17.0,,,15-9,,D. Cunningham misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by W. Barton,,15-9,,
7:01.0,W. Barton misses 2-pt shot from 2 ft (block by D. Cousins),,15-9,,
6:57.0,,,15-9,,Defensive rebound by R. Rondo
6:49.0,,,15-9,,E. Moore misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by W. Chandler,,15-9,,
6:44.0,J. Murray makes 3-pt shot from 25 ft (assist by W. Chandler),3,18-9,,
6:34.0,,,18-11,2,J. Holiday makes 2-pt shot from 5 ft
6:14.0,K. Faried misses 2-pt shot from 8 ft,,18-11,,
6:12.0,,,18-11,,Defensive rebound by D. Cousins
5:57.0,,,18-11,,D. Cousins misses 2-pt shot from 1 ft (block by J. Murray)
5:52.0,Defensive rebound by W. Barton,,18-11,,
5:50.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler),3,21-11,,
5:34.0,,,21-11,,J. Holiday misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by W. Chandler,,21-11,,
5:25.0,Turnover by W. Chandler (bad pass; steal by D. Cunningham),,21-11,,
5:14.0,,,21-14,3,R. Rondo makes 3-pt shot from 26 ft (assist by J. Holiday)
4:51.0,J. Murray misses 2-pt shot from 8 ft,,21-14,,
4:49.0,,,21-14,,Defensive rebound by D. Cousins
4:44.0,,,21-14,,R. Rondo misses 2-pt shot at rim (block by K. Faried)
4:41.0,Defensive rebound by W. Barton,,21-14,,
4:38.0,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton),3,24-14,,
4:23.0,,,24-16,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
4:05.0,J. Murray misses 2-pt shot from 17 ft,,24-16,,
4:02.0,,,24-16,,Defensive rebound by R. Rondo
3:57.0,,,24-18,2,R. Rondo makes 2-pt shot from 2 ft (assist by J. Holiday)
3:57.0,Denver full timeout,,24-18,,
3:57.0,,,24-18,,O. Asik enters the game for D. Cunningham
3:57.0,,,24-18,,D. Miller enters the game for D. Cousins
3:57.0,,,24-18,,J. Nelson enters the game for R. Rondo
3:57.0,E. Mudiay enters the game for K. Faried,,24-18,,
3:57.0,M. Plumlee enters the game for J. Murray,,24-18,,
3:44.0,W. Chandler misses 2-pt shot from 10 ft,,24-18,,
3:39.0,,,24-18,,Defensive rebound by O. Asik
3:34.0,,,24-20,2,J. Holiday makes 2-pt shot from 15 ft (assist by J. Nelson)
3:19.0,G. Harris misses 2-pt shot from 12 ft,,24-20,,
3:15.0,,,24-20,,Defensive rebound by J. Nelson
3:03.0,,,24-20,,D. Miller misses 2-pt shot from 7 ft
3:01.0,Defensive rebound by E. Mudiay,,24-20,,
2:55.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,27-20,,
2:39.0,T. Lyles enters the game for G. Harris,,27-20,,
2:39.0,M. Beasley enters the game for W. Chandler,,27-20,,
2:29.0,,,27-22,2,E. Moore makes 2-pt shot from 22 ft (assist by O. Asik)
2:06.0,W. Barton makes 3-pt shot from 24 ft (assist by M. Beasley),3,30-22,,
1:47.0,,,30-24,2,O. Asik makes 2-pt shot from 11 ft (assist by D. Miller)
1:23.0,Turnover by E. Mudiay (bad pass),,30-24,,
1:23.0,,,30-24,,T. Allen enters the game for E. Moore
1:07.0,,,30-26,2,J. Holiday makes 2-pt shot from 13 ft
0:55.0,E. Mudiay makes 3-pt shot from 23 ft (assist by M. Beasley),3,33-26,,
0:48.0,,,33-28,2,J. Holiday makes 2-pt shot from 13 ft
0:40.0,W. Barton misses 3-pt shot from 26 ft,,33-28,,
0:37.0,,,33-28,,Defensive rebound by O. Asik
0:33.0,,,33-31,3,J. Nelson makes 3-pt shot from 26 ft
0:09.0,W. Barton misses 3-pt shot from 23 ft,,33-31,,
0:07.0,,,33-31,,Defensive rebound by D. Miller
0:04.0,Personal take foul by M. Plumlee (drawn by J. Holiday),,33-31,,
0:00.0,,,33-33,2,J. Holiday makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,E. Mudiay misses 2-pt shot from 15 ft,,33-33,,
11:43.0,,,33-33,,Defensive rebound by D. Cousins
11:31.0,,,33-33,,D. Miller misses 3-pt shot from 23 ft
11:29.0,Defensive rebound by M. Plumlee,,33-33,,
11:25.0,T. Lyles misses 2-pt shot from 12 ft,,33-33,,
11:21.0,,,33-33,,Defensive rebound by D. Cousins
11:06.0,,,33-33,,Shooting foul by M. Plumlee (drawn by D. Cousins)
11:06.0,,,33-33,,D. Cousins misses free throw 1 of 2
11:06.0,,,33-33,,Offensive rebound by Team
11:06.0,,,33-34,1,D. Cousins makes free throw 2 of 2
10:50.0,G. Harris misses 2-pt shot from 9 ft,,33-34,,
10:46.0,Offensive rebound by G. Harris,,33-34,,
10:37.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,35-34,,
10:12.0,,,35-34,,D. Cousins misses 2-pt shot from 11 ft
10:09.0,Defensive rebound by M. Plumlee,,35-34,,
9:55.0,E. Mudiay makes 3-pt shot from 24 ft (assist by T. Lyles),3,38-34,,
9:41.0,,,38-34,,J. Nelson misses 3-pt shot from 25 ft
9:37.0,,,38-34,,Offensive rebound by D. Cousins
9:32.0,,,38-34,,T. Allen misses 2-pt shot from 1 ft
9:25.0,,,38-34,,Offensive rebound by D. Cousins
9:25.0,,,38-36,2,D. Cousins makes 2-pt shot at rim
9:16.0,,,38-36,,Personal foul by E. Moore (drawn by G. Harris)
9:09.0,Shooting foul by T. Allen (drawn by G. Harris),,38-36,,
9:09.0,G. Harris makes free throw 1 of 2,1,39-36,,
9:09.0,,,39-36,,D. Cunningham enters the game for E. Moore
9:09.0,G. Harris makes free throw 2 of 2,1,40-36,,
8:57.0,,,40-36,,D. Cousins misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by T. Lyles,,40-36,,
8:37.0,T. Lyles makes 2-pt shot from 7 ft,2,42-36,,
8:28.0,,,42-36,,J. Nelson misses 2-pt shot from 4 ft (block by T. Lyles)
8:23.0,Jump ball: J. Nelson vs. T. Lyles (E. Mudiay gains possession),,,,Jump ball: J. Nelson vs. T. Lyles (E. Mudiay gains possession)
8:23.0,Defensive rebound by Team,,42-36,,
8:23.0,E. Mudiay misses 2-pt shot from 2 ft (block by D. Cousins),,42-36,,
8:23.0,Offensive rebound by Team,,42-36,,
8:10.0,M. Beasley misses 3-pt shot from 23 ft,,42-36,,
8:07.0,,,42-36,,Defensive rebound by D. Cunningham
7:58.0,,,42-38,2,T. Allen makes 2-pt shot from 2 ft (assist by J. Nelson)
7:37.0,G. Harris makes 3-pt shot from 27 ft (assist by T. Lyles),3,45-38,,
7:20.0,,,45-38,,D. Cousins misses 3-pt shot from 26 ft
7:19.0,,,45-38,,Offensive rebound by Team
7:19.0,,,45-38,,J. Holiday enters the game for T. Allen
7:19.0,W. Barton enters the game for G. Harris,,45-38,,
7:15.0,,,45-38,,Shooting foul by T. Lyles (drawn by D. Cunningham)
7:15.0,,,45-39,1,D. Cunningham makes free throw 1 of 2
7:15.0,,,45-40,1,D. Cunningham makes free throw 2 of 2
6:57.0,Turnover by M. Beasley (bad pass),,45-40,,
6:57.0,,,45-40,,New Orleans full timeout
6:57.0,,,45-40,,R. Rondo enters the game for J. Nelson
6:41.0,,,45-40,,Turnover by D. Cousins (lost ball; steal by M. Beasley)
6:39.0,M. Beasley makes 2-pt shot from 2 ft,2,47-40,,
6:39.0,Shooting foul by D. Miller (drawn by M. Beasley),,47-40,,
6:39.0,M. Beasley misses free throw 1 of 1,,47-40,,
6:38.0,,,47-40,,Defensive rebound by D. Cousins
6:38.0,Personal foul by M. Plumlee (drawn by D. Cousins),,47-40,,
6:38.0,,,47-40,,E. Moore enters the game for D. Miller
6:38.0,K. Faried enters the game for M. Plumlee,,47-40,,
6:26.0,,,47-43,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
6:06.0,Shooting foul by J. Holiday (drawn by T. Lyles),,47-43,,
6:06.0,T. Lyles makes free throw 1 of 2,1,48-43,,
6:06.0,G. Harris enters the game for M. Beasley,,48-43,,
6:06.0,T. Lyles makes free throw 2 of 2,1,49-43,,
5:49.0,,,49-45,2,J. Holiday makes 2-pt shot from 3 ft
5:39.0,T. Lyles misses 3-pt shot from 26 ft,,49-45,,
5:36.0,,,49-45,,Defensive rebound by D. Cousins
5:31.0,,,49-45,,Turnover by D. Cousins (lost ball; steal by T. Lyles)
5:25.0,E. Mudiay makes 2-pt shot from 2 ft,2,51-45,,
5:19.0,,,51-47,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
5:19.0,,,51-47,,Shooting foul by K. Faried (drawn by D. Cousins)
5:19.0,W. Chandler enters the game for T. Lyles,,51-47,,
5:19.0,,,51-47,,D. Cousins misses free throw 1 of 1
5:16.0,Defensive rebound by K. Faried,,51-47,,
5:07.0,E. Mudiay makes 3-pt shot from 23 ft (assist by G. Harris),3,54-47,,
4:55.0,,,54-50,3,D. Cunningham makes 3-pt shot from 24 ft (assist by D. Cousins)
4:43.0,E. Mudiay misses 3-pt shot from 24 ft,,54-50,,
4:39.0,,,54-50,,Defensive rebound by D. Cunningham
4:30.0,,,54-52,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:12.0,G. Harris misses 2-pt shot from 2 ft,,54-52,,
4:05.0,Offensive rebound by K. Faried,,54-52,,
4:05.0,K. Faried makes 2-pt shot at rim,2,56-52,,
4:00.0,,,56-54,2,D. Cousins makes 2-pt shot at rim (assist by J. Holiday)
3:51.0,W. Barton makes 2-pt shot from 8 ft,2,58-54,,
3:44.0,,,58-54,,Turnover by R. Rondo (bad pass)
3:29.0,W. Barton misses 3-pt shot from 25 ft,,58-54,,
3:26.0,,,58-54,,Defensive rebound by R. Rondo
3:22.0,,,58-56,2,R. Rondo makes 2-pt shot from 1 ft
3:22.0,Denver full timeout,,58-56,,
3:02.0,W. Chandler misses 2-pt shot from 20 ft,,58-56,,
2:59.0,,,58-56,,Defensive rebound by R. Rondo
2:48.0,,,58-56,,D. Cousins misses 2-pt shot at rim
2:45.0,Defensive rebound by W. Barton,,58-56,,
2:40.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,60-56,,
2:38.0,Personal foul by W. Chandler (drawn by D. Cousins),,60-56,,
2:38.0,,,60-57,1,D. Cousins makes free throw 1 of 2
2:38.0,,,60-58,1,D. Cousins makes free throw 2 of 2
2:27.0,W. Chandler misses 2-pt shot from 13 ft,,60-58,,
2:25.0,Offensive rebound by Team,,60-58,,
2:13.0,G. Harris makes 2-pt shot from 19 ft (assist by E. Mudiay),2,62-58,,
1:52.0,,,62-58,,E. Moore misses 2-pt shot from 8 ft
1:49.0,Defensive rebound by E. Mudiay,,62-58,,
1:27.0,W. Barton misses 3-pt shot from 25 ft,,62-58,,
1:22.0,Offensive rebound by G. Harris,,62-58,,
1:22.0,E. Mudiay misses 3-pt shot from 25 ft,,62-58,,
1:22.0,,,62-58,,Defensive rebound by Team
1:22.0,Loose ball foul by W. Barton (drawn by D. Cousins),,62-58,,
1:22.0,,,62-59,1,D. Cousins makes free throw 1 of 2
1:22.0,,,62-59,,D. Cousins misses free throw 2 of 2
1:20.0,Defensive rebound by W. Barton,,62-59,,
1:09.0,Turnover by G. Harris (bad pass),,62-59,,
0:55.0,,,62-62,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday)
0:42.0,G. Harris makes 2-pt shot from 8 ft,2,64-62,,
0:32.0,,,64-64,2,D. Cousins makes 2-pt shot from 1 ft
0:32.0,,,64-64,,Shooting foul by W. Chandler (drawn by D. Cousins)
0:32.0,,,64-65,1,D. Cousins makes free throw 1 of 1
0:13.0,,,64-65,,Personal foul by J. Holiday (drawn by E. Mudiay)
0:13.0,E. Mudiay makes free throw 1 of 2,1,65-65,,
0:13.0,,,65-65,,D. Miller enters the game for D. Cunningham
0:13.0,E. Mudiay makes free throw 2 of 2,1,66-65,,
0:00.0,,,66-65,,Shooting foul by G. Harris (drawn by J. Holiday)
0:00.0,,,66-66,1,J. Holiday makes free throw 1 of 2
0:00.0,,,66-66,,D. Cunningham enters the game for D. Cousins
0:00.0,,,66-67,1,J. Holiday makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,J. Murray makes 2-pt shot from 16 ft,2,68-67,,
11:30.0,,,68-69,2,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday)
11:15.0,G. Harris misses 3-pt shot from 25 ft,,68-69,,
11:12.0,,,68-69,,Defensive rebound by D. Cunningham
10:51.0,,,68-72,3,E. Moore makes 3-pt shot from 24 ft (assist by D. Cousins)
10:34.0,G. Harris misses 3-pt shot from 26 ft,,68-72,,
10:31.0,,,68-72,,Defensive rebound by D. Cousins
10:20.0,,,68-74,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
10:20.0,Denver full timeout,,68-74,,
10:03.0,J. Murray misses 2-pt shot from 18 ft,,68-74,,
10:00.0,,,68-74,,Defensive rebound by D. Cunningham
10:00.0,Personal foul by K. Faried (drawn by D. Cunningham),,68-74,,
10:00.0,M. Plumlee enters the game for K. Faried,,68-74,,
9:44.0,,,68-74,,J. Holiday misses 2-pt shot from 9 ft
