time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Embiid (R. Covington gains possession),,,,Jump ball: A. Drummond vs. J. Embiid (R. Covington gains possession)
11:31.0,B. Simmons misses 2-pt shot from 10 ft,,0-0,,
11:29.0,Offensive rebound by B. Simmons,,0-0,,
11:28.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,2-0,,
11:07.0,,,2-0,,T. Harris misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by B. Simmons,,2-0,,
10:56.0,J. Bayless misses 2-pt shot from 10 ft,,2-0,,
10:53.0,,,2-0,,Defensive rebound by A. Drummond
10:43.0,,,2-0,,T. Harris misses 2-pt shot from 3 ft
10:35.0,,,2-0,,Offensive rebound by A. Drummond
10:35.0,,,2-0,,A. Drummond misses 2-pt shot at rim
10:34.0,Defensive rebound by J. Bayless,,2-0,,
10:33.0,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons),3,5-0,,
10:07.0,,,5-0,,R. Jackson misses 3-pt shot from 27 ft
10:03.0,Defensive rebound by R. Covington,,5-0,,
9:52.0,J. Embiid makes 2-pt shot from 1 ft,2,7-0,,
9:38.0,,,7-2,2,R. Jackson makes 2-pt shot from 6 ft
9:27.0,J. Redick misses 2-pt shot from 19 ft,,7-2,,
9:27.0,,,7-2,,Defensive rebound by A. Drummond
9:04.0,,,7-2,,A. Bradley misses 3-pt shot from 26 ft
9:02.0,,,7-2,,Offensive rebound by A. Drummond
9:02.0,,,7-2,,Shooting foul by R. Covington (drawn by A. Drummond)
9:02.0,,,7-3,1,A. Drummond makes free throw 1 of 2
9:02.0,M. Fultz enters the game for J. Bayless,,7-3,,
9:02.0,,,7-3,,A. Drummond misses free throw 2 of 2
8:58.0,Defensive rebound by B. Simmons,,7-3,,
8:47.0,J. Embiid misses 2-pt shot from 6 ft,,7-3,,
8:46.0,,,7-3,,Defensive rebound by A. Drummond
8:38.0,,,7-5,2,T. Harris makes 2-pt shot from 7 ft
8:20.0,B. Simmons misses 2-pt shot from 2 ft,,7-5,,
8:18.0,,,7-5,,Defensive rebound by T. Harris
8:14.0,,,7-7,2,A. Bradley makes 2-pt shot from 1 ft (assist by R. Jackson)
7:58.0,B. Simmons makes 2-pt shot from 10 ft,2,9-7,,
7:36.0,,,9-7,,A. Bradley misses 3-pt shot from 25 ft
