time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Biyombo (K. Irving gains possession),,,,Jump ball: A. Horford vs. B. Biyombo (K. Irving gains possession)
11:37.0,,,0-0,,K. Irving misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by A. Gordon,,0-0,,
11:19.0,E. Fournier makes 3-pt shot from 25 ft,3,3-0,,
11:04.0,,,3-2,2,K. Irving makes 2-pt shot at rim
10:58.0,E. Payton makes 2-pt shot from 1 ft,2,5-2,,
10:44.0,,,5-4,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Horford)
10:29.0,A. Gordon misses 2-pt shot from 10 ft,,5-4,,
10:27.0,,,5-4,,Defensive rebound by K. Irving
10:14.0,,,5-4,,M. Morris misses 2-pt shot from 4 ft
10:12.0,Defensive rebound by A. Gordon,,5-4,,
10:02.0,Shooting foul by M. Morris (drawn by B. Biyombo),,5-4,,
10:02.0,B. Biyombo makes free throw 1 of 2,1,6-4,,
10:02.0,B. Biyombo makes free throw 2 of 2,1,7-4,,
9:54.0,,,7-4,,M. Morris misses 2-pt shot from 1 ft (block by B. Biyombo)
9:53.0,Defensive rebound by Team,,7-4,,
9:39.0,Turnover by A. Gordon (bad pass; steal by A. Horford),,7-4,,
9:37.0,,,7-4,,J. Brown misses 2-pt shot from 1 ft (block by J. Simmons)
9:36.0,,,7-4,,Offensive rebound by Team
9:33.0,,,7-4,,J. Tatum misses 2-pt shot from 20 ft
9:28.0,,,7-4,,Offensive rebound by J. Tatum
9:22.0,,,7-4,,J. Brown misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by E. Fournier,,7-4,,
9:12.0,E. Payton makes 2-pt shot from 2 ft (assist by E. Fournier),2,9-4,,
8:58.0,,,9-6,2,K. Irving makes 2-pt shot from 8 ft
8:51.0,Offensive charge foul by J. Simmons (drawn by K. Irving),,9-6,,
8:51.0,Turnover by J. Simmons (offensive foul),,9-6,,
8:40.0,,,9-6,,Turnover by J. Brown (bad pass; steal by J. Simmons)
8:37.0,,,9-6,,Violation by J. Brown (kicked ball)
8:23.0,Turnover by E. Fournier (bad pass; steal by J. Tatum),,9-6,,
8:17.0,,,9-8,2,J. Brown makes 2-pt shot at rim (assist by M. Morris)
8:02.0,J. Simmons misses 3-pt shot from 22 ft,,9-8,,
7:59.0,Offensive rebound by A. Gordon,,9-8,,
7:57.0,J. Simmons makes 2-pt shot from 1 ft (assist by E. Payton),2,11-8,,
7:43.0,,,11-11,3,K. Irving makes 3-pt shot from 22 ft (assist by A. Horford)
7:25.0,E. Payton misses 2-pt shot from 21 ft,,11-11,,
7:24.0,,,11-11,,Defensive rebound by A. Horford
7:13.0,,,11-14,3,K. Irving makes 3-pt shot from 24 ft (assist by A. Horford)
6:58.0,,,11-14,,Boston full timeout
6:50.0,E. Payton makes 2-pt shot from 1 ft (assist by J. Simmons),2,13-14,,
6:39.0,Personal foul by E. Fournier,,13-14,,
6:39.0,Technical foul by E. Fournier,,13-14,,
6:39.0,,,13-15,1,K. Irving makes technical free throw
6:32.0,,,13-15,,J. Tatum misses 3-pt shot from 25 ft
6:30.0,,,13-15,,Offensive rebound by J. Brown
6:27.0,,,13-17,2,J. Brown makes 2-pt shot from 4 ft
6:11.0,J. Simmons misses 3-pt shot from 23 ft,,13-17,,
6:09.0,,,13-17,,Defensive rebound by K. Irving
6:03.0,,,13-17,,Turnover by J. Tatum (traveling)
6:03.0,,,13-17,,M. Smart enters the game for J. Tatum
5:54.0,E. Fournier misses 2-pt shot from 5 ft (block by A. Horford),,13-17,,
5:53.0,Offensive rebound by Team,,13-17,,
5:46.0,E. Payton misses 3-pt shot from 25 ft,,13-17,,
5:44.0,,,13-17,,Defensive rebound by M. Morris
5:38.0,,,13-19,2,J. Brown makes 2-pt shot from 1 ft
5:18.0,Shooting foul by J. Brown (drawn by E. Payton),,13-19,,
5:18.0,E. Payton makes free throw 1 of 2,1,14-19,,
5:18.0,,,14-19,,S. Ojeleye enters the game for M. Morris
5:18.0,,,14-19,,A. Baynes enters the game for A. Horford
5:18.0,E. Payton makes free throw 2 of 2,1,15-19,,
5:06.0,,,15-19,,J. Brown misses 3-pt shot from 23 ft
5:04.0,Defensive rebound by Team,,15-19,,
4:53.0,E. Payton misses 2-pt shot from 3 ft (block by A. Baynes),,15-19,,
4:49.0,,,15-19,,Defensive rebound by S. Ojeleye
4:42.0,,,15-21,2,K. Irving makes 2-pt shot from 1 ft (assist by J. Brown)
4:42.0,Orlando full timeout,,15-21,,
4:42.0,S. Mack enters the game for E. Fournier,,15-21,,
4:20.0,S. Mack makes 2-pt shot from 18 ft (assist by J. Simmons),2,17-21,,
4:10.0,,,17-21,,Offensive foul by A. Baynes (drawn by J. Simmons)
4:10.0,,,17-21,,Turnover by A. Baynes (offensive foul)
3:54.0,J. Simmons makes 2-pt shot from 9 ft,2,19-21,,
3:54.0,Shooting foul by K. Irving (drawn by J. Simmons),,19-21,,
3:54.0,J. Simmons makes free throw 1 of 1,1,20-21,,
3:41.0,,,20-23,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Baynes)
3:22.0,Turnover by J. Simmons (bad pass; steal by M. Smart),,20-23,,
3:12.0,,,20-23,,A. Baynes misses 2-pt shot from 1 ft
3:10.0,,,20-23,,Offensive rebound by A. Baynes
3:06.0,,,20-23,,A. Baynes misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by E. Payton,,20-23,,
2:57.0,A. Gordon misses 3-pt shot from 25 ft,,20-23,,
2:54.0,Offensive rebound by E. Payton,,20-23,,
2:37.0,A. Gordon misses 3-pt shot from 25 ft,,20-23,,
2:34.0,,,20-23,,Defensive rebound by J. Brown
2:27.0,,,20-25,2,K. Irving makes 2-pt shot from 1 ft
2:11.0,Turnover by E. Payton (bad pass),,20-25,,
2:11.0,,,20-25,,T. Rozier enters the game for K. Irving
2:11.0,M. Speights enters the game for E. Payton,,20-25,,
2:11.0,D. Augustin enters the game for B. Biyombo,,20-25,,
2:11.0,W. Iwundu enters the game for J. Simmons,,20-25,,
1:56.0,,,20-25,,T. Rozier misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by M. Speights,,20-25,,
1:39.0,A. Gordon makes 2-pt shot from 15 ft (assist by S. Mack),2,22-25,,
1:30.0,,,22-25,,M. Smart misses 2-pt shot from 9 ft
