time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Gortat (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. M. Gortat (L. Markkanen gains possession)
11:35.0,,,0-0,,C. Payne misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by O. Porter,,0-0,,
11:16.0,M. Morris makes 2-pt shot from 21 ft (assist by B. Beal),2,2-0,,
10:50.0,,,2-0,,J. Holiday misses 2-pt shot from 1 ft (block by M. Gortat)
10:47.0,Defensive rebound by T. Satoransky,,2-0,,
10:43.0,O. Porter makes 2-pt shot from 9 ft (assist by T. Satoransky),2,4-0,,
10:31.0,,,4-0,,R. Lopez misses 2-pt shot from 11 ft
10:29.0,Defensive rebound by B. Beal,,4-0,,
10:21.0,O. Porter misses 3-pt shot from 25 ft,,4-0,,
10:15.0,,,4-0,,Defensive rebound by R. Lopez
10:06.0,,,4-2,2,J. Holiday makes 2-pt shot at rim (assist by R. Lopez)
9:49.0,Turnover by B. Beal (lost ball; steal by D. Nwaba),,4-2,,
9:49.0,Loose ball foul by B. Beal (drawn by D. Nwaba),,4-2,,
9:38.0,,,4-2,,Turnover by C. Payne (bad pass)
9:15.0,M. Morris makes 2-pt shot from 13 ft,2,6-2,,
8:56.0,,,6-5,3,L. Markkanen makes 3-pt shot from 24 ft (assist by R. Lopez)
8:31.0,M. Gortat misses 2-pt shot from 11 ft,,6-5,,
8:29.0,,,6-5,,Defensive rebound by L. Markkanen
8:19.0,,,6-8,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Holiday)
8:02.0,B. Beal misses 3-pt shot from 25 ft,,6-8,,
7:58.0,,,6-8,,Defensive rebound by D. Nwaba
7:55.0,,,6-8,,D. Nwaba misses 2-pt shot from 6 ft
7:49.0,,,6-8,,Offensive rebound by D. Nwaba
7:49.0,,,6-10,2,D. Nwaba makes 2-pt shot at rim
7:41.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,8-10,,
7:24.0,,,8-10,,L. Markkanen misses 2-pt shot from 9 ft
7:21.0,Defensive rebound by T. Satoransky,,8-10,,
7:20.0,T. Satoransky makes 2-pt shot from 1 ft,2,10-10,,
7:20.0,,,10-10,,Violation by L. Markkanen (def goaltending)
7:06.0,,,10-13,3,J. Holiday makes 3-pt shot from 24 ft (assist by C. Payne)
6:45.0,B. Beal misses 2-pt shot from 1 ft,,10-13,,
6:42.0,,,10-13,,Defensive rebound by R. Lopez
6:36.0,,,10-15,2,D. Nwaba makes 2-pt shot at rim (assist by J. Holiday)
6:35.0,Washington full timeout,,10-15,,
6:22.0,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal),2,12-15,,
6:12.0,,,12-15,,Turnover by R. Lopez (traveling)
5:49.0,B. Beal misses 2-pt shot from 5 ft (block by C. Payne),,12-15,,
5:45.0,Offensive rebound by O. Porter,,12-15,,
5:44.0,O. Porter makes 2-pt shot from 1 ft,2,14-15,,
5:38.0,,,14-17,2,R. Lopez makes 2-pt shot from 4 ft (assist by D. Nwaba)
5:20.0,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky),3,17-17,,
5:03.0,,,17-19,2,J. Holiday makes 2-pt shot at rim (assist by D. Nwaba)
4:46.0,M. Morris misses 2-pt shot from 1 ft,,17-19,,
4:46.0,,,17-19,,Defensive rebound by R. Lopez
4:41.0,,,17-19,,J. Holiday misses 2-pt shot from 1 ft (block by T. Satoransky)
4:38.0,Defensive rebound by M. Gortat,,17-19,,
4:32.0,T. Satoransky misses 3-pt shot from 22 ft,,17-19,,
4:28.0,,,17-19,,Defensive rebound by D. Nwaba
4:22.0,,,17-22,3,L. Markkanen makes 3-pt shot from 24 ft (assist by D. Nwaba)
4:03.0,O. Porter misses 3-pt shot from 25 ft,,17-22,,
4:03.0,,,17-22,,Defensive rebound by R. Lopez
3:40.0,,,17-22,,Turnover by R. Lopez (lost ball; steal by O. Porter)
3:36.0,T. Satoransky makes 2-pt shot at rim,2,19-22,,
3:26.0,,,19-22,,L. Markkanen misses 3-pt shot from 27 ft
3:26.0,Defensive rebound by M. Gortat,,19-22,,
3:12.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,21-22,,
3:02.0,,,21-22,,Chicago full timeout
3:02.0,,,21-22,,J. Grant enters the game for D. Nwaba
3:02.0,,,21-22,,D. Valentine enters the game for C. Payne
3:02.0,,,21-22,,B. Portis enters the game for L. Markkanen
3:02.0,J. Smith enters the game for M. Morris,,21-22,,
3:02.0,K. Oubre enters the game for M. Gortat,,21-22,,
3:02.0,M. Scott enters the game for O. Porter,,21-22,,
2:52.0,,,21-25,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Valentine)
2:25.0,M. Scott misses 3-pt shot from 25 ft,,21-25,,
2:25.0,Offensive rebound by Team,,21-25,,
2:25.0,Turnover by Team (shot clock),,21-25,,
2:25.0,R. Sessions enters the game for T. Satoransky,,21-25,,
2:10.0,J. Meeks enters the game for B. Beal,,21-25,,
2:08.0,,,21-28,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
1:50.0,K. Oubre misses 2-pt shot from 23 ft,,21-28,,
1:50.0,,,21-28,,Defensive rebound by Team
1:39.0,,,21-31,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Grant)
1:27.0,J. Smith misses 3-pt shot from 25 ft,,21-31,,
1:24.0,,,21-31,,Defensive rebound by B. Portis
1:18.0,,,21-33,2,R. Lopez makes 2-pt shot at rim (assist by J. Grant)
1:05.0,,,21-33,,Personal foul by D. Valentine (drawn by J. Meeks)
1:04.0,Turnover by K. Oubre (bad pass),,21-33,,
0:44.0,,,21-36,3,B. Portis makes 3-pt shot from 24 ft (assist by R. Lopez)
0:33.0,J. Meeks makes 3-pt shot from 23 ft (assist by R. Sessions),3,24-36,,
0:17.0,,,24-36,,B. Portis misses 2-pt shot from 1 ft (block by J. Smith)
0:10.0,Defensive rebound by J. Meeks,,24-36,,
0:03.0,M. Scott makes 3-pt shot from 22 ft (assist by R. Sessions),3,27-36,,
0:00.0,,,27-36,,D. Valentine misses 3-pt shot from 42 ft
0:00.0,,,27-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Oubre misses 3-pt shot from 25 ft,,27-36,,
11:40.0,,,27-36,,Defensive rebound by S. Kilpatrick
11:36.0,,,27-38,2,S. Kilpatrick makes 2-pt shot from 2 ft
11:11.0,M. Scott makes 2-pt shot from 3 ft,2,29-38,,
10:57.0,,,29-41,3,S. Kilpatrick makes 3-pt shot from 22 ft (assist by J. Grant)
10:33.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre),2,31-41,,
10:20.0,,,31-41,,B. Portis misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by M. Scott,,31-41,,
10:14.0,R. Sessions makes 2-pt shot from 2 ft (assist by M. Scott),2,33-41,,
10:04.0,Personal foul by K. Oubre (drawn by J. Grant),,33-41,,
9:59.0,,,33-41,,Turnover by N. Vonleh (traveling)
9:43.0,J. Smith makes 2-pt shot at rim (assist by R. Sessions),2,35-41,,
9:39.0,,,35-41,,Turnover by N. Vonleh (bad pass)
9:36.0,Turnover by K. Oubre (bad pass; steal by J. Grant),,35-41,,
9:33.0,,,35-41,,Shooting foul by J. Smith (drawn by B. Portis)
9:33.0,,,35-42,1,B. Portis makes free throw 1 of 2
9:33.0,,,35-43,1,B. Portis makes free throw 2 of 2
9:19.0,K. Oubre makes 2-pt shot at rim (assist by J. Meeks),2,37-43,,
9:02.0,,,37-43,,N. Vonleh misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by M. Scott,,37-43,,
8:55.0,Shooting foul by J. Grant (drawn by M. Scott),,37-43,,
8:55.0,M. Scott makes free throw 1 of 2,1,38-43,,
8:55.0,M. Scott makes free throw 2 of 2,1,39-43,,
8:31.0,,,39-45,2,J. Grant makes 2-pt shot from 9 ft
8:13.0,J. Smith makes 2-pt shot at rim (assist by M. Scott),2,41-45,,
8:12.0,,,41-45,,Chicago full timeout
7:54.0,,,41-47,2,N. Vonleh makes 2-pt shot from 1 ft (assist by B. Portis)
7:27.0,K. Oubre misses 2-pt shot from 20 ft,,41-47,,
7:25.0,Offensive rebound by J. Smith,,41-47,,
7:24.0,J. Smith misses 2-pt shot from 4 ft,,41-47,,
7:23.0,,,41-47,,Defensive rebound by Team
7:10.0,,,41-50,3,D. Valentine makes 3-pt shot from 25 ft (assist by B. Portis)
6:53.0,Turnover by J. Meeks (lost ball; steal by B. Portis),,41-50,,
6:48.0,,,41-52,2,B. Portis makes 2-pt shot from 1 ft (assist by N. Vonleh)
6:47.0,Washington full timeout,,41-52,,
6:47.0,,,41-52,,C. Payne enters the game for J. Grant
6:47.0,,,41-52,,L. Markkanen enters the game for B. Portis
6:47.0,T. Satoransky enters the game for R. Sessions,,41-52,,
6:47.0,M. Morris enters the game for J. Smith,,41-52,,
6:47.0,O. Porter enters the game for J. Meeks,,41-52,,
6:47.0,B. Beal enters the game for M. Scott,,41-52,,
6:32.0,K. Oubre misses 2-pt shot from 3 ft,,41-52,,
6:30.0,,,41-52,,Defensive rebound by D. Valentine
6:23.0,,,41-52,,L. Markkanen misses 3-pt shot from 22 ft
6:20.0,Defensive rebound by B. Beal,,41-52,,
6:14.0,M. Morris makes 2-pt shot from 16 ft (assist by B. Beal),2,43-52,,
5:58.0,,,43-52,,Turnover by C. Payne (bad pass; steal by B. Beal)
5:46.0,T. Satoransky makes 3-pt shot from 22 ft (assist by M. Morris),3,46-52,,
5:28.0,,,46-52,,S. Kilpatrick misses 3-pt shot from 22 ft
5:25.0,Defensive rebound by B. Beal,,46-52,,
5:20.0,B. Beal misses 3-pt shot from 24 ft,,46-52,,
5:18.0,,,46-52,,Defensive rebound by L. Markkanen
5:07.0,,,46-52,,Turnover by D. Valentine (bad pass; steal by B. Beal)
5:06.0,Shooting foul by C. Payne (drawn by B. Beal),,46-52,,
5:06.0,B. Beal makes free throw 1 of 2,1,47-52,,
5:06.0,,,47-52,,R. Lopez enters the game for S. Kilpatrick
5:06.0,,,47-52,,D. Nwaba enters the game for N. Vonleh
5:06.0,,,47-52,,J. Holiday enters the game for D. Valentine
5:06.0,B. Beal makes free throw 2 of 2,1,48-52,,
4:47.0,,,48-54,2,D. Nwaba makes 2-pt shot from 1 ft
4:39.0,,,48-54,,Personal foul by J. Holiday (drawn by M. Morris)
4:33.0,B. Beal misses 3-pt shot from 24 ft,,48-54,,
4:30.0,,,48-54,,Defensive rebound by L. Markkanen
4:24.0,,,48-56,2,C. Payne makes 2-pt shot from 20 ft
4:06.0,K. Oubre misses 3-pt shot from 22 ft,,48-56,,
4:02.0,,,48-56,,Defensive rebound by C. Payne
3:58.0,,,48-56,,Shooting foul by M. Morris (drawn by L. Markkanen)
3:58.0,,,48-56,,L. Markkanen misses free throw 1 of 2
3:58.0,,,48-56,,Offensive rebound by Team
3:58.0,M. Gortat enters the game for K. Oubre,,48-56,,
3:58.0,,,48-56,,L. Markkanen misses free throw 2 of 2
3:56.0,Defensive rebound by M. Gortat,,48-56,,
3:44.0,Turnover by T. Satoransky (traveling),,48-56,,
3:25.0,,,48-58,2,J. Holiday makes 2-pt shot at rim (assist by D. Nwaba)
2:58.0,O. Porter makes 2-pt shot from 20 ft (assist by M. Gortat),2,50-58,,
2:44.0,,,50-60,2,D. Nwaba makes 2-pt shot from 9 ft
2:43.0,Washington full timeout,,50-60,,
2:28.0,B. Beal makes 2-pt shot from 21 ft (assist by T. Satoransky),2,52-60,,
2:14.0,,,52-60,,D. Nwaba misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by T. Satoransky,,52-60,,
2:03.0,Turnover by O. Porter (bad pass),,52-60,,
2:03.0,,,52-60,,D. Valentine enters the game for D. Nwaba
1:42.0,,,52-62,2,R. Lopez makes 2-pt shot from 7 ft (assist by J. Holiday)
1:29.0,Shooting foul by D. Valentine (drawn by M. Gortat),,52-62,,
1:29.0,M. Gortat makes free throw 1 of 2,1,53-62,,
1:29.0,,,53-62,,D. Nwaba enters the game for D. Valentine
1:29.0,M. Gortat makes free throw 2 of 2,1,54-62,,
1:16.0,,,54-62,,D. Nwaba misses 2-pt shot from 5 ft
1:13.0,Defensive rebound by M. Gortat,,54-62,,
0:54.0,B. Beal misses 3-pt shot from 25 ft,,54-62,,
0:53.0,,,54-62,,Defensive rebound by D. Nwaba
